<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCG_E.US,5,20250307,215500,18,18,18,18,100,0
PCG_E.US,5,20250310,155000,18,18,18,18,100,0
PCG_E.US,5,20250310,182500,18.035,18.035,18,18,400,0
PCG_E.US,5,20250310,200000,18,18,17.9675,17.9675,200,0
PCG_E.US,5,20250310,202000,17.9868,17.9868,17.9868,17.9868,200,0
PCG_E.US,5,20250310,203000,17.9,17.9,17.9,17.9,100,0
PCG_E.US,5,20250311,203500,17.75,17.75,17.75,17.75,200,0
PCG_E.US,5,20250311,204500,17.75,17.75,17.75,17.75,100,0
PCG_E.US,5,20250312,180500,17.9,17.9,17.9,17.9,100,0
PCG_E.US,5,20250312,181000,17.9567,17.9567,17.9,17.9,572,0
PCG_E.US,5,20250317,152000,17.9001,17.9001,17.89,17.9,1200,0
PCG_E.US,5,20250319,175000,18.2,18.2,18.19,18.19,900,0
PCG_E.US,5,20250319,183500,18.025,18.0887,18.025,18.0887,200,0
PCG_E.US,5,20250319,192000,18.2013,18.2013,18.2013,18.2013,1000,0
PCG_E.US,5,20250328,184000,18.1784,18.1784,18.1784,18.1784,300,0
PCG_E.US,5,20250331,161000,18.19,18.19,18.19,18.19,100,0
PCG_E.US,5,20250331,202500,18.2,18.2,18.2,18.2,100,0
PCG_E.US,5,20250401,214500,18,18,18,18,300,0
PCG_E.US,5,20250403,183000,18.0187,18.0187,18.0187,18.0187,100,0
PCG_E.US,5,20250403,183500,17.9999,18,17.945,17.945,1200,0
PCG_E.US,5,20250404,190000,18,18,17.9516,17.9516,922,0
PCG_E.US,5,20250404,191000,17.95,17.95,17.95,17.95,150,0
PCG_E.US,5,20250404,191500,18,18,18,18,266,0
PCG_E.US,5,20250404,201000,18.075,18.075,18.075,18.075,239,0
PCG_E.US,5,20250407,215500,17.8916,17.8916,17.89,17.89,316,0
PCG_E.US,5,20250408,190500,18.17,18.17,18.17,18.17,100,0
PCG_E.US,5,20250409,192500,18.15,18.15,18.15,18.15,141,0
PCG_E.US,5,20250415,204000,17.9,17.92,17.9,17.9,300,0
PCG_E.US,5,20250415,214000,18.1,18.1,18.1,18.1,200,0
PCG_E.US,5,20250428,201500,17.75,17.7735,17.7,17.7,1800,0
PCG_E.US,5,20250428,205000,17.725,17.725,17.725,17.725,198,0
PCG_E.US,5,20250428,215000,17.75,17.75,17.75,17.75,100,0
PCG_E.US,5,20250429,213500,18,18,18,18,300,0
PCG_E.US,5,20250429,214500,18,18,18,18,300,0
PCG_E.US,5,20250429,215500,18,18,18,18,277,0
PCG_E.US,5,20250502,215500,18.1173,18.14,18.1173,18.14,650,0
PCG_E.US,5,20250505,200000,18.096,18.12,18.096,18.12,200,0
PCG_E.US,5,20250505,203000,18.13,18.13,18.13,18.13,100,0
PCG_E.US,5,20250506,201000,17.79,17.79,17.79,17.79,100,0
PCG_E.US,5,20250506,210500,17.79,17.79,17.79,17.79,100,0
PCG_E.US,5,20250506,214500,17.78,17.78,17.78,17.78,200,0
PCG_E.US,5,20250507,165000,17.7,17.7,17.7,17.7,400,0
PCG_E.US,5,20250508,215000,17.65,17.65,17.65,17.65,199,0
PCG_E.US,5,20250512,212500,17.65,17.65,17.65,17.65,200,0
PCG_E.US,5,20250513,213000,17.75,18.15,17.75,17.85,2906,0
PCG_E.US,5,20250515,160000,17.9575,17.9575,17.9575,17.9575,125,0
PCG_E.US,5,20250515,175500,18,18,18,18,100,0
PCG_E.US,5,20250516,201000,17.728,17.728,17.728,17.728,200,0
PCG_E.US,5,20250528,212500,17.9,17.9,17.9,17.9,147,0
PCG_E.US,5,20250603,185500,17.8644,17.8644,17.8644,17.8644,100,0
PCG_E.US,5,20250603,190000,17.7401,17.7401,17.7401,17.7401,100,0
PCG_E.US,5,20250603,191000,17.66,17.66,17.66,17.66,100,0
PCG_E.US,5,20250604,192000,17.683,17.683,17.683,17.683,505,0
PCG_E.US,5,20250604,195000,17.687,17.687,17.64,17.64,500,0
PCG_E.US,5,20250605,202500,17.6439,17.6439,17.6439,17.6439,100,0
PCG_E.US,5,20250606,170500,18,18,18,18,292,0
