<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SATX.US,5,20250224,153000,1.4323,1.4326,1.35,1.38,12431,0
SATX.US,5,20250224,155000,1.42,1.42,1.42,1.42,834,0
SATX.US,5,20250224,155500,1.3714,1.3714,1.3609,1.3609,1200,0
SATX.US,5,20250224,160000,1.36,1.36,1.3,1.35,5137,0
SATX.US,5,20250224,160500,1.27,1.28,1.27,1.28,10157,0
SATX.US,5,20250224,161000,1.2808,1.2808,1.2808,1.2808,200,0
SATX.US,5,20250224,162000,1.28,1.288,1.28,1.288,7300,0
SATX.US,5,20250224,162500,1.28,1.28,1.2794,1.2794,1400,0
SATX.US,5,20250224,163000,1.275,1.275,1.275,1.275,100,0
SATX.US,5,20250224,164500,1.271,1.271,1.25,1.25,1259,0
SATX.US,5,20250224,172000,1.26,1.26,1.2204,1.2458,8720,0
SATX.US,5,20250224,172500,1.24,1.25,1.22,1.22,8100,0
SATX.US,5,20250224,173000,1.22,1.22,1.22,1.22,622,0
SATX.US,5,20250224,173500,1.21,1.2187,1.21,1.2187,6588,0
SATX.US,5,20250224,174000,1.22,1.22,1.21,1.21,1469,0
SATX.US,5,20250224,175000,1.2585,1.2585,1.2585,1.2585,122,0
SATX.US,5,20250224,180500,1.22,1.22,1.22,1.22,2290,0
SATX.US,5,20250224,181000,1.24,1.24,1.24,1.24,400,0
SATX.US,5,20250224,181500,1.21,1.23,1.21,1.23,2100,0
SATX.US,5,20250224,182500,1.225,1.225,1.225,1.225,300,0
SATX.US,5,20250224,183500,1.21,1.2151,1.21,1.2151,1200,0
SATX.US,5,20250224,184000,1.21,1.21,1.21,1.21,826,0
SATX.US,5,20250224,184500,1.21,1.22,1.21,1.21,10228,0
SATX.US,5,20250224,185000,1.21,1.21,1.2,1.21,3219,0
SATX.US,5,20250224,185500,1.2,1.2,1.19,1.19,8041,0
SATX.US,5,20250224,190000,1.2044,1.2044,1.2044,1.2044,428,0
SATX.US,5,20250224,191500,1.1901,1.1901,1.1901,1.1901,100,0
SATX.US,5,20250224,192000,1.2042,1.2042,1.2042,1.2042,1000,0
SATX.US,5,20250224,194000,1.2,1.2,1.2,1.2,5000,0
SATX.US,5,20250224,195000,1.19,1.2,1.19,1.19,31115,0
SATX.US,5,20250224,195500,1.19,1.19,1.19,1.19,840,0
SATX.US,5,20250224,200000,1.19,1.19,1.19,1.19,500,0
