<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRBNAT.M,D,20170929,000000,-267.12,-267.12,-267.12,-267.12,0,0
TRBNAT.M,D,20171031,000000,-392.39,-392.39,-392.39,-392.39,0,0
TRBNAT.M,D,20171130,000000,12.19,12.19,12.19,12.19,0,0
TRBNAT.M,D,20171229,000000,-5.7,-5.7,-5.7,-5.7,0,0
TRBNAT.M,D,20180131,000000,-2.17,-2.17,-2.17,-2.17,0,0
TRBNAT.M,D,20180228,000000,-20,-20,-20,-20,0,0
TRBNAT.M,D,20180330,000000,-484.85,-484.85,-484.85,-484.85,0,0
TRBNAT.M,D,20180430,000000,-324,-324,-324,-324,0,0
TRBNAT.M,D,20180531,000000,-711.9,-711.9,-711.9,-711.9,0,0
TRBNAT.M,D,20180629,000000,-146.25,-146.25,-146.25,-146.25,0,0
TRBNAT.M,D,20180731,000000,-1.19,-1.19,-1.19,-1.19,0,0
TRBNAT.M,D,20180831,000000,-586.99,-586.99,-586.99,-586.99,0,0
TRBNAT.M,D,20180928,000000,-214.04,-214.04,-214.04,-214.04,0,0
TRBNAT.M,D,20181031,000000,-510.69,-510.69,-510.69,-510.69,0,0
TRBNAT.M,D,20181130,000000,-702.5,-702.5,-702.5,-702.5,0,0
TRBNAT.M,D,20181231,000000,-578.4,-578.4,-578.4,-578.4,0,0
TRBNAT.M,D,20190131,000000,-396.62,-396.62,-396.62,-396.62,0,0
TRBNAT.M,D,20190228,000000,-286.48,-286.48,-286.48,-286.48,0,0
TRBNAT.M,D,20190329,000000,-296.06,-296.06,-296.06,-296.06,0,0
TRBNAT.M,D,20190430,000000,-466.46,-466.46,-466.46,-466.46,0,0
TRBNAT.M,D,20190531,000000,-362.37,-362.37,-362.37,-362.37,0,0
TRBNAT.M,D,20190628,000000,64.43,64.43,64.43,64.43,0,0
TRBNAT.M,D,20190731,000000,-889,-889,-889,-889,0,0
TRBNAT.M,D,20190830,000000,-477.96,-477.96,-477.96,-477.96,0,0
TRBNAT.M,D,20190930,000000,-187.22,-187.22,-187.22,-187.22,0,0
TRBNAT.M,D,20191031,000000,301.22,301.22,301.22,301.22,0,0
TRBNAT.M,D,20191129,000000,-263.83,-263.83,-263.83,-263.83,0,0
TRBNAT.M,D,20191231,000000,-257.79,-257.79,-257.79,-257.79,0,0
TRBNAT.M,D,20200131,000000,-257.79,-257.79,-257.79,-257.79,0,0
TRBNAT.M,D,20200228,000000,-136.82,-136.82,-136.82,-136.82,0,0
TRBNAT.M,D,20200331,000000,-20.93,-20.93,-20.93,-20.93,0,0
TRBNAT.M,D,20200430,000000,-217.36,-217.36,-217.36,-217.36,0,0
TRBNAT.M,D,20200529,000000,-457.59,-457.59,-457.59,-457.59,0,0
TRBNAT.M,D,20200630,000000,-116.19,-116.19,-116.19,-116.19,0,0
