<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSW.US,D,20151002,000000,29.9631,31.3763,29.2483,31.182,282548,0
CSW.US,D,20151005,000000,30.9221,31.7032,29.978,31.5126,126361,0
CSW.US,D,20151006,000000,31.5721,32.6623,29.8191,31.6551,128451,0
CSW.US,D,20151007,000000,31.6737,31.9068,31.406,31.6004,36920.4,0
CSW.US,D,20151008,000000,31.6004,31.9068,30.6506,31.0752,36713.9,0
CSW.US,D,20151009,000000,31.426,33.1165,31.24,32.6822,158753,0
CSW.US,D,20151012,000000,33.0099,33.3586,32.546,32.8745,69663,0
CSW.US,D,20151013,000000,32.8745,33.3586,32.8745,33.2636,51296,0
CSW.US,D,20151014,000000,33.8424,33.8424,32.9803,33.0989,68051,0
CSW.US,D,20151015,000000,33.0296,33.4928,32.8647,33.2636,76222.5,0
CSW.US,D,20151016,000000,33.0891,33.716,32.8745,33.3586,49641.4,0
CSW.US,D,20151019,000000,33.1165,33.2826,32.6425,33.2154,198675,0
CSW.US,D,20151020,000000,33.2826,33.5214,32.8835,33.1857,61582.7,0
CSW.US,D,20151021,000000,33.2154,33.8424,32.8934,33.8326,86460.6,0
CSW.US,D,20151022,000000,33.8424,34.4123,33.3299,33.8424,57087.9,0
CSW.US,D,20151023,000000,34.6819,34.6819,33.5511,34.2464,61739.7,0
CSW.US,D,20151026,000000,34.1329,35.7278,34.0854,35.3307,66189.9,0
CSW.US,D,20151027,000000,35.3495,36.6067,35.0425,35.7771,249765,0
CSW.US,D,20151028,000000,35.7771,36.5009,33.8513,34.6434,142620,0
CSW.US,D,20151029,000000,34.6434,35.2931,33.8513,34.5773,93700.6,0
CSW.US,D,20151030,000000,34.2859,35.4461,33.4928,34.8194,94734.4,0
CSW.US,D,20151102,000000,34.8094,35.2931,32.9318,34.9052,54434.9,0
CSW.US,D,20151103,000000,34.7896,34.8094,32.9803,34.5683,55330.1,0
CSW.US,D,20151104,000000,34.7896,35.2637,34.0854,34.5386,40756.1,0
CSW.US,D,20151105,000000,34.3836,35.0514,34.0854,34.7598,73844,0
CSW.US,D,20151106,000000,34.6721,35.1854,34.1329,35.0225,21615.4,0
CSW.US,D,20151109,000000,34.8674,35.4849,34.3738,34.9052,95530.3,0
CSW.US,D,20151110,000000,34.9644,35.718,34.6146,35.398,111074,0
CSW.US,D,20151111,000000,34.7213,35.958,34.7017,35.6409,73739.7,0
CSW.US,D,20151112,000000,35.5638,36.8387,34.3934,36.5603,64948.5,0
CSW.US,D,20151113,000000,36.7341,36.9354,35.9676,36.6847,47884.6,0
CSW.US,D,20151116,000000,36.6947,36.7242,35.9775,36.2017,83256.9,0
CSW.US,D,20151117,000000,36.1624,36.5208,34.5971,35.6409,70638.2,0
CSW.US,D,20151118,000000,36.0655,36.0655,34.3244,34.7994,58227,0
CSW.US,D,20151119,000000,35.07,36.3185,34.1792,35.6123,82220,0
CSW.US,D,20151120,000000,35.3217,36.7914,35.1559,35.7278,89460.9,0
CSW.US,D,20151123,000000,35.7278,36.2797,35.1077,35.5048,31956.8,0
CSW.US,D,20151124,000000,35.7573,35.9204,35.1274,35.5638,42713.4,0
CSW.US,D,20151125,000000,35.4265,35.8156,35.234,35.4265,32267.7,0
CSW.US,D,20151127,000000,35.554,35.7474,34.8194,35.7474,5482.07,0
CSW.US,D,20151130,000000,35.4363,35.5243,34.8194,35.456,29268.4,0
CSW.US,D,20151201,000000,35.1954,35.388,34.2365,35.3783,8580.55,0
CSW.US,D,20151202,000000,35.1559,35.4363,34.8575,35.0897,23689.1,0
CSW.US,D,20151203,000000,35.224,35.6883,35.0325,35.2737,27677.7,0
CSW.US,D,20151204,000000,35.2737,35.5836,34.8194,35.0514,30303.3,0
CSW.US,D,20151207,000000,34.9347,38.0872,34.9347,36.036,91734.1,0
CSW.US,D,20151208,000000,36.0655,36.7044,35.146,36.2986,70906.5,0
CSW.US,D,20151209,000000,36.4616,36.8862,36.0755,36.3932,64742.9,0
CSW.US,D,20151210,000000,36.7242,36.7914,36.0755,36.7914,54814.7,0
CSW.US,D,20151211,000000,36.744,36.744,36.2986,36.7044,49743.7,0
CSW.US,D,20151214,000000,36.6947,38.6372,35.9064,37.612,226631,0
CSW.US,D,20151215,000000,37.7386,37.768,36.9062,37.4591,199399,0
CSW.US,D,20151216,000000,37.5163,37.6406,36.6067,36.9651,279240,0
CSW.US,D,20151217,000000,37.7188,37.7188,36.5109,36.8467,135274,0
CSW.US,D,20151218,000000,37.0531,37.612,34.7598,35.7376,772250,0
CSW.US,D,20151221,000000,36.0952,36.6847,35.0425,36.0555,27198.7,0
CSW.US,D,20151222,000000,35.9402,36.6947,35.9402,36.2897,51193.7,0
CSW.US,D,20151223,000000,36.2609,37.545,35.6981,36.2986,47471.5,0
CSW.US,D,20151224,000000,36.4219,36.9354,35.9972,36.5109,19126.5,0
CSW.US,D,20151228,000000,36.3185,36.985,35.244,36.8012,69373.5,0
CSW.US,D,20151229,000000,36.8387,36.8387,34.9347,36.3185,65919.6,0
CSW.US,D,20151230,000000,36.2215,36.7717,35.3307,35.5787,49525,0
CSW.US,D,20151231,000000,35.6693,36.8762,34.9743,36.4219,72685.6,0
CSW.US,D,20160104,000000,36.5009,36.5009,35.797,36.0655,36891.1,0
CSW.US,D,20160105,000000,36.0172,36.4032,35.554,35.5836,53399.1,0
CSW.US,D,20160106,000000,35.7771,35.7771,34.2859,34.5971,107000,0
CSW.US,D,20160107,000000,34.7401,35.5737,34.1329,34.3441,114554,0
CSW.US,D,20160108,000000,34.0458,35.234,33.9876,34.8674,39127.9,0
CSW.US,D,20160111,000000,35.244,35.244,34.3836,34.6721,57381.5,0
CSW.US,D,20160112,000000,34.6434,34.9151,33.6579,34.0458,56143.2,0
CSW.US,D,20160113,000000,33.9106,34.2859,32.6474,33.6381,60472.9,0
CSW.US,D,20160114,000000,33.3299,33.6005,31.9462,32.8647,60989.3,0
CSW.US,D,20160115,000000,32.7304,33.3675,32.3729,33.1364,37290,0
CSW.US,D,20160119,000000,32.7591,33.0791,31.8011,32.1605,53881.1,0
CSW.US,D,20160120,000000,31.8782,32.0538,28.9588,31.8782,103877,0
CSW.US,D,20160121,000000,31.9068,32.8449,31.9068,31.9462,22116.6,0
CSW.US,D,20160122,000000,31.9068,32.9131,28.9985,32.6337,72370.7,0
CSW.US,D,20160125,000000,32.3434,33.9481,31.733,32.8745,48185.3,0
CSW.US,D,20160126,000000,32.8745,32.9704,29.3846,32.9131,53429.5,0
CSW.US,D,20160127,000000,32.8015,32.8745,32.1704,32.3829,69770.4,0
CSW.US,D,20160128,000000,32.6919,33.0099,32.0145,32.8647,76502,0
CSW.US,D,20160129,000000,32.8745,33.1364,31.4358,32.8745,59884.6,0
CSW.US,D,20160201,000000,32.7115,33.6281,31.7428,33.2636,24260.2,0
CSW.US,D,20160202,000000,33.3299,33.9106,32.2279,32.7591,18818.6,0
CSW.US,D,20160203,000000,33.1561,33.3299,31.8585,32.6623,11129.2,0
CSW.US,D,20160204,000000,32.7788,33.7458,31.9649,32.9408,25486.4,0
CSW.US,D,20160205,000000,32.6723,33.5214,31.9364,32.3047,27832.6,0
CSW.US,D,20160208,000000,32.3047,32.7502,29.4133,30.9409,66303.3,0
CSW.US,D,20160209,000000,30.8353,31.8011,30.0402,30.6704,66557.5,0
CSW.US,D,20160210,000000,30.8639,32.8254,30.0994,31.2116,50247.9,0
CSW.US,D,20160211,000000,30.8837,31.8969,29.0182,31.1236,45935.4,0
CSW.US,D,20160212,000000,31.0181,31.8108,30.9409,31.1335,35918,0
CSW.US,D,20160216,000000,30.9409,31.2301,28.6782,28.8721,145688,0
CSW.US,D,20160217,000000,28.9203,29.8781,27.8477,28.4757,120697,0
CSW.US,D,20160218,000000,28.3783,28.9787,27.8487,28.1847,77031.6,0
CSW.US,D,20160219,000000,28.1282,28.4956,27.7411,27.8973,64522.2,0
CSW.US,D,20160222,000000,28.2508,28.6981,26.9197,27.449,134547,0
CSW.US,D,20160223,000000,27.6424,28.4078,27.6424,28.0405,144160,0
CSW.US,D,20160224,000000,27.8193,28.4078,27.6818,28.1451,83889.7,0
CSW.US,D,20160225,000000,28.1451,29.2681,27.3757,28.6499,99986.6,0
CSW.US,D,20160226,000000,28.5055,29.0467,28.3583,28.5737,36942.7,0
CSW.US,D,20160229,000000,28.5353,30.4571,28.5353,29.4911,57745,0
CSW.US,D,20160301,000000,29.6364,30.2556,29.0084,29.4814,61444,0
CSW.US,D,20160302,000000,29.3944,29.9533,28.0502,28.9985,61273.9,0
CSW.US,D,20160303,000000,28.9588,29.4044,28.6981,28.9787,39063,0
CSW.US,D,20160304,000000,29.0567,29.916,28.9588,29.278,26498,0
CSW.US,D,20160307,000000,29.3152,29.973,28.7651,29.0367,64414.9,0
CSW.US,D,20160308,000000,28.8622,29.9446,28.8136,28.9885,80142.2,0
CSW.US,D,20160309,000000,29.2681,29.906,29.1514,29.2681,29212.7,0
CSW.US,D,20160310,000000,29.4229,30.3722,29.1198,29.278,41191.5,0
CSW.US,D,20160311,000000,29.2975,30.3712,29.2975,29.9631,28469.5,0
CSW.US,D,20160314,000000,29.9348,30.8353,29.7331,29.9631,56764.9,0
CSW.US,D,20160315,000000,30.0215,30.7593,29.5779,29.886,35223.4,0
CSW.US,D,20160316,000000,29.5683,30.2951,29.355,29.7726,19339.1,0
CSW.US,D,20160317,000000,29.8584,30.3048,29.4911,30.0994,64596.1,0
CSW.US,D,20160318,000000,29.9631,30.3424,29.8781,29.973,79133.7,0
CSW.US,D,20160321,000000,30.2259,30.3235,29.6748,29.886,19362.4,0
CSW.US,D,20160322,000000,29.8013,30.3633,29.7626,29.9631,77697.8,0
CSW.US,D,20160323,000000,29.8191,30.3633,29.506,29.916,29391.9,0
CSW.US,D,20160324,000000,29.9259,30.2655,29.6551,29.9348,49197.9,0
CSW.US,D,20160328,000000,29.7924,30.3335,29.5386,29.973,37736.6,0
CSW.US,D,20160329,000000,29.829,30.2753,29.5248,29.7924,59249.7,0
CSW.US,D,20160330,000000,29.906,30.9893,29.906,30.7977,36555.9,0
CSW.US,D,20160331,000000,30.9409,31.0279,30.1479,30.4571,50814,0
CSW.US,D,20160401,000000,30.2951,30.8639,29.9829,30.2062,36185.3,0
CSW.US,D,20160404,000000,30.1094,30.9805,29.973,30.1578,44558.3,0
CSW.US,D,20160405,000000,30.07,30.7778,29.4526,29.9348,33828,0
CSW.US,D,20160406,000000,29.9631,30.9893,29.9631,30.1479,77639.1,0
CSW.US,D,20160407,000000,30.1677,31.3094,29.6266,30.8639,32258.5,0
CSW.US,D,20160408,000000,31.0456,31.3271,29.7301,30.5439,35240.6,0
CSW.US,D,20160411,000000,30.5537,31.0081,29.8584,30.9221,23940.2,0
CSW.US,D,20160412,000000,30.8255,30.9321,30.216,30.8639,27482.2,0
CSW.US,D,20160413,000000,30.854,31.1335,30.5833,30.9705,19813,0
CSW.US,D,20160414,000000,30.9805,31.1146,30.6899,30.9409,11210.2,0
CSW.US,D,20160415,000000,30.9409,31.2165,30.1726,31.1621,23095.8,0
CSW.US,D,20160418,000000,30.9981,31.3665,30.8255,31.2301,26220.6,0
CSW.US,D,20160419,000000,31.2301,31.2698,30.9508,31.105,18884.5,0
CSW.US,D,20160420,000000,31.0852,31.5622,31.0852,31.4653,67522.5,0
CSW.US,D,20160421,000000,31.5028,31.5028,30.1094,30.9606,23537.2,0
CSW.US,D,20160422,000000,30.844,31.2018,30.39,31.0752,31107.2,0
CSW.US,D,20160425,000000,30.7555,31.182,30.5636,30.8067,45455.4,0
CSW.US,D,20160426,000000,30.8639,31.426,30.4955,30.844,76942.4,0
CSW.US,D,20160427,000000,30.8067,31.4358,30.6132,31.105,25027.8,0
CSW.US,D,20160428,000000,30.7977,31.426,30.7977,31.2499,15733.3,0
CSW.US,D,20160429,000000,31.3182,31.494,30.9606,31.4842,21585,0
CSW.US,D,20160502,000000,31.416,31.5028,31.0772,31.2897,30062.3,0
CSW.US,D,20160503,000000,31.1423,31.4743,30.8837,31.416,35691.2,0
CSW.US,D,20160504,000000,31.2214,31.5225,31.0456,31.4653,51575.4,0
CSW.US,D,20160505,000000,31.5324,31.5324,31.1523,31.3763,25482.4,0
CSW.US,D,20160506,000000,31.2214,31.426,31.1335,31.3862,24028.3,0
CSW.US,D,20160509,000000,31.24,31.5225,31.24,31.3094,39434.7,0
