<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OKLL.US,D,20250624,000000,22.389,24.49,22.23,24.074,76166,0
OKLL.US,D,20250625,000000,26.21,26.73,19.97,19.99,327754,0
OKLL.US,D,20250626,000000,21.01,21.4952,19.88,20.19,214309,0
OKLL.US,D,20250627,000000,22.85,24.57,18.9,19.72,720408,0
OKLL.US,D,20250630,000000,20.78,21.11,18.6301,20.16,453872,0
OKLL.US,D,20250701,000000,19.51,19.51,17,17.21,391544,0
OKLL.US,D,20250702,000000,17.31,17.3381,16.0901,16.9,290991,0
OKLL.US,D,20250703,000000,17.92,18.7417,16.79,18.3,388900,0
OKLL.US,D,20250707,000000,18.54,20.16,17.01,20,667149,0
OKLL.US,D,20250708,000000,20.93,20.95,17.98,18.21,962456,0
OKLL.US,D,20250709,000000,18.6,19.3,16.8,18.31,802261,0
OKLL.US,D,20250710,000000,18.22,20.0327,17.71,19.52,810352,0
OKLL.US,D,20250711,000000,18.67,20.86,18.33,19.84,1041130,0
OKLL.US,D,20250714,000000,19.64,24.48,18.75,24.38,1665426,0
OKLL.US,D,20250715,000000,24.86,24.86,21.8,23.08,1432238,0
OKLL.US,D,20250716,000000,22.99,26,22.5,25.7,1369724,0
OKLL.US,D,20250717,000000,26.81,28.48,25.88,27.84,1242522,0
OKLL.US,D,20250718,000000,28.09,29.4969,26.12,29.37,953589,0
OKLL.US,D,20250721,000000,29.84,30.92,23.8,23.82,1618742,0
