<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QCML.US,D,20250214,000000,25.499,25.61,25.25,25.5366,10197,0
QCML.US,D,20250218,000000,25.741,25.96,25.391,25.96,7946,0
QCML.US,D,20250219,000000,26.18,26.68,26.13,26.42,9331,0
QCML.US,D,20250220,000000,26.565,26.565,25.73,25.94,11213,0
QCML.US,D,20250221,000000,26.1,26.1,23.46,23.46,6349,0
QCML.US,D,20250224,000000,23.63,23.64,22.4,22.4,2498,0
QCML.US,D,20250225,000000,22.38,22.78,22.03,22.25,3503,0
QCML.US,D,20250226,000000,22.8,22.8,22.28,22.5,3559,0
QCML.US,D,20250227,000000,22.5,22.5,20.3536,20.3536,2475,0
QCML.US,D,20250228,000000,20.35,21.08,20.35,21.08,2793,0
QCML.US,D,20250303,000000,21.21,21.69,20.01,20.1,5344,0
QCML.US,D,20250304,000000,20.11,20.599,19.7101,20.3,6177,0
QCML.US,D,20250305,000000,20.47,21.35,20.47,21.35,442,0
QCML.US,D,20250306,000000,20.9627,21.13,20.899,20.91,1073,0
QCML.US,D,20250307,000000,21.185,22.25,21.185,22.25,1061,0
QCML.US,D,20250310,000000,21.4799,21.4799,19.94,20.57,11892,0
QCML.US,D,20250311,000000,20.459,20.459,19.72,20.03,2351,0
QCML.US,D,20250312,000000,20.55,20.55,19.85,19.97,4589,0
QCML.US,D,20250313,000000,20.04,20.48,19.74,19.74,1350,0
QCML.US,D,20250314,000000,20.409,20.92,20.409,20.92,1648,0
QCML.US,D,20250318,000000,21.55,21.69,20.85,20.85,4625,0
QCML.US,D,20250319,000000,20.92,21.77,20.92,21.37,2072,0
QCML.US,D,20250320,000000,21.3,21.46,21.135,21.27,6218,0
QCML.US,D,20250321,000000,20.051,20.99,20.0501,20.96,7290,0
QCML.US,D,20250324,000000,21.7788,21.985,21.74,21.78,3288,0
QCML.US,D,20250325,000000,21.741,22,21.741,21.79,2208,0
QCML.US,D,20250326,000000,21.35,21.36,21,21.36,1346,0
QCML.US,D,20250327,000000,20.9515,21.439,20.9515,21.23,568,0
QCML.US,D,20250328,000000,20.13,20.13,19.5209,19.79,2130,0
QCML.US,D,20250401,000000,19.6,19.9054,19.32,19.86,3886,0
QCML.US,D,20250402,000000,19.86,20.14,19.86,20.14,2572,0
QCML.US,D,20250403,000000,18.329,18.329,16.259,16.31,20352,0
QCML.US,D,20250404,000000,15.16,15.16,13.49,13.49,10998,0
QCML.US,D,20250407,000000,12.5883,15.33,12.18,13.9281,10304,0
QCML.US,D,20250408,000000,14.38,15.07,12.86,12.86,6531,0
QCML.US,D,20250409,000000,13.14,16.95,13.14,16.7669,12914,0
QCML.US,D,20250410,000000,15.456,15.456,13.889,14.63,5421,0
QCML.US,D,20250411,000000,14.6,15.78,14.6,15.6138,4215,0
QCML.US,D,20250414,000000,16.43,16.43,15.1798,15.61,4384,0
QCML.US,D,20250415,000000,15.78,15.9,15.47,15.5093,19628,0
QCML.US,D,20250416,000000,14.56,15.04,14.17,14.87,2698,0
QCML.US,D,20250417,000000,14.91,15.34,14.88,15.021,3610,0
QCML.US,D,20250421,000000,14.71,14.9685,14.4017,14.9685,2207,0
QCML.US,D,20250422,000000,15.1,15.49,15.1,15.4673,4778,0
QCML.US,D,20250423,000000,16.248,16.56,15.9022,15.9022,11715,0
QCML.US,D,20250424,000000,16.35,17.52,16.35,17.3913,6372,0
QCML.US,D,20250425,000000,17.38,17.739,17.37,17.7037,7052,0
QCML.US,D,20250428,000000,17.71,17.7594,17.039,17.5078,5235,0
QCML.US,D,20250429,000000,17.3,17.604,17.09,17.2636,8213,0
QCML.US,D,20250430,000000,16.91,17.7,16.895,17.6644,109261,0
QCML.US,D,20250501,000000,15.27,15.28,14.44,14.53,365743,0
QCML.US,D,20250502,000000,14.98,15.8,14.98,15.4641,131770,0
QCML.US,D,20250505,000000,15.275,15.64,15.26,15.4,34139,0
QCML.US,D,20250506,000000,15.1,15.571,14.99,15.49,21246,0
QCML.US,D,20250507,000000,15.755,16.5073,15.7482,16.48,27728,0
QCML.US,D,20250508,000000,16.67,17.14,16.411,16.6215,33768,0
QCML.US,D,20250509,000000,16.81,16.9,16.58,16.66,9841,0
QCML.US,D,20250512,000000,18.5241,18.5241,17.69,18.31,30459,0
QCML.US,D,20250513,000000,18.4,18.4684,17.9701,18.13,24279,0
QCML.US,D,20250514,000000,18.04,18.5,17.8,18.5,22926,0
QCML.US,D,20250515,000000,17.96,18.4,17.931,18.4,11104,0
QCML.US,D,20250516,000000,18.2,18.4,18.15,18.4,9946,0
QCML.US,D,20250519,000000,18,18.62,17.8,18.62,37493,0
QCML.US,D,20250520,000000,18.2415,18.59,18.19,18.59,10807,0
QCML.US,D,20250521,000000,18.53,19.12,18,18.07,11983,0
QCML.US,D,20250522,000000,17.58,17.9,17.11,17.11,44089,0
QCML.US,D,20250523,000000,15.98,16.81,15.83,16.55,16480,0
QCML.US,D,20250527,000000,16.92,17.4499,16.8313,17.33,22023,0
QCML.US,D,20250528,000000,17.26,17.35,17.09,17.11,25977,0
QCML.US,D,20250529,000000,17.491,17.5305,17.0801,17.22,26305,0
QCML.US,D,20250530,000000,16.8296,16.871,16.149,16.55,8698,0
QCML.US,D,20250602,000000,16.42,16.9,16.42,16.9,4303,0
QCML.US,D,20250603,000000,16.934,17.45,16.86,17.4,9154,0
QCML.US,D,20250604,000000,17.53,17.55,17.27,17.43,19796,0
QCML.US,D,20250605,000000,17.26,17.7908,17.2,17.21,9118,0
QCML.US,D,20250606,000000,17.8053,17.8991,17.64,17.64,16060,0
QCML.US,D,20250609,000000,18.2,19.24,18.2,19.11,53594,0
QCML.US,D,20250610,000000,19.3,20.04,19.07,19.97,87177,0
QCML.US,D,20250611,000000,20.22,20.71,19.7994,20.03,56410,0
QCML.US,D,20250612,000000,19.86,19.99,19.67,19.99,24388,0
QCML.US,D,20250613,000000,19.2,19.3799,18.81,18.98,20294,0
QCML.US,D,20250616,000000,19.4,19.695,19.1,19.39,21590,0
QCML.US,D,20250617,000000,19.2505,19.49,18.76,18.84,36143,0
QCML.US,D,20250618,000000,18.8296,19.121,18.48,18.545,27017,0
QCML.US,D,20250620,000000,18.91,18.91,17.82,18.06,18498,0
QCML.US,D,20250623,000000,18.09,18.4896,17.6884,18.405,19340,0
QCML.US,D,20250624,000000,18.88,19.1199,18.7,19.08,31798,0
QCML.US,D,20250625,000000,19,19.2405,18.7308,19.16,43074,0
QCML.US,D,20250626,000000,19.25,19.6592,19.12,19.64,36978,0
QCML.US,D,20250627,000000,19.65,20.3,19.53,19.84,38658,0
QCML.US,D,20250630,000000,19.61,20,19.59,19.8,30218,0
QCML.US,D,20250701,000000,19.63,20.45,19.55,19.895,22017,0
QCML.US,D,20250702,000000,20.159,20.7401,19.9,20.69,34679,0
QCML.US,D,20250703,000000,20.86,21,20.55,20.5999,23077,0
QCML.US,D,20250707,000000,20.001,20.02,19.5,19.59,31789,0
