<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USIN.US,D,20250505,000000,49.8593,49.87,49.76,49.81,4271,0
USIN.US,D,20250507,000000,50.01,50.06,50.01,50.035,1107,0
USIN.US,D,20250508,000000,49.92,49.92,49.6582,49.6582,1763,0
USIN.US,D,20250509,000000,49.8164,49.8164,49.6906,49.6906,361,0
USIN.US,D,20250513,000000,49.3065,49.3291,49.2964,49.3291,6081,0
USIN.US,D,20250514,000000,49.31,49.31,49.1529,49.1529,353,0
USIN.US,D,20250515,000000,49.3643,49.5,49.34,49.4742,918,0
USIN.US,D,20250516,000000,49.6,49.6,49.496,49.496,303,0
USIN.US,D,20250519,000000,49.23,49.4749,49.21,49.4749,1187,0
USIN.US,D,20250520,000000,49.346,49.415,49.346,49.415,2359,0
USIN.US,D,20250521,000000,49.25,49.25,49.08,49.08,1852,0
USIN.US,D,20250523,000000,49.42,49.43,49.37,49.43,1470,0
USIN.US,D,20250527,000000,49.47,49.47,49.43,49.43,123,0
USIN.US,D,20250529,000000,49.55,49.55,49.5191,49.5191,383,0
USIN.US,D,20250530,000000,49.59,49.67,49.59,49.67,305,0
USIN.US,D,20250602,000000,49.52,49.52,49.4853,49.4853,154,0
USIN.US,D,20250603,000000,49.54,49.54,49.4349,49.4349,204,0
USIN.US,D,20250604,000000,49.7529,49.8012,49.7529,49.8012,123,0
USIN.US,D,20250605,000000,49.84,49.84,49.67,49.67,203,0
USIN.US,D,20250609,000000,49.33,49.33,49.33,49.33,124,0
USIN.US,D,20250610,000000,49.45,49.45,49.45,49.45,105,0
USIN.US,D,20250612,000000,49.84,49.849,49.84,49.849,103,0
USIN.US,D,20250613,000000,49.66,49.6748,49.66,49.6748,104,0
USIN.US,D,20250618,000000,49.87,49.87,49.8003,49.8003,282,0
USIN.US,D,20250624,000000,50.1543,50.1751,50.1543,50.1751,228,0
USIN.US,D,20250625,000000,49.95,50.08,49.95,50.08,288,0
USIN.US,D,20250626,000000,50.16,50.2199,50.12,50.2199,229,0
USIN.US,D,20250627,000000,50.16,50.16,50.12,50.12,185,0
USIN.US,D,20250701,000000,50.21,50.21,50.2051,50.2051,5465,0
USIN.US,D,20250702,000000,50.11,50.11,50.0861,50.0861,408,0
USIN.US,D,20250711,000000,49.72,49.72,49.6857,49.6857,104,0
USIN.US,D,20250715,000000,49.5,49.5,49.46,49.46,105,0
USIN.US,D,20250716,000000,49.63,49.63,49.615,49.615,178,0
USIN.US,D,20250718,000000,49.75,49.75,49.7251,49.7251,103,0
