<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DABS.US,D,20250314,000000,50,50.11,50,50,631828,0
DABS.US,D,20250317,000000,50.1,50.1,50.01,50.055,2825,0
DABS.US,D,20250318,000000,50.055,50.1,50,50.055,1766,0
DABS.US,D,20250319,000000,50.062,50.12,50.06,50.12,1902,0
DABS.US,D,20250320,000000,50.14,50.14,50.04,50.1,9393,0
DABS.US,D,20250321,000000,50.11,50.15,50.095,50.095,4696,0
DABS.US,D,20250324,000000,50.13,50.13,50.04,50.04,2402,0
DABS.US,D,20250325,000000,50.01,50.07,50.01,50.02,4821,0
DABS.US,D,20250326,000000,52,52.1,50.03,50.075,3298,0
DABS.US,D,20250327,000000,50.085,50.13,50.02,50.085,2889,0
DABS.US,D,20250328,000000,50.13,52,50.09,50.19,34969,0
DABS.US,D,20250331,000000,50.19,52,50.155,50.155,413439,0
DABS.US,D,20250401,000000,50.14,50.15,50.03,50.1174,36794,0
DABS.US,D,20250402,000000,50.12,50.22,50.09,50.1945,34490,0
DABS.US,D,20250403,000000,50.275,50.39,50.2101,50.29,11148,0
DABS.US,D,20250404,000000,50.71,52.2,50.35,50.4451,14133,0
DABS.US,D,20250407,000000,50.43,50.43,50.24,50.2594,72299,0
DABS.US,D,20250408,000000,50.0356,52,50.0301,50.1912,6350,0
DABS.US,D,20250409,000000,49.865,50.17,49.865,49.92,5004,0
DABS.US,D,20250410,000000,49.868,50.04,49.82,49.8751,4123,0
DABS.US,D,20250411,000000,49.76,49.8,49.49,49.706,4933,0
DABS.US,D,20250414,000000,49.73,49.98,49.73,49.8899,3894,0
DABS.US,D,20250415,000000,49.97,50.03,49.95,49.995,3444,0
DABS.US,D,20250416,000000,50.02,50.09,49.91,50.04,3049,0
DABS.US,D,20250417,000000,50.03,50.03,49.86,49.936,7204,0
DABS.US,D,20250421,000000,50,50.05,49.9716,49.9716,2393,0
DABS.US,D,20250422,000000,49.96,49.96,49.8514,49.91,1822,0
DABS.US,D,20250423,000000,49.95,49.95,49.81,49.9105,2783,0
DABS.US,D,20250424,000000,49.98,50.0499,49.97,50.005,2095,0
DABS.US,D,20250425,000000,50.01,50.07,49.98,50.03,2831,0
DABS.US,D,20250428,000000,49.94,50.17,49.94,50.1,5158,0
DABS.US,D,20250429,000000,50.145,50.24,50.13,50.1657,3467,0
DABS.US,D,20250430,000000,50.1401,50.2413,50.14,50.2413,4320,0
DABS.US,D,20250501,000000,50.07,50.07,49.89,49.9765,2858,0
DABS.US,D,20250502,000000,49.8631,49.8631,49.805,49.805,1832,0
DABS.US,D,20250505,000000,49.82,49.86,49.81,49.8298,1808,0
DABS.US,D,20250506,000000,49.96,49.96,49.8,49.8545,3269,0
DABS.US,D,20250507,000000,49.91,49.9787,49.85,49.9322,4945,0
DABS.US,D,20250508,000000,49.85,49.94,49.85,49.85,9776,0
DABS.US,D,20250509,000000,49.87,49.92,49.845,49.8461,1766,0
DABS.US,D,20250512,000000,49.8,49.8,49.7668,49.7668,1874,0
DABS.US,D,20250513,000000,49.81,49.81,49.77,49.79,3483,0
DABS.US,D,20250514,000000,49.79,49.82,49.66,49.7207,2662,0
DABS.US,D,20250515,000000,49.79,49.88,49.79,49.88,3182,0
DABS.US,D,20250516,000000,49.89,49.93,49.82,49.875,3375,0
DABS.US,D,20250519,000000,49.9799,49.9799,49.92,49.935,1990,0
DABS.US,D,20250520,000000,49.921,49.96,49.85,49.9189,3774,0
DABS.US,D,20250521,000000,49.81,49.93,49.79,49.865,3856,0
DABS.US,D,20250522,000000,49.88,49.9899,49.88,49.93,2248,0
DABS.US,D,20250523,000000,50,50,49.96,49.9727,2211,0
DABS.US,D,20250527,000000,50.04,50.06,49.96,50.0531,1422,0
DABS.US,D,20250528,000000,50.0201,50.15,50.01,50.08,4068,0
DABS.US,D,20250529,000000,50.1887,50.22,50.14,50.1908,3529,0
DABS.US,D,20250530,000000,50.28,50.28,50.21,50.2654,5250,0
DABS.US,D,20250602,000000,50.0561,50.07,50.025,50.025,2380,0
DABS.US,D,20250603,000000,50.04,50.04,49.992,49.9951,3471,0
DABS.US,D,20250604,000000,50.09,50.2,50.09,50.155,4754,0
DABS.US,D,20250605,000000,50.17,50.22,50.05,50.1647,9111,0
DABS.US,D,20250606,000000,50.03,50.039,49.955,49.955,2374,0
DABS.US,D,20250609,000000,50,50.03,49.98,49.98,1977,0
DABS.US,D,20250610,000000,50.1499,50.1499,50,50.0835,3205,0
DABS.US,D,20250611,000000,50.16,50.2145,50.06,50.19,6591,0
DABS.US,D,20250612,000000,50.3,50.33,50.22,50.29,7157,0
DABS.US,D,20250613,000000,50.235,50.25,50.15,50.25,40700,0
DABS.US,D,20250616,000000,54.15,54.15,50.19,50.19,6054,0
DABS.US,D,20250617,000000,50.265,50.35,50.24,50.315,5168,0
DABS.US,D,20250618,000000,50.36,50.36,50.28,50.28,3298,0
DABS.US,D,20250620,000000,50.3,50.4293,50.2932,50.36,4940,0
DABS.US,D,20250623,000000,50.482,50.5599,50.4405,50.48,4366,0
DABS.US,D,20250624,000000,50.55,50.58,50.43,50.55,7371,0
DABS.US,D,20250625,000000,50.5014,50.575,50.5014,50.575,7047,0
DABS.US,D,20250626,000000,50.58,50.7093,50.57,50.6642,1863,0
DABS.US,D,20250627,000000,50.6097,50.689,50.57,50.5913,4715,0
DABS.US,D,20250630,000000,50.69,50.6933,50.66,50.6933,2344,0
DABS.US,D,20250701,000000,50.465,50.465,50.38,50.38,5901,0
DABS.US,D,20250702,000000,50.39,50.47,50.37,50.38,10046,0
DABS.US,D,20250703,000000,50.32,50.3898,50.27,50.345,7376,0
DABS.US,D,20250707,000000,50.399,50.399,50.28,50.32,8513,0
DABS.US,D,20250708,000000,50.32,50.3422,50.26,50.26,4042,0
DABS.US,D,20250709,000000,50.407,50.425,50.33,50.425,1538,0
DABS.US,D,20250710,000000,50.4,50.5,50.35,50.38,3227,0
DABS.US,D,20250711,000000,50.383,50.43,50.35,50.36,3850,0
DABS.US,D,20250714,000000,50.41,50.427,50.36,50.37,3327,0
DABS.US,D,20250715,000000,50.35,50.3837,50.31,50.31,3539,0
DABS.US,D,20250716,000000,50.446,50.467,50.35,50.4,3609,0
DABS.US,D,20250717,000000,50.4603,50.47,50.38,50.38,2796,0
DABS.US,D,20250718,000000,50.48,50.55,50.45,50.45,6266,0
DABS.US,D,20250721,000000,50.61,50.64,50.5696,50.62,5126,0
