<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APG.US,D,20200429,000000,6.8666,7.15333,6.53053,6.93333,3855924,0
APG.US,D,20200430,000000,6.99333,6.99333,6.58667,6.73333,1037952,0
APG.US,D,20200501,000000,6.73333,6.833,6.56667,6.6,981652,0
APG.US,D,20200504,000000,6.5,6.64667,6.36667,6.5,508254,0
APG.US,D,20200505,000000,6.56,6.75333,6.5042,6.6,900021,0
APG.US,D,20200506,000000,6.65333,6.65333,6.48,6.54667,409876,0
APG.US,D,20200507,000000,6.63333,6.64667,6.51333,6.56,924735,0
APG.US,D,20200508,000000,6.6,6.6,6.41333,6.46667,717459,0
APG.US,D,20200511,000000,6.46667,6.58667,6.17333,6.43333,1275709,0
APG.US,D,20200512,000000,6.42667,6.51333,6.28667,6.45333,1425502,0
APG.US,D,20200513,000000,6.53333,6.53333,6.05333,6.06,851674,0
APG.US,D,20200514,000000,6,6.39333,5.89333,6.3,2004528,0
APG.US,D,20200515,000000,6.14,6.33333,6.14,6.23333,1140958,0
APG.US,D,20200518,000000,6.42,6.62667,6.36667,6.55333,1690752,0
APG.US,D,20200519,000000,6.56667,6.72667,6.47333,6.66667,1361415,0
APG.US,D,20200520,000000,6.78,6.86667,6.74667,6.8,1163382,0
APG.US,D,20200521,000000,6.87333,6.87333,6.75,6.84,1238698,0
APG.US,D,20200522,000000,6.83333,7.14,6.83333,7.1,1076668,0
APG.US,D,20200526,000000,7.26667,7.57333,7.05333,7.24,1395984,0
APG.US,D,20200527,000000,7.41333,7.53333,7.2,7.34,1328233,0
APG.US,D,20200528,000000,7.37333,7.62667,7.27333,7.33333,1846350,0
APG.US,D,20200529,000000,7.32667,7.54,7.22,7.51333,2068089,0
APG.US,D,20200601,000000,7.58667,7.59333,6.93333,7.43333,2534451,0
APG.US,D,20200602,000000,7.72667,8.01333,7.67333,7.89333,2710273,0
APG.US,D,20200603,000000,8.06667,8.23333,7.48667,8.10667,2366280,0
APG.US,D,20200604,000000,8.12,8.25333,7.94667,8.00667,2415592,0
APG.US,D,20200605,000000,8.66667,8.66667,7.94,8,2918185,0
APG.US,D,20200608,000000,8.33333,8.54667,7.98667,8.42667,4153104,0
APG.US,D,20200609,000000,8.55333,8.64667,8.27667,8.52,2977347,0
APG.US,D,20200610,000000,8.55333,8.68,8.08,8.29333,4157778,0
APG.US,D,20200611,000000,8,8.14,7.81333,7.97333,2226523,0
APG.US,D,20200612,000000,8.1,8.46667,7.95333,8.2,2314284,0
