<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEGE.US,D,20241226,000000,35.36,35.38,35.36,35.365,833,0
FEGE.US,D,20241227,000000,35.49,35.5,35.07,35.1842,24074,0
FEGE.US,D,20241230,000000,34.9844,35.01,34.9494,34.9494,3425,0
FEGE.US,D,20241231,000000,34.86,34.88,34.6972,34.7363,7856,0
FEGE.US,D,20250102,000000,35.19,35.19,34.94,35.0059,13575,0
FEGE.US,D,20250103,000000,34.99,35.1299,34.99,35.1299,2826,0
FEGE.US,D,20250106,000000,35.3166,35.45,35.2319,35.2319,20585,0
FEGE.US,D,20250107,000000,35.38,35.4168,35.19,35.2296,1074658,0
FEGE.US,D,20250108,000000,35.1508,35.32,35.1508,35.2934,62895,0
FEGE.US,D,20250110,000000,35.01,35.01,34.6812,34.6812,11649,0
FEGE.US,D,20250113,000000,34.63,34.81,34.56,34.7742,25455,0
FEGE.US,D,20250114,000000,34.8589,34.97,34.7392,34.9267,30319,0
FEGE.US,D,20250115,000000,35.21,35.51,35.21,35.3479,22901,0
FEGE.US,D,20250116,000000,35.345,35.5794,35.345,35.5289,9619,0
FEGE.US,D,20250117,000000,35.6517,35.95,35.6517,35.83,29150,0
FEGE.US,D,20250121,000000,36.18,36.4399,36.18,36.43,20347,0
FEGE.US,D,20250122,000000,36.4,36.5495,36.4,36.416,128832,0
FEGE.US,D,20250123,000000,36.435,36.69,36.435,36.6418,20537,0
FEGE.US,D,20250124,000000,36.7335,36.84,36.7335,36.7646,40349,0
FEGE.US,D,20250127,000000,36.68,36.7194,36.57,36.67,49456,0
FEGE.US,D,20250128,000000,36.695,36.9,36.69,36.8414,19570,0
FEGE.US,D,20250129,000000,36.89,36.89,36.595,36.685,70808,0
FEGE.US,D,20250130,000000,37.0902,37.2534,37.02,37.1097,38915,0
FEGE.US,D,20250131,000000,37.06,37.28,36.68,36.7152,60796,0
FEGE.US,D,20250203,000000,36.4,36.79,36.22,36.64,65569,0
FEGE.US,D,20250204,000000,36.79,36.8999,36.755,36.85,49664,0
FEGE.US,D,20250205,000000,36.65,37.02,36.65,37.02,67662,0
FEGE.US,D,20250206,000000,37.065,37.1196,36.81,37.1,38229,0
FEGE.US,D,20250207,000000,37.07,37.07,36.83,36.83,24547,0
FEGE.US,D,20250210,000000,37,37.25,36.94,37.25,35408,0
FEGE.US,D,20250211,000000,37.1532,37.3104,36.98,37.2382,21760,0
FEGE.US,D,20250212,000000,37.08,37.32,37.03,37.32,29371,0
FEGE.US,D,20250213,000000,37.3,37.6,37.29,37.5803,22573,0
FEGE.US,D,20250214,000000,37.665,37.73,37.38,37.38,95962,0
FEGE.US,D,20250218,000000,41.2,41.2,37.54,37.6748,37600,0
FEGE.US,D,20250219,000000,37.67,37.7799,37.46,37.65,82411,0
FEGE.US,D,20250220,000000,37.859,37.95,37.69,37.85,39845,0
FEGE.US,D,20250221,000000,37.835,37.9186,37.5,37.57,77070,0
FEGE.US,D,20250224,000000,37.41,37.63,37.28,37.46,338736,0
FEGE.US,D,20250225,000000,37.65,37.66,37.32,37.5253,55033,0
FEGE.US,D,20250226,000000,37.55,37.81,37.41,37.4848,86146,0
FEGE.US,D,20250227,000000,37.44,37.62,37.15,37.15,41856,0
FEGE.US,D,20250228,000000,37.19,37.327,36.94,37.327,29312,0
FEGE.US,D,20250303,000000,37.72,37.8683,37.19,37.42,59662,0
FEGE.US,D,20250304,000000,37.3187,37.71,36.99,37.31,49070,0
FEGE.US,D,20250305,000000,39.52,40.92,37.22,37.79,65685,0
FEGE.US,D,20250306,000000,37.58,39.68,37.3,37.5,43438,0
FEGE.US,D,20250307,000000,37.5743,37.9999,37.52,37.9073,54029,0
FEGE.US,D,20250310,000000,37.71,37.75,37.05,37.28,372732,0
FEGE.US,D,20250311,000000,37.25,37.309,36.79,36.99,141825,0
FEGE.US,D,20250312,000000,37.43,40.86,36.835,36.97,92767,0
FEGE.US,D,20250313,000000,37.07,37.1,36.73,36.8,30339,0
FEGE.US,D,20250314,000000,37.225,37.49,37.2,37.38,69631,0
FEGE.US,D,20250317,000000,37.79,38.1399,37.31,37.96,35643,0
FEGE.US,D,20250318,000000,37.855,37.93,37.71,37.89,35351,0
FEGE.US,D,20250319,000000,37.855,38.2,37.75,38.1,56892,0
FEGE.US,D,20250320,000000,37.88,38.03,37.76,37.94,87810,0
FEGE.US,D,20250321,000000,37.73,37.89,37.49,37.674,50764,0
FEGE.US,D,20250324,000000,37.9,38.04,37.81,37.9152,74221,0
FEGE.US,D,20250325,000000,38.12,38.33,37.9,37.9966,75006,0
FEGE.US,D,20250326,000000,38.05,38.0964,37.79,37.85,343057,0
FEGE.US,D,20250327,000000,37.8797,38.11,37.755,37.9,69650,0
