<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SBAR.US,D,20250416,000000,25,25,24.7942,24.7942,737,0
SBAR.US,D,20250422,000000,25.08,25.08,25.0026,25.0026,856,0
SBAR.US,D,20250424,000000,25.39,25.4049,25.25,25.4049,5456,0
SBAR.US,D,20250425,000000,25.34,25.54,25.3,25.42,1830,0
SBAR.US,D,20250428,000000,25.55,25.55,25.39,25.4469,3392,0
SBAR.US,D,20250430,000000,25.36,25.6,25.3,25.5416,3519,0
SBAR.US,D,20250501,000000,25.71,25.95,25.71,25.83,6055,0
SBAR.US,D,20250502,000000,25.85,26.03,25.81,25.81,6707,0
SBAR.US,D,20250505,000000,25.77,25.78,25.6778,25.71,2119,0
SBAR.US,D,20250506,000000,25.68,25.68,25.5,25.6634,808,0
SBAR.US,D,20250507,000000,25.83,25.86,25.72,25.78,26609,0
SBAR.US,D,20250508,000000,25.98,25.98,25.7,25.95,11823,0
SBAR.US,D,20250509,000000,25.72,25.9449,25.72,25.9449,7514,0
SBAR.US,D,20250512,000000,26.23,26.3199,26.04,26.24,7034,0
SBAR.US,D,20250513,000000,25.97,26,25.87,26,7822,0
SBAR.US,D,20250514,000000,25.925,26.3,25.86,26.3,6429,0
SBAR.US,D,20250515,000000,25.97,26.08,25.63,26.08,119635,0
SBAR.US,D,20250516,000000,25.895,26.0276,25.85,26.0096,6851,0
SBAR.US,D,20250519,000000,26.05,26.19,25.86,26.04,7017,0
SBAR.US,D,20250520,000000,25.965,26.14,25.96,25.96,1074,0
SBAR.US,D,20250521,000000,25.75,25.97,25.6952,25.6952,5115,0
SBAR.US,D,20250522,000000,25.85,25.87,25.45,25.45,2845,0
SBAR.US,D,20250523,000000,25.61,25.9,25.48,25.6759,6437,0
SBAR.US,D,20250527,000000,25.71,25.91,25.6015,25.91,7094,0
SBAR.US,D,20250528,000000,25.72,25.72,25.5334,25.5334,1261,0
SBAR.US,D,20250529,000000,25.75,25.79,25.44,25.6441,4792,0
SBAR.US,D,20250530,000000,25.68,25.81,25.31,25.31,10573,0
SBAR.US,D,20250602,000000,25.555,25.76,25.555,25.6894,2306,0
SBAR.US,D,20250603,000000,25.81,25.9,25.75,25.8478,3169,0
SBAR.US,D,20250604,000000,25.92,25.92,25.8,25.8,5472,0
SBAR.US,D,20250605,000000,25.7,25.85,25.52,25.6308,9080,0
SBAR.US,D,20250606,000000,26.07,26.13,25.76,25.9725,16366,0
SBAR.US,D,20250609,000000,26.1,26.24,26,26,9852,0
SBAR.US,D,20250610,000000,25.94,26.27,25.86,26.0637,21153,0
SBAR.US,D,20250611,000000,26.5,26.5,25.7,25.7,10013,0
SBAR.US,D,20250612,000000,26.06,26.18,25.8,26.0085,8576,0
SBAR.US,D,20250613,000000,25.805,25.925,25.76,25.76,3460,0
SBAR.US,D,20250616,000000,26.19,26.19,25.93,26.0541,9133,0
SBAR.US,D,20250617,000000,25.81,26.1,25.77,25.8867,5071,0
SBAR.US,D,20250618,000000,25.86,26.16,25.86,25.93,11906,0
SBAR.US,D,20250620,000000,26.0187,26.46,25.72,25.93,45465,0
SBAR.US,D,20250623,000000,26.0308,26.3099,25.9201,26.2061,25916,0
SBAR.US,D,20250624,000000,26.18,26.54,25.96,26.24,29514,0
SBAR.US,D,20250625,000000,25.96,26.1,25.82,25.9284,8804,0
SBAR.US,D,20250626,000000,26.04,26.5,26.03,26.5,12251,0
SBAR.US,D,20250627,000000,26.31,26.33,26.02,26.1229,5936,0
SBAR.US,D,20250630,000000,26.17,26.32,26.0309,26.22,11478,0
SBAR.US,D,20250701,000000,26.27,26.3399,26.0201,26.1852,6595,0
SBAR.US,D,20250702,000000,26.225,26.46,26.17,26.28,280275,0
SBAR.US,D,20250703,000000,26.3,26.8,26.3,26.8,46515,0
SBAR.US,D,20250707,000000,26.36,26.36,26.11,26.2,22223,0
SBAR.US,D,20250708,000000,26.36,26.4,26.06,26.27,16413,0
SBAR.US,D,20250709,000000,26.295,26.45,26.13,26.3203,6856,0
SBAR.US,D,20250710,000000,26.35,26.5,26.1401,26.36,20871,0
SBAR.US,D,20250711,000000,26.29,26.4199,26.12,26.15,9057,0
SBAR.US,D,20250714,000000,26.38,26.44,26.15,26.16,36949,0
SBAR.US,D,20250715,000000,26.3,26.385,26.15,26.2605,20949,0
SBAR.US,D,20250716,000000,26.3175,26.4596,26.12,26.418,19497,0
SBAR.US,D,20250717,000000,26.42,26.51,26.1711,26.25,31734,0
SBAR.US,D,20250718,000000,26.41,26.59,26.3,26.33,63533,0
SBAR.US,D,20250721,000000,26.45,26.5594,26.37,26.45,152386,0
