<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AADR.US,60,20240412,190000,61.235,61.235,61.235,61.235,135,0
AADR.US,60,20240412,220000,61.0429,61.0429,61.0429,61.0429,425,0
AADR.US,60,20240415,200000,60.46,60.6101,60.36,60.545,1356,0
AADR.US,60,20240415,210000,60.2,60.2,60.2,60.2,1954,0
AADR.US,60,20240416,160000,59.3859,59.3859,59.3859,59.3859,142,0
AADR.US,60,20240418,180000,59.94,59.94,59.94,59.94,114,0
AADR.US,60,20240418,200000,59.5899,59.5899,59.5899,59.5899,200,0
AADR.US,60,20240422,190000,60.17,60.17,60.17,60.17,389,0
AADR.US,60,20240422,210000,60.9099,60.9099,60.9099,60.9099,120,0
AADR.US,60,20240423,220000,61.03,61.03,61.03,61.03,100,0
AADR.US,60,20240424,190000,60.1435,60.1435,60.1435,60.1435,106,0
AADR.US,60,20240425,160000,60.32,60.32,60.32,60.32,186,0
AADR.US,60,20240429,200000,61.6,61.6,61.6,61.6,500,0
AADR.US,60,20240430,180000,61.05,61.05,61.05,61.05,200,0
AADR.US,60,20240502,160000,60.83,61.465,60.83,61.04,4348,0
AADR.US,60,20240502,210000,61.6443,61.6443,61.6443,61.6443,146,0
AADR.US,60,20240502,220000,61.16,61.16,61.16,61.16,100,0
AADR.US,60,20240503,180000,62.5,62.5,62.5,62.5,200,0
AADR.US,60,20240503,220000,62.84,62.97,62.59,62.59,900,0
AADR.US,60,20240506,160000,62.78,62.78,62.78,62.78,853,0
AADR.US,60,20240506,220000,63.59,63.59,63.59,63.59,100,0
AADR.US,60,20240507,190000,64.06,64.1,63.9001,63.9001,640,0
AADR.US,60,20240507,200000,63.73,64.0685,63.73,63.86,700,0
AADR.US,60,20240507,220000,63.62,63.71,63.62,63.71,200,0
AADR.US,60,20240508,170000,64.142,64.142,64.142,64.142,234,0
AADR.US,60,20240508,220000,63.73,63.73,63.73,63.73,100,0
AADR.US,60,20240509,210000,63.756,63.756,63.756,63.756,205,0
AADR.US,60,20240509,220000,63.72,63.72,63.72,63.72,100,0
AADR.US,60,20240510,160000,63.87,63.87,63.87,63.87,400,0
AADR.US,60,20240510,170000,64.0454,64.0454,64.0454,64.0454,185,0
AADR.US,60,20240510,190000,63.9702,63.9702,63.9702,63.9702,100,0
AADR.US,60,20240510,210000,63.65,63.87,63.65,63.65,3464,0
AADR.US,60,20240510,220000,63.55,63.55,63.51,63.51,512,0
AADR.US,60,20240513,170000,63.94,64.0455,63.94,64.0455,800,0
AADR.US,60,20240514,220000,64.07,64.3101,63.8,64.3101,755,0
AADR.US,60,20240515,180000,65.29,65.29,65.28,65.28,300,0
AADR.US,60,20240515,190000,65.0101,65.17,65.0101,65.17,1775,0
AADR.US,60,20240517,180000,64.9,64.98,64.9,64.98,200,0
AADR.US,60,20240517,190000,64.8401,64.8401,64.8401,64.8401,150,0
AADR.US,60,20240520,160000,65,65,65,65,200,0
AADR.US,60,20240520,180000,65.17,65.17,65.17,65.17,200,0
AADR.US,60,20240520,210000,65.139,65.139,65.139,65.139,250,0
AADR.US,60,20240520,220000,65.228,65.228,65.22,65.22,273,0
AADR.US,60,20240522,170000,64.7,64.7,64.7,64.7,100,0
AADR.US,60,20240522,190000,64.68,64.68,64.21,64.21,600,0
AADR.US,60,20240522,200000,64.14,64.14,64.14,64.14,200,0
AADR.US,60,20240523,170000,63.7201,63.99,63.7201,63.99,200,0
AADR.US,60,20240524,160000,62.83,62.83,62.83,62.83,100,0
AADR.US,60,20240524,210000,63.8269,63.8269,63.8269,63.8269,159,0
AADR.US,60,20240531,170000,63.8,64.48,63.64,64.48,386,0
AADR.US,60,20240531,180000,64.3255,64.3255,64.3255,64.3255,217,0
AADR.US,60,20240531,210000,64.49,64.49,64.49,64.49,293,0
AADR.US,60,20240603,190000,64.12,64.12,64.12,64.12,400,0
AADR.US,60,20240603,210000,64.4,64.4,64.4,64.4,187,0
AADR.US,60,20240604,160000,63.27,63.27,63.27,63.27,490,0
AADR.US,60,20240605,170000,63.36,63.36,63.36,63.36,200,0
AADR.US,60,20240605,200000,63.6275,63.6275,63.6275,63.6275,200,0
AADR.US,60,20240606,190000,63.78,63.78,63.78,63.78,200,0
AADR.US,60,20240606,200000,63.75,63.75,63.75,63.75,750,0
AADR.US,60,20240606,220000,63.38,63.38,63.38,63.38,100,0
AADR.US,60,20240607,180000,63.3559,63.3559,63.3559,63.3559,200,0
AADR.US,60,20240612,200000,63.35,63.9422,63.35,63.9422,1400,0
AADR.US,60,20240612,210000,64.01,64.01,63.52,63.52,791,0
AADR.US,60,20240612,220000,63.91,63.91,63.38,63.38,761,0
AADR.US,60,20240613,210000,63.34,63.34,63.34,63.34,100,0
AADR.US,60,20240613,220000,63.12,63.12,63.12,63.12,466,0
AADR.US,60,20240614,170000,62.63,62.63,62.31,62.31,200,0
AADR.US,60,20240614,210000,62.61,62.68,62.58,62.58,400,0
AADR.US,60,20240614,220000,61.9687,61.9687,61.61,61.61,1567,0
AADR.US,60,20240617,190000,62.01,62.165,62.01,62.165,360,0
AADR.US,60,20240617,210000,62.5098,62.51,62.28,62.28,1218,0
AADR.US,60,20240620,160000,62.6201,62.6201,62.6201,62.6201,250,0
AADR.US,60,20240620,210000,62.0994,62.0994,62.0994,62.0994,153,0
AADR.US,60,20240624,190000,61.9899,61.9899,61.79,61.79,307,0
AADR.US,60,20240624,210000,61.75,61.8751,61.75,61.8751,200,0
AADR.US,60,20240625,170000,62.25,62.25,62.25,62.25,100,0
AADR.US,60,20240625,200000,62.095,62.095,62.095,62.095,204,0
AADR.US,60,20240627,160000,61.64,61.64,61.64,61.64,107,0
AADR.US,60,20240627,190000,61.56,61.5601,61.56,61.5601,1830,0
AADR.US,60,20240627,200000,61.977,61.977,61.977,61.977,100,0
AADR.US,60,20240627,210000,61.76,61.76,61.52,61.52,325,0
AADR.US,60,20240627,220000,61.9699,61.9699,61.9699,61.9699,317,0
AADR.US,60,20240703,170000,62.185,62.3629,62.045,62.3629,496,0
AADR.US,60,20240703,180000,62.18,62.18,62.08,62.09,950,0
AADR.US,60,20240703,190000,62.09,62.09,62,62,877,0
AADR.US,60,20240705,170000,62.1101,62.1101,62.1101,62.1101,170,0
AADR.US,60,20240705,180000,62.35,62.6099,62.35,62.6099,265,0
AADR.US,60,20240705,220000,62.4,62.4,62.4,62.4,100,0
AADR.US,60,20240708,170000,62.24,62.2401,62.24,62.2401,600,0
AADR.US,60,20240710,200000,63.2194,63.2194,63.2194,63.2194,540,0
AADR.US,60,20240711,220000,63.43,63.43,63.43,63.43,1460,0
AADR.US,60,20240712,170000,63.59,63.59,63.59,63.59,100,0
AADR.US,60,20240712,220000,63.57,63.57,63.57,63.57,100,0
AADR.US,60,20240715,170000,63.57,63.57,63.57,63.57,600,0
AADR.US,60,20240715,220000,62.99,62.99,62.99,62.99,100,0
AADR.US,60,20240716,160000,64.29,64.29,64.29,64.29,326,0
AADR.US,60,20240716,170000,63.6692,63.6692,63.56,63.56,725,0
AADR.US,60,20240716,180000,63.64,63.64,63.64,63.64,375,0
AADR.US,60,20240716,220000,63.6,63.6,63.6,63.6,100,0
AADR.US,60,20240717,190000,62.4938,62.4938,62.4,62.4,400,0
AADR.US,60,20240717,200000,61.99,61.99,61.99,61.99,100,0
AADR.US,60,20240717,220000,62.36,62.4,62.15,62.15,1338,0
AADR.US,60,20240718,160000,62.47,62.47,62.47,62.47,150,0
AADR.US,60,20240718,200000,62.11,62.12,61.975,61.975,400,0
AADR.US,60,20240718,210000,61.66,61.66,61.39,61.39,300,0
AADR.US,60,20240718,220000,61.5,61.52,61.12,61.49,900,0
AADR.US,60,20240719,180000,61.861,61.861,61.861,61.861,100,0
AADR.US,60,20240719,220000,61.8579,61.8579,61.8579,61.8579,100,0
AADR.US,60,20240722,190000,62.5731,62.5731,62.5731,62.5731,200,0
AADR.US,60,20240722,210000,62.8042,62.8042,62.8042,62.8042,200,0
AADR.US,60,20240724,170000,62.4497,62.4497,62.4497,62.4497,150,0
AADR.US,60,20240729,160000,61.54,61.54,61.53,61.53,487,0
AADR.US,60,20240731,180000,60.9481,62.0416,60.9481,62.0416,600,0
AADR.US,60,20240731,210000,62.27,62.27,62.27,62.27,522,0
AADR.US,60,20240802,220000,59.88,59.88,57.35,57.35,400,0
AADR.US,60,20240805,160000,54.57,54.57,54.57,54.57,529,0
AADR.US,60,20240805,200000,57.1,57.1,57.1,57.1,200,0
AADR.US,60,20240805,210000,56.59,56.59,56.59,56.59,100,0
