<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDW.US,60,20240411,160000,67.61,67.625,67.56,67.56,1993,0
BNDW.US,60,20240411,170000,67.51,67.5167,67.43,67.475,5700,0
BNDW.US,60,20240411,180000,67.46,67.49,67.4297,67.49,1114,0
BNDW.US,60,20240411,190000,67.491,67.491,67.435,67.46,21848,0
BNDW.US,60,20240411,200000,67.46,67.51,67.46,67.4901,11278,0
BNDW.US,60,20240411,210000,67.6,67.6,67.56,67.56,3754,0
BNDW.US,60,20240411,220000,67.4999,67.52,67.4993,67.501,7085,0
BNDW.US,60,20240412,160000,67.75,67.7801,67.73,67.78,5104,0
BNDW.US,60,20240412,170000,67.814,67.815,67.8,67.815,2747,0
BNDW.US,60,20240412,180000,67.77,67.79,67.7496,67.7498,2276,0
BNDW.US,60,20240412,190000,67.741,67.75,67.73,67.75,3137,0
BNDW.US,60,20240412,200000,67.77,67.795,67.77,67.79,2571,0
BNDW.US,60,20240412,210000,67.7901,67.7901,67.77,67.77,6253,0
BNDW.US,60,20240412,220000,67.76,67.7703,67.7,67.7,1965,0
BNDW.US,60,20240415,160000,67.47,67.47,67.3799,67.3799,6380,0
BNDW.US,60,20240415,170000,67.38,67.39,67.29,67.365,11637,0
BNDW.US,60,20240415,180000,67.34,67.37,67.3,67.3205,11272,0
BNDW.US,60,20240415,190000,67.32,67.37,67.3199,67.33,1136,0
BNDW.US,60,20240415,200000,67.32,67.359,67.3184,67.33,16048,0
BNDW.US,60,20240415,210000,67.34,67.34,67.29,67.315,9670,0
BNDW.US,60,20240415,220000,67.3182,67.35,67.305,67.35,7151,0
BNDW.US,60,20240416,160000,67.28,67.28,67.085,67.095,16364,0
BNDW.US,60,20240416,170000,67.13,67.17,67.13,67.1697,9737,0
BNDW.US,60,20240416,180000,67.165,67.205,67.161,67.185,3238,0
BNDW.US,60,20240416,190000,67.17,67.17,67.15,67.155,2431,0
BNDW.US,60,20240416,200000,67.155,67.155,67.07,67.12,3867,0
BNDW.US,60,20240416,210000,67.1901,67.2,67.14,67.185,4832,0
BNDW.US,60,20240416,220000,67.165,67.17,67.14,67.16,15148,0
BNDW.US,60,20240417,160000,67.37,67.37,67.285,67.285,6693,0
BNDW.US,60,20240417,170000,67.22,67.28,67.22,67.27,3957,0
BNDW.US,60,20240417,180000,67.3058,67.32,67.29,67.32,1147,0
BNDW.US,60,20240417,190000,67.32,67.345,67.32,67.345,1090,0
BNDW.US,60,20240417,200000,67.34,67.41,67.335,67.41,4520,0
BNDW.US,60,20240417,210000,67.4101,67.4199,67.3998,67.3998,4803,0
BNDW.US,60,20240417,220000,67.3958,67.4,67.37,67.391,3836,0
BNDW.US,60,20240418,160000,67.42,67.42,67.28,67.28,2977,0
BNDW.US,60,20240418,170000,67.3,67.3,67.265,67.28,1553,0
BNDW.US,60,20240418,180000,67.2698,67.285,67.235,67.235,2207,0
BNDW.US,60,20240418,190000,67.2401,67.2401,67.2303,67.235,616,0
BNDW.US,60,20240418,200000,67.215,67.22,67.21,67.22,2732,0
BNDW.US,60,20240418,210000,67.216,67.22,67.2,67.21,20192,0
BNDW.US,60,20240418,220000,67.205,67.24,67.205,67.22,5249,0
BNDW.US,60,20240419,160000,67.37,67.37,67.285,67.285,3946,0
BNDW.US,60,20240419,170000,67.26,67.3097,67.26,67.3097,1367,0
BNDW.US,60,20240419,180000,67.305,67.35,67.3,67.35,3105,0
BNDW.US,60,20240419,190000,67.35,67.35,67.3131,67.3131,3521,0
BNDW.US,60,20240419,200000,67.3097,67.3097,67.2794,67.2975,801,0
BNDW.US,60,20240419,210000,67.29,67.3166,67.27,67.3166,10283,0
BNDW.US,60,20240419,220000,67.3001,67.305,67.295,67.295,1827,0
BNDW.US,60,20240422,160000,67.31,67.31,67.2528,67.28,6706,0
BNDW.US,60,20240422,170000,67.29,67.36,67.29,67.36,5721,0
BNDW.US,60,20240422,180000,67.3306,67.349,67.33,67.33,10923,0
BNDW.US,60,20240422,190000,67.39,67.39,67.36,67.36,4478,0
BNDW.US,60,20240422,200000,67.369,67.369,67.3445,67.345,2746,0
BNDW.US,60,20240422,210000,67.345,67.359,67.3351,67.359,2057,0
BNDW.US,60,20240422,220000,67.355,67.37,67.35,67.35,8708,0
BNDW.US,60,20240423,160000,67.24,67.3201,67.24,67.3201,2097,0
BNDW.US,60,20240423,170000,67.45,67.45,67.45,67.45,100,0
BNDW.US,60,20240423,180000,67.4297,67.4297,67.39,67.407,4927,0
BNDW.US,60,20240423,190000,67.415,67.45,67.415,67.45,1419,0
BNDW.US,60,20240423,200000,67.475,67.48,67.42,67.425,3214,0
BNDW.US,60,20240423,210000,67.43,67.4399,67.3907,67.3907,1059,0
BNDW.US,60,20240423,220000,67.39,67.39,67.3742,67.38,3629,0
BNDW.US,60,20240424,160000,67.25,67.25,67.1573,67.1573,2558,0
BNDW.US,60,20240424,170000,67.1101,67.1101,67.0799,67.0932,1551,0
BNDW.US,60,20240424,180000,67.13,67.13,67.11,67.11,4013,0
BNDW.US,60,20240424,190000,67.11,67.14,67.11,67.12,2469,0
BNDW.US,60,20240424,200000,67.1293,67.13,67.1095,67.11,1614,0
BNDW.US,60,20240424,210000,67.1058,67.115,67.1001,67.115,2573,0
BNDW.US,60,20240424,220000,67.1102,67.14,67.1102,67.14,3543,0
BNDW.US,60,20240425,160000,66.97,66.97,66.89,66.9,5259,0
BNDW.US,60,20240425,170000,66.895,66.96,66.88,66.955,10530,0
BNDW.US,60,20240425,180000,66.988,67,66.98,66.98,2408,0
BNDW.US,60,20240425,190000,66.9858,67.02,66.98,67.015,1485,0
BNDW.US,60,20240425,200000,67,67.03,66.995,67.004,3473,0
BNDW.US,60,20240425,210000,66.995,67,66.98,67,5222,0
BNDW.US,60,20240425,220000,67.01,67.03,67.005,67.03,7894,0
BNDW.US,60,20240426,160000,67.17,67.27,67.17,67.27,22111,0
BNDW.US,60,20240426,170000,67.2676,67.28,67.25,67.25,2252,0
BNDW.US,60,20240426,180000,67.2376,67.24,67.21,67.22,5016,0
BNDW.US,60,20240426,190000,67.2,67.21,67.19,67.195,3008,0
BNDW.US,60,20240426,200000,67.207,67.21,67.1902,67.2,3731,0
BNDW.US,60,20240426,210000,67.195,67.195,67.1901,67.1909,2324,0
BNDW.US,60,20240426,220000,67.2,67.22,67.19,67.22,8670,0
BNDW.US,60,20240429,160000,67.37,67.37,67.2966,67.298,4379,0
BNDW.US,60,20240429,170000,67.3,67.38,67.3,67.38,3978,0
BNDW.US,60,20240429,180000,67.39,67.39,67.36,67.36,3833,0
BNDW.US,60,20240429,190000,67.3498,67.35,67.3498,67.35,670,0
BNDW.US,60,20240429,200000,67.37,67.37,67.35,67.35,1121,0
BNDW.US,60,20240429,210000,67.365,67.385,67.365,67.37,8554,0
BNDW.US,60,20240429,220000,67.32,67.345,67.32,67.33,1930,0
BNDW.US,60,20240430,160000,67.23,67.23,67.17,67.21,4357,0
