<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCT.US,60,20240411,160000,18.06,18.06,18.02,18.02,26514,0
BSCT.US,60,20240411,170000,18.02,18.02,17.99,18.0053,18062,0
BSCT.US,60,20240411,180000,18.005,18.01,17.99,18.01,22924,0
BSCT.US,60,20240411,190000,18,18.01,17.99,18,30046,0
BSCT.US,60,20240411,200000,18.0074,18.015,18,18.0089,9082,0
BSCT.US,60,20240411,210000,18.0191,18.03,18.005,18.005,23472,0
BSCT.US,60,20240411,220000,18.0087,18.02,18,18.01,53487,0
BSCT.US,60,20240412,160000,18.06,18.06,18.04,18.05,8461,0
BSCT.US,60,20240412,170000,18.045,18.06,18.04,18.055,30810,0
BSCT.US,60,20240412,180000,18.055,18.0577,18.04,18.0422,18225,0
BSCT.US,60,20240412,190000,18.05,18.05,18.04,18.0499,15461,0
BSCT.US,60,20240412,200000,18.055,18.08,18.055,18.07,42336,0
BSCT.US,60,20240412,210000,18.0688,18.07,18.06,18.065,29510,0
BSCT.US,60,20240412,220000,18.0605,18.0686,18.05,18.055,38892,0
BSCT.US,60,20240415,160000,17.99,17.99,17.9601,17.965,10991,0
BSCT.US,60,20240415,170000,17.97,17.975,17.945,17.96,37917,0
BSCT.US,60,20240415,180000,17.955,17.97,17.95,17.955,27342,0
BSCT.US,60,20240415,190000,17.96,17.98,17.96,17.965,14331,0
BSCT.US,60,20240415,200000,17.97,17.97,17.955,17.955,57166,0
BSCT.US,60,20240415,210000,17.96,17.96,17.95,17.95,35641,0
BSCT.US,60,20240415,220000,17.955,17.9585,17.94,17.945,32802,0
BSCT.US,60,20240416,160000,17.93,17.93,17.901,17.915,9512,0
BSCT.US,60,20240416,170000,17.92,17.93,17.91,17.93,32164,0
BSCT.US,60,20240416,180000,17.93,17.93,17.9111,17.92,16586,0
BSCT.US,60,20240416,190000,17.93,17.93,17.9079,17.9099,23291,0
BSCT.US,60,20240416,200000,17.9066,17.915,17.88,17.9,17772,0
BSCT.US,60,20240416,210000,17.9,17.925,17.9,17.92,20729,0
BSCT.US,60,20240416,220000,17.925,17.93,17.91,17.92,52201,0
BSCT.US,60,20240417,160000,17.97,17.97,17.95,17.955,41441,0
BSCT.US,60,20240417,170000,17.95,17.9679,17.9414,17.9599,145760,0
BSCT.US,60,20240417,180000,17.96,17.98,17.9501,17.97,13206,0
BSCT.US,60,20240417,190000,17.98,17.98,17.9617,17.9699,21675,0
BSCT.US,60,20240417,200000,17.97,18.01,17.97,17.98,20535,0
BSCT.US,60,20240417,210000,17.985,17.9989,17.9752,17.9798,19440,0
BSCT.US,60,20240417,220000,17.98,17.98,17.97,17.97,38218,0
BSCT.US,60,20240418,160000,17.97,17.97,17.94,17.94,10924,0
BSCT.US,60,20240418,170000,17.9422,17.95,17.9356,17.945,18778,0
BSCT.US,60,20240418,180000,17.949,17.95,17.94,17.95,17541,0
BSCT.US,60,20240418,190000,17.94,17.9486,17.93,17.93,11626,0
BSCT.US,60,20240418,200000,17.951,17.9599,17.9223,17.9301,34819,0
BSCT.US,60,20240418,210000,17.94,17.945,17.93,17.93,15055,0
BSCT.US,60,20240418,220000,17.93,17.94,17.93,17.935,33802,0
BSCT.US,60,20240419,160000,17.97,17.97,17.955,17.96,9305,0
BSCT.US,60,20240419,170000,17.9583,17.96,17.9496,17.955,25714,0
BSCT.US,60,20240419,180000,17.96,17.97,17.9569,17.9656,11130,0
BSCT.US,60,20240419,190000,17.965,17.965,17.9519,17.955,9915,0
BSCT.US,60,20240419,200000,17.955,17.96,17.95,17.955,25738,0
BSCT.US,60,20240419,210000,17.955,17.97,17.95,17.9608,22513,0
BSCT.US,60,20240419,220000,17.965,17.97,17.95,17.955,42194,0
BSCT.US,60,20240422,160000,17.9,17.9,17.88,17.89,8073,0
BSCT.US,60,20240422,170000,17.895,17.91,17.89,17.905,18964,0
BSCT.US,60,20240422,180000,17.905,17.91,17.9,17.91,6193,0
BSCT.US,60,20240422,190000,17.915,17.92,17.91,17.915,28387,0
BSCT.US,60,20240422,200000,17.915,17.92,17.9,17.9134,22379,0
BSCT.US,60,20240422,210000,17.915,17.916,17.9,17.915,14332,0
BSCT.US,60,20240422,220000,17.919,17.9201,17.91,17.91,31148,0
BSCT.US,60,20240423,160000,17.89,17.95,17.89,17.95,5719,0
