<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FICS.US,60,20240411,160000,34.02,34.02,33.96,33.96,2914,0
FICS.US,60,20240411,170000,33.89,33.89,33.63,33.69,1700,0
FICS.US,60,20240411,180000,33.7171,33.8,33.695,33.7901,6494,0
FICS.US,60,20240411,190000,33.845,33.855,33.839,33.855,1433,0
FICS.US,60,20240411,200000,33.9083,33.94,33.89,33.94,8529,0
FICS.US,60,20240411,210000,33.96,34.01,33.96,33.97,2339,0
FICS.US,60,20240411,220000,33.99,34.0001,33.95,33.95,3929,0
FICS.US,60,20240412,160000,33.8,33.8,33.76,33.76,600,0
FICS.US,60,20240412,170000,33.69,33.69,33.61,33.61,787,0
FICS.US,60,20240412,180000,33.615,33.67,33.61,33.67,2770,0
FICS.US,60,20240412,190000,33.65,33.65,33.59,33.59,400,0
FICS.US,60,20240412,200000,33.55,33.56,33.5,33.5413,12412,0
FICS.US,60,20240412,210000,33.52,33.55,33.47,33.475,2548,0
FICS.US,60,20240412,220000,33.47,33.51,33.45,33.479,4409,0
FICS.US,60,20240415,160000,33.855,33.855,33.84,33.84,585,0
FICS.US,60,20240415,170000,33.84,33.84,33.69,33.69,675,0
FICS.US,60,20240415,180000,33.5888,33.64,33.58,33.63,2809,0
FICS.US,60,20240415,190000,33.6999,33.7,33.5687,33.57,2465,0
FICS.US,60,20240415,200000,33.58,33.58,33.4251,33.45,2428,0
FICS.US,60,20240415,210000,33.43,33.4535,33.39,33.39,870,0
FICS.US,60,20240415,220000,33.4,33.4256,33.37,33.37,8426,0
FICS.US,60,20240416,160000,33.21,33.21,33.135,33.135,1114,0
FICS.US,60,20240416,170000,33.15,33.19,33.12,33.14,1337,0
FICS.US,60,20240416,180000,33.14,33.19,33.14,33.19,1110,0
FICS.US,60,20240416,190000,33.14,33.19,33.14,33.19,3731,0
FICS.US,60,20240416,200000,33.16,33.2047,33.0576,33.165,8034,0
FICS.US,60,20240416,210000,33.18,33.28,33.18,33.19,1654,0
FICS.US,60,20240416,220000,33.23,33.24,33.13,33.16,2390,0
FICS.US,60,20240417,160000,33.38,33.38,33.375,33.375,644,0
FICS.US,60,20240417,170000,33.21,33.29,33.21,33.27,600,0
FICS.US,60,20240417,180000,33.23,33.2469,33.19,33.1917,2567,0
FICS.US,60,20240417,190000,33.18,33.19,33.16,33.16,1400,0
FICS.US,60,20240417,200000,33.225,33.296,33.22,33.296,1174,0
FICS.US,60,20240417,210000,33.31,33.37,33.3065,33.37,1601,0
FICS.US,60,20240417,220000,33.2699,33.29,33.24,33.26,1495,0
FICS.US,60,20240418,160000,33.25,33.25,33.25,33.25,506,0
FICS.US,60,20240418,170000,33.3142,33.365,33.28,33.365,1208,0
FICS.US,60,20240418,180000,33.375,33.375,33.375,33.375,235,0
FICS.US,60,20240418,190000,33.36,33.36,33.305,33.305,562,0
FICS.US,60,20240418,200000,33.265,33.265,33.12,33.15,53225,0
FICS.US,60,20240418,210000,33.16,33.165,33.1206,33.165,5615,0
FICS.US,60,20240418,220000,33.175,33.1999,33.14,33.16,10480,0
FICS.US,60,20240419,160000,33.26,33.28,33.23,33.27,9000,0
FICS.US,60,20240419,170000,33.31,33.335,33.27,33.3,4800,0
FICS.US,60,20240419,180000,33.29,33.31,33.285,33.285,4976,0
FICS.US,60,20240419,190000,33.315,33.315,33.173,33.25,15381,0
FICS.US,60,20240419,200000,33.29,33.29,33.2799,33.29,3597,0
FICS.US,60,20240419,210000,33.26,33.28,33.175,33.175,4738,0
FICS.US,60,20240419,220000,33.2,33.25,33.2,33.25,420,0
FICS.US,60,20240422,160000,33.56,33.56,33.35,33.37,3460,0
FICS.US,60,20240422,170000,33.415,33.43,33.415,33.43,771,0
FICS.US,60,20240422,180000,33.4111,33.42,33.39,33.42,1231,0
FICS.US,60,20240422,190000,33.44,33.5,33.44,33.4999,4655,0
FICS.US,60,20240422,200000,33.5,33.6,33.5,33.6,11981,0
FICS.US,60,20240422,210000,33.61,33.61,33.575,33.6099,5701,0
FICS.US,60,20240422,220000,33.51,33.525,33.51,33.51,2790,0
FICS.US,60,20240423,160000,33.83,33.83,33.65,33.74,4514,0
FICS.US,60,20240423,170000,33.77,33.845,33.77,33.8301,3395,0
FICS.US,60,20240423,180000,33.8301,33.8401,33.83,33.83,509,0
FICS.US,60,20240423,190000,33.8318,33.88,33.8318,33.88,2339,0
FICS.US,60,20240423,200000,33.87,33.9452,33.87,33.915,983,0
FICS.US,60,20240423,210000,33.91,33.92,33.91,33.9101,802,0
FICS.US,60,20240423,220000,33.91,33.9251,33.864,33.88,2940,0
FICS.US,60,20240424,160000,33.8,33.8,33.76,33.79,651,0
FICS.US,60,20240424,180000,33.605,33.6194,33.54,33.54,5608,0
FICS.US,60,20240424,190000,33.56,33.564,33.54,33.5404,3504,0
FICS.US,60,20240424,200000,33.59,33.67,33.575,33.65,25665,0
FICS.US,60,20240424,210000,33.6,33.621,33.57,33.5803,22650,0
FICS.US,60,20240424,220000,33.61,33.61,33.61,33.61,140,0
FICS.US,60,20240425,160000,33.26,33.4014,33.23,33.23,5564,0
FICS.US,60,20240425,170000,33.24,33.39,33.2117,33.39,6427,0
FICS.US,60,20240425,180000,33.38,33.45,33.38,33.44,3875,0
FICS.US,60,20240425,190000,33.4299,33.51,33.4299,33.505,2153,0
FICS.US,60,20240425,200000,33.54,33.565,33.5,33.565,2606,0
FICS.US,60,20240425,210000,33.55,33.55,33.51,33.53,24572,0
FICS.US,60,20240425,220000,33.576,33.5825,33.54,33.54,1144,0
FICS.US,60,20240426,160000,33.64,33.7061,33.62,33.7061,1046,0
FICS.US,60,20240426,170000,33.73,33.73,33.701,33.701,2074,0
FICS.US,60,20240426,180000,33.68,33.69,33.6533,33.69,3044,0
FICS.US,60,20240426,190000,33.73,33.7399,33.721,33.7399,1100,0
FICS.US,60,20240426,200000,33.76,33.78,33.74,33.765,628,0
FICS.US,60,20240426,210000,33.75,33.79,33.73,33.79,5662,0
FICS.US,60,20240426,220000,33.785,33.785,33.73,33.73,1235,0
FICS.US,60,20240429,170000,33.78,33.78,33.78,33.78,7923,0
FICS.US,60,20240429,180000,33.8,33.8,33.77,33.78,1963,0
FICS.US,60,20240429,190000,33.78,33.8,33.78,33.7999,508,0
