<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTG.US,60,20240411,160000,22.52,22.52,22.5103,22.515,9066,0
IBTG.US,60,20240411,170000,22.51,22.51,22.495,22.505,17686,0
IBTG.US,60,20240411,180000,22.5099,22.51,22.49,22.505,52052,0
IBTG.US,60,20240411,190000,22.505,22.51,22.5,22.51,17008,0
IBTG.US,60,20240411,200000,22.51,22.51,22.5,22.5099,14033,0
IBTG.US,60,20240411,210000,22.51,22.52,22.505,22.505,28325,0
IBTG.US,60,20240411,220000,22.5,22.51,22.5,22.5,61973,0
IBTG.US,60,20240412,160000,22.55,22.55,22.53,22.53,5884,0
IBTG.US,60,20240412,170000,22.53,22.54,22.53,22.54,24795,0
IBTG.US,60,20240412,180000,22.5359,22.54,22.53,22.535,45801,0
IBTG.US,60,20240412,190000,22.54,22.54,22.53,22.54,21248,0
IBTG.US,60,20240412,200000,22.54,22.55,22.53,22.545,23148,0
IBTG.US,60,20240412,210000,22.5403,22.55,22.54,22.54,156593,0
IBTG.US,60,20240412,220000,22.5482,22.55,22.5313,22.535,57804,0
IBTG.US,60,20240415,160000,22.5,22.5,22.49,22.495,7415,0
IBTG.US,60,20240415,170000,22.495,22.515,22.4801,22.5097,17234,0
IBTG.US,60,20240415,180000,22.5099,22.51,22.5,22.508,12511,0
IBTG.US,60,20240415,190000,22.51,22.515,22.505,22.51,10219,0
IBTG.US,60,20240415,200000,22.5101,22.52,22.51,22.51,20475,0
IBTG.US,60,20240415,210000,22.5143,22.52,22.51,22.51,27353,0
IBTG.US,60,20240415,220000,22.51,22.52,22.51,22.52,18767,0
IBTG.US,60,20240416,160000,22.51,22.51,22.5,22.505,6908,0
IBTG.US,60,20240416,170000,22.51,22.51,22.5,22.51,26416,0
IBTG.US,60,20240416,180000,22.5098,22.51,22.5,22.5001,37148,0
IBTG.US,60,20240416,190000,22.5084,22.51,22.5,22.505,27915,0
IBTG.US,60,20240416,200000,22.5003,22.505,22.485,22.4958,18321,0
IBTG.US,60,20240416,210000,22.495,22.5086,22.49,22.5,63054,0
IBTG.US,60,20240416,220000,22.505,22.51,22.49,22.51,35573,0
IBTG.US,60,20240417,160000,22.5,22.51,22.5,22.51,4865,0
IBTG.US,60,20240417,170000,22.51,22.52,22.51,22.515,40171,0
IBTG.US,60,20240417,180000,22.515,22.52,22.51,22.515,16425,0
IBTG.US,60,20240417,190000,22.515,22.53,22.515,22.525,24656,0
IBTG.US,60,20240417,200000,22.535,22.545,22.52,22.5288,24153,0
IBTG.US,60,20240417,210000,22.5201,22.53,22.52,22.53,877233,0
IBTG.US,60,20240417,220000,22.52,22.53,22.52,22.5238,15042,0
IBTG.US,60,20240418,160000,22.53,22.53,22.515,22.515,12473,0
IBTG.US,60,20240418,170000,22.5,22.51,22.5,22.5098,8238,0
IBTG.US,60,20240418,180000,22.5099,22.51,22.5,22.5093,22972,0
IBTG.US,60,20240418,190000,22.51,22.51,22.5,22.5,19354,0
IBTG.US,60,20240418,200000,22.51,22.51,22.5,22.5014,207735,0
IBTG.US,60,20240418,210000,22.51,22.51,22.5,22.5066,9860,0
IBTG.US,60,20240418,220000,22.5087,22.51,22.5001,22.51,30268,0
IBTG.US,60,20240419,160000,22.53,22.53,22.51,22.5173,31895,0
IBTG.US,60,20240419,170000,22.5117,22.52,22.51,22.52,21790,0
IBTG.US,60,20240419,180000,22.5118,22.5257,22.51,22.52,33143,0
IBTG.US,60,20240419,190000,22.53,22.53,22.5116,22.52,48141,0
IBTG.US,60,20240419,200000,22.5141,22.52,22.51,22.5172,9664,0
