<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADIL.US,60,20240411,160000,2.37,2.93,2.34,2.705,6311004,0
ADIL.US,60,20240411,170000,2.705,3.08,2.59,2.6901,13482759,0
ADIL.US,60,20240411,180000,2.68,2.7598,2.49,2.6703,2205216,0
ADIL.US,60,20240411,190000,2.67,2.93,2.5739,2.635,3141860,0
ADIL.US,60,20240411,200000,2.64,2.89,2.61,2.8382,1521821,0
ADIL.US,60,20240411,210000,2.835,2.97,2.63,2.935,1796082,0
ADIL.US,60,20240411,220000,2.935,3.07,2.84,2.9525,2938905,0
ADIL.US,60,20240412,160000,2.68,2.87,2.5,2.5709,665885,0
ADIL.US,60,20240412,170000,2.57,2.6,2.29,2.46,642846,0
ADIL.US,60,20240412,180000,2.44,2.6,2.39,2.5418,324640,0
ADIL.US,60,20240412,190000,2.5401,2.59,2.5,2.54,94694,0
ADIL.US,60,20240412,200000,2.57,2.5778,2.41,2.45,139354,0
ADIL.US,60,20240412,210000,2.45,2.54,2.4101,2.4901,155002,0
ADIL.US,60,20240412,220000,2.5,2.53,2.33,2.33,195715,0
ADIL.US,60,20240415,160000,2.25,2.72,2.22,2.68,358515,0
ADIL.US,60,20240415,170000,2.68,3.1,2.36,2.6599,1434734,0
ADIL.US,60,20240415,180000,2.6037,2.94,2.57,2.65,562371,0
ADIL.US,60,20240415,190000,2.6,2.65,2.43,2.4848,213296,0
ADIL.US,60,20240415,200000,2.5,2.56,2.4506,2.549,98989,0
ADIL.US,60,20240415,210000,2.545,2.56,2.4701,2.56,82054,0
ADIL.US,60,20240415,220000,2.57,2.62,2.52,2.6,170889,0
ADIL.US,60,20240416,160000,2.6,2.61,2.452,2.51,90910,0
ADIL.US,60,20240416,170000,2.51,2.5206,2.25,2.3692,204025,0
ADIL.US,60,20240416,180000,2.37,2.45,2.3539,2.4,61845,0
ADIL.US,60,20240416,190000,2.381,2.42,2.35,2.352,46951,0
ADIL.US,60,20240416,200000,2.365,2.38,2.3502,2.3699,8348,0
ADIL.US,60,20240416,210000,2.37,2.37,2.2289,2.2301,66229,0
ADIL.US,60,20240416,220000,2.2499,2.29,2.23,2.24,98841,0
ADIL.US,60,20240417,160000,2.24,2.24,1.94,1.94,153064,0
