<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANGIV.US,60,20250325,160000,17.39,19.7,16.7,17.5,2509,0
ANGIV.US,60,20250325,170000,17.15,17.15,17.15,17.15,100,0
ANGIV.US,60,20250325,180000,16.89,16.89,16.79,16.89,400,0
ANGIV.US,60,20250325,190000,16.78,16.78,16.54,16.55,6854,0
ANGIV.US,60,20250325,200000,16.54,16.54,15.73,15.73,3217,0
ANGIV.US,60,20250325,210000,16.4,16.4,15.8,15.8,4837,0
ANGIV.US,60,20250326,180000,15.1437,15.1437,15.1437,15.1437,100,0
ANGIV.US,60,20250326,210000,15.3543,16.48,15.3001,16.48,4986,0
ANGIV.US,60,20250327,190000,17.375,17.375,17.36,17.36,200,0
ANGIV.US,60,20250328,150000,16.36,16.36,16.36,16.36,503,0
ANGIV.US,60,20250331,160000,15.835,15.835,15.835,15.835,105,0
ANGIV.US,60,20250331,200000,15.8616,16.08,15.8616,16.08,374,0
ANGIV.US,60,20250331,220000,15.76,15.76,15.76,15.76,127,0
