<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASPI.US,60,20240411,160000,4.06,4.08,3.65,3.67,176486,0
ASPI.US,60,20240411,170000,3.66,3.66,3.41,3.5,579412,0
ASPI.US,60,20240411,180000,3.5,3.59,3.41,3.44,226260,0
ASPI.US,60,20240411,190000,3.44,3.62,3.415,3.5701,217054,0
ASPI.US,60,20240411,200000,3.575,3.71,3.575,3.71,182008,0
ASPI.US,60,20240411,210000,3.7,3.74,3.67,3.725,92619,0
ASPI.US,60,20240411,220000,3.7201,3.7394,3.6,3.645,183748,0
ASPI.US,60,20240412,160000,3.74,3.95,3.68,3.9,157364,0
ASPI.US,60,20240412,170000,3.885,3.97,3.72,3.73,125417,0
ASPI.US,60,20240412,180000,3.7201,3.73,3.41,3.445,321608,0
ASPI.US,60,20240412,190000,3.44,3.47,3.41,3.42,112599,0
ASPI.US,60,20240412,200000,3.42,3.46,3.391,3.4277,142069,0
ASPI.US,60,20240412,210000,3.425,3.44,3.225,3.265,157441,0
ASPI.US,60,20240412,220000,3.2699,3.33,3.22,3.27,221009,0
ASPI.US,60,20240415,160000,3.32,3.37,3.285,3.35,77733,0
ASPI.US,60,20240415,170000,3.3599,3.37,3.212,3.245,92121,0
ASPI.US,60,20240415,180000,3.245,3.285,3.24,3.285,76581,0
ASPI.US,60,20240415,190000,3.285,3.32,3.265,3.301,55928,0
ASPI.US,60,20240415,200000,3.3,3.355,3.295,3.315,48586,0
ASPI.US,60,20240415,210000,3.315,3.34,3.26,3.265,49144,0
ASPI.US,60,20240415,220000,3.2601,3.265,3.24,3.25,51592,0
ASPI.US,60,20240416,160000,3.21,3.21,3.07,3.135,84002,0
ASPI.US,60,20240416,170000,3.13,3.24,3.03,3.2298,109742,0
ASPI.US,60,20240416,180000,3.22,3.29,3.19,3.21,50095,0
ASPI.US,60,20240416,190000,3.2,3.2,3.14,3.16,38084,0
ASPI.US,60,20240416,200000,3.1698,3.18,3.11,3.18,44372,0
ASPI.US,60,20240416,210000,3.165,3.23,3.165,3.17,61813,0
ASPI.US,60,20240416,220000,3.18,3.199,3.12,3.16,142425,0
ASPI.US,60,20240417,160000,3.4,3.4566,3.23,3.23,185662,0
ASPI.US,60,20240417,170000,3.22,3.22,3.09,3.11,73602,0
ASPI.US,60,20240417,180000,3.1167,3.195,3.1,3.1293,57695,0
