<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATEX.US,60,20240411,160000,32.55,32.96,32.53,32.87,500,0
ATEX.US,60,20240411,170000,32.8265,32.8265,32.5,32.5,4185,0
ATEX.US,60,20240411,180000,32.51,33.04,32.5,33.04,2602,0
ATEX.US,60,20240411,190000,33,33.5605,32.975,33.5605,2285,0
ATEX.US,60,20240411,200000,33.66,33.66,33.21,33.3,6137,0
ATEX.US,60,20240411,210000,33.37,33.62,33.32,33.53,2345,0
ATEX.US,60,20240411,220000,33.44,33.44,33.12,33.18,17732,0
ATEX.US,60,20240412,160000,32.97,33.19,32.825,33.055,595,0
ATEX.US,60,20240412,170000,32.82,32.92,32.6,32.78,5411,0
ATEX.US,60,20240412,180000,32.76,32.84,32.6,32.84,9978,0
ATEX.US,60,20240412,190000,32.82,32.82,32.3511,32.48,4042,0
ATEX.US,60,20240412,200000,32.51,32.56,32.19,32.49,3228,0
ATEX.US,60,20240412,210000,32.31,32.31,32.02,32.21,3406,0
ATEX.US,60,20240412,220000,32.15,32.29,32.08,32.13,27646,0
ATEX.US,60,20240415,160000,32.41,32.92,32.27,32.42,2212,0
ATEX.US,60,20240415,170000,32.41,32.41,32.1,32.3,2010,0
ATEX.US,60,20240415,180000,32.32,32.45,32.13,32.38,3302,0
ATEX.US,60,20240415,190000,32.23,32.23,32,32.02,4269,0
ATEX.US,60,20240415,200000,32,32.12,31.805,31.92,3761,0
ATEX.US,60,20240415,210000,32,32.195,31.99,32.1,5953,0
ATEX.US,60,20240415,220000,32.12,32.31,32,32.28,8938,0
ATEX.US,60,20240416,160000,32.39,32.44,32.1,32.21,3834,0
ATEX.US,60,20240416,170000,32.16,32.37,32.065,32.27,5845,0
ATEX.US,60,20240416,180000,32.35,32.57,32.33,32.455,1976,0
ATEX.US,60,20240416,190000,32.51,32.51,32.21,32.265,1711,0
ATEX.US,60,20240416,200000,32.26,32.48,32.13,32.275,2700,0
ATEX.US,60,20240416,210000,32.25,32.61,32.25,32.45,7601,0
ATEX.US,60,20240416,220000,32.47,32.47,31.99,32.07,22268,0
ATEX.US,60,20240417,160000,32.14,33.21,32.14,32.54,597,0
ATEX.US,60,20240417,170000,32.18,32.24,32.01,32.01,4897,0
ATEX.US,60,20240417,180000,32,32.17,31.87,31.99,6097,0
ATEX.US,60,20240417,190000,31.92,32.0825,31.85,31.865,2273,0
ATEX.US,60,20240417,200000,31.9,32.32,31.81,32.12,7747,0
ATEX.US,60,20240417,210000,32.15,32.35,31.96,32.13,11036,0
ATEX.US,60,20240417,220000,32.145,32.19,31.53,31.65,20217,0
ATEX.US,60,20240418,160000,31.64,32.24,31.35,31.66,925,0
ATEX.US,60,20240418,170000,31.6,32,31.3,31.92,3902,0
ATEX.US,60,20240418,180000,31.97,32.19,31.82,31.94,3100,0
ATEX.US,60,20240418,190000,32.03,32.18,31.82,31.82,4834,0
ATEX.US,60,20240418,200000,31.67,31.79,31.56,31.64,4947,0
ATEX.US,60,20240418,210000,31.64,31.81,31.55,31.55,6057,0
ATEX.US,60,20240418,220000,31.63,31.71,31.31,31.31,33540,0
ATEX.US,60,20240419,160000,31.12,32.23,31.12,32.23,5901,0
ATEX.US,60,20240419,170000,32.22,32.42,32.01,32.09,6654,0
ATEX.US,60,20240419,180000,32,32.37,31.96,32.31,5742,0
ATEX.US,60,20240419,190000,32.21,32.21,31.955,32.04,2014,0
ATEX.US,60,20240419,200000,32.05,32.19,32.01,32.18,5379,0
ATEX.US,60,20240419,210000,32.035,32.035,31.71,31.88,4361,0
ATEX.US,60,20240419,220000,31.91,31.91,31.55,31.72,23961,0
ATEX.US,60,20240422,160000,31.83,32.08,31.6813,31.765,1078,0
ATEX.US,60,20240422,170000,31.87,31.88,31.42,31.5,3520,0
ATEX.US,60,20240422,180000,31.5,31.875,31.5,31.85,3450,0
ATEX.US,60,20240422,190000,31.87,32.13,31.64,31.64,11083,0
ATEX.US,60,20240422,200000,31.77,32.25,31.77,32.23,11964,0
ATEX.US,60,20240422,210000,32.23,32.33,32.05,32.25,8235,0
ATEX.US,60,20240422,220000,32.25,32.33,31.75,31.77,13637,0
ATEX.US,60,20240423,160000,31.79,32.41,31.79,32.41,866,0
ATEX.US,60,20240423,170000,32.43,32.54,32.18,32.52,4898,0
ATEX.US,60,20240423,180000,32.4,32.58,32.2625,32.58,3065,0
ATEX.US,60,20240423,190000,32.57,32.58,32.18,32.37,4400,0
ATEX.US,60,20240423,200000,32.39,32.47,32.11,32.27,5522,0
ATEX.US,60,20240423,210000,32.29,32.37,32.03,32.1,6197,0
ATEX.US,60,20240423,220000,31.98,31.98,31.49,31.49,5988,0
ATEX.US,60,20240424,160000,31.57,32.13,31.47,31.6,1878,0
ATEX.US,60,20240424,170000,31.39,32.31,31.39,31.97,7828,0
ATEX.US,60,20240424,180000,31.99,32.48,31.99,32.3,6578,0
ATEX.US,60,20240424,190000,32.38,32.61,32.335,32.51,3635,0
ATEX.US,60,20240424,200000,32.37,32.86,32.37,32.53,6324,0
ATEX.US,60,20240424,210000,32.46,32.54,32.09,32.35,14787,0
ATEX.US,60,20240424,220000,32.41,32.49,32.0701,32.16,38334,0
ATEX.US,60,20240425,160000,31.94,32.14,31.68,32.14,6681,0
ATEX.US,60,20240425,170000,31.99,32.32,31.69,32.08,5524,0
ATEX.US,60,20240425,180000,32.15,32.23,31.85,32.185,4205,0
ATEX.US,60,20240425,190000,32.29,32.45,32.15,32.36,5398,0
ATEX.US,60,20240425,200000,32.44,32.58,32.05,32.42,13906,0
ATEX.US,60,20240425,210000,32.29,32.29,31.97,32,7001,0
ATEX.US,60,20240425,220000,32,32.2,31.7,31.89,34329,0
ATEX.US,60,20240426,160000,31.9,32.36,31.67,32.32,3186,0
ATEX.US,60,20240426,170000,32.39,32.5,32.06,32.07,3444,0
ATEX.US,60,20240426,180000,32.01,32.12,31.84,32.09,4881,0
ATEX.US,60,20240426,190000,32.12,32.3,32.01,32.19,4291,0
ATEX.US,60,20240426,200000,32.39,32.45,32.35,32.42,2120,0
ATEX.US,60,20240426,210000,32.45,32.45,32,32.24,7692,0
ATEX.US,60,20240426,220000,32.18,32.26,32.155,32.21,11799,0
ATEX.US,60,20240429,160000,32.2,32.81,32.2,32.81,1512,0
ATEX.US,60,20240429,170000,32.8,32.88,32.4,32.69,4120,0
ATEX.US,60,20240429,180000,32.84,32.89,32.44,32.63,10978,0
ATEX.US,60,20240429,190000,32.71,32.99,32.46,32.66,8808,0
ATEX.US,60,20240429,200000,32.48,32.75,32.33,32.67,8611,0
ATEX.US,60,20240429,210000,32.47,32.5,32.15,32.33,3000,0
ATEX.US,60,20240429,220000,32.33,32.33,32.01,32.24,30734,0
ATEX.US,60,20240430,160000,31.92,32.59,31.92,32.28,1498,0
ATEX.US,60,20240430,170000,32.34,32.64,32.15,32.45,5433,0
ATEX.US,60,20240430,180000,32.49,32.49,32.055,32.18,3470,0
ATEX.US,60,20240430,190000,32.26,32.29,31.85,31.965,9100,0
ATEX.US,60,20240430,200000,31.9582,32.1,31.915,32,6331,0
ATEX.US,60,20240430,210000,32.08,32.08,31.675,31.75,6117,0
ATEX.US,60,20240430,220000,31.83,31.86,31.47,31.53,15959,0
ATEX.US,60,20240501,160000,31.77,31.84,31.58,31.725,2018,0
ATEX.US,60,20240501,170000,31.745,31.83,31.43,31.83,3469,0
ATEX.US,60,20240501,180000,31.92,32.11,31.75,32.11,5499,0
ATEX.US,60,20240501,190000,32.155,32.31,32.06,32.075,6533,0
ATEX.US,60,20240501,200000,32.05,32.3,31.945,31.945,4137,0
ATEX.US,60,20240501,210000,31.93,32.67,31.84,32.52,19117,0
ATEX.US,60,20240501,220000,32.52,32.66,32,32,21236,0
ATEX.US,60,20240502,160000,32.12,32.12,31.7425,31.785,3989,0
ATEX.US,60,20240502,170000,31.89,32.13,31.73,31.795,5757,0
ATEX.US,60,20240502,180000,31.8,32.09,31.8,32.09,1713,0
ATEX.US,60,20240502,190000,31.87,32,31.645,32,4773,0
ATEX.US,60,20240502,200000,31.85,32.11,31.79,31.97,6834,0
ATEX.US,60,20240502,210000,31.895,32.19,31.86,31.97,7112,0
ATEX.US,60,20240502,220000,31.94,32.28,31.86,32.16,34382,0
ATEX.US,60,20240503,160000,32.52,32.71,32.34,32.51,2832,0
ATEX.US,60,20240503,170000,32.42,32.42,32.07,32.39,5321,0
ATEX.US,60,20240503,180000,32.41,32.68,32.21,32.53,4300,0
ATEX.US,60,20240503,190000,32.51,32.54,32.03,32.13,7374,0
ATEX.US,60,20240503,200000,32.14,32.43,32.14,32.37,4495,0
ATEX.US,60,20240503,210000,32.41,32.52,32.215,32.215,3719,0
ATEX.US,60,20240503,220000,32.27,32.28,31.955,31.98,23997,0
ATEX.US,60,20240506,160000,32.11,32.21,32.11,32.1312,892,0
ATEX.US,60,20240506,170000,32.26,32.28,32.05,32.05,2172,0
ATEX.US,60,20240506,180000,32.05,32.12,31.805,32.08,3790,0
ATEX.US,60,20240506,190000,32,32.005,31.825,31.85,6928,0
ATEX.US,60,20240506,200000,31.86,32.01,31.76,31.98,3162,0
ATEX.US,60,20240506,210000,31.99,31.99,31.73,31.73,2913,0
ATEX.US,60,20240506,220000,31.69,31.69,31.32,31.51,27859,0
ATEX.US,60,20240507,160000,31.65,31.71,31.46,31.71,2813,0
ATEX.US,60,20240507,170000,31.75,31.8,31.725,31.725,1600,0
ATEX.US,60,20240507,180000,31.73,31.8,31.71,31.8,1370,0
ATEX.US,60,20240507,190000,31.755,31.93,31.75,31.93,2700,0
ATEX.US,60,20240507,200000,31.915,31.915,31.68,31.68,2448,0
ATEX.US,60,20240507,210000,31.69,31.74,31.67,31.68,1705,0
ATEX.US,60,20240507,220000,31.7,31.93,31.68,31.86,7805,0
ATEX.US,60,20240508,160000,31.7,31.79,31.25,31.79,4552,0
ATEX.US,60,20240508,170000,31.705,31.9261,31.67,31.67,1400,0
ATEX.US,60,20240508,180000,31.57,31.6,31.55,31.6,523,0
ATEX.US,60,20240508,190000,31.63,31.67,31.5537,31.59,953,0
ATEX.US,60,20240508,200000,31.53,32.26,31.5,32.21,7287,0
ATEX.US,60,20240508,210000,32.18,32.32,31.78,31.8,3950,0
ATEX.US,60,20240508,220000,31.73,31.77,31.52,31.6,18282,0
ATEX.US,60,20240509,160000,31.79,31.79,31.4,31.59,609,0
ATEX.US,60,20240509,170000,31.62,31.635,31.37,31.37,3054,0
ATEX.US,60,20240509,180000,31.33,31.33,31.25,31.27,3492,0
ATEX.US,60,20240509,190000,31.305,31.42,31.305,31.31,1200,0
