<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCDA.US,60,20240411,160000,6,6,5.9985,5.9985,185.7333334262,0
BCDA.US,60,20240411,170000,5.8695,5.934,5.775,5.83119,1361.2666673473,0
BCDA.US,60,20240411,180000,5.811,5.84998,5.6625,5.664,2714.666668024,0
BCDA.US,60,20240411,190000,5.8395,5.8425,5.8395,5.8425,64.0666666987,0
BCDA.US,60,20240411,210000,5.8107,5.8107,5.8107,5.8107,66.66666670000001,0
BCDA.US,60,20240411,220000,5.75889,5.832,5.6655,5.748,1177.4000005887,0
BCDA.US,60,20240412,160000,5.7,5.7,5.7,5.7,14.666666674,0
BCDA.US,60,20240412,170000,5.7825,5.7855,5.7315,5.7315,333.3333335,0
BCDA.US,60,20240412,180000,5.7555,5.781,5.7,5.7405,708.9333336878,0
BCDA.US,60,20240412,190000,5.74972,5.772,5.736,5.772,764.2000003821,0
BCDA.US,60,20240412,200000,5.742,5.7435,5.685,5.7435,891.6666671125,0
BCDA.US,60,20240412,220000,5.727,5.8485,5.727,5.8485,755.333333711,0
BCDA.US,60,20240415,160000,5.85,5.9625,5.7,5.736,3490.4000017452,0
BCDA.US,60,20240415,170000,5.70151,5.70151,5.70151,5.70151,6.666666670000001,0
BCDA.US,60,20240415,180000,5.85,5.991,5.85,5.9085,1320.00000066,0
BCDA.US,60,20240415,190000,5.88,5.88,5.7135,5.715,228.666666781,0
BCDA.US,60,20240415,200000,5.715,5.778,5.7135,5.7135,186.66666676,0
BCDA.US,60,20240415,210000,5.7765,5.838,5.7135,5.73,203.2000001016,0
BCDA.US,60,20240415,220000,5.7135,5.7135,5.55,5.604,878.5333337726,0
BCDA.US,60,20240416,170000,5.685,5.6985,5.67,5.694,558.5333336126,0
BCDA.US,60,20240416,180000,5.685,5.685,5.55,5.6355,1308.0666673207,0
BCDA.US,60,20240416,190000,5.6535,5.6535,5.55,5.619,1853.0666675932,0
BCDA.US,60,20240416,200000,5.616,5.622,5.5605,5.5605,746.66666704,0
BCDA.US,60,20240416,220000,5.5605,5.5665,5.463,5.463,1627.1333341469,0
BCDA.US,60,20240417,160000,5.7015,5.7015,5.4615,5.4615,129.4000000647,0
BCDA.US,60,20240417,170000,5.505,5.50599,5.475,5.496,112.000000056,0
BCDA.US,60,20240417,180000,5.49225,5.529,5.49225,5.52448,742.8666670381,0
BCDA.US,60,20240417,190000,5.526,5.5275,5.4615,5.4615,137.7333334022,0
BCDA.US,60,20240417,200000,5.5185,5.526,5.463,5.4975,99.2000000496,0
BCDA.US,60,20240417,210000,5.52748,5.529,5.496,5.529,537.1333336019001,0
BCDA.US,60,20240417,220000,5.5275,5.5275,5.4675,5.5215,47.4000000237,0
BCDA.US,60,20240418,160000,5.55,5.5515,5.55,5.55,168.8000000844,0
