<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGC.US,60,20240411,160000,7.94,8.005,7.85,7.925,147320,0
BGC.US,60,20240411,170000,7.92,7.93,7.83,7.925,194802,0
BGC.US,60,20240411,180000,7.93,7.955,7.8825,7.95,128930,0
BGC.US,60,20240411,190000,7.945,7.945,7.86,7.865,100321,0
BGC.US,60,20240411,200000,7.86,7.935,7.86,7.87,224418,0
BGC.US,60,20240411,210000,7.87,7.9,7.86,7.89,142526,0
BGC.US,60,20240411,220000,7.89,7.95,7.89,7.94,413078,0
BGC.US,60,20240412,160000,7.94,7.975,7.89,7.905,142396,0
BGC.US,60,20240412,170000,7.9,7.9,7.72,7.775,158708,0
BGC.US,60,20240412,180000,7.78,7.885,7.775,7.855,175726,0
BGC.US,60,20240412,190000,7.855,7.855,7.731,7.745,203419,0
BGC.US,60,20240412,200000,7.74,7.78,7.725,7.755,208406,0
BGC.US,60,20240412,210000,7.755,7.78,7.73,7.74,152435,0
BGC.US,60,20240412,220000,7.73,7.76,7.71,7.76,409366,0
BGC.US,60,20240415,160000,7.78,7.885,7.78,7.8,78038,0
BGC.US,60,20240415,170000,7.805,7.82,7.69,7.69,205713,0
BGC.US,60,20240415,180000,7.68,7.74,7.635,7.685,183656,0
BGC.US,60,20240415,190000,7.69,7.75,7.64,7.65,166505,0
BGC.US,60,20240415,200000,7.65,7.655,7.54,7.625,331988,0
BGC.US,60,20240415,210000,7.625,7.67,7.61,7.655,218073,0
BGC.US,60,20240415,220000,7.655,7.655,7.57,7.59,1078748,0
BGC.US,60,20240416,160000,7.54,7.59,7.5,7.54,73636,0
BGC.US,60,20240416,170000,7.53,7.545,7.485,7.535,143652,0
BGC.US,60,20240416,180000,7.54,7.56,7.52,7.545,145631,0
BGC.US,60,20240416,190000,7.54,7.62,7.54,7.605,132209,0
BGC.US,60,20240416,200000,7.61,7.61,7.52,7.555,222534,0
BGC.US,60,20240416,210000,7.55,7.62,7.534,7.615,389723,0
BGC.US,60,20240416,220000,7.613,7.613,7.56,7.565,459608,0
BGC.US,60,20240417,160000,7.62,7.68,7.555,7.675,92397,0
BGC.US,60,20240417,170000,7.67,7.68,7.62,7.625,199339,0
BGC.US,60,20240417,180000,7.625,7.635,7.56,7.565,191935,0
BGC.US,60,20240417,190000,7.565,7.575,7.43,7.43,344948,0
BGC.US,60,20240417,200000,7.435,7.515,7.4325,7.5025,197389,0
BGC.US,60,20240417,210000,7.505,7.56,7.5,7.505,138294,0
BGC.US,60,20240417,220000,7.5,7.545,7.4825,7.515,536606,0
BGC.US,60,20240418,160000,7.54,7.56,7.49,7.535,61051,0
BGC.US,60,20240418,170000,7.53,7.65,7.515,7.64,185394,0
BGC.US,60,20240418,180000,7.645,7.665,7.625,7.65,152079,0
BGC.US,60,20240418,190000,7.655,7.66,7.595,7.6275,114622,0
BGC.US,60,20240418,200000,7.62,7.625,7.55,7.555,164186,0
BGC.US,60,20240418,210000,7.555,7.58,7.55,7.565,124313,0
BGC.US,60,20240418,220000,7.56,7.57,7.55,7.57,373673,0
BGC.US,60,20240419,160000,7.53,7.71,7.49,7.69,213663,0
BGC.US,60,20240419,170000,7.695,7.72,7.635,7.655,194301,0
BGC.US,60,20240419,180000,7.655,7.73,7.64,7.705,199151,0
BGC.US,60,20240419,190000,7.71,7.72,7.65,7.715,186001,0
BGC.US,60,20240419,200000,7.715,7.73,7.68,7.695,171882,0
BGC.US,60,20240419,210000,7.69,7.695,7.615,7.65,176715,0
BGC.US,60,20240419,220000,7.655,7.72,7.63,7.71,1653699,0
BGC.US,60,20240422,160000,7.72,7.84,7.61,7.71,103986,0
BGC.US,60,20240422,170000,7.71,7.825,7.705,7.735,290446,0
BGC.US,60,20240422,180000,7.735,7.75,7.7,7.745,191666,0
BGC.US,60,20240422,190000,7.745,7.795,7.7425,7.775,171059,0
BGC.US,60,20240422,200000,7.775,7.86,7.77,7.85,186454,0
BGC.US,60,20240422,210000,7.85,7.88,7.83,7.85,271661,0
BGC.US,60,20240422,220000,7.85,7.86,7.675,7.73,1014599,0
BGC.US,60,20240423,160000,7.72,7.775,7.64,7.755,65305,0
BGC.US,60,20240423,170000,7.7536,7.815,7.75,7.785,188833,0
BGC.US,60,20240423,180000,7.781,7.8,7.76,7.775,117684,0
BGC.US,60,20240423,190000,7.77,7.82,7.77,7.805,123398,0
BGC.US,60,20240423,200000,7.81,7.83,7.8,7.815,112185,0
BGC.US,60,20240423,210000,7.82,7.82,7.76,7.76,197016,0
BGC.US,60,20240423,220000,7.765,7.81,7.74,7.785,807767,0
BGC.US,60,20240424,160000,7.73,7.81,7.7,7.78,83885,0
BGC.US,60,20240424,170000,7.775,7.82,7.775,7.78,136712,0
BGC.US,60,20240424,180000,7.785,7.82,7.75,7.815,151075,0
BGC.US,60,20240424,190000,7.82,7.905,7.8,7.89,517851,0
BGC.US,60,20240424,200000,7.89,8.03,7.865,8.01,563860,0
BGC.US,60,20240424,210000,8.01,8.04,7.95,8.04,450840,0
BGC.US,60,20240424,220000,8.04,8.12,7.99,8.08,2131960,0
BGC.US,60,20240425,160000,8.18,8.28,8.13,8.19,705621,0
BGC.US,60,20240425,170000,8.19,8.34,8.16,8.225,1139140,0
BGC.US,60,20240425,180000,8.225,8.29,8.2203,8.285,383183,0
BGC.US,60,20240425,190000,8.28,8.2899,8.205,8.205,315768,0
BGC.US,60,20240425,200000,8.205,8.26,8.18,8.245,266681,0
BGC.US,60,20240425,210000,8.245,8.27,8.23,8.245,297665,0
BGC.US,60,20240425,220000,8.25,8.28,8.2,8.2,1398771,0
BGC.US,60,20240426,160000,8.22,8.28,8.165,8.19,104481,0
BGC.US,60,20240426,170000,8.19,8.255,8.18,8.225,189101,0
BGC.US,60,20240426,180000,8.22,8.23,8.195,8.225,124469,0
BGC.US,60,20240426,190000,8.225,8.2775,8.22,8.275,205024,0
BGC.US,60,20240426,200000,8.27,8.28,8.2625,8.27,129931,0
BGC.US,60,20240426,210000,8.2775,8.3,8.26,8.3,139945,0
BGC.US,60,20240426,220000,8.3,8.31,8.25,8.3,851645,0
BGC.US,60,20240429,160000,8.26,8.37,8.25,8.275,131263,0
BGC.US,60,20240429,170000,8.28,8.36,8.25,8.36,580242,0
BGC.US,60,20240429,180000,8.36,8.37,8.25,8.27,286930,0
BGC.US,60,20240429,190000,8.28,8.29,8.25,8.27,169786,0
BGC.US,60,20240429,200000,8.275,8.3,8.25,8.28,181595,0
BGC.US,60,20240429,210000,8.28,8.3,8.26,8.3,180360,0
BGC.US,60,20240429,220000,8.29,8.3,8.16,8.18,2132188,0
BGC.US,60,20240430,160000,7.99,8.16,7.74,8.025,334618,0
BGC.US,60,20240430,170000,8.0295,8.12,7.88,8,692803,0
BGC.US,60,20240430,180000,7.995,7.995,7.83,7.91,495165,0
BGC.US,60,20240430,190000,7.905,8.01,7.82,7.975,471422,0
BGC.US,60,20240430,200000,7.97,7.99,7.84,7.98,353010,0
BGC.US,60,20240430,210000,7.985,8.03,7.97,7.995,615318,0
BGC.US,60,20240430,220000,7.9902,8.025,7.82,7.83,2863281,0
BGC.US,60,20240501,160000,7.8,7.985,7.755,7.915,358886,0
BGC.US,60,20240501,170000,7.92,7.99,7.85,7.975,338708,0
BGC.US,60,20240501,180000,7.975,8,7.89,7.96,326164,0
BGC.US,60,20240501,190000,7.96,7.99,7.95,7.96,141331,0
BGC.US,60,20240501,200000,7.96,8,7.915,7.95,317263,0
BGC.US,60,20240501,210000,7.95,8.12,7.935,8.09,546720,0
BGC.US,60,20240501,220000,8.1,8.13,7.94,7.945,1686591,0
BGC.US,60,20240502,160000,8.01,8.1299,8.01,8.055,356863,0
BGC.US,60,20240502,170000,8.055,8.055,7.97,8.035,766312,0
BGC.US,60,20240502,180000,8.035,8.078,7.96,7.975,999500,0
BGC.US,60,20240502,190000,7.975,8.045,7.97,8.035,167381,0
BGC.US,60,20240502,200000,8.03,8.09,8.02,8.06,293991,0
BGC.US,60,20240502,210000,8.05,8.09,8.05,8.07,249016,0
BGC.US,60,20240502,220000,8.065,8.09,8.04,8.07,692842,0
BGC.US,60,20240503,160000,8.14,8.22,8.105,8.165,112544,0
BGC.US,60,20240503,170000,8.17,8.195,8.1,8.1,284871,0
BGC.US,60,20240503,180000,8.105,8.155,8.1,8.155,235944,0
BGC.US,60,20240503,190000,8.155,8.26,8.155,8.2,498654,0
BGC.US,60,20240503,200000,8.2,8.25,8.2,8.23,196275,0
BGC.US,60,20240503,210000,8.23,8.27,8.23,8.24,240952,0
BGC.US,60,20240503,220000,8.245,8.26,8.2,8.21,1015487,0
BGC.US,60,20240506,160000,8.33,8.58,8.32,8.58,421304,0
BGC.US,60,20240506,170000,8.585,8.68,8.545,8.675,532619,0
BGC.US,60,20240506,180000,8.675,8.795,8.62,8.795,521822,0
BGC.US,60,20240506,190000,8.795,8.81,8.76,8.78,389974,0
BGC.US,60,20240506,200000,8.785,8.82,8.75,8.79,334470,0
BGC.US,60,20240506,210000,8.79,8.79,8.73,8.74,210326,0
BGC.US,60,20240506,220000,8.74,8.75,8.695,8.74,915427,0
BGC.US,60,20240507,160000,8.74,8.83,8.735,8.775,178069,0
BGC.US,60,20240507,170000,8.775,8.79,8.715,8.765,212655,0
BGC.US,60,20240507,180000,8.765,8.785,8.71,8.71,183602,0
BGC.US,60,20240507,190000,8.715,8.77,8.695,8.725,233737,0
BGC.US,60,20240507,200000,8.72,8.76,8.715,8.74,138215,0
BGC.US,60,20240507,210000,8.745,8.77,8.72,8.755,238185,0
BGC.US,60,20240507,220000,8.755,8.78,8.735,8.77,711841,0
BGC.US,60,20240508,160000,8.7,8.75,8.7,8.745,75381,0
BGC.US,60,20240508,170000,8.75,8.77,8.68,8.745,193191,0
BGC.US,60,20240508,180000,8.74,8.76,8.72,8.73,145997,0
BGC.US,60,20240508,190000,8.735,8.765,8.73,8.735,160585,0
BGC.US,60,20240508,200000,8.74,8.78,8.725,8.755,420459,0
BGC.US,60,20240508,210000,8.76,8.79,8.76,8.785,402594,0
BGC.US,60,20240508,220000,8.785,8.885,8.78,8.87,1707524,0
BGC.US,60,20240509,160000,8.8,8.865,8.78,8.79,107432,0
BGC.US,60,20240509,170000,8.79,8.83,8.77,8.79,88676,0
BGC.US,60,20240509,180000,8.795,8.81,8.78,8.785,89994,0
BGC.US,60,20240509,190000,8.785,8.79,8.755,8.785,106125,0
BGC.US,60,20240509,200000,8.785,8.79,8.645,8.685,689325,0
BGC.US,60,20240509,210000,8.685,8.715,8.6625,8.69,362105,0
BGC.US,60,20240509,220000,8.695,8.76,8.695,8.71,1137206,0
BGC.US,60,20240510,160000,8.79,8.82,8.71,8.735,87695,0
BGC.US,60,20240510,170000,8.73,8.735,8.65,8.69,132873,0
BGC.US,60,20240510,180000,8.685,8.7,8.6117,8.6403,397085,0
BGC.US,60,20240510,190000,8.64,8.68,8.635,8.675,90373,0
BGC.US,60,20240510,200000,8.675,8.69,8.62,8.66,320534,0
BGC.US,60,20240510,210000,8.655,8.66,8.63,8.635,100913,0
BGC.US,60,20240510,220000,8.635,8.72,8.63,8.65,1034453,0
BGC.US,60,20240513,160000,8.69,8.7,8.59,8.64,89669,0
BGC.US,60,20240513,170000,8.635,8.69,8.625,8.67,145844,0
BGC.US,60,20240513,180000,8.67,8.74,8.66,8.715,122197,0
BGC.US,60,20240513,190000,8.715,8.73,8.68,8.68,74924,0
BGC.US,60,20240513,200000,8.68,8.695,8.655,8.675,180016,0
BGC.US,60,20240513,210000,8.675,8.685,8.6,8.605,234965,0
BGC.US,60,20240513,220000,8.61,8.65,8.605,8.62,1060893,0
BGC.US,60,20240514,160000,8.71,8.75,8.61,8.69,99567,0
BGC.US,60,20240514,170000,8.7,8.71,8.655,8.67,111499,0
BGC.US,60,20240514,180000,8.67,8.68,8.635,8.64,70386,0
BGC.US,60,20240514,190000,8.64,8.68,8.64,8.67,80033,0
BGC.US,60,20240514,200000,8.675,8.69,8.66,8.66,85711,0
