<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CURI.US,60,20240411,160000,1.53,1.55,1.46,1.465,81241,0
CURI.US,60,20240411,170000,1.47,1.47,1.23,1.2586,223387,0
CURI.US,60,20240411,180000,1.27,1.27,1.15,1.19,158482,0
CURI.US,60,20240411,190000,1.19,1.19,1.11,1.19,133566,0
CURI.US,60,20240411,200000,1.19,1.24,1.185,1.22,71689,0
CURI.US,60,20240411,210000,1.225,1.2299,1.1823,1.2,57392,0
CURI.US,60,20240411,220000,1.18,1.23,1.16,1.17,39853,0
CURI.US,60,20240412,160000,1.17,1.21,1.17,1.21,26267,0
CURI.US,60,20240412,170000,1.2108,1.22,1.18,1.2169,27253,0
CURI.US,60,20240412,180000,1.21,1.23,1.18,1.1809,32432,0
CURI.US,60,20240412,190000,1.2,1.24,1.2,1.24,9176,0
CURI.US,60,20240412,200000,1.23,1.24,1.2,1.23,45069,0
CURI.US,60,20240412,210000,1.23,1.24,1.2201,1.2201,10961,0
CURI.US,60,20240412,220000,1.23,1.25,1.21,1.25,41000,0
CURI.US,60,20240415,160000,1.28,1.2896,1.23,1.259,57783,0
CURI.US,60,20240415,170000,1.2306,1.25,1.15,1.165,64999,0
CURI.US,60,20240415,180000,1.15,1.1669,1.15,1.16,6473,0
CURI.US,60,20240415,190000,1.15,1.155,1.12,1.15,18696,0
CURI.US,60,20240415,200000,1.1338,1.14,1.12,1.13,17631,0
CURI.US,60,20240415,210000,1.13,1.13,1.11,1.115,11631,0
CURI.US,60,20240415,220000,1.1103,1.19,1.11,1.19,47999,0
CURI.US,60,20240416,160000,1.19,1.19,1.1282,1.14,14005,0
CURI.US,60,20240416,170000,1.1548,1.16,1.13,1.135,16506,0
CURI.US,60,20240416,180000,1.135,1.1388,1.115,1.125,11501,0
CURI.US,60,20240416,190000,1.125,1.16,1.125,1.156,17691,0
CURI.US,60,20240416,200000,1.1401,1.15,1.1389,1.1486,6073,0
CURI.US,60,20240416,210000,1.14,1.15,1.13,1.14,6154,0
CURI.US,60,20240416,220000,1.135,1.14,1.13,1.13,5542,0
CURI.US,60,20240417,160000,1.13,1.15,1.1142,1.1304,10225,0
CURI.US,60,20240417,170000,1.13,1.13,1.02,1.05,115397,0
CURI.US,60,20240417,180000,1.05,1.06,1.01,1.04,58224,0
CURI.US,60,20240417,190000,1.04,1.055,1.03,1.04,53835,0
CURI.US,60,20240417,200000,1.035,1.07,1.035,1.06,41842,0
CURI.US,60,20240417,210000,1.06,1.07,1.0511,1.0569,13149,0
CURI.US,60,20240417,220000,1.0501,1.069,1.04,1.06,44983,0
CURI.US,60,20240418,160000,1.04,1.0499,1.031,1.0404,21452,0
CURI.US,60,20240418,170000,1.04,1.05,0.9434,0.966,118500,0
CURI.US,60,20240418,180000,0.9674,1.03,0.9674,1.03,43270,0
CURI.US,60,20240418,190000,1.05,1.05,1.012,1.05,19172,0
CURI.US,60,20240418,200000,1.05,1.05,1.015,1.03,26249,0
CURI.US,60,20240418,210000,1.02,1.03,1.006,1.01,29549,0
CURI.US,60,20240418,220000,1.025,1.0381,1.01,1.01,10471,0
CURI.US,60,20240419,160000,1.02,1.0499,1.02,1.0499,3001,0
CURI.US,60,20240419,170000,1.0499,1.15,1.0499,1.12,66708,0
CURI.US,60,20240419,180000,1.12,1.139,1.11,1.139,20618,0
CURI.US,60,20240419,190000,1.13,1.15,1.12,1.1202,20405,0
CURI.US,60,20240419,200000,1.14,1.14,1.139,1.139,3060,0
CURI.US,60,20240419,210000,1.13,1.1376,1.11,1.1116,36645,0
CURI.US,60,20240419,220000,1.1146,1.15,1.1146,1.15,42553,0
CURI.US,60,20240422,160000,1.12,1.1469,1.12,1.1206,26710,0
CURI.US,60,20240422,170000,1.1396,1.1396,1.11,1.12,21912,0
CURI.US,60,20240422,180000,1.11,1.12,1.07,1.08,24375,0
CURI.US,60,20240422,190000,1.0889,1.1,1.08,1.09,10290,0
CURI.US,60,20240422,200000,1.09,1.095,1.07,1.0885,11538,0
CURI.US,60,20240422,210000,1.0815,1.09,1.07,1.07,7711,0
CURI.US,60,20240422,220000,1.075,1.075,1.01,1.01,29361,0
CURI.US,60,20240423,160000,0.991,1.1,0.97149,1.0806,40631,0
CURI.US,60,20240423,170000,1.08,1.1,1.07,1.0709,8912,0
CURI.US,60,20240423,180000,1.08,1.09,1.06,1.07,4099,0
CURI.US,60,20240423,190000,1.07,1.0886,1.07,1.08,1311,0
CURI.US,60,20240423,200000,1.088,1.088,1.08,1.085,2114,0
CURI.US,60,20240423,210000,1.08,1.1,1.08,1.09,17616,0
CURI.US,60,20240423,220000,1.09,1.0999,1.07,1.08,9391,0
CURI.US,60,20240424,160000,1.06,1.08,1.06,1.08,2507,0
CURI.US,60,20240424,170000,1.08,1.08,1.07,1.07,2794,0
CURI.US,60,20240424,180000,1.07,1.0799,1.06,1.0607,6135,0
CURI.US,60,20240424,190000,1.06,1.08,1.06,1.07,4475,0
CURI.US,60,20240424,200000,1.07,1.0799,1.05,1.07,15485,0
CURI.US,60,20240424,210000,1.05,1.0694,1.05,1.06,3573,0
CURI.US,60,20240424,220000,1.07,1.07,1.05,1.05,14362,0
CURI.US,60,20240425,160000,1.01,1.05,1.01,1.05,8206,0
CURI.US,60,20240425,170000,1.035,1.11,1.035,1.09,5333,0
CURI.US,60,20240425,180000,1.1,1.1,1.08,1.1,8900,0
