<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAAQ.US,60,20250603,160000,10.42,10.4725,10.4,10.4725,6547,0
DAAQ.US,60,20250603,170000,10.48,10.5,10.41,10.41,13200,0
DAAQ.US,60,20250603,180000,10.48,10.48,10.4792,10.4792,1000,0
DAAQ.US,60,20250603,200000,10.43,10.43,10.43,10.43,5200,0
DAAQ.US,60,20250603,220000,10.44,10.45,10.43,10.45,25606,0
DAAQ.US,60,20250604,160000,10.48,10.48,10.45,10.45,5150,0
DAAQ.US,60,20250604,170000,10.43,10.43,10.43,10.43,20400,0
DAAQ.US,60,20250604,180000,10.44,10.48,10.43,10.45,67937,0
DAAQ.US,60,20250604,190000,10.48,10.48,10.45,10.45,10290,0
DAAQ.US,60,20250604,200000,10.465,10.48,10.44,10.48,139714,0
DAAQ.US,60,20250604,210000,10.46,10.46,10.46,10.46,170000,0
DAAQ.US,60,20250604,220000,10.48,10.5,10.45,10.45,164631,0
DAAQ.US,60,20250605,160000,10.5,10.5,10.5,10.5,436,0
DAAQ.US,60,20250605,170000,10.48,10.48,10.48,10.48,1500,0
DAAQ.US,60,20250605,180000,10.49,10.49,10.46,10.46,37164,0
DAAQ.US,60,20250605,210000,10.46,10.605,10.45,10.48,246408,0
DAAQ.US,60,20250605,220000,10.46,10.46,10.4459,10.46,2600,0
DAAQ.US,60,20250606,160000,10.48,10.5,10.48,10.49,8250,0
DAAQ.US,60,20250606,170000,10.51,10.51,10.48,10.48,3645,0
DAAQ.US,60,20250606,180000,10.49,10.49,10.48,10.48,12099,0
DAAQ.US,60,20250606,190000,10.4877,10.4877,10.47,10.47,29000,0
DAAQ.US,60,20250606,200000,10.4708,10.5,10.47,10.5,34090,0
DAAQ.US,60,20250606,210000,10.48,10.5,10.48,10.5,2285,0
DAAQ.US,60,20250606,220000,10.49,10.52,10.49,10.5,33656,0
DAAQ.US,60,20250609,160000,10.5,10.5183,10.5,10.51,7602,0
DAAQ.US,60,20250609,170000,10.5,10.52,10.5,10.52,4374,0
DAAQ.US,60,20250609,180000,10.53,10.53,10.51,10.51,6200,0
DAAQ.US,60,20250609,190000,10.52,10.55,10.5,10.51,60746,0
