<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIVD.US,60,20240412,220000,32.77,32.78,32.2399,32.24,1756,0
DIVD.US,60,20240418,180000,32.01,32.01,32.01,32.01,261,0
DIVD.US,60,20240418,220000,31.9,31.9,31.9,31.9,3387,0
DIVD.US,60,20240419,200000,32.17,32.17,32.17,32.17,325,0
DIVD.US,60,20240423,180000,32.68,32.68,32.6799,32.6799,1400,0
DIVD.US,60,20240429,160000,32.6497,32.65,32.6497,32.65,926,0
DIVD.US,60,20240429,180000,32.66,32.66,32.66,32.66,3321,0
DIVD.US,60,20240501,190000,32.07,32.07,32.07,32.07,126,0
DIVD.US,60,20240502,180000,32.16,32.1601,32.16,32.1601,358,0
DIVD.US,60,20240502,200000,32.25,32.2501,32.25,32.2501,2450,0
DIVD.US,60,20240503,180000,32.36,32.36,32.36,32.36,100,0
DIVD.US,60,20240506,170000,32.5856,32.5856,32.5856,32.5856,200,0
DIVD.US,60,20240506,180000,32.55,32.55,32.55,32.55,4600,0
DIVD.US,60,20240509,190000,33,33.0036,33,33.0036,200,0
DIVD.US,60,20240510,200000,33.17,33.17,33.15,33.15,1000,0
DIVD.US,60,20240510,210000,33.16,33.16,33.16,33.16,100,0
DIVD.US,60,20240513,160000,33.28,33.28,33.28,33.28,600,0
DIVD.US,60,20240513,190000,33.24,33.24,33.23,33.23,1200,0
DIVD.US,60,20240513,200000,33.21,33.21,33.21,33.21,600,0
DIVD.US,60,20240513,220000,33.2492,33.2492,33.2492,33.2492,151,0
DIVD.US,60,20240514,170000,33.3059,33.3059,33.3059,33.3059,315,0
DIVD.US,60,20240514,200000,33.26,33.2601,33.26,33.2601,284,0
DIVD.US,60,20240515,190000,33.5,33.5,33.5,33.5,984,0
DIVD.US,60,20240520,210000,33.3899,33.3899,33.3899,33.3899,100,0
DIVD.US,60,20240521,190000,33.29,33.29,33.29,33.29,100,0
DIVD.US,60,20240521,210000,33.295,33.295,33.295,33.295,100,0
DIVD.US,60,20240522,160000,33.2,33.2,33.2,33.2,100,0
DIVD.US,60,20240522,170000,33.19,33.19,33.19,33.19,1500,0
DIVD.US,60,20240522,210000,33.145,33.145,33.145,33.145,151,0
DIVD.US,60,20240523,190000,33.06,33.0601,33.06,33.0601,700,0
DIVD.US,60,20240523,220000,32.89,32.89,32.89,32.89,122,0
DIVD.US,60,20240524,160000,33.0201,33.0201,33.0201,33.0201,1000,0
DIVD.US,60,20240529,210000,33.01,33.02,32.4,32.4001,1283,0
DIVD.US,60,20240530,160000,32.32,32.32,32.32,32.32,100,0
DIVD.US,60,20240531,170000,32.64,32.64,32.6399,32.6399,228,0
DIVD.US,60,20240531,210000,32.73,32.73,32.73,32.73,228,0
DIVD.US,60,20240603,170000,32.77,32.77,32.77,32.77,100,0
DIVD.US,60,20240604,160000,32.65,32.65,32.65,32.65,600,0
DIVD.US,60,20240605,190000,32.62,32.62,32.62,32.62,357,0
DIVD.US,60,20240605,210000,32.69,32.69,32.69,32.69,100,0
DIVD.US,60,20240607,190000,32.72,32.76,32.53,32.69,18558,0
DIVD.US,60,20240607,220000,32.71,32.71,32.71,32.71,148,0
DIVD.US,60,20240611,190000,32.25,32.25,32.25,32.25,231,0
DIVD.US,60,20240611,220000,32.25,32.25,32.25,32.25,231,0
DIVD.US,60,20240612,180000,32.4668,32.4668,32.4668,32.4668,637,0
DIVD.US,60,20240613,200000,32.1799,32.1799,32.1799,32.1799,870,0
DIVD.US,60,20240613,210000,32.16,32.18,32.16,32.18,200,0
DIVD.US,60,20240617,160000,31.81,31.81,31.81,31.81,256,0
DIVD.US,60,20240617,170000,31.77,31.7701,31.77,31.7701,248,0
DIVD.US,60,20240617,210000,32,32,32,32,124,0
DIVD.US,60,20240620,220000,32.2599,32.2599,32.2599,32.2599,152,0
DIVD.US,60,20240621,190000,32.06,32.06,32.06,32.06,309,0
DIVD.US,60,20240624,180000,32.565,32.565,32.565,32.565,350,0
DIVD.US,60,20240624,210000,32.5,32.5,32.5,32.5,182,0
DIVD.US,60,20240625,160000,32.4,32.4,32.4,32.4,100,0
DIVD.US,60,20240626,210000,32.06,32.0601,32.06,32.0601,1930,0
DIVD.US,60,20240627,160000,31.87,31.87,31.87,31.87,100,0
DIVD.US,60,20240627,180000,31.8755,31.8755,31.8755,31.8755,344,0
DIVD.US,60,20240627,220000,31.8399,31.8399,31.8399,31.8399,132,0
DIVD.US,60,20240628,200000,31.9798,31.9798,31.9798,31.9798,400,0
DIVD.US,60,20240701,180000,31.902,31.902,31.902,31.902,250,0
DIVD.US,60,20240701,220000,31.87,31.88,31.87,31.88,2000,0
DIVD.US,60,20240702,160000,31.8199,31.8199,31.8199,31.8199,697,0
DIVD.US,60,20240702,220000,31.8659,31.87,31.85,31.86,4122,0
DIVD.US,60,20240703,190000,32.05,32.05,32.05,32.05,300,0
DIVD.US,60,20240705,210000,32.039,32.039,32.03,32.0387,2023,0
DIVD.US,60,20240709,160000,32,32,31.89,31.89,499,0
DIVD.US,60,20240709,220000,31.94,31.94,31.94,31.94,199,0
DIVD.US,60,20240715,160000,32.66,32.66,32.66,32.66,100,0
DIVD.US,60,20240715,180000,32.74,32.7401,32.74,32.7401,200,0
DIVD.US,60,20240715,220000,32.71,32.71,32.71,32.71,342,0
DIVD.US,60,20240718,160000,33.11,33.11,33.11,33.11,205,0
DIVD.US,60,20240719,220000,33.05,33.05,32.84,32.84,1641,0
DIVD.US,60,20240723,170000,32.8199,32.8199,32.8199,32.8199,211,0
DIVD.US,60,20240724,180000,32.8,32.8,32.7999,32.7999,548,0
DIVD.US,60,20240724,210000,32.81,32.81,32.81,32.81,170,0
DIVD.US,60,20240725,200000,32.95,32.95,32.95,32.95,242,0
DIVD.US,60,20240730,220000,33.18,33.18,33.12,33.1635,988,0
DIVD.US,60,20240731,170000,33.26,33.26,33.26,33.26,114,0
DIVD.US,60,20240731,180000,33.24,33.25,33.24,33.25,531,0
DIVD.US,60,20240801,210000,32.75,32.75,32.71,32.71,679,0
DIVD.US,60,20240805,160000,31.74,31.74,31.74,31.74,195,0
DIVD.US,60,20240807,180000,32.31,32.31,32.3099,32.3099,300,0
DIVD.US,60,20240809,170000,32.285,32.285,32.285,32.285,158,0
DIVD.US,60,20240809,190000,32.25,32.25,32.25,32.25,140,0
DIVD.US,60,20240813,220000,32.64,32.64,32.64,32.64,572,0
DIVD.US,60,20240814,180000,32.785,32.785,32.77,32.77,662,0
DIVD.US,60,20240814,220000,32.8563,32.8563,32.83,32.8301,333,0
DIVD.US,60,20240816,160000,33.12,33.1803,33.12,33.1803,678,0
DIVD.US,60,20240816,170000,33.17,33.17,33.16,33.16,805,0
DIVD.US,60,20240816,220000,33.24,33.24,33.24,33.24,100,0
DIVD.US,60,20240819,170000,33.52,33.52,33.5199,33.5199,200,0
DIVD.US,60,20240819,180000,33.4701,33.4701,33.47,33.47,254,0
DIVD.US,60,20240819,190000,33.45,33.45,33.45,33.45,148,0
DIVD.US,60,20240822,180000,33.4549,33.4719,33.4549,33.4719,347,0
DIVD.US,60,20240822,190000,33.5,33.5,33.5,33.5,369,0
DIVD.US,60,20240822,220000,33.42,33.42,33.42,33.42,1200,0
DIVD.US,60,20240823,170000,33.82,33.8201,33.82,33.8201,418,0
DIVD.US,60,20240823,200000,33.8,33.8,33.8,33.8,443,0
DIVD.US,60,20240826,190000,33.99,33.99,33.99,33.99,294,0
DIVD.US,60,20240828,180000,34.07,34.07,34.0101,34.0101,617,0
DIVD.US,60,20240828,190000,33.94,33.94,33.94,33.94,470,0
DIVD.US,60,20240829,210000,34.11,34.1101,34.11,34.1101,234,0
DIVD.US,60,20240903,170000,33.85,33.85,33.85,33.85,300,0
DIVD.US,60,20240904,210000,33.7028,33.7028,33.7028,33.7028,254,0
DIVD.US,60,20240905,170000,33.69,33.7042,33.69,33.7042,468,0
DIVD.US,60,20240906,160000,33.66,33.66,33.66,33.66,149,0
DIVD.US,60,20240909,190000,33.3,33.68,33.3,33.68,354,0
DIVD.US,60,20240909,220000,33.57,33.57,33.56,33.56,477,0
DIVD.US,60,20240910,190000,33.265,33.265,33.265,33.265,275,0
DIVD.US,60,20240911,160000,33.4,33.4,33.4,33.4,219,0
DIVD.US,60,20240911,200000,33.35,33.35,33.22,33.22,956,0
DIVD.US,60,20240911,220000,33.42,33.42,33.42,33.42,100,0
DIVD.US,60,20240912,170000,33.45,33.4613,33.45,33.4609,1788,0
DIVD.US,60,20240913,180000,33.85,33.9,33.85,33.9,465,0
DIVD.US,60,20240917,170000,34.005,34.005,34.005,34.005,163,0
DIVD.US,60,20240917,200000,33.95,33.95,33.95,33.95,1446,0
DIVD.US,60,20240918,190000,34.09,34.09,34.09,34.09,191,0
DIVD.US,60,20240920,220000,34.44,34.44,34.16,34.16,200,0
DIVD.US,60,20240923,160000,34.08,34.08,34.08,34.08,100,0
DIVD.US,60,20240923,170000,34.12,34.13,34.12,34.13,200,0
DIVD.US,60,20240923,180000,34.1,34.14,34.1,34.14,200,0
DIVD.US,60,20240923,190000,34.1,34.1,34.1,34.1,100,0
DIVD.US,60,20240923,200000,34.1,34.1,34.1,34.1,100,0
DIVD.US,60,20240923,210000,34.14,34.15,34.14,34.15,200,0
DIVD.US,60,20240923,220000,34.15,34.24,34.15,34.24,284,0
DIVD.US,60,20240924,160000,34.29,34.2901,34.29,34.2901,376,0
DIVD.US,60,20240924,220000,34.33,34.3301,34.29,34.29,1244,0
DIVD.US,60,20240925,190000,34.13,34.13,34.09,34.09,1700,0
DIVD.US,60,20240925,200000,34.05,34.05,34.05,34.05,100,0
DIVD.US,60,20240925,210000,34.04,34.04,34.04,34.04,100,0
DIVD.US,60,20240926,220000,34.04,34.35,34,34.35,350,0
DIVD.US,60,20241002,210000,34.01,34.01,34.01,34.01,1729,0
DIVD.US,60,20241007,160000,33.93,33.93,33.93,33.93,468,0
DIVD.US,60,20241007,210000,33.94,33.9401,33.8539,33.8539,1318,0
DIVD.US,60,20241007,220000,33.88,33.88,33.87,33.87,321,0
DIVD.US,60,20241008,160000,33.8,33.8,33.8,33.8,858,0
DIVD.US,60,20241008,220000,33.79,33.79,33.79,33.79,100,0
DIVD.US,60,20241009,160000,33.73,33.73,33.73,33.73,100,0
DIVD.US,60,20241009,220000,34.07,34.07,34.07,34.07,100,0
DIVD.US,60,20241010,160000,34.06,34.06,34.06,34.06,1164,0
DIVD.US,60,20241010,170000,34.0099,34.0099,34.0099,34.0099,294,0
DIVD.US,60,20241010,220000,33.91,33.91,33.91,33.91,100,0
DIVD.US,60,20241011,160000,33.92,33.9701,33.89,33.9701,5420,0
DIVD.US,60,20241011,180000,34.08,34.1418,34.08,34.1,2578,0
DIVD.US,60,20241011,190000,34.06,34.06,34.03,34.05,1220,0
DIVD.US,60,20241011,200000,34.05,34.05,34.05,34.05,100,0
DIVD.US,60,20241011,220000,34.0907,34.17,34.09,34.09,7492,0
DIVD.US,60,20241014,160000,34.1627,34.1627,34.16,34.16,300,0
DIVD.US,60,20241015,220000,34.21,34.21,34.03,34.03,2300,0
DIVD.US,60,20241016,170000,34.2,34.2001,34.2,34.2001,710,0
DIVD.US,60,20241016,200000,34.232,34.232,34.232,34.232,300,0
