<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRRX.US,60,20240411,160000,0.83,0.84,0.83,0.8332,2204,0
DRRX.US,60,20240411,170000,0.84,0.84,0.83,0.84,5280,0
DRRX.US,60,20240411,180000,0.8341,0.84,0.8325,0.833,3163,0
DRRX.US,60,20240411,190000,0.8325,0.84,0.83,0.83,4560,0
DRRX.US,60,20240411,200000,0.84,0.84,0.835,0.84,9035,0
DRRX.US,60,20240411,210000,0.8363,0.845,0.83,0.835,23657,0
DRRX.US,60,20240411,220000,0.8311,0.845,0.82,0.8341,26232,0
DRRX.US,60,20240412,160000,0.83,0.833,0.77,0.81,11874,0
DRRX.US,60,20240412,170000,0.8292,0.8292,0.79063,0.82,19866,0
DRRX.US,60,20240412,180000,0.8151,0.83,0.8,0.8099,25390,0
DRRX.US,60,20240412,190000,0.81,0.8198,0.8,0.8125,37393,0
DRRX.US,60,20240412,200000,0.81,0.81,0.787,0.7885,35260,0
DRRX.US,60,20240412,210000,0.789,0.795,0.789,0.79,4676,0
DRRX.US,60,20240412,220000,0.79,0.7905,0.75,0.7699,47493,0
DRRX.US,60,20240415,160000,0.7658,0.8,0.7501,0.7536,32128,0
DRRX.US,60,20240415,170000,0.7599,0.7599,0.7235,0.75,6955,0
DRRX.US,60,20240415,180000,0.74,0.7815,0.725,0.7815,8011,0
DRRX.US,60,20240415,190000,0.7814,0.7814,0.7318,0.7318,3720,0
DRRX.US,60,20240415,200000,0.7501,0.764963,0.7307,0.7307,2550,0
DRRX.US,60,20240415,210000,0.7607,0.78,0.7508,0.78,1177,0
DRRX.US,60,20240415,220000,0.74,0.795,0.7381,0.795,23716,0
DRRX.US,60,20240416,160000,0.7949,0.7949,0.75,0.75,17112,0
DRRX.US,60,20240416,170000,0.77,0.77,0.7601,0.768448,2161,0
DRRX.US,60,20240416,180000,0.77,0.7804,0.761,0.7804,1748,0
DRRX.US,60,20240416,190000,0.7957,0.7957,0.765,0.765,846,0
DRRX.US,60,20240416,200000,0.78035,0.78035,0.7685,0.7685,1432,0
DRRX.US,60,20240416,210000,0.785,0.785,0.785,0.785,300,0
DRRX.US,60,20240416,220000,0.781,0.7956,0.7801,0.7956,15861,0
DRRX.US,60,20240417,160000,0.7889,0.7889,0.77,0.787,5786,0
DRRX.US,60,20240417,170000,0.789724,0.946,0.789724,0.8523,24047,0
DRRX.US,60,20240417,180000,0.85,0.85,0.85,0.85,500,0
DRRX.US,60,20240417,190000,0.93,0.93,0.85,0.8987,14516,0
DRRX.US,60,20240417,200000,0.85,0.8887,0.85,0.888,2958,0
DRRX.US,60,20240417,210000,0.8502,0.9298,0.8502,0.9298,33469,0
DRRX.US,60,20240417,220000,0.9199,0.92,0.865,0.878,41780,0
DRRX.US,60,20240418,160000,0.88,0.8899,0.875,0.8899,3387,0
DRRX.US,60,20240418,170000,0.8898,0.8898,0.857,0.889,6083,0
DRRX.US,60,20240418,180000,0.8889,0.8899,0.8671,0.873449,1894,0
DRRX.US,60,20240418,190000,0.8899,0.9295,0.858,0.9101,17506,0
DRRX.US,60,20240418,200000,0.91,0.9161,0.91,0.9161,1000,0
DRRX.US,60,20240418,210000,0.9028,0.9291,0.88,0.905,35384,0
DRRX.US,60,20240418,220000,0.9042,0.94,0.9042,0.91,43257,0
DRRX.US,60,20240419,160000,0.9098,0.9188,0.9,0.9188,3947,0
DRRX.US,60,20240419,170000,0.903,0.93,0.8926,0.926,2594,0
DRRX.US,60,20240419,180000,0.89,0.9375,0.88,0.88,34946,0
DRRX.US,60,20240419,190000,0.8795,0.9,0.8793,0.8999,7551,0
DRRX.US,60,20240419,200000,0.89,0.93,0.85,0.93,27920,0
DRRX.US,60,20240419,210000,0.93,0.93,0.85,0.9197,9480,0
DRRX.US,60,20240419,220000,0.9197,0.9197,0.8502,0.8712,22435,0
DRRX.US,60,20240422,160000,0.85,0.85,0.85,0.85,4688,0
DRRX.US,60,20240422,170000,0.8606,0.8606,0.84,0.85236,5356,0
