<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDBLW.US,60,20240411,220000,0.0205,0.0212,0.0199,0.0212,12809,0
EDBLW.US,60,20240415,160000,0.021,0.021,0.0125,0.0205,12404,0
EDBLW.US,60,20240415,170000,0.014883,0.014883,0.014883,0.014883,318,0
EDBLW.US,60,20240415,180000,0.0199,0.0199,0.0198,0.0199,400,0
EDBLW.US,60,20240416,200000,0.017,0.017,0.0126,0.0126,460,0
EDBLW.US,60,20240416,220000,0.0169,0.0169,0.0169,0.0169,1000,0
EDBLW.US,60,20240417,160000,0.018,0.022,0.018,0.022,21728,0
EDBLW.US,60,20240417,170000,0.025,0.047,0.025,0.0261,41355,0
EDBLW.US,60,20240417,180000,0.033501,0.0402,0.03,0.035,27122,0
EDBLW.US,60,20240417,190000,0.032,0.032,0.032,0.032,15600,0
EDBLW.US,60,20240417,200000,0.032,0.0416,0.025,0.025,14717,0
EDBLW.US,60,20240417,210000,0.0301,0.0301,0.0251,0.0262,2500,0
EDBLW.US,60,20240418,160000,0.021,0.0265,0.02,0.0265,8717,0
EDBLW.US,60,20240418,170000,0.03,0.0301,0.0164,0.018,23186,0
EDBLW.US,60,20240418,180000,0.0151,0.0198,0.0151,0.0198,3000,0
EDBLW.US,60,20240418,190000,0.0198,0.0198,0.0198,0.0198,100,0
EDBLW.US,60,20240418,200000,0.0172,0.0172,0.0172,0.0172,300,0
EDBLW.US,60,20240419,210000,0.018,0.018,0.018,0.018,961,0
EDBLW.US,60,20240422,160000,0.0299,0.04,0.0299,0.039799,3000,0
EDBLW.US,60,20240422,170000,0.0398,0.042,0.0179,0.02199,44330,0
EDBLW.US,60,20240422,180000,0.022,0.022,0.019,0.022,32600,0
EDBLW.US,60,20240422,190000,0.0194,0.022,0.0194,0.022,6100,0
EDBLW.US,60,20240422,200000,0.0219,0.0219,0.0194,0.0207,4340,0
EDBLW.US,60,20240422,210000,0.0219,0.022,0.0194,0.0219,3004,0
EDBLW.US,60,20240422,220000,0.0219,0.0219,0.02,0.02,600,0
EDBLW.US,60,20240423,160000,0.025,0.025,0.0249,0.0249,4200,0
EDBLW.US,60,20240423,170000,0.024,0.025,0.0201,0.02275,15233,0
EDBLW.US,60,20240423,180000,0.0202,0.025,0.0201,0.0226,11203,0
EDBLW.US,60,20240423,200000,0.0182,0.0182,0.0181,0.0181,200,0
EDBLW.US,60,20240424,160000,0.0248,0.025,0.015,0.015,18829,0
EDBLW.US,60,20240424,170000,0.0182,0.0249,0.0182,0.0249,2200,0
EDBLW.US,60,20240424,180000,0.0249,0.0249,0.023,0.023,1100,0
EDBLW.US,60,20240424,190000,0.023,0.023,0.023,0.023,1000,0
EDBLW.US,60,20240424,200000,0.0246,0.0246,0.0246,0.0246,1000,0
EDBLW.US,60,20240424,210000,0.0246,0.0247,0.023,0.0247,1400,0
EDBLW.US,60,20240424,220000,0.023,0.0247,0.0151,0.024,5960,0
EDBLW.US,60,20240425,160000,0.0208,0.0208,0.0208,0.0208,390,0
EDBLW.US,60,20240425,170000,0.019,0.019,0.013,0.013,654,0
EDBLW.US,60,20240425,180000,0.02,0.02,0.0199,0.0199,200,0
EDBLW.US,60,20240425,200000,0.02,0.02,0.0199,0.0199,200,0
EDBLW.US,60,20240426,160000,0.015,0.015,0.015,0.015,9999,0
EDBLW.US,60,20240426,170000,0.0152,0.0152,0.015,0.015,3500,0
EDBLW.US,60,20240426,180000,0.0198,0.0198,0.0198,0.0198,1000,0
EDBLW.US,60,20240430,170000,0.0138,0.0138,0.0138,0.0138,1959,0
EDBLW.US,60,20240430,210000,0.0195,0.0254,0.0194,0.0197,6025,0
EDBLW.US,60,20240430,220000,0.0197,0.0325,0.0196,0.0196,5908,0
EDBLW.US,60,20240501,190000,0.02,0.02,0.02,0.02,200,0
EDBLW.US,60,20240502,170000,0.021,0.021,0.021,0.021,480,0
EDBLW.US,60,20240502,180000,0.021,0.021,0.021,0.021,725,0
EDBLW.US,60,20240502,190000,0.0272,0.0272,0.0272,0.0272,5795,0
EDBLW.US,60,20240502,220000,0.026,0.0271,0.026,0.0271,902,0
EDBLW.US,60,20240503,190000,0.0172,0.0172,0.0172,0.0172,500,0
EDBLW.US,60,20240503,210000,0.029699,0.029699,0.0171,0.0171,2700,0
EDBLW.US,60,20240506,220000,0.023449,0.023449,0.0125,0.0128,42834,0
EDBLW.US,60,20240507,170000,0.0286,0.0287,0.0286,0.0287,1040,0
EDBLW.US,60,20240507,180000,0.0283,0.02869,0.0283,0.02869,900,0
EDBLW.US,60,20240507,190000,0.0286,0.0286,0.0286,0.0286,500,0
EDBLW.US,60,20240507,200000,0.0286,0.0288,0.0286,0.0286,8236,0
EDBLW.US,60,20240507,210000,0.0288,0.029,0.017199,0.017199,12133,0
EDBLW.US,60,20240508,200000,0.0329,0.0329,0.0329,0.0329,100,0
EDBLW.US,60,20240508,210000,0.0198,0.0277,0.0198,0.0277,4400,0
EDBLW.US,60,20240508,220000,0.02635,0.02635,0.02635,0.02635,2596,0
EDBLW.US,60,20240509,160000,0.0201,0.0201,0.0201,0.0201,300,0
