<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVO.US,60,20240411,160000,7.33,7.33,7.2391,7.2391,4677,0
EVO.US,60,20240411,170000,7.23,7.23,7.13,7.1691,2151,0
EVO.US,60,20240411,180000,7.15,7.18,7.13,7.1785,1973,0
EVO.US,60,20240411,190000,7.1897,7.2,7.1601,7.19,2073,0
EVO.US,60,20240411,210000,7.22,7.24,7.22,7.23,3568,0
EVO.US,60,20240411,220000,7.21,7.21,7.15,7.16,808,0
EVO.US,60,20240412,160000,7.46,7.46,7.45,7.45,1922,0
EVO.US,60,20240412,170000,7.38,7.4,7.28,7.29,996,0
EVO.US,60,20240412,180000,7.28,7.36,7.28,7.28,5302,0
EVO.US,60,20240412,190000,7.31,7.33,7.305,7.33,974,0
EVO.US,60,20240412,200000,7.32,7.32,7.29,7.31,1483,0
EVO.US,60,20240412,210000,7.28,7.37,7.28,7.305,2303,0
EVO.US,60,20240412,220000,7.32,7.35,7.29,7.34,1150,0
EVO.US,60,20240415,160000,7.44,7.4897,7.44,7.47,2200,0
EVO.US,60,20240415,170000,7.45,7.48,7.37,7.37,1289,0
EVO.US,60,20240415,180000,7.32,7.34,7.31,7.34,2517,0
EVO.US,60,20240415,190000,7.3799,7.3799,7.2901,7.2901,298,0
EVO.US,60,20240415,200000,7.305,7.305,7.24,7.25,3779,0
EVO.US,60,20240415,210000,7.255,7.255,7.23,7.24,5169,0
EVO.US,60,20240415,220000,7.25,7.37,7.24,7.36,13269,0
EVO.US,60,20240416,160000,7.13,7.13,7.03,7.05,4332,0
EVO.US,60,20240416,170000,7.06,7.12,7.06,7.06,681,0
EVO.US,60,20240416,180000,7.09,7.1135,7.0881,7.1135,1363,0
EVO.US,60,20240416,190000,7.05,7.09,7.0301,7.0301,2787,0
EVO.US,60,20240416,200000,7.055,7.0798,7.0001,7.02,4377,0
EVO.US,60,20240416,210000,7.02,7.07,7.02,7.07,913,0
EVO.US,60,20240416,220000,7.047,7.09,7.01,7.01,7987,0
EVO.US,60,20240417,160000,7.09,7.15,7.0601,7.09,13784,0
EVO.US,60,20240417,170000,7.05,7.07,7.02,7.02,10752,0
EVO.US,60,20240417,180000,7.0579,7.06,7.05,7.0599,4260,0
EVO.US,60,20240417,190000,7.08,7.08,7.05,7.07,1586,0
EVO.US,60,20240417,200000,7.055,7.065,7.055,7.065,1225,0
EVO.US,60,20240417,210000,7.075,7.13,7.06,7.11,6441,0
EVO.US,60,20240417,220000,7.125,7.125,7.055,7.08,5104,0
EVO.US,60,20240418,160000,7.04,7.04,6.98,7.03,4284,0
EVO.US,60,20240418,170000,7.04,7.12,7.03,7.12,4940,0
EVO.US,60,20240418,180000,7.14,7.1886,7.12,7.1886,4269,0
EVO.US,60,20240418,190000,7.1813,7.19,7.175,7.175,1113,0
EVO.US,60,20240418,200000,7.165,7.179,7.155,7.179,1883,0
EVO.US,60,20240418,210000,7.17,7.17,7.12,7.16,2640,0
EVO.US,60,20240418,220000,7.17,7.19,7.15,7.15,1066,0
EVO.US,60,20240419,160000,7,7.04,7,7.03,2160,0
EVO.US,60,20240419,170000,7.02,7.08,7.02,7.08,300,0
EVO.US,60,20240419,180000,7.09,7.09,7.09,7.09,300,0
EVO.US,60,20240419,190000,7.07,7.08,7.05,7.08,1351,0
EVO.US,60,20240419,200000,7.0766,7.0766,7.0766,7.0766,154,0
EVO.US,60,20240419,210000,7.06,7.1,7.06,7.07,5629,0
EVO.US,60,20240419,220000,7.08,7.09,7.055,7.08,2770,0
EVO.US,60,20240422,160000,7.36,7.408,7.3,7.3255,9660,0
EVO.US,60,20240422,170000,7.34,7.4,7.28,7.3532,3938,0
EVO.US,60,20240422,180000,7.4,7.5,7.33,7.44,4983,0
EVO.US,60,20240422,190000,7.39,7.39,7.39,7.39,135,0
EVO.US,60,20240422,200000,7.5,7.5,7.3301,7.5,2195,0
EVO.US,60,20240422,210000,7.3317,7.5,7.3317,7.37,7031,0
EVO.US,60,20240422,220000,7.35,7.4,7.35,7.36,1698,0
EVO.US,60,20240423,160000,7.58,7.77,7.57,7.59,3059,0
EVO.US,60,20240423,170000,7.63,7.63,7.59,7.628,1680,0
EVO.US,60,20240423,180000,7.606,7.63,7.6042,7.63,800,0
EVO.US,60,20240423,190000,7.63,7.63,7.57,7.59,8581,0
EVO.US,60,20240423,200000,7.59,7.6373,7.59,7.61,1425,0
EVO.US,60,20240423,210000,7.625,7.65,7.62,7.62,4843,0
