<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTAI.US,60,20240411,160000,70.4,71,70.2025,70.745,9802,0
FTAI.US,60,20240411,170000,70.74,70.805,70.31,70.575,46939,0
FTAI.US,60,20240411,180000,70.5743,71.38,70.5743,71.27,335482,0
FTAI.US,60,20240411,190000,71.39,71.63,70.85,71.41,30109,0
FTAI.US,60,20240411,200000,71.24,71.8199,71.24,71.81,23004,0
FTAI.US,60,20240411,210000,71.85,72.13,71.67,72.005,23689,0
FTAI.US,60,20240411,220000,71.96,72.27,71.67,71.75,150691,0
FTAI.US,60,20240412,160000,71.08,71.745,70.9,71.01,6319,0
FTAI.US,60,20240412,170000,71,71.27,70.76,70.85,25971,0
FTAI.US,60,20240412,180000,70.85,71.675,70.81,71.18,15545,0
FTAI.US,60,20240412,190000,71.18,71.26,70.74,70.87,15514,0
FTAI.US,60,20240412,200000,70.855,71.11,70.6401,70.875,17512,0
FTAI.US,60,20240412,210000,70.865,71.15,70.325,70.71,50649,0
FTAI.US,60,20240412,220000,70.685,71.1,70.47,71.08,196232,0
FTAI.US,60,20240415,160000,72.02,72.99,72.02,72.83,26081,0
FTAI.US,60,20240415,170000,72.745,72.745,71.35,71.57,28988,0
FTAI.US,60,20240415,180000,71.46,71.76,71.18,71.5,18162,0
FTAI.US,60,20240415,190000,71.59,71.7,71,71.12,29172,0
FTAI.US,60,20240415,200000,71.11,71.22,70.69,71.08,99024,0
FTAI.US,60,20240415,210000,71.05,71.155,70.58,70.7099,100998,0
FTAI.US,60,20240415,220000,70.675,71.05,70.36,71.04,237467,0
FTAI.US,60,20240416,160000,70.42,71.31,70,71.31,52827,0
FTAI.US,60,20240416,170000,70.9758,71.135,70.5,70.87,309129,0
FTAI.US,60,20240416,180000,70.87,71.2499,70.87,71.105,45935,0
FTAI.US,60,20240416,190000,71.07,71.73,71.025,71.71,79004,0
FTAI.US,60,20240416,200000,71.62,72.06,71.45,71.63,66053,0
FTAI.US,60,20240416,210000,71.64,72.43,71.6,71.93,71540,0
FTAI.US,60,20240416,220000,71.9,72.2,71.57,71.72,172428,0
FTAI.US,60,20240417,160000,71.81,72.16,71.5,71.9,18716,0
FTAI.US,60,20240417,170000,71.85,71.925,71.1101,71.25,67293,0
FTAI.US,60,20240417,180000,71.215,71.56,70.4811,70.85,67675,0
FTAI.US,60,20240417,190000,70.82,70.84,69.12,69.475,148199,0
FTAI.US,60,20240417,200000,69.38,69.93,68.68,69.93,73287,0
FTAI.US,60,20240417,210000,69.87,70.69,69.835,70.18,40778,0
FTAI.US,60,20240417,220000,70.06,70.31,69.79,69.92,141518,0
FTAI.US,60,20240418,160000,70.56,70.56,68.9554,69.74,23403,0
FTAI.US,60,20240418,170000,69.69,70.21,68.99,70.065,100396,0
FTAI.US,60,20240418,180000,70.04,71.4,69.955,71.2587,97143,0
FTAI.US,60,20240418,190000,71.29,71.4799,70.5733,70.86,136675,0
FTAI.US,60,20240418,200000,70.78,70.84,69,69.065,79974,0
FTAI.US,60,20240418,210000,69.065,69.065,68.24,68.79,46803,0
FTAI.US,60,20240418,220000,68.83,69.01,68.03,68.07,334468,0
FTAI.US,60,20240419,160000,67.38,69.3885,66.2159,69.3885,70126,0
FTAI.US,60,20240419,170000,69.305,69.54,68.68,68.975,61477,0
FTAI.US,60,20240419,180000,68.965,69.45,68.785,69.165,34136,0
FTAI.US,60,20240419,190000,69.22,69.32,68.62,69,37837,0
FTAI.US,60,20240419,200000,69.03,69.22,68.54,68.63,29321,0
FTAI.US,60,20240419,210000,68.55,68.63,67.5366,67.645,67537,0
FTAI.US,60,20240419,220000,67.705,68.73,67.61,68.52,155223,0
FTAI.US,60,20240422,160000,68.93,69.65,68.5,69.495,36567,0
FTAI.US,60,20240422,170000,69.52,69.86,68.81,68.87,50342,0
FTAI.US,60,20240422,180000,68.88,69.32,68.65,69.32,35112,0
FTAI.US,60,20240422,190000,69.32,69.68,69.2,69.62,34765,0
FTAI.US,60,20240422,200000,69.65,71.06,69.65,70.79,56262,0
FTAI.US,60,20240422,210000,70.785,71.36,70.76,71.21,125512,0
FTAI.US,60,20240422,220000,71.31,71.31,70.58,70.89,455164,0
FTAI.US,60,20240423,160000,71.05,72.8,70.9,72.74,31706,0
FTAI.US,60,20240423,170000,72.745,73.859,72.5624,72.99,144074,0
FTAI.US,60,20240423,180000,72.99,73.15,72.38,73.06,64772,0
FTAI.US,60,20240423,190000,73.1045,73.41,72.825,73.25,33099,0
FTAI.US,60,20240423,200000,73.25,73.38,72.88,73.135,49206,0
FTAI.US,60,20240423,210000,73.105,73.165,72.76,72.8925,36034,0
FTAI.US,60,20240423,220000,72.84,72.84,72.46,72.76,111916,0
FTAI.US,60,20240424,160000,72.95,74.44,72.61,73.81,59767,0
FTAI.US,60,20240424,170000,73.87,73.93,72.645,72.965,113196,0
FTAI.US,60,20240424,180000,73.06,73.09,72.23,72.45,64067,0
FTAI.US,60,20240424,190000,72.52,72.56,71.27,71.535,66512,0
