<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAMB.US,60,20240411,160000,8.82,8.944,8.81,8.93,3563,0
GAMB.US,60,20240411,170000,8.95,8.97,8.92,8.965,5260,0
GAMB.US,60,20240411,180000,8.94,9,8.93,8.98,4684,0
GAMB.US,60,20240411,190000,8.99,9.12,8.96,9.07,16685,0
GAMB.US,60,20240411,200000,9.08,9.14,9.08,9.105,5579,0
GAMB.US,60,20240411,210000,9.09,9.1,9.07,9.09,8742,0
GAMB.US,60,20240411,220000,9.09,9.12,8.93,9.09,104777,0
GAMB.US,60,20240412,160000,9.03,9.03,8.86,8.88,6634,0
GAMB.US,60,20240412,170000,8.88,8.88,8.7,8.73,10091,0
GAMB.US,60,20240412,180000,8.75,8.75,8.72,8.72,2616,0
GAMB.US,60,20240412,190000,8.715,8.73,8.63,8.63,9446,0
GAMB.US,60,20240412,200000,8.6308,8.635,8.57,8.57,6876,0
GAMB.US,60,20240412,210000,8.57,8.57,8.49,8.56,16014,0
GAMB.US,60,20240412,220000,8.54,8.58,8.52,8.52,13463,0
GAMB.US,60,20240415,160000,8.75,8.75,8.54,8.65,53350,0
GAMB.US,60,20240415,170000,8.6201,8.7,8.57,8.57,5825,0
GAMB.US,60,20240415,180000,8.57,8.62,8.56,8.6,3939,0
GAMB.US,60,20240415,190000,8.6,8.61,8.53,8.55,10933,0
GAMB.US,60,20240415,200000,8.54,8.56,8.51,8.52,4844,0
GAMB.US,60,20240415,210000,8.51,8.53,8.42,8.45,48912,0
GAMB.US,60,20240415,220000,8.44,8.48,8.38,8.46,32309,0
GAMB.US,60,20240416,160000,8.52,8.52,8.35,8.415,7914,0
GAMB.US,60,20240416,170000,8.43,8.5,8.425,8.48,10616,0
GAMB.US,60,20240416,180000,8.49,8.56,8.49,8.53,16697,0
GAMB.US,60,20240416,190000,8.525,8.58,8.5,8.56,4154,0
GAMB.US,60,20240416,200000,8.55,8.58,8.54,8.565,4122,0
GAMB.US,60,20240416,210000,8.585,8.6,8.5101,8.541,5351,0
GAMB.US,60,20240416,220000,8.55,8.55,8.5,8.52,12328,0
GAMB.US,60,20240417,160000,8.54,8.645,8.54,8.63,6127,0
GAMB.US,60,20240417,170000,8.62,8.6599,8.6,8.64,10012,0
GAMB.US,60,20240417,180000,8.65,8.66,8.57,8.58,6338,0
GAMB.US,60,20240417,190000,8.57,8.63,8.57,8.57,6884,0
GAMB.US,60,20240417,200000,8.57,8.65,8.56,8.61,12545,0
GAMB.US,60,20240417,210000,8.62,8.635,8.61,8.63,7628,0
GAMB.US,60,20240417,220000,8.63,8.66,8.58,8.6,30946,0
GAMB.US,60,20240418,160000,8.59,8.61,8.52,8.57,4108,0
GAMB.US,60,20240418,170000,8.57,8.63,8.57,8.59,8007,0
GAMB.US,60,20240418,180000,8.61,8.65,8.59,8.62,6496,0
GAMB.US,60,20240418,190000,8.64,8.64,8.58,8.6099,4529,0
GAMB.US,60,20240418,200000,8.5801,8.595,8.5,8.52,7256,0
GAMB.US,60,20240418,210000,8.51,8.545,8.5,8.52,10791,0
GAMB.US,60,20240418,220000,8.52,8.555,8.5,8.5,15848,0
GAMB.US,60,20240419,160000,8.49,8.58,8.49,8.56,4944,0
GAMB.US,60,20240419,170000,8.56,8.59,8.505,8.53,2946,0
GAMB.US,60,20240419,180000,8.54,8.58,8.53,8.5618,4382,0
GAMB.US,60,20240419,190000,8.545,8.545,8.45,8.47,4843,0
GAMB.US,60,20240419,200000,8.472,8.49,8.45,8.49,7080,0
GAMB.US,60,20240419,210000,8.49,8.64,8.4852,8.6359,75617,0
GAMB.US,60,20240419,220000,8.61,8.71,8.61,8.69,46165,0
GAMB.US,60,20240422,160000,8.91,9.1237,8.91,9.09,26077,0
GAMB.US,60,20240422,170000,9.08,9.16,8.83,8.84,38456,0
GAMB.US,60,20240422,180000,8.82,8.855,8.77,8.8213,8453,0
GAMB.US,60,20240422,190000,8.83,8.85,8.76,8.76,3000,0
GAMB.US,60,20240422,200000,8.78,8.87,8.78,8.86,5364,0
GAMB.US,60,20240422,210000,8.86,8.88,8.81,8.83,11475,0
GAMB.US,60,20240422,220000,8.84,8.87,8.811,8.83,14039,0
