<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HAO.US,60,20240411,160000,109,109,105.25,107.5,128.32,0
HAO.US,60,20240411,180000,111.75,122.25,110.25,122.25,253.56,0
HAO.US,60,20240411,190000,115.5,123.125,110,115.75,2213.8,0
HAO.US,60,20240411,200000,113.25,113.25,113,113.25,12,0
HAO.US,60,20240411,220000,116.25,117.5,116.25,117.5,16,0
HAO.US,60,20240412,170000,108.5,108.5,108.5,108.5,4.48,0
HAO.US,60,20240412,180000,115.25,126.75,115.25,126.75,74.2,0
HAO.US,60,20240412,190000,111.25,111.25,111.25,111.25,4.68,0
HAO.US,60,20240412,200000,116.5,118,116.5,118,8,0
HAO.US,60,20240412,210000,122.25,122.5,114.75,114.75,25.52,0
HAO.US,60,20240412,220000,118.75,122,118.75,122,25.16,0
HAO.US,60,20240415,160000,120.75,120.75,114.12,114.12,15.96,0
HAO.US,60,20240415,170000,111.848,114.75,111.75,112.375,187.48,0
HAO.US,60,20240415,200000,112.75,121.75,112.5,117.75,313.4,0
HAO.US,60,20240415,210000,120,127.5,115,118,308.72,0
HAO.US,60,20240415,220000,119.625,119.625,110,110,51.32,0
HAO.US,60,20240416,190000,110.025,110.025,110.025,110.025,10.32,0
HAO.US,60,20240416,200000,109.25,111.75,109.25,111.75,21.56,0
HAO.US,60,20240416,210000,111.75,117.625,110.5,110.5,269.6,0
HAO.US,60,20240417,220000,111,113.95,110.75,112.5,108.68,0
HAO.US,60,20240418,160000,110.25,110.25,109.25,109.25,78,0
HAO.US,60,20240418,170000,116,116,115,115,8,0
HAO.US,60,20240418,180000,117.25,125.5,117.25,125.5,124,0
HAO.US,60,20240418,190000,125.5,125.5,125,125,79.84,0
HAO.US,60,20240418,200000,125,125.26,124.75,125,99.96,0
HAO.US,60,20240418,210000,124.635,124.635,116,120,48,0
HAO.US,60,20240418,220000,125,125,117.5,123.75,82.36,0
HAO.US,60,20240419,160000,122.55,124.25,121.75,122,98.72,0
HAO.US,60,20240419,170000,122.97,123.25,122.97,123.25,25.88,0
HAO.US,60,20240419,190000,125,125,125,125,4,0
HAO.US,60,20240419,200000,123.608,123.608,123.5,123.5,16,0
HAO.US,60,20240419,210000,122.25,123.612,122.25,123.612,28,0
HAO.US,60,20240419,220000,122,122,118.25,118.25,21.8,0
HAO.US,60,20240422,160000,115,115,115,115,12.280000000000001,0
HAO.US,60,20240422,170000,115,118.5,115,118.5,33.72,0
HAO.US,60,20240422,180000,118.25,133.25,116.25,126.25,2748.28,0
HAO.US,60,20240422,190000,128.5,128.75,120.75,120.75,1269.24,0
HAO.US,60,20240422,200000,121.25,121.5,120.5,121.25,28,0
HAO.US,60,20240422,210000,121.5,122.3,121,121,14,0
HAO.US,60,20240422,220000,120.775,121.75,120.75,120.75,35.68,0
HAO.US,60,20240423,160000,115.5,115.5,114.58,115,56,0
HAO.US,60,20240423,170000,118,120.202,116.5,120.202,48.08,0
HAO.US,60,20240423,180000,120.75,120.75,120,120.5,24,0
HAO.US,60,20240423,190000,123.175,123.175,118.5,122.7,12,0
HAO.US,60,20240423,200000,118.608,122.25,118.608,122.25,8,0
HAO.US,60,20240423,210000,117.75,123.15,117.75,123.15,8,0
HAO.US,60,20240423,220000,120.5,125.75,120,120.5,60,0
HAO.US,60,20240424,160000,125,125,125,125,8,0
HAO.US,60,20240424,180000,125,125,123.5,123.5,67.48,0
HAO.US,60,20240424,190000,123.5,123.5,123.5,123.5,4,0
HAO.US,60,20240424,210000,123.5,123.5,123.5,123.5,4,0
HAO.US,60,20240424,220000,123.5,123.5,122.75,122.75,31.720000000000002,0
HAO.US,60,20240425,160000,121.5,121.5,121.5,121.5,4,0
HAO.US,60,20240425,170000,124,124,124,124,4,0
HAO.US,60,20240425,180000,126,130.5,126,130,64.36,0
HAO.US,60,20240425,190000,126.25,136.99,126.25,129.748,210.8,0
HAO.US,60,20240425,200000,130.125,130.25,128,128,39.72,0
HAO.US,60,20240425,210000,129.25,131.248,129.25,131.248,40,0
HAO.US,60,20240425,220000,131,137.25,131,136.75,147.04,0
HAO.US,60,20240426,160000,131.25,133.5,120,130.5,352.40000000000003,0
HAO.US,60,20240426,170000,129.445,138.75,129.445,135.125,22.080000000000002,0
