<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUHU.US,60,20241022,170000,4,4.96,3.52,4.08,830866,0
HUHU.US,60,20241022,180000,4.07,4.1,3.85,3.95,174768,0
HUHU.US,60,20241022,190000,3.9504,4.48,3.92,4.03,252494,0
HUHU.US,60,20241022,200000,4.03,4.26,4,4.0203,57845,0
HUHU.US,60,20241022,210000,4.05,4.08,3.88,4.0004,106715,0
HUHU.US,60,20241022,220000,4,4.18,3.97,4.11,96936,0
HUHU.US,60,20241023,160000,4.2,4.45,4.0763,4.1813,53639,0
HUHU.US,60,20241023,170000,4.2,4.3783,4.2,4.23,54422,0
HUHU.US,60,20241023,180000,4.294,4.3,4.2101,4.25,22314,0
HUHU.US,60,20241023,190000,4.22,4.22,4.1,4.1157,91577,0
HUHU.US,60,20241023,200000,4.1154,4.16,4,4.0001,40980,0
HUHU.US,60,20241023,210000,4.05,4.105,4,4,10516,0
HUHU.US,60,20241023,220000,4,4.03,3.9,4.03,16411,0
HUHU.US,60,20241024,160000,3.7501,4.0064,3.7501,3.7617,22320,0
HUHU.US,60,20241024,170000,3.75,3.88,3.75,3.88,8040,0
HUHU.US,60,20241024,180000,3.8255,3.8255,3.76,3.76,12193,0
HUHU.US,60,20241024,190000,3.7621,3.88,3.7503,3.862,10514,0
HUHU.US,60,20241024,200000,3.865,3.9,3.865,3.9,1314,0
HUHU.US,60,20241024,210000,3.84,3.89,3.84,3.84,2470,0
HUHU.US,60,20241024,220000,3.8,3.85,3.7501,3.76,4707,0
HUHU.US,60,20241025,160000,3.9899,3.9902,3.88,3.9902,4292,0
HUHU.US,60,20241025,170000,3.9902,4.09,3.96,4.018,16147,0
HUHU.US,60,20241025,180000,4.01,4.0478,4,4.03,5297,0
HUHU.US,60,20241025,190000,4.042,4.05,3.96,4.02,6815,0
HUHU.US,60,20241025,200000,4,4.05,3.9,4.0187,15540,0
HUHU.US,60,20241025,210000,4.05,4.135,4.04,4.09,5490,0
HUHU.US,60,20241025,220000,4.11,4.1824,4.08,4.12,4659,0
HUHU.US,60,20241028,150000,4.18,4.89,4.18,4.55,71746,0
HUHU.US,60,20241028,160000,4.5,4.65,4.03,4.12,230736,0
HUHU.US,60,20241028,170000,4.12,4.4,4.12,4.3,86526,0
HUHU.US,60,20241028,180000,4.3,4.3888,4.23,4.3,31583,0
HUHU.US,60,20241028,190000,4.25,4.3499,4.25,4.31,17198,0
HUHU.US,60,20241028,200000,4.308,4.308,4.26,4.2938,2360,0
HUHU.US,60,20241028,210000,4.2103,4.39,4.2103,4.39,23223,0
HUHU.US,60,20241029,150000,4.49,4.49,4.2,4.21,27875,0
HUHU.US,60,20241029,160000,4.35,4.35,4.2102,4.295,8703,0
HUHU.US,60,20241029,170000,4.3399,4.348,4.22,4.2501,14067,0
HUHU.US,60,20241029,180000,4.34,4.3999,4.34,4.3999,5218,0
