<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMG.US,60,20240412,170000,1.27,1.2708,1.23,1.2708,700,0
IMG.US,60,20240412,200000,1.2501,1.2501,1.24,1.24,1000,0
IMG.US,60,20240412,210000,1.219,1.219,1.2,1.2,1463,0
IMG.US,60,20240412,220000,1.21,1.21,1.21,1.21,300,0
IMG.US,60,20240415,160000,1.23,1.23,1.23,1.23,571,0
IMG.US,60,20240415,170000,1.239,1.239,1.239,1.239,2000,0
IMG.US,60,20240415,190000,1.23,1.26,1.23,1.26,400,0
IMG.US,60,20240415,200000,1.24,1.31,1.2399,1.2507,2999,0
IMG.US,60,20240415,210000,1.2945,1.2945,1.2,1.23,6080,0
IMG.US,60,20240415,220000,1.23,1.2727,1.212,1.2727,1930,0
IMG.US,60,20240416,160000,1.2,1.2,1.2,1.2,100,0
IMG.US,60,20240416,170000,1.29,1.46,1.29,1.42,17309,0
IMG.US,60,20240416,180000,1.4,1.54,1.4,1.45,6556,0
IMG.US,60,20240416,210000,1.48,1.5,1.48,1.4999,2470,0
IMG.US,60,20240416,220000,1.48,1.63,1.37,1.61,25682,0
IMG.US,60,20240417,160000,1.7,1.7,1.51,1.69,9066,0
IMG.US,60,20240417,170000,1.73,1.73,1.55,1.6427,4444,0
IMG.US,60,20240417,180000,1.5616,1.57,1.55,1.55,3206,0
IMG.US,60,20240417,190000,1.55,1.55,1.55,1.55,300,0
IMG.US,60,20240417,200000,1.5133,1.5498,1.51,1.5498,900,0
IMG.US,60,20240417,220000,1.521,1.53,1.49,1.49,3476,0
IMG.US,60,20240418,160000,1.46,1.46,1.46,1.46,178,0
IMG.US,60,20240418,170000,1.417,1.417,1.417,1.417,187,0
IMG.US,60,20240418,190000,1.495,1.5,1.495,1.5,588,0
IMG.US,60,20240418,210000,1.5056,1.5056,1.5,1.5,300,0
IMG.US,60,20240418,220000,1.455,1.46,1.28,1.2859,5312,0
IMG.US,60,20240419,160000,1.25,1.4791,1.25,1.4791,3436,0
IMG.US,60,20240419,170000,1.4768,1.4768,1.3627,1.3627,351,0
IMG.US,60,20240419,180000,1.4743,1.4743,1.4743,1.4743,161,0
IMG.US,60,20240419,210000,1.38,1.38,1.23,1.23,2220,0
IMG.US,60,20240419,220000,1.26,1.31,1.26,1.2611,3153,0
IMG.US,60,20240422,160000,1.28,1.28,1.28,1.28,100,0
IMG.US,60,20240422,170000,1.24,1.27,1.2,1.27,4244,0
IMG.US,60,20240422,180000,1.33,1.33,1.325,1.325,500,0
IMG.US,60,20240422,220000,1.35,1.35,1.24,1.24,600,0
IMG.US,60,20240423,160000,1.27,1.27,1.25,1.25,724,0
IMG.US,60,20240423,180000,1.28,1.3,1.22,1.22,4083,0
IMG.US,60,20240423,200000,1.28,1.3,1.28,1.3,326,0
IMG.US,60,20240423,210000,1.3513,1.3513,1.3469,1.3469,200,0
IMG.US,60,20240423,220000,1.3852,1.3852,1.34,1.36,1136,0
IMG.US,60,20240424,160000,1.35,1.35,1.299,1.299,438,0
IMG.US,60,20240424,170000,1.2953,1.34,1.2847,1.2998,7227,0
IMG.US,60,20240424,190000,1.33,1.33,1.33,1.33,266,0
IMG.US,60,20240424,210000,1.3,1.32,1.3,1.31,500,0
IMG.US,60,20240424,220000,1.32,1.32,1.13,1.17,18139,0
IMG.US,60,20240425,160000,1.16,1.21,1.16,1.205,1224,0
IMG.US,60,20240425,170000,1.26,1.38,1.26,1.2701,6706,0
IMG.US,60,20240425,190000,1.28,1.305,1.22,1.305,1400,0
IMG.US,60,20240425,200000,1.24,1.26,1.24,1.26,400,0
IMG.US,60,20240425,210000,1.26,1.3,1.23,1.3,5400,0
IMG.US,60,20240425,220000,1.27,1.3591,1.18,1.22,35672,0
IMG.US,60,20240426,160000,1.34,1.4499,1.33,1.35,6594,0
IMG.US,60,20240426,170000,1.35,1.4028,1.32,1.34,13195,0
IMG.US,60,20240426,180000,1.33,1.4,1.33,1.34,12050,0
IMG.US,60,20240426,190000,1.34,2.08,1.34,1.64,1937623,0
IMG.US,60,20240426,200000,1.66,1.72,1.25,1.425,1055119,0
IMG.US,60,20240426,210000,1.4208,1.71,1.42,1.62,400179,0
IMG.US,60,20240426,220000,1.645,1.72,1.51,1.63,223969,0
IMG.US,60,20240429,160000,1.5,1.6499,1.49,1.5188,38266,0
IMG.US,60,20240429,170000,1.49,1.49,1.32,1.34,102273,0
IMG.US,60,20240429,180000,1.39,1.4824,1.35,1.41,29395,0
IMG.US,60,20240429,190000,1.443,1.4699,1.42,1.42,2993,0
IMG.US,60,20240429,200000,1.4,1.42,1.335,1.39,13407,0
IMG.US,60,20240429,210000,1.4284,1.4489,1.33,1.35,9297,0
IMG.US,60,20240429,220000,1.35,1.39,1.35,1.35,9457,0
IMG.US,60,20240430,160000,1.3,1.38,1.2701,1.345,6879,0
IMG.US,60,20240430,170000,1.3167,1.3899,1.29,1.31,6438,0
IMG.US,60,20240430,180000,1.3499,1.3499,1.3,1.33,867,0
IMG.US,60,20240430,190000,1.3005,1.5271,1.3005,1.37,7285,0
IMG.US,60,20240430,200000,1.38,1.38,1.37,1.37,1600,0
IMG.US,60,20240430,210000,1.3824,1.3824,1.35,1.3557,1711,0
IMG.US,60,20240430,220000,1.35,1.35,1.29,1.31,9630,0
IMG.US,60,20240501,160000,1.36,1.395,1.3,1.35,1377,0
IMG.US,60,20240501,170000,1.34,1.345,1.29,1.345,672,0
IMG.US,60,20240501,180000,1.31,1.34,1.31,1.34,300,0
IMG.US,60,20240501,190000,1.315,1.415,1.3,1.39,4204,0
IMG.US,60,20240501,200000,1.37,1.38,1.37,1.38,200,0
IMG.US,60,20240501,210000,1.38,1.38,1.3388,1.35,400,0
IMG.US,60,20240501,220000,1.3765,1.48,1.33,1.48,15128,0
IMG.US,60,20240502,160000,1.43,1.4553,1.43,1.4553,1846,0
IMG.US,60,20240502,170000,1.45,1.4603,1.44,1.4603,518,0
IMG.US,60,20240502,180000,1.465,1.47,1.44,1.4456,1103,0
IMG.US,60,20240502,190000,1.45,1.45,1.43,1.432,1736,0
IMG.US,60,20240502,200000,1.4633,1.4633,1.4633,1.4633,1000,0
IMG.US,60,20240502,220000,1.4301,1.54,1.4301,1.54,10091,0
IMG.US,60,20240503,160000,1.44,1.5,1.4303,1.5,1338,0
IMG.US,60,20240503,170000,1.43,1.4499,1.43,1.4499,1850,0
IMG.US,60,20240503,180000,1.4301,1.44,1.43,1.44,1600,0
IMG.US,60,20240503,190000,1.4302,1.44,1.43,1.44,4719,0
IMG.US,60,20240503,200000,1.45,1.4951,1.44,1.45,9086,0
IMG.US,60,20240503,220000,1.47,1.5,1.465,1.465,4395,0
IMG.US,60,20240506,160000,1.44,1.46,1.411,1.42,6404,0
IMG.US,60,20240506,170000,1.42,1.42,1.37,1.3801,2157,0
IMG.US,60,20240506,180000,1.465,1.479,1.43,1.43,4350,0
IMG.US,60,20240506,190000,1.38,1.44,1.34,1.34,3435,0
IMG.US,60,20240506,200000,1.362,1.37,1.36,1.37,800,0
IMG.US,60,20240506,210000,1.48,1.48,1.48,1.48,200,0
IMG.US,60,20240506,220000,1.37,1.37,1.31,1.33,1055,0
IMG.US,60,20240507,160000,1.52,1.52,1.3169,1.36,4454,0
IMG.US,60,20240507,170000,1.4,2.8386,1.4,2.8,3537949,0
IMG.US,60,20240507,180000,2.81,2.9,2.1,2.26,16114539,0
IMG.US,60,20240507,190000,2.25,2.34,1.95,2.035,2326275,0
IMG.US,60,20240507,200000,2.03,2.04,1.95,2.01,556794,0
IMG.US,60,20240507,210000,2.02,2.2,1.8101,1.93,1295196,0
IMG.US,60,20240507,220000,1.9301,2.14,1.85,2.03,715692,0
IMG.US,60,20240508,160000,2.07,2.1,1.85,2.015,161218,0
IMG.US,60,20240508,170000,2.04,2.27,2,2.15,231433,0
IMG.US,60,20240508,180000,2.14,2.21,2.07,2.17,60870,0
IMG.US,60,20240508,190000,2.19,2.2,2.04,2.19,34711,0
IMG.US,60,20240508,200000,2.19,2.21,2.1302,2.18,29261,0
IMG.US,60,20240508,210000,2.19,2.31,2.17,2.23,81808,0
IMG.US,60,20240508,220000,2.23,2.35,2.17,2.19,95882,0
IMG.US,60,20240509,160000,2.23,2.39,2.23,2.26,42916,0
IMG.US,60,20240509,170000,2.3,2.45,2.23,2.4,91037,0
IMG.US,60,20240509,180000,2.4,2.46,2.37,2.375,61492,0
IMG.US,60,20240509,190000,2.38,2.38,2.26,2.32,24886,0
IMG.US,60,20240509,200000,2.32,2.41,2.27,2.4,12845,0
IMG.US,60,20240509,210000,2.4,2.41,2.33,2.36,8486,0
IMG.US,60,20240509,220000,2.405,2.45,2.33,2.345,31502,0
IMG.US,60,20240510,160000,2.38,2.49,2.29,2.48,18914,0
IMG.US,60,20240510,170000,2.455,2.49,2.3781,2.48,14825,0
IMG.US,60,20240510,180000,2.46,2.49,2.4134,2.46,9714,0
IMG.US,60,20240510,190000,2.47,2.56,2.45,2.56,24948,0
IMG.US,60,20240510,200000,2.56,2.58,2.4501,2.58,8309,0
IMG.US,60,20240510,210000,2.58,2.58,2.45,2.53,27219,0
IMG.US,60,20240510,220000,2.5,2.52,2.44,2.44,14850,0
IMG.US,60,20240513,160000,2.39,2.4,2.3001,2.34,6583,0
IMG.US,60,20240513,170000,2.34,2.6,2.34,2.46,12324,0
IMG.US,60,20240513,180000,2.4844,2.4844,2.3801,2.3801,7938,0
IMG.US,60,20240513,190000,2.4799,2.4799,2.38,2.42,800,0
IMG.US,60,20240513,200000,2.385,2.4045,2.375,2.4045,950,0
IMG.US,60,20240513,210000,2.35,2.35,2.1115,2.25,7319,0
IMG.US,60,20240513,220000,2.28,2.29,2.03,2.11,19347,0
IMG.US,60,20240514,160000,1.99,2.0106,1.9,1.9057,11878,0
IMG.US,60,20240514,170000,1.994,2.045,1.87,2.045,9639,0
IMG.US,60,20240514,180000,2.0011,2.12,2.0011,2.12,2055,0
IMG.US,60,20240514,190000,2.1,2.11,2.05,2.11,1600,0
IMG.US,60,20240514,200000,2.085,2.085,2.085,2.085,300,0
IMG.US,60,20240514,210000,2.05,2.16,2.0398,2.125,6279,0
IMG.US,60,20240514,220000,2.11,2.18,2.11,2.13,3926,0
IMG.US,60,20240515,160000,2.23,2.23,2.16,2.23,2387,0
IMG.US,60,20240515,170000,2.0901,2.3699,2.01,2.01,18282,0
IMG.US,60,20240515,180000,2.1436,2.1436,2.01,2.13,1160,0
IMG.US,60,20240515,190000,2.0701,2.0701,2.0701,2.0701,500,0
IMG.US,60,20240515,200000,2.12,2.16,2.12,2.16,1399,0
IMG.US,60,20240515,210000,2.155,2.16,2.155,2.16,500,0
IMG.US,60,20240515,220000,2.19,2.29,2.18,2.23,11621,0
IMG.US,60,20240516,160000,2.28,2.4,2.19,2.21,2681,0
IMG.US,60,20240516,170000,2.255,2.33,2.22,2.2295,4636,0
IMG.US,60,20240516,180000,2.25,2.36,2.245,2.36,17937,0
IMG.US,60,20240516,190000,2.27,2.34,2.255,2.255,1300,0
IMG.US,60,20240516,200000,2.2756,2.3,2.265,2.27,6584,0
IMG.US,60,20240516,210000,2.305,2.34,2.2,2.2,5395,0
IMG.US,60,20240516,220000,2.3,2.3,2.19,2.23,1016,0
IMG.US,60,20240517,160000,2.27,2.35,2.17,2.25,5897,0
IMG.US,60,20240517,170000,2.265,2.36,2.17,2.265,4705,0
IMG.US,60,20240517,180000,2.3303,2.36,2.14,2.28,13152,0
