<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOTR.US,60,20250410,170000,3.6,3.82,3.1101,3.82,436218,0
IOTR.US,60,20250410,180000,3.81,4,3.6,3.73,1063245,0
IOTR.US,60,20250410,190000,3.6561,3.76,3.02,3.65,123926,0
IOTR.US,60,20250410,200000,3.65,3.6501,3.29,3.48,36701,0
IOTR.US,60,20250410,210000,3.385,3.51,3.3,3.37,31863,0
IOTR.US,60,20250410,220000,3.49,4,3.4,3.55,407715,0
IOTR.US,60,20250411,160000,3.8,3.8,3.35,3.5,14060,0
IOTR.US,60,20250411,170000,3.43,3.645,3.43,3.4704,6052,0
IOTR.US,60,20250411,180000,3.5,3.525,3.3902,3.46,9148,0
IOTR.US,60,20250411,190000,3.4998,3.75,3.47,3.74,14567,0
IOTR.US,60,20250411,200000,3.7087,3.709,3.55,3.615,3660,0
IOTR.US,60,20250411,210000,3.615,3.67,3.55,3.5646,972,0
IOTR.US,60,20250411,220000,3.615,3.615,3.39,3.39,13792,0
IOTR.US,60,20250414,160000,3.57,3.77,3.44,3.7077,7038,0
IOTR.US,60,20250414,170000,3.6101,3.7486,3.56,3.6986,5067,0
IOTR.US,60,20250414,180000,3.7,4.25,3.61,3.7,69821,0
IOTR.US,60,20250414,190000,3.648,3.85,3.61,3.85,1455,0
IOTR.US,60,20250414,200000,3.795,4.7,3.795,4.1525,93161,0
IOTR.US,60,20250414,210000,4.215,4.4995,4.1,4.4995,37504,0
IOTR.US,60,20250414,220000,4.36,4.6,4,4.11,50869,0
IOTR.US,60,20250415,160000,4.195,4.28,4.1,4.2292,16035,0
IOTR.US,60,20250415,170000,4.11,4.1475,4.1,4.1,9486,0
IOTR.US,60,20250415,180000,3.99,4.0199,3.9305,4.0199,1791,0
IOTR.US,60,20250415,190000,4,4.2,3.83,4.015,6397,0
IOTR.US,60,20250415,200000,3.984,3.984,3.71,3.825,5910,0
IOTR.US,60,20250415,210000,4.008,4.008,3.8,3.8,1343,0
IOTR.US,60,20250415,220000,3.63,4.0442,3.63,4.04,36192,0
IOTR.US,60,20250416,160000,3.94,5.25,3.94,5.04,98045,0
IOTR.US,60,20250416,170000,5.05,5.98,4.94,5.25,186771,0
IOTR.US,60,20250416,180000,5.305,5.4,4.85,5.0833,684212,0
IOTR.US,60,20250416,190000,5.088,5.25,4.32,4.845,666807,0
IOTR.US,60,20250416,200000,4.95,4.95,4.11,4.35,98388,0
IOTR.US,60,20250416,210000,4.325,4.54,3.06,3.06,447120,0
IOTR.US,60,20250416,220000,2.85,2.85,1.47,1.85,698372,0
IOTR.US,60,20250417,160000,1.28,1.32,1.09,1.2699,383559,0
IOTR.US,60,20250417,170000,1.27,1.33,1.23,1.26,294958,0
IOTR.US,60,20250417,180000,1.265,1.27,1.11,1.15,389905,0
IOTR.US,60,20250417,190000,1.16,1.24,1.14,1.1999,162213,0
IOTR.US,60,20250417,200000,1.1999,1.22,1.15,1.16,123448,0
IOTR.US,60,20250417,210000,1.1601,1.21,1.12,1.18,158009,0
IOTR.US,60,20250417,220000,1.16,1.2,1.14,1.15,169619,0
IOTR.US,60,20250421,160000,0.95,0.9715,0.8001,0.900101,503624,0
IOTR.US,60,20250421,170000,0.911,0.9152,0.84,0.8588,242767,0
IOTR.US,60,20250421,180000,0.8595,0.8759,0.8146,0.8201,142979,0
IOTR.US,60,20250421,190000,0.82,0.8681,0.812,0.85,128412,0
IOTR.US,60,20250421,200000,0.84,0.84,0.8327,0.8374,29121,0
IOTR.US,60,20250421,210000,0.83745,0.98,0.835,0.9742,421862,0
IOTR.US,60,20250421,220000,0.92943,0.959,0.85,0.888,207347,0
IOTR.US,60,20250422,160000,0.886,0.92,0.8571,0.87,113908,0
IOTR.US,60,20250422,170000,0.8638,0.9085,0.8638,0.906499,104346,0
IOTR.US,60,20250422,180000,0.898,0.9065,0.8458,0.859999,136815,0
IOTR.US,60,20250422,190000,0.8552,0.9,0.85,0.8985,49730,0
IOTR.US,60,20250422,200000,0.8999,0.9379,0.8999,0.9285,196075,0
IOTR.US,60,20250422,210000,0.9252,0.93695,0.92,0.92,38390,0
IOTR.US,60,20250422,220000,0.9267,0.9286,0.9,0.9283,108698,0
IOTR.US,60,20250423,160000,0.9263,0.938,0.914,0.9194,55894,0
IOTR.US,60,20250423,170000,0.9189,0.9949,0.902,0.968,140117,0
IOTR.US,60,20250423,180000,0.957,0.9699,0.935,0.9451,46500,0
IOTR.US,60,20250423,190000,0.9493,0.9493,0.935,0.9367,70432,0
IOTR.US,60,20250423,200000,0.9373,0.958,0.93,0.93,40625,0
IOTR.US,60,20250423,210000,0.9301,0.95981,0.9301,0.9523,11662,0
IOTR.US,60,20250423,220000,0.9596,0.9785,0.9389,0.9498,41301,0
IOTR.US,60,20250424,160000,0.9395,0.950641,0.91015,0.9478,77017,0
IOTR.US,60,20250424,170000,0.9242,0.9318,0.8702,0.9092,93401,0
IOTR.US,60,20250424,180000,0.9093,0.9137,0.8911,0.9099,38632,0
IOTR.US,60,20250424,190000,0.9001,0.9099,0.9,0.9,28514,0
IOTR.US,60,20250424,200000,0.9099,0.9099,0.9,0.9049,28606,0
IOTR.US,60,20250424,210000,0.9099,0.92395,0.9099,0.919,7522,0
IOTR.US,60,20250424,220000,0.9037,0.99,0.9,0.99,47786,0
IOTR.US,60,20250425,160000,0.98,0.98,0.9062,0.908,4997,0
IOTR.US,60,20250425,170000,0.91,0.92,0.8803,0.894999,66425,0
IOTR.US,60,20250425,180000,0.89,0.905,0.882,0.9,81278,0
IOTR.US,60,20250425,190000,0.9,0.95,0.9,0.93,80003,0
IOTR.US,60,20250425,200000,0.9299,0.93,0.892901,0.9076,40245,0
IOTR.US,60,20250425,210000,0.9081,0.93,0.9081,0.9265,46327,0
IOTR.US,60,20250425,220000,0.9237,0.9299,0.9015,0.9222,48958,0
IOTR.US,60,20250428,160000,0.9306,0.9467,0.89,0.905001,32880,0
IOTR.US,60,20250428,170000,0.91,0.9187,0.898078,0.9,15799,0
IOTR.US,60,20250428,180000,0.8988,0.9285,0.87,0.911,73063,0
IOTR.US,60,20250428,190000,0.911,0.911,0.8714,0.9099,35452,0
IOTR.US,60,20250428,200000,0.8905,0.8905,0.8905,0.8905,492,0
IOTR.US,60,20250428,210000,0.8905,0.91,0.8751,0.91,5833,0
IOTR.US,60,20250428,220000,0.907483,0.91,0.8811,0.91,15195,0
IOTR.US,60,20250429,160000,0.8906,0.9013,0.8906,0.9,6003,0
IOTR.US,60,20250429,170000,0.886,0.9,0.8771,0.9,27004,0
IOTR.US,60,20250429,180000,0.8796,0.9,0.8205,0.87,126856,0
IOTR.US,60,20250429,190000,0.8916,0.8916,0.6599,0.6925,768241,0
IOTR.US,60,20250429,200000,0.67,0.7,0.452,0.4521,1579777,0
IOTR.US,60,20250429,210000,0.452,0.49,0.306,0.393,2725290,0
IOTR.US,60,20250429,220000,0.3988,0.4183,0.3483,0.3876,1762699,0
IOTR.US,60,20250430,160000,0.3849,0.3849,0.3501,0.3615,103276,0
IOTR.US,60,20250430,170000,0.3648,0.3962,0.3613,0.3834,226341,0
IOTR.US,60,20250430,180000,0.3834,0.3919,0.38,0.3898,115608,0
IOTR.US,60,20250430,190000,0.392,0.3955,0.3859,0.3899,65048,0
IOTR.US,60,20250430,200000,0.3897,0.3899,0.37,0.3771,52198,0
IOTR.US,60,20250430,210000,0.388377,0.3898,0.3771,0.386499,42415,0
IOTR.US,60,20250430,220000,0.3865,0.3899,0.37,0.389,99473,0
IOTR.US,60,20250501,160000,0.393,0.393,0.3616,0.3675,263802,0
IOTR.US,60,20250501,170000,0.3675,0.4165,0.3675,0.4164,122957,0
IOTR.US,60,20250501,180000,0.4163,0.4177,0.3952,0.4139,142260,0
IOTR.US,60,20250501,190000,0.41,0.4169,0.4011,0.41,105975,0
IOTR.US,60,20250501,200000,0.4105,0.4168,0.407,0.4104,69012,0
IOTR.US,60,20250501,210000,0.4089,0.4108,0.4,0.4108,32118,0
IOTR.US,60,20250501,220000,0.402,0.4121,0.4,0.4107,67400,0
IOTR.US,60,20250502,160000,0.3984,0.411724,0.3984,0.4108,32851,0
IOTR.US,60,20250502,170000,0.408249,0.45,0.408201,0.447,333514,0
IOTR.US,60,20250502,180000,0.44,0.4469,0.4173,0.4287,96519,0
IOTR.US,60,20250502,190000,0.43,0.44,0.4216,0.4298,55606,0
IOTR.US,60,20250502,200000,0.43255,0.438,0.4251,0.4367,30686,0
IOTR.US,60,20250502,210000,0.4366,0.437,0.4302,0.43699,69576,0
IOTR.US,60,20250502,220000,0.436,0.437,0.4303,0.4341,54548,0
IOTR.US,60,20250505,160000,0.43,0.4384,0.43,0.4378,29726,0
IOTR.US,60,20250505,170000,0.43,0.432348,0.4215,0.425001,78360,0
IOTR.US,60,20250505,180000,0.425,0.435,0.4205,0.4277,48069,0
IOTR.US,60,20250505,190000,0.4212,0.4265,0.4153,0.4153,48679,0
IOTR.US,60,20250505,200000,0.42,0.422,0.4086,0.4219,48086,0
IOTR.US,60,20250505,210000,0.4219,0.4219,0.402,0.4023,28892,0
IOTR.US,60,20250505,220000,0.4085,0.41,0.3919,0.3975,50576,0
IOTR.US,60,20250506,160000,0.3881,0.4089,0.3881,0.40385,23969,0
IOTR.US,60,20250506,170000,0.409,0.409,0.3882,0.3882,68509,0
IOTR.US,60,20250506,180000,0.39,0.404,0.39,0.40185,5776,0
IOTR.US,60,20250506,190000,0.4037,0.4037,0.3905,0.403,22916,0
IOTR.US,60,20250506,200000,0.4036,0.4415,0.4036,0.4201,178541,0
IOTR.US,60,20250506,210000,0.421537,0.43,0.4114,0.4181,65226,0
