<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTTAW.US,60,20240416,210000,0.0123,0.0123,0.0123,0.0123,2000,0
KTTAW.US,60,20240417,220000,0.0125,0.014,0.0125,0.014,8000,0
KTTAW.US,60,20240510,210000,0.014,0.014,0.0123,0.0123,31100,0
KTTAW.US,60,20240517,170000,0.0125,0.0125,0.0122,0.0122,8000,0
KTTAW.US,60,20240520,160000,0.0125,0.0125,0.0125,0.0125,17854,0
KTTAW.US,60,20240520,190000,0.0125,0.0125,0.0125,0.0125,11184,0
KTTAW.US,60,20240523,180000,0.0185,0.0185,0.0184,0.0184,10000,0
KTTAW.US,60,20240523,190000,0.0185,0.0185,0.0185,0.0185,350,0
KTTAW.US,60,20240528,200000,0.0126,0.0126,0.0125,0.0126,15500,0
KTTAW.US,60,20240528,210000,0.0126,0.0127,0.0126,0.0127,300,0
KTTAW.US,60,20240528,220000,0.0126,0.0127,0.0126,0.0126,400,0
KTTAW.US,60,20240529,210000,0.0185,0.0185,0.0128,0.01655,3000,0
KTTAW.US,60,20240603,220000,0.018,0.018,0.018,0.018,885,0
KTTAW.US,60,20240605,180000,0.0134,0.0134,0.0134,0.0134,100,0
KTTAW.US,60,20240605,210000,0.0134,0.0134,0.0131,0.0134,25202,0
KTTAW.US,60,20240612,200000,0.0158,0.0158,0.0158,0.0158,6000,0
KTTAW.US,60,20240612,210000,0.0158,0.0158,0.0158,0.0158,1781,0
KTTAW.US,60,20240613,180000,0.0125,0.0125,0.0115,0.0115,15000,0
KTTAW.US,60,20240613,210000,0.01155,0.01155,0.0115,0.01155,6000,0
KTTAW.US,60,20240613,220000,0.0116,0.0116,0.0116,0.0116,1000,0
KTTAW.US,60,20240617,190000,0.0126,0.0126,0.0126,0.0126,10000,0
KTTAW.US,60,20240620,180000,0.0116,0.0116,0.0116,0.0116,15000,0
KTTAW.US,60,20240621,220000,0.016899,0.017,0.016899,0.017,5000,0
KTTAW.US,60,20240624,180000,0.011,0.011,0.0109,0.011,15000,0
KTTAW.US,60,20240626,220000,0.0199,0.0199,0.0199,0.0199,600,0
KTTAW.US,60,20240701,190000,0.0111,0.0111,0.0111,0.0111,6200,0
KTTAW.US,60,20240703,170000,0.0177,0.0178,0.016514,0.0178,4310,0
KTTAW.US,60,20240709,210000,0.0178,0.0178,0.0178,0.0178,200,0
KTTAW.US,60,20240717,160000,0.0126,0.0126,0.0126,0.0126,250,0
KTTAW.US,60,20240717,180000,0.012701,0.012701,0.0126,0.0126,8000,0
KTTAW.US,60,20240722,210000,0.018,0.018,0.018,0.018,100,0
KTTAW.US,60,20240726,160000,0.0185,0.0185,0.0163,0.0163,12042,0
KTTAW.US,60,20240801,190000,0.0126,0.013793,0.0113,0.0113,2730,0
KTTAW.US,60,20240801,210000,0.0178,0.0179,0.0178,0.0179,800,0
KTTAW.US,60,20240801,220000,0.0179,0.0179,0.0179,0.0179,2500,0
KTTAW.US,60,20240805,200000,0.017,0.017,0.017,0.017,400,0
KTTAW.US,60,20240805,210000,0.019673,0.019673,0.019673,0.019673,10000,0
KTTAW.US,60,20240808,170000,0.0126,0.0126,0.0126,0.0126,1066,0
KTTAW.US,60,20240809,160000,0.0167,0.0167,0.0166,0.0166,1669,0
KTTAW.US,60,20240809,170000,0.0165,0.0165,0.0165,0.0165,1200,0
KTTAW.US,60,20240809,180000,0.0165,0.0167,0.0165,0.0167,1228,0
KTTAW.US,60,20240809,190000,0.0167,0.02,0.0167,0.02,1431,0
KTTAW.US,60,20240809,200000,0.02,0.02,0.0199,0.0199,1431,0
KTTAW.US,60,20240809,210000,0.0199,0.02,0.0199,0.0199,1200,0
KTTAW.US,60,20240821,220000,0.0199,0.0199,0.019799,0.0198,1990,0
KTTAW.US,60,20240827,210000,0.0125,0.0125,0.0112,0.0113,14600,0
KTTAW.US,60,20240905,160000,0.0113,0.0113,0.0113,0.0113,1000,0
KTTAW.US,60,20240906,190000,0.0198,0.0198,0.0114,0.015391,1900,0
KTTAW.US,60,20240918,180000,0.019599,0.019599,0.0195,0.0195,4981,0
KTTAW.US,60,20240918,190000,0.0196,0.0196,0.013542,0.013542,276,0
KTTAW.US,60,20240918,210000,0.0194,0.023751,0.0194,0.023688,100321,0
KTTAW.US,60,20240918,220000,0.0225,0.025,0.0225,0.025,60173,0
KTTAW.US,60,20240919,160000,0.0249,0.0351,0.0249,0.035,12322,0
KTTAW.US,60,20240919,170000,0.035,0.0351,0.035,0.0351,67376,0
KTTAW.US,60,20240919,180000,0.0351,0.0351,0.0351,0.0351,500,0
KTTAW.US,60,20240924,200000,0.0399,0.0399,0.0113,0.0116,11640,0
KTTAW.US,60,20240924,220000,0.0125,0.0125,0.0125,0.0125,100,0
KTTAW.US,60,20240925,160000,0.0249,0.0249,0.0249,0.0249,400,0
KTTAW.US,60,20240925,180000,0.0249,0.0249,0.0249,0.0249,900,0
KTTAW.US,60,20240925,190000,0.0248,0.0248,0.0248,0.0248,1000,0
KTTAW.US,60,20240926,160000,0.042,0.05,0.042,0.046,22375,0
KTTAW.US,60,20240926,170000,0.0475,0.0475,0.04,0.04,154240,0
KTTAW.US,60,20240926,180000,0.04,0.04,0.04,0.04,800,0
KTTAW.US,60,20240926,190000,0.046,0.0489,0.032,0.035515,3235,0
KTTAW.US,60,20240926,200000,0.0449,0.0449,0.0449,0.0449,200,0
KTTAW.US,60,20240926,210000,0.0449,0.0449,0.0302,0.0302,1299,0
KTTAW.US,60,20240926,220000,0.029,0.04,0.029,0.04,1767,0
KTTAW.US,60,20240927,160000,0.0982,0.0982,0.058782,0.058782,31303,0
KTTAW.US,60,20240927,170000,0.0392,0.040353,0.0372,0.037316,19216,0
