<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGVN.US,60,20240411,160000,2.17,2.2461,2.13,2.13,16987,0
LGVN.US,60,20240411,170000,2.15,2.16,2.08,2.115,53752,0
LGVN.US,60,20240411,180000,2.08,2.12,2.01,2.039,59243,0
LGVN.US,60,20240411,190000,2.035,2.07,2.02,2.07,30575,0
LGVN.US,60,20240411,200000,2.07,2.12,2.03,2.05,9307,0
LGVN.US,60,20240411,210000,2.05,2.16,2.02,2.04,58035,0
LGVN.US,60,20240411,220000,2.08,2.09,2.01,2.03,16667,0
LGVN.US,60,20240412,160000,2.18,2.18,2.05,2.06,41046,0
LGVN.US,60,20240412,170000,2.05,2.1099,2.035,2.04,33081,0
LGVN.US,60,20240412,180000,2.035,2.05,2.015,2.015,23199,0
LGVN.US,60,20240412,190000,2.01,2.02,1.89,1.899,88937,0
LGVN.US,60,20240412,200000,1.89,1.9,1.88,1.885,35969,0
LGVN.US,60,20240412,210000,1.885,1.8899,1.85,1.855,40951,0
LGVN.US,60,20240412,220000,1.8581,1.8692,1.62,1.69,127819,0
LGVN.US,60,20240415,160000,2.39,3.41,2.15,2.75,18449160,0
LGVN.US,60,20240415,170000,2.758,2.96,2.37,2.48,11062410,0
LGVN.US,60,20240415,180000,2.4799,2.6,2.38,2.486,2458475,0
LGVN.US,60,20240415,190000,2.49,2.58,2.38,2.4101,997173,0
LGVN.US,60,20240415,200000,2.41,2.64,2.4,2.5295,1538989,0
LGVN.US,60,20240415,210000,2.53,2.77,2.48,2.66,1236817,0
LGVN.US,60,20240415,220000,2.6599,3.27,2.63,2.94,5639932,0
LGVN.US,60,20240416,160000,2.97,3.06,2.62,2.7501,618028,0
LGVN.US,60,20240416,170000,2.78,2.92,2.6,2.6496,321764,0
LGVN.US,60,20240416,180000,2.648,2.87,2.63,2.7,202424,0
LGVN.US,60,20240416,190000,2.7201,3.57,2.7201,3.4491,1550596,0
LGVN.US,60,20240416,200000,3.36,3.6,3.08,3.2802,904405,0
LGVN.US,60,20240416,210000,3.2801,4.235,3.17,4.189,2412701,0
LGVN.US,60,20240416,220000,4.18,4.25,3.37,3.5138,2390230,0
LGVN.US,60,20240417,160000,2.53,2.62,2.25,2.49,583052,0
LGVN.US,60,20240417,170000,2.48,2.678,2.34,2.4507,381692,0
LGVN.US,60,20240417,180000,2.45,2.47,1.93,2.02,569470,0
LGVN.US,60,20240417,190000,2.03,2.25,1.98,2.2,332228,0
LGVN.US,60,20240417,200000,2.2098,2.28,2.16,2.2181,115791,0
LGVN.US,60,20240417,210000,2.2228,2.24,2.08,2.14,101034,0
LGVN.US,60,20240417,220000,2.14,2.24,1.99,2.09,324907,0
LGVN.US,60,20240418,160000,2.09,2.21,2.01,2.07,109561,0
LGVN.US,60,20240418,170000,2.0601,2.2897,2.01,2.1702,337548,0
LGVN.US,60,20240418,180000,2.18,2.22,2.1,2.17,108998,0
LGVN.US,60,20240418,190000,2.17,2.1999,2.1,2.13,29301,0
LGVN.US,60,20240418,200000,2.12,2.15,2.01,2.0293,117432,0
LGVN.US,60,20240418,210000,2.0299,2.06,2,2.025,76525,0
LGVN.US,60,20240418,220000,2.025,2.04,1.93,2.01,83946,0
LGVN.US,60,20240419,160000,1.92,1.9997,1.9,1.93,76848,0
LGVN.US,60,20240419,170000,1.9799,2.1,1.93,2.04,100110,0
LGVN.US,60,20240419,180000,1.985,2.03,1.93,1.952,69328,0
LGVN.US,60,20240419,190000,1.96,1.9822,1.9101,1.9205,37535,0
