<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSEAW.US,60,20240411,160000,0.33,0.33,0.329978,0.329978,3000,0
LSEAW.US,60,20240411,170000,0.3301,0.3301,0.3,0.33,7550,0
LSEAW.US,60,20240411,180000,0.3,0.322501,0.3,0.315101,3000,0
LSEAW.US,60,20240411,190000,0.315,0.315,0.29,0.29,35325,0
LSEAW.US,60,20240411,200000,0.2989,0.3,0.295,0.2999,32324,0
LSEAW.US,60,20240411,210000,0.3,0.3,0.2918,0.2918,3000,0
LSEAW.US,60,20240411,220000,0.2957,0.38,0.2957,0.315,405160,0
LSEAW.US,60,20240412,170000,0.3101,0.3101,0.31,0.31,1100,0
LSEAW.US,60,20240412,180000,0.31,0.31,0.31,0.31,3225,0
LSEAW.US,60,20240412,190000,0.3131,0.3131,0.31,0.31,3090,0
LSEAW.US,60,20240412,200000,0.3,0.3001,0.3,0.3001,1000,0
LSEAW.US,60,20240412,210000,0.280101,0.291,0.28,0.28,1200,0
LSEAW.US,60,20240412,220000,0.27,0.27,0.27,0.27,3961,0
LSEAW.US,60,20240415,170000,0.2851,0.2851,0.269899,0.269899,2000,0
LSEAW.US,60,20240415,180000,0.269999,0.269999,0.2601,0.2601,5128,0
LSEAW.US,60,20240415,190000,0.26999,0.26999,0.26,0.26,3100,0
LSEAW.US,60,20240415,200000,0.26,0.26,0.2574,0.26,1500,0
LSEAW.US,60,20240415,210000,0.261,0.2787,0.261,0.2787,1800,0
LSEAW.US,60,20240416,200000,0.2681,0.2681,0.25,0.2609,3559,0
LSEAW.US,60,20240416,220000,0.25,0.25,0.25,0.25,100,0
LSEAW.US,60,20240417,170000,0.25,0.2843,0.18,0.28,13881,0
LSEAW.US,60,20240417,180000,0.24,0.24,0.2376,0.24,4100,0
LSEAW.US,60,20240417,210000,0.24,0.25765,0.24,0.25765,4000,0
LSEAW.US,60,20240417,220000,0.2543,0.2543,0.2317,0.2317,600,0
LSEAW.US,60,20240418,170000,0.24001,0.24001,0.24001,0.24001,2359,0
LSEAW.US,60,20240418,190000,0.2401,0.2401,0.23,0.23,500,0
LSEAW.US,60,20240418,220000,0.2699,0.2699,0.23,0.23,600,0
LSEAW.US,60,20240419,190000,0.2222,0.2222,0.2001,0.2105,17085,0
LSEAW.US,60,20240419,200000,0.22,0.22,0.22,0.22,200,0
LSEAW.US,60,20240419,210000,0.21,0.2101,0.21,0.21,4900,0
LSEAW.US,60,20240419,220000,0.2101,0.21999,0.21,0.2101,5951,0
LSEAW.US,60,20240422,210000,0.235,0.235,0.235,0.235,200,0
LSEAW.US,60,20240422,220000,0.2211,0.225,0.22,0.22,1353,0
LSEAW.US,60,20240423,160000,0.22,0.22,0.22,0.22,1000,0
LSEAW.US,60,20240423,170000,0.235101,0.28,0.2351,0.28,4173,0
LSEAW.US,60,20240423,180000,0.24,0.24,0.24,0.24,100,0
LSEAW.US,60,20240423,190000,0.241,0.2799,0.24,0.25245,1100,0
LSEAW.US,60,20240423,220000,0.235,0.251578,0.235,0.251578,2900,0
LSEAW.US,60,20240424,180000,0.2716,0.2716,0.2716,0.2716,2000,0
LSEAW.US,60,20240424,190000,0.24,0.2401,0.232,0.232,700,0
LSEAW.US,60,20240424,200000,0.2797,0.2797,0.2797,0.2797,500,0
LSEAW.US,60,20240424,210000,0.233,0.233,0.232,0.232,500,0
