<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDAI.US,60,20240411,160000,2.12,2.14,2.07,2.11,39963,0
MDAI.US,60,20240411,170000,2.1008,2.14,2.08,2.1068,31704,0
MDAI.US,60,20240411,180000,2.11,2.115,2.09,2.105,30891,0
MDAI.US,60,20240411,190000,2.1,2.101,2.08,2.0898,20332,0
MDAI.US,60,20240411,200000,2.09,2.09,2.055,2.08,52790,0
MDAI.US,60,20240411,210000,2.0819,2.09,2.07,2.07,7042,0
MDAI.US,60,20240411,220000,2.0601,2.075,2.04,2.04,49241,0
MDAI.US,60,20240412,160000,2.05,2.05,2.01,2.02,22112,0
MDAI.US,60,20240412,170000,2.01,2.03,2,2.02,58782,0
MDAI.US,60,20240412,180000,2.0101,2.03,2.0001,2.0161,11723,0
MDAI.US,60,20240412,190000,2.02,2.03,2.01,2.02,15361,0
MDAI.US,60,20240412,200000,2.025,2.03,2.02,2.025,9584,0
MDAI.US,60,20240412,210000,2.0299,2.03,2.009,2.009,37419,0
MDAI.US,60,20240412,220000,2.005,2.01,1.99,2.005,50996,0
MDAI.US,60,20240415,160000,2.01,2.01,1.9503,1.985,34299,0
MDAI.US,60,20240415,170000,1.988,1.99,1.9405,1.95,43819,0
MDAI.US,60,20240415,180000,1.96,1.97,1.921,1.97,21867,0
MDAI.US,60,20240415,190000,1.965,1.99,1.9608,1.9707,13891,0
MDAI.US,60,20240415,200000,1.975,1.98,1.96,1.975,7779,0
MDAI.US,60,20240415,210000,1.9799,1.9799,1.96,1.9707,15843,0
MDAI.US,60,20240415,220000,1.98,1.99,1.96,1.99,15566,0
MDAI.US,60,20240416,160000,2,2,1.91,1.96,23014,0
MDAI.US,60,20240416,170000,1.9607,2.023,1.9607,2.02,16808,0
MDAI.US,60,20240416,180000,2.0081,2.0201,2.0081,2.015,54500,0
MDAI.US,60,20240416,190000,2.0199,2.0199,2.01,2.01,3656,0
MDAI.US,60,20240416,200000,2.01,2.01,1.9999,1.9999,5824,0
MDAI.US,60,20240416,210000,1.99,2.0098,1.99,1.99,3338,0
MDAI.US,60,20240416,220000,1.995,1.995,1.945,1.98,37616,0
MDAI.US,60,20240417,160000,1.97,1.98,1.9,1.905,25348,0
MDAI.US,60,20240417,170000,1.9,1.93,1.86,1.91,98454,0
MDAI.US,60,20240417,180000,1.9,1.94,1.9,1.9,25970,0
MDAI.US,60,20240417,190000,1.91,1.93,1.89,1.895,15407,0
MDAI.US,60,20240417,200000,1.9,1.92,1.88,1.915,29068,0
MDAI.US,60,20240417,210000,1.919,1.9393,1.915,1.931,6720,0
MDAI.US,60,20240417,220000,1.935,1.97,1.91,1.91,38948,0
MDAI.US,60,20240418,160000,1.92,1.94,1.8801,1.9054,21794,0
MDAI.US,60,20240418,170000,1.91,1.92,1.88,1.9105,24226,0
MDAI.US,60,20240418,180000,1.92,1.93,1.9,1.9,9995,0
MDAI.US,60,20240418,190000,1.915,1.915,1.9,1.9,11330,0
MDAI.US,60,20240418,200000,1.9,1.9,1.87,1.895,20672,0
MDAI.US,60,20240418,210000,1.8994,1.94,1.8994,1.925,24798,0
MDAI.US,60,20240418,220000,1.92,1.93,1.89,1.89,18211,0
MDAI.US,60,20240419,160000,1.89,1.89,1.81,1.8297,13228,0
MDAI.US,60,20240419,170000,1.836,1.85,1.81,1.8493,33674,0
MDAI.US,60,20240419,180000,1.8492,1.86,1.83,1.84,27050,0
MDAI.US,60,20240419,190000,1.86,1.86,1.8,1.81,48262,0
MDAI.US,60,20240419,200000,1.815,1.8201,1.79,1.8086,36663,0
MDAI.US,60,20240419,210000,1.8009,1.81,1.78,1.7803,46330,0
