<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLGO.US,60,20240411,160000,62.2,62.2,59.2,60.17,840.75,0
MLGO.US,60,20240411,170000,61.2,61.2,59.7,60.4,1288.2,0
MLGO.US,60,20240411,180000,60.6,61.3,60.2,61.3,565.2,0
MLGO.US,60,20240411,190000,60.914,62.2,60.8,61.6,977.7,0
MLGO.US,60,20240411,200000,61.5,62,60.2,60.586,511.7,0
MLGO.US,60,20240411,210000,60.6,60.6,59.4,59.6,535.6,0
MLGO.US,60,20240411,220000,59.4,61,58.4,60.4,1489.55,0
MLGO.US,60,20240412,160000,60.4,60.4,56.608,59,1987.3000000000002,0
MLGO.US,60,20240412,170000,59,59.4,58.2,58.6,749.2,0
MLGO.US,60,20240412,180000,58.8,58.8,56,56.2,2321.25,0
MLGO.US,60,20240412,190000,56.292,57.684,55.6,57.158,1457.9,0
MLGO.US,60,20240412,200000,57,57.4,56.4,56.6,694.05,0
MLGO.US,60,20240412,210000,56.8,57,55.8,56.2,1055.25,0
MLGO.US,60,20240412,220000,56.2,56.8,55.8,56.1,875.9,0
MLGO.US,60,20240415,160000,55.4,56,53.236,55.3,1890.5,0
MLGO.US,60,20240415,170000,55,55.6,53.9,53.994,1377.95,0
MLGO.US,60,20240415,180000,53.868,54,52.8,52.8,1299.35,0
MLGO.US,60,20240415,190000,53.4,53.4,51.4,51.8,1626.45,0
MLGO.US,60,20240415,200000,51.8,52,50.4,51.316,1660.3,0
MLGO.US,60,20240415,210000,51,51.392,50.2,50.4,847.4,0
MLGO.US,60,20240415,220000,50.2,50.4,48.4,49.8,2076.95,0
MLGO.US,60,20240416,160000,46.6,47,45,45.6,1535.95,0
MLGO.US,60,20240416,170000,45.45,51.476,45.45,50.4,4656.1,0
MLGO.US,60,20240416,180000,50.6,52.5,50.402,51.6,2191.6,0
MLGO.US,60,20240416,190000,51,53.4,50.2,52.2,1748.55,0
MLGO.US,60,20240416,200000,52.4,55.6,51.9,55.6,3053.85,0
MLGO.US,60,20240416,210000,55.784,57.6,52.2,52.4,5184.05,0
MLGO.US,60,20240416,220000,52.2,52.598,50.04,51.1,1842.7,0
MLGO.US,60,20240417,160000,51.4,51.4,49.2,49.2,723.1,0
MLGO.US,60,20240417,170000,49.4,49.6,48.4,48.406,1247.65,0
MLGO.US,60,20240417,180000,48.5,49,48.3,48.4,561.6,0
MLGO.US,60,20240417,190000,48.428,48.7,46.8,47,949.05,0
MLGO.US,60,20240417,200000,47.2,48.014,47.148,48,696.4,0
MLGO.US,60,20240417,210000,48.008,48.4,47.6,47.6,641,0
MLGO.US,60,20240417,220000,47.4,47.79,47,47.4,679.95,0
MLGO.US,60,20240418,160000,48,54.4,48,52.5,13247.050000000001,0
MLGO.US,60,20240418,170000,52.8,52.8,49,49.234,5286.95,0
MLGO.US,60,20240418,180000,49.4,51.1,49.2,50.994,2496.45,0
MLGO.US,60,20240418,190000,50.7,52.8,48,49.2,4973.2,0
MLGO.US,60,20240418,200000,48.606,49.4,48.2,48.2,1438.1,0
MLGO.US,60,20240418,210000,48.2,48.6,47,47.398,2987.75,0
MLGO.US,60,20240418,220000,47.194,50,47.1,49.6,2235.35,0
MLGO.US,60,20240419,160000,46.6,48,46.6,47.98,823.25,0
MLGO.US,60,20240419,170000,47.8,48.2,46.6,48.2,1800.5,0
MLGO.US,60,20240419,180000,48.2,49.6,47.782,49,1729.2,0
MLGO.US,60,20240419,190000,48.8,48.82,46.6,47,1442.9,0
MLGO.US,60,20240419,200000,47.594,47.594,46.2,46.602,1364.75,0
MLGO.US,60,20240419,210000,46.8,47,46.4,46.6,906.05,0
MLGO.US,60,20240419,220000,46.604,47.4,46.4,47,1145.3,0
MLGO.US,60,20240422,160000,46.8,47.7,46.406,46.8,853.95,0
MLGO.US,60,20240422,170000,46.91,46.91,44.6,45.6,1454.5,0
MLGO.US,60,20240422,180000,45.4,45.598,44.8,44.9,1193.6,0
MLGO.US,60,20240422,190000,45,45.2,43.412,44.6,2381.75,0
MLGO.US,60,20240422,200000,44.6,44.8,44,44.6,1055.9,0
MLGO.US,60,20240422,210000,44.8,46.8,44.8,46.8,1798.1,0
MLGO.US,60,20240422,220000,47,48,47,47.7,1864.45,0
MLGO.US,60,20240423,160000,47,48.006,46.246,48,1242.65,0
MLGO.US,60,20240423,170000,47.8,47.8,46.21,46.59,795.45,0
MLGO.US,60,20240423,180000,46.2,46.2,45.6,46.19,942.8,0
MLGO.US,60,20240423,190000,46.2,47.4,45.6,46,1554.15,0
MLGO.US,60,20240423,200000,46.2,46.4,45.8,46.2,773.1,0
MLGO.US,60,20240423,210000,46.2,47.4,46,46.4,702.05,0
MLGO.US,60,20240423,220000,46.6,47.4,46.2,46.6,411.95,0
MLGO.US,60,20240424,160000,46.6,48.4,46.4,47.406,1892.0500000000002,0
MLGO.US,60,20240424,170000,47.4,52.8,47.4,49.612,7698.55,0
MLGO.US,60,20240424,180000,49.8,52.4,48.4,52.376,3062.4,0
MLGO.US,60,20240424,190000,52.2,52.8,50.6,52.4,3460.55,0
MLGO.US,60,20240424,200000,52.114,55.198,51,54.4,7077.95,0
MLGO.US,60,20240424,210000,54,54,51.674,52.3,2677.35,0
MLGO.US,60,20240424,220000,52.3,52.63,51,51.8,3710.05,0
MLGO.US,60,20240425,160000,51.8,51.8,47.2,47.2,2885.3,0
MLGO.US,60,20240425,170000,47.602,49.77,47.4,48.4,3675.25,0
MLGO.US,60,20240425,180000,48.6,48.6,46.6,47,2159.75,0
MLGO.US,60,20240425,190000,47.002,48.2,46.8,47.8,1415.65,0
MLGO.US,60,20240425,200000,47.8,50.896,47.8,49.2,2612.35,0
MLGO.US,60,20240425,210000,49.4,50,48.6,48.6,297.55,0
MLGO.US,60,20240425,220000,47.8,49.4,47.2,49.4,1255.9,0
MLGO.US,60,20240426,160000,50,50.894,48.6,50,768.7,0
MLGO.US,60,20240426,170000,50.002,51.622,50.002,51.2,2862.75,0
MLGO.US,60,20240426,180000,51.2,51.2,49,49.406,1199.25,0
MLGO.US,60,20240426,190000,49.8,50,48.2,49,950.85,0
MLGO.US,60,20240426,200000,49.2,49.8,48.4,48.6,480.4,0
MLGO.US,60,20240426,210000,48.866,50,48.4,49,1826.2,0
MLGO.US,60,20240426,220000,48.6,48.8,48.2,48.4,998.45,0
MLGO.US,60,20240429,160000,48,49.4,47.2,48.4,6609.8,0
MLGO.US,60,20240429,170000,48.596,53.4,48.2,52.8,10118.85,0
MLGO.US,60,20240429,180000,53,53.12,49.6,50.2,12004,0
MLGO.US,60,20240429,190000,50.598,50.79,49,49.598,1783.95,0
MLGO.US,60,20240429,200000,49.4,49.57,48.6,49.57,459,0
MLGO.US,60,20240429,210000,49.576,49.998,48,48.002,1507.7,0
MLGO.US,60,20240429,220000,48.3,49.6,48.3,49.2,638.35,0
MLGO.US,60,20240430,160000,49.6,49.6,47.108,48.2,1264.65,0
MLGO.US,60,20240430,170000,48.4,50.4,48.4,50.4,910.15,0
MLGO.US,60,20240430,180000,50.2,50.802,49.202,50,1356,0
MLGO.US,60,20240430,190000,50,50.6,49.2,50,436.45,0
MLGO.US,60,20240430,200000,50.1,50.8,50.1,50.8,479.75,0
MLGO.US,60,20240430,210000,50.4,52,50.4,50.8,1774.7,0
MLGO.US,60,20240430,220000,50.854,50.998,49.4,49.4,1553.75,0
MLGO.US,60,20240501,160000,48.6,49.8,48.276,48.81,483.25,0
MLGO.US,60,20240501,170000,48.6,50,48.6,49.4,676.1,0
MLGO.US,60,20240501,180000,49.606,51,49.6,50.582,845.65,0
MLGO.US,60,20240501,190000,50.208,54.2,50.2,52.6,4188.3,0
MLGO.US,60,20240501,200000,52.604,53,51.6,51.6,1174,0
MLGO.US,60,20240501,210000,51.962,52,50.8,51.2,385.95,0
MLGO.US,60,20240501,220000,51.2,52,49.8,49.9,2847.25,0
MLGO.US,60,20240502,160000,50,50.8,49.6,49.708,341.6,0
MLGO.US,60,20240502,170000,49.6,49.798,49,49,751.6,0
MLGO.US,60,20240502,180000,49.6,49.6,48.6,49.3,498.1,0
MLGO.US,60,20240502,190000,49.2,49.8,49,49.204,437.45,0
MLGO.US,60,20240502,200000,49.4,50.6,49.202,49.9,638.8,0
MLGO.US,60,20240502,210000,49.4,49.7,49,49.6,460.45,0
MLGO.US,60,20240502,220000,50,50,49.2,49.2,657.35,0
MLGO.US,60,20240503,160000,50,50,48.602,49.01,515.4,0
MLGO.US,60,20240503,170000,49.4,49.8,48.6,49,382.65,0
MLGO.US,60,20240503,180000,48.8,49,48,48.004,941.1,0
MLGO.US,60,20240503,190000,48.2,49.2,48,48.6,1015.6,0
MLGO.US,60,20240503,200000,48.4,48.6,47.8,48.002,1026.6,0
MLGO.US,60,20240503,210000,48.2,49,48,48.6,660.95,0
MLGO.US,60,20240503,220000,48.6,48.8,48,48.4,348.25,0
MLGO.US,60,20240506,160000,48.8,49,48,48.2,659.95,0
MLGO.US,60,20240506,170000,48.2,49.598,48,49.4,1294.95,0
MLGO.US,60,20240506,180000,49.2,51.8,49,51,5439.4,0
MLGO.US,60,20240506,190000,50.836,56,50.4,53.4,10386.45,0
MLGO.US,60,20240506,200000,53.3,54.958,52.002,53.2,5981.2,0
MLGO.US,60,20240506,210000,53.2,56,51,51.6,7066.5,0
MLGO.US,60,20240506,220000,51.778,52.6,51.2,51.4,4114.1,0
MLGO.US,60,20240507,160000,50.2,50.476,47.6,48.202,3439.55,0
MLGO.US,60,20240507,170000,48.2,50.8,48,49,1977.75,0
MLGO.US,60,20240507,180000,49.004,49.598,48,48.6,811.65,0
MLGO.US,60,20240507,190000,48.402,48.998,48,48.96,290.6,0
MLGO.US,60,20240507,200000,49,49,47.6,47.6,892.95,0
MLGO.US,60,20240507,210000,47.6,48.6,47.6,48.202,522.85,0
MLGO.US,60,20240507,220000,48.2,49.2,48,48.8,752.75,0
MLGO.US,60,20240508,160000,48.2,48.2,46.8,47.4,1066.75,0
MLGO.US,60,20240508,170000,47.2,48.6,47.2,47.6,602.75,0
MLGO.US,60,20240508,180000,47.2,48.1,47,47.82,689.5,0
MLGO.US,60,20240508,190000,48.398,48.6,47.8,48.3,321.95,0
MLGO.US,60,20240508,200000,48.6,49,47.8,47.8,260.6,0
MLGO.US,60,20240508,210000,48,49,48,48.2,131.9,0
MLGO.US,60,20240508,220000,48.2,49.4,48.2,49,651.05,0
MLGO.US,60,20240509,160000,48.2,48.448,47.8,47.8,583.8000000000001,0
MLGO.US,60,20240509,170000,48,48,47.6,47.96,187.45,0
MLGO.US,60,20240509,180000,47.8,50,47.8,49.4,733,0
MLGO.US,60,20240509,190000,49.868,51,49.6,49.6,1254.5,0
MLGO.US,60,20240509,200000,50.32,50.4,49,49.8,220.4,0
MLGO.US,60,20240509,210000,49.6,49.8,48.6,49.4,275.9,0
MLGO.US,60,20240509,220000,49,50,49,49.6,579,0
MLGO.US,60,20240510,160000,50,50,47.81,48.6,700.3000000000001,0
MLGO.US,60,20240510,170000,48.616,49,48,48.798,528.45,0
MLGO.US,60,20240510,180000,48.202,48.6,46,46,2984.4,0
MLGO.US,60,20240510,190000,46.2,46.6,46,46.6,661.95,0
MLGO.US,60,20240510,200000,46.6,46.6,45.6,45.6,1188.95,0
MLGO.US,60,20240510,210000,45.8,45.8,44.2,44.2,2457.1,0
MLGO.US,60,20240510,220000,44.398,46.4,44.398,45.2,3349.8,0
MLGO.US,60,20240513,160000,46.2,46.2,45.2,45.8,415.15000000000003,0
MLGO.US,60,20240513,170000,46,47,45,46.98,1699.8,0
MLGO.US,60,20240513,180000,46.8,47.3,45.2,46.4,832.1,0
MLGO.US,60,20240513,190000,46.4,46.6,45,46.2,798.3,0
MLGO.US,60,20240513,200000,46.174,46.6,45.8,46.2,491.9,0
MLGO.US,60,20240513,210000,46,46.4,45.4,46.306,480.85,0
MLGO.US,60,20240513,220000,46.4,46.996,45.4,45.4,2984.1,0
MLGO.US,60,20240514,160000,49.2,53,49.1,52,8062.3,0
MLGO.US,60,20240514,170000,51.798,51.798,49.2,50.8,2686.75,0
MLGO.US,60,20240514,180000,50,50,49.2,49.8,699.1,0
MLGO.US,60,20240514,190000,49.6,49.602,48.4,48.6,1313.9,0
MLGO.US,60,20240514,200000,48.914,49.002,48,48.3,618.95,0
MLGO.US,60,20240514,210000,48.594,48.6,48,48.4,709.15,0
MLGO.US,60,20240514,220000,48.4,49.4,48,49.2,1194.4,0
MLGO.US,60,20240515,160000,48.6,50.4,48,48.6,1483.9,0
MLGO.US,60,20240515,170000,48.614,48.712,48,48.338,1776.65,0
MLGO.US,60,20240515,180000,48.4,49.4,48,48.8,865.6,0
MLGO.US,60,20240515,190000,49.4,49.716,48.2,48.6,753.3,0
MLGO.US,60,20240515,200000,48.6,48.8,47.2,47.8,1316.75,0
MLGO.US,60,20240515,210000,47.7,48.784,47.6,48.2,698.5,0
MLGO.US,60,20240515,220000,47.8,49.3,47.8,49,828.6,0
MLGO.US,60,20240516,160000,49.4,49.998,48.4,49,1096.9,0
MLGO.US,60,20240516,170000,48.602,48.798,47.6,47.8,1189.45,0
MLGO.US,60,20240516,180000,48,48,47.4,47.602,677.55,0
