<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNDO.US,60,20240411,160000,1.93,1.93,1.93,1.93,881,0
MNDO.US,60,20240411,170000,1.94,1.94,1.93,1.93,500,0
MNDO.US,60,20240411,180000,1.93,1.93,1.9299,1.93,300,0
MNDO.US,60,20240411,190000,1.93,1.93,1.93,1.93,1260,0
MNDO.US,60,20240411,200000,1.92,1.93,1.92,1.92,603,0
MNDO.US,60,20240411,210000,1.94,1.94,1.94,1.94,100,0
MNDO.US,60,20240411,220000,1.936,1.938,1.93,1.935,1624,0
MNDO.US,60,20240412,160000,1.94,1.94,1.9,1.93,6892,0
MNDO.US,60,20240412,170000,1.92,1.94,1.9001,1.9001,7087,0
MNDO.US,60,20240412,180000,1.9199,1.92,1.9199,1.92,4150,0
MNDO.US,60,20240412,190000,1.925,1.93,1.925,1.93,592,0
MNDO.US,60,20240412,210000,1.91,1.92,1.9,1.91,6434,0
MNDO.US,60,20240412,220000,1.92,1.92,1.9,1.91,10759,0
MNDO.US,60,20240415,160000,1.92,1.96,1.9102,1.96,11593,0
MNDO.US,60,20240415,170000,1.93,1.94,1.9,1.91,8015,0
MNDO.US,60,20240415,180000,1.91,1.91,1.9,1.91,6736,0
MNDO.US,60,20240415,190000,1.901,1.905,1.9,1.9,6644,0
MNDO.US,60,20240415,200000,1.9,1.9,1.89,1.9,10626,0
MNDO.US,60,20240415,210000,1.888,1.888,1.888,1.888,100,0
MNDO.US,60,20240415,220000,1.89,1.91,1.88,1.89,14084,0
MNDO.US,60,20240416,160000,1.94,1.94,1.88,1.885,3303,0
MNDO.US,60,20240416,170000,1.89,1.92,1.89,1.9,2850,0
MNDO.US,60,20240416,180000,1.91,1.91,1.905,1.905,4978,0
MNDO.US,60,20240416,190000,1.9,1.9,1.88,1.88,3525,0
MNDO.US,60,20240416,210000,1.89,1.89,1.89,1.89,100,0
MNDO.US,60,20240416,220000,1.9,1.9,1.88,1.885,10820,0
MNDO.US,60,20240417,160000,1.94,1.94,1.89,1.9,5695,0
MNDO.US,60,20240417,170000,1.8905,1.91,1.88,1.895,7658,0
MNDO.US,60,20240417,180000,1.898,1.9,1.898,1.9,504,0
MNDO.US,60,20240417,190000,1.89,1.89,1.885,1.885,606,0
MNDO.US,60,20240417,200000,1.888,1.888,1.888,1.888,100,0
MNDO.US,60,20240417,210000,1.885,1.885,1.8803,1.885,426,0
MNDO.US,60,20240417,220000,1.89,1.896,1.885,1.885,4363,0
MNDO.US,60,20240418,160000,1.93,1.95,1.8906,1.8906,2778,0
MNDO.US,60,20240418,170000,1.91,1.91,1.9,1.9,256,0
MNDO.US,60,20240418,180000,1.9,1.91,1.9,1.91,3830,0
MNDO.US,60,20240418,190000,1.9003,1.9014,1.87,1.87,3711,0
MNDO.US,60,20240418,200000,1.86,1.87,1.85,1.85,6051,0
MNDO.US,60,20240418,210000,1.85,1.8599,1.85,1.85,6200,0
MNDO.US,60,20240418,220000,1.85,1.8584,1.85,1.855,8883,0
MNDO.US,60,20240419,160000,1.93,1.94,1.9099,1.9099,5255,0
MNDO.US,60,20240419,170000,1.88,1.881,1.88,1.881,723,0
MNDO.US,60,20240419,180000,1.89,1.89,1.89,1.89,200,0
MNDO.US,60,20240419,190000,1.8808,1.89,1.8808,1.89,400,0
MNDO.US,60,20240419,200000,1.89,1.89,1.8883,1.8883,1181,0
MNDO.US,60,20240419,210000,1.8881,1.8881,1.8881,1.8881,100,0
MNDO.US,60,20240419,220000,1.8801,1.885,1.88,1.885,746,0
MNDO.US,60,20240422,160000,1.88,1.885,1.88,1.8818,2476,0
MNDO.US,60,20240422,170000,1.8801,1.89,1.8801,1.8801,3210,0
MNDO.US,60,20240422,180000,1.89,1.89,1.88,1.88,228,0
MNDO.US,60,20240422,190000,1.88,1.88,1.88,1.88,1092,0
MNDO.US,60,20240422,200000,1.87,1.8799,1.87,1.8799,2095,0
MNDO.US,60,20240422,210000,1.8799,1.8799,1.86,1.8744,3215,0
MNDO.US,60,20240422,220000,1.87,1.87,1.87,1.87,115,0
MNDO.US,60,20240423,160000,1.91,1.91,1.9,1.9,2466,0
MNDO.US,60,20240423,170000,1.9,1.9,1.9,1.9,239,0
MNDO.US,60,20240423,180000,1.895,1.895,1.89,1.89,1962,0
MNDO.US,60,20240423,190000,1.88,1.88,1.85,1.86,13387,0
MNDO.US,60,20240423,200000,1.861,1.88,1.86,1.88,1200,0
MNDO.US,60,20240423,210000,1.88,1.88,1.87,1.87,600,0
MNDO.US,60,20240423,220000,1.8769,1.88,1.87,1.88,1000,0
MNDO.US,60,20240424,160000,1.86,1.88,1.86,1.88,2553,0
MNDO.US,60,20240424,170000,1.88,1.89,1.87,1.87,1412,0
MNDO.US,60,20240424,180000,1.89,1.89,1.89,1.89,100,0
MNDO.US,60,20240424,200000,1.87,1.88,1.8687,1.87,8794,0
MNDO.US,60,20240424,210000,1.86,1.87,1.86,1.8618,6562,0
MNDO.US,60,20240424,220000,1.89,1.89,1.87,1.87,400,0
MNDO.US,60,20240425,160000,1.88,1.89,1.88,1.89,910,0
MNDO.US,60,20240425,170000,1.875,1.8789,1.875,1.8789,4483,0
MNDO.US,60,20240425,180000,1.86,1.87,1.86,1.87,1771,0
MNDO.US,60,20240425,190000,1.8601,1.88,1.86,1.86,3205,0
MNDO.US,60,20240425,200000,1.87,1.87,1.86,1.86,2711,0
MNDO.US,60,20240425,210000,1.87,1.87,1.87,1.87,2557,0
MNDO.US,60,20240425,220000,1.87,1.88,1.87,1.88,5579,0
MNDO.US,60,20240426,160000,1.88,1.88,1.88,1.88,3099,0
MNDO.US,60,20240426,170000,1.89,1.91,1.8879,1.89,2200,0
MNDO.US,60,20240426,180000,1.87,1.88,1.87,1.88,1818,0
MNDO.US,60,20240426,190000,1.89,1.89,1.88,1.88,2100,0
MNDO.US,60,20240426,200000,1.8799,1.88,1.8799,1.88,600,0
MNDO.US,60,20240426,210000,1.87,1.8854,1.87,1.8854,508,0
MNDO.US,60,20240426,220000,1.8819,1.8819,1.87,1.87,3014,0
MNDO.US,60,20240429,160000,1.89,1.89,1.872,1.885,846,0
MNDO.US,60,20240429,170000,1.885,1.8911,1.86,1.86,300,0
MNDO.US,60,20240429,190000,1.88,1.89,1.88,1.8892,1379,0
MNDO.US,60,20240429,200000,1.87,1.87,1.87,1.87,1000,0
MNDO.US,60,20240429,210000,1.89,1.89,1.89,1.89,3000,0
MNDO.US,60,20240429,220000,1.9,1.9,1.9,1.9,100,0
MNDO.US,60,20240430,160000,1.9,1.9,1.89,1.89,2506,0
MNDO.US,60,20240430,170000,1.8932,1.9,1.8932,1.9,1582,0
MNDO.US,60,20240430,180000,1.9,1.9,1.89,1.89,730,0
MNDO.US,60,20240430,210000,1.8907,1.9,1.8907,1.9,1100,0
MNDO.US,60,20240430,220000,1.89,1.89,1.89,1.89,231,0
MNDO.US,60,20240501,160000,1.89,1.89,1.89,1.89,1379,0
MNDO.US,60,20240501,170000,1.9,1.91,1.89,1.89,1599,0
MNDO.US,60,20240501,180000,1.8999,1.9,1.89,1.89,4941,0
MNDO.US,60,20240501,190000,1.8802,1.8802,1.8802,1.8802,2937,0
MNDO.US,60,20240501,200000,1.88,1.885,1.8602,1.88,15459,0
MNDO.US,60,20240501,220000,1.8797,1.9,1.87,1.9,3000,0
MNDO.US,60,20240502,160000,1.91,1.91,1.875,1.9099,3224,0
MNDO.US,60,20240502,180000,1.8888,1.8888,1.8888,1.8888,482,0
MNDO.US,60,20240502,200000,1.885,1.885,1.87,1.87,2062,0
MNDO.US,60,20240502,210000,1.8717,1.88,1.8659,1.88,6879,0
MNDO.US,60,20240502,220000,1.87,1.88,1.87,1.88,17394,0
MNDO.US,60,20240503,160000,1.9,1.9,1.85,1.89,24591,0
MNDO.US,60,20240503,170000,1.87,1.88,1.87,1.88,1522,0
MNDO.US,60,20240503,180000,1.8713,1.8998,1.8713,1.8998,15651,0
MNDO.US,60,20240503,190000,1.88,1.8801,1.88,1.88,4220,0
MNDO.US,60,20240503,200000,1.89,1.89,1.89,1.89,632,0
MNDO.US,60,20240503,210000,1.88,1.8999,1.88,1.8999,12267,0
MNDO.US,60,20240503,220000,1.89,1.89,1.885,1.885,506,0
MNDO.US,60,20240506,160000,1.9,1.9,1.9,1.9,2297,0
MNDO.US,60,20240506,170000,1.88,1.8889,1.88,1.88,4465,0
MNDO.US,60,20240506,180000,1.8701,1.899,1.8701,1.88,11554,0
MNDO.US,60,20240506,190000,1.88,1.88,1.88,1.88,200,0
MNDO.US,60,20240506,200000,1.88,1.8871,1.88,1.8871,666,0
MNDO.US,60,20240506,210000,1.8855,1.8866,1.88,1.88,1771,0
MNDO.US,60,20240506,220000,1.8899,1.8899,1.87,1.87,8228,0
MNDO.US,60,20240507,160000,1.87,1.88,1.87,1.88,4374,0
MNDO.US,60,20240507,190000,1.88,1.88,1.88,1.88,100,0
MNDO.US,60,20240507,200000,1.9,1.9,1.88,1.89,1300,0
MNDO.US,60,20240507,210000,1.89,1.89,1.89,1.89,100,0
MNDO.US,60,20240507,220000,1.885,1.885,1.885,1.885,100,0
MNDO.US,60,20240508,160000,1.88,1.92,1.88,1.91,5896,0
MNDO.US,60,20240508,170000,1.91,1.91,1.9001,1.9001,625,0
MNDO.US,60,20240508,180000,1.91,1.91,1.9001,1.91,3827,0
MNDO.US,60,20240508,190000,1.9,1.905,1.9,1.905,201,0
MNDO.US,60,20240508,200000,1.905,1.905,1.905,1.905,200,0
MNDO.US,60,20240508,210000,1.91,1.91,1.91,1.91,514,0
MNDO.US,60,20240508,220000,1.91,1.91,1.9093,1.9093,1100,0
MNDO.US,60,20240509,160000,1.9,1.9,1.9,1.9,2633,0
MNDO.US,60,20240509,170000,1.9,1.91,1.9,1.91,800,0
MNDO.US,60,20240509,180000,1.91,1.91,1.905,1.91,48831,0
MNDO.US,60,20240509,190000,1.915,1.9199,1.915,1.9199,2999,0
MNDO.US,60,20240509,200000,1.915,1.915,1.915,1.915,100,0
MNDO.US,60,20240509,210000,1.9198,1.9198,1.915,1.915,1100,0
MNDO.US,60,20240509,220000,1.912,1.915,1.91,1.915,6768,0
MNDO.US,60,20240510,160000,1.93,1.94,1.9269,1.94,14709,0
MNDO.US,60,20240510,170000,1.94,1.95,1.915,1.915,15876,0
MNDO.US,60,20240510,190000,1.9039,1.9039,1.9039,1.9039,300,0
MNDO.US,60,20240510,200000,1.9,1.9,1.8904,1.9,1857,0
MNDO.US,60,20240510,210000,1.89,1.8995,1.89,1.89,1348,0
MNDO.US,60,20240510,220000,1.89,1.8901,1.88,1.89,1748,0
MNDO.US,60,20240513,160000,1.91,1.91,1.9,1.9,1382,0
MNDO.US,60,20240513,170000,1.9,1.92,1.9,1.9,2672,0
MNDO.US,60,20240513,180000,1.91,1.91,1.86,1.89,14457,0
MNDO.US,60,20240513,190000,1.8899,1.8899,1.88,1.88,1000,0
MNDO.US,60,20240513,200000,1.89,1.89,1.8878,1.89,540,0
MNDO.US,60,20240513,210000,1.8796,1.8796,1.8796,1.8796,400,0
MNDO.US,60,20240513,220000,1.89,1.89,1.88,1.88,1756,0
MNDO.US,60,20240514,160000,1.88,1.88,1.88,1.88,5619,0
MNDO.US,60,20240514,170000,1.87,1.88,1.87,1.8765,4838,0
MNDO.US,60,20240514,180000,1.87,1.8793,1.87,1.8793,1156,0
MNDO.US,60,20240514,190000,1.8754,1.88,1.8754,1.88,499,0
MNDO.US,60,20240514,200000,1.8712,1.8712,1.8712,1.8712,180,0
MNDO.US,60,20240514,210000,1.87,1.875,1.87,1.875,377,0
MNDO.US,60,20240514,220000,1.875,1.875,1.87,1.875,1445,0
MNDO.US,60,20240515,160000,1.89,1.89,1.87,1.89,2986,0
MNDO.US,60,20240515,170000,1.89,1.89,1.86,1.8732,7285,0
MNDO.US,60,20240515,180000,1.8833,1.89,1.8833,1.89,12689,0
MNDO.US,60,20240515,190000,1.8724,1.8724,1.8724,1.8724,100,0
MNDO.US,60,20240515,200000,1.8899,1.8899,1.87,1.88,3080,0
MNDO.US,60,20240515,210000,1.8799,1.8799,1.87,1.87,7284,0
MNDO.US,60,20240515,220000,1.8755,1.89,1.87,1.88,20915,0
MNDO.US,60,20240516,160000,1.89,1.89,1.8815,1.8815,5854,0
MNDO.US,60,20240516,170000,1.89,1.89,1.88,1.88,1699,0
MNDO.US,60,20240516,180000,1.8899,1.8899,1.8899,1.8899,2651,0
MNDO.US,60,20240516,190000,1.874,1.88,1.8701,1.88,3091,0
MNDO.US,60,20240516,200000,1.88,1.885,1.88,1.88,6286,0
MNDO.US,60,20240516,210000,1.8799,1.88,1.8796,1.88,2400,0
MNDO.US,60,20240516,220000,1.875,1.875,1.875,1.875,1969,0
MNDO.US,60,20240517,160000,1.87,1.89,1.87,1.87,1891,0
MNDO.US,60,20240517,170000,1.875,1.875,1.87,1.87,333,0
MNDO.US,60,20240517,180000,1.87,1.878,1.87,1.875,1463,0
MNDO.US,60,20240517,190000,1.875,1.88,1.875,1.875,4977,0
MNDO.US,60,20240517,200000,1.87,1.875,1.865,1.87,12454,0
MNDO.US,60,20240517,210000,1.8799,1.8799,1.8635,1.8635,1285,0
MNDO.US,60,20240517,220000,1.885,1.885,1.885,1.885,100,0
MNDO.US,60,20240520,160000,1.86,1.89,1.86,1.87,8104,0
MNDO.US,60,20240520,170000,1.87,1.89,1.87,1.89,3706,0
MNDO.US,60,20240520,180000,1.87,1.89,1.87,1.89,6322,0
MNDO.US,60,20240520,190000,1.8882,1.8882,1.8876,1.8876,700,0
MNDO.US,60,20240520,200000,1.87,1.87,1.87,1.87,200,0
MNDO.US,60,20240520,210000,1.87,1.88,1.87,1.87,1657,0
MNDO.US,60,20240520,220000,1.8899,1.89,1.87,1.87,1165,0
MNDO.US,60,20240521,160000,1.88,1.888,1.872,1.88,3743,0
MNDO.US,60,20240521,170000,1.875,1.88,1.8701,1.875,10719,0
MNDO.US,60,20240521,180000,1.88,1.88,1.875,1.875,1357,0
MNDO.US,60,20240521,190000,1.88,1.885,1.875,1.8832,19182,0
MNDO.US,60,20240521,200000,1.885,1.89,1.88,1.8836,12676,0
MNDO.US,60,20240521,210000,1.8813,1.8899,1.8813,1.8899,1158,0
MNDO.US,60,20240521,220000,1.88,1.8894,1.88,1.8894,1215,0
MNDO.US,60,20240522,160000,1.9,1.9,1.885,1.885,5140,0
MNDO.US,60,20240522,170000,1.8808,1.89,1.8808,1.89,1281,0
MNDO.US,60,20240522,180000,1.8831,1.8831,1.8831,1.8831,1000,0
MNDO.US,60,20240522,200000,1.89,1.89,1.8899,1.8899,1100,0
MNDO.US,60,20240522,210000,1.88,1.88,1.88,1.88,260,0
