<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUU.US,60,20241014,160000,28.1748,28.1937,27.8014,28.149,10028.355818473201,0
MUU.US,60,20241014,170000,28.1837,28.1837,27.6475,27.6485,40941.147792698,0
MUU.US,60,20241014,180000,27.6375,27.6475,27.4091,27.4588,38126.683035932,0
MUU.US,60,20241014,190000,27.6082,27.6082,27.6082,27.6082,363.5140526628,0
MUU.US,60,20241014,200000,27.6077,27.8858,27.6077,27.8858,6504.988310808,0
MUU.US,60,20241014,210000,27.8957,28.0101,27.8957,27.9553,1306.0324828356,0
MUU.US,60,20241014,220000,27.9057,28.2274,27.9057,28.2274,1914.2388202548,0
MUU.US,60,20241015,160000,28.1738,28.4617,27.6375,27.6375,5278.5059946216,0
MUU.US,60,20241015,170000,27.5978,27.6313,25.2351,26.277,10205.581506198,0
MUU.US,60,20241015,180000,26.1578,26.4558,26.1578,26.4369,704.87489436,0
MUU.US,60,20241015,190000,26.3167,26.3862,26.277,26.3641,2331.121972062,0
MUU.US,60,20241015,200000,26.0138,26.0138,26.0138,26.0138,402.78565392,0
MUU.US,60,20241015,210000,26.1677,26.2919,26.1677,26.2919,1409.74978872,0
MUU.US,60,20241015,220000,25.6336,25.6414,25.5581,25.6254,1228.496244456,0
MUU.US,60,20241016,160000,26.9136,27.3595,26.9136,27.3595,2683.559419242,0
MUU.US,60,20241016,170000,27.4985,28.2271,27.4985,27.7071,5096.2454862228,0
MUU.US,60,20241016,180000,28.144,28.3029,27.8858,27.8858,4783.0796403,0
MUU.US,60,20241016,200000,28.2429,28.2429,28.1639,28.1639,988.8387803736,0
MUU.US,60,20241016,210000,28.3029,28.8392,28.3029,28.8382,805.57130784,0
MUU.US,60,20241016,220000,28.5585,28.5585,28.5214,28.5214,205.4206834992,0
MUU.US,60,20241017,160000,29.4747,30.6068,29.4747,30.0607,6206.9269269072,0
MUU.US,60,20241017,170000,29.5442,30.1401,29.5442,30.0606,5931.018753972,0
MUU.US,60,20241017,180000,30.0706,30.0706,30.0706,30.0706,100.69641348,0
MUU.US,60,20241017,190000,30.3685,30.4877,30.3288,30.4877,1729.9643835864,0
MUU.US,60,20241017,200000,30.5274,30.8253,30.5274,30.8253,302.08924044,0
MUU.US,60,20241017,210000,30.1997,30.3387,30.1997,30.3139,805.57130784,0
MUU.US,60,20241017,220000,30.2493,30.2493,30.0408,30.0408,709.909715034,0
MUU.US,60,20241018,160000,29.9316,30.0507,29.4847,29.6736,2728.872805308,0
MUU.US,60,20241018,170000,29.7925,29.7925,29.296,29.296,3027.9411533436,0
MUU.US,60,20241018,180000,29.1967,29.3705,28.8292,28.8292,2360.3239319712,0
MUU.US,60,20241018,190000,28.7796,28.8541,28.7498,28.7597,1242.5937423432,0
MUU.US,60,20241018,200000,28.9037,28.9683,28.8691,28.9673,1333.2205144752,0
MUU.US,60,20241018,210000,29.0403,29.0968,28.9683,29.0968,2039.10237297,0
MUU.US,60,20241018,220000,29.4151,29.4251,29.4052,29.4251,1208.35696176,0
MUU.US,60,20241021,160000,28.7994,29.0278,28.6008,28.9484,5236.21350096,0
MUU.US,60,20241021,170000,28.9146,28.9146,28.2632,28.3337,5670.2150430588,0
MUU.US,60,20241021,180000,28.1639,28.1639,27.717,27.7468,2114.62468308,0
MUU.US,60,20241021,190000,27.707,27.707,27.6624,27.6624,604.17848088,0
MUU.US,60,20241021,200000,27.8262,28.1341,27.8262,28.1341,6509.0161673472,0
MUU.US,60,20241021,210000,28.0447,28.0447,27.8461,27.8461,11403.86882661,0
MUU.US,60,20241021,220000,27.9877,28.3029,27.9877,28.3029,10480.482714998,0
MUU.US,60,20241022,160000,27.8064,27.8064,27.1013,27.1559,5320.7984882832,0
MUU.US,60,20241022,170000,27.0516,27.1013,26.9722,26.9722,11809.675372934,0
MUU.US,60,20241022,180000,26.9424,26.9523,26.9424,26.9523,775.362383796,0
MUU.US,60,20241022,190000,26.9374,27.3927,26.9374,27.3927,4856.5880221404,0
MUU.US,60,20241022,200000,27.429,27.668,27.3893,27.6648,16915.990500505,0
MUU.US,60,20241022,210000,27.4588,27.4588,27.4588,27.4588,100.69641348,0
MUU.US,60,20241022,220000,27.5084,27.5084,27.5084,27.5084,100.69641348,0
MUU.US,60,20241023,160000,27.0119,27.0119,26.5153,26.6941,1817.570263314,0
MUU.US,60,20241023,170000,26.1678,27.0485,26.1678,27.0169,10746.321246586,0
MUU.US,60,20241023,180000,26.4657,26.5849,26.4657,26.5849,201.39282696,0
