<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBTB.US,60,20240411,160000,34.21,34.21,34,34.1,3296,0
NBTB.US,60,20240411,170000,33.975,33.99,33.72,33.99,4239,0
NBTB.US,60,20240411,180000,33.87,34.21,33.79,34.205,4293,0
NBTB.US,60,20240411,190000,34.1826,34.1826,34,34.135,3089,0
NBTB.US,60,20240411,200000,34.09,34.31,34.03,34.17,8684,0
NBTB.US,60,20240411,210000,34.22,34.27,34.07,34.1,8168,0
NBTB.US,60,20240411,220000,34.11,34.15,33.97,33.97,22494,0
NBTB.US,60,20240412,160000,33.64,34.05,33.59,33.84,3361,0
NBTB.US,60,20240412,170000,33.77,33.85,33.52,33.588,7610,0
NBTB.US,60,20240412,180000,33.64,33.91,33.52,33.91,8585,0
NBTB.US,60,20240412,190000,33.8401,33.88,33.79,33.82,3804,0
NBTB.US,60,20240412,200000,33.82,33.89,33.73,33.89,3000,0
NBTB.US,60,20240412,210000,33.88,33.89,33.66,33.76,10067,0
NBTB.US,60,20240412,220000,33.75,33.87,33.68,33.83,22057,0
NBTB.US,60,20240415,160000,33.75,34.2,33.75,33.85,4069,0
NBTB.US,60,20240415,170000,33.77,33.77,33.3747,33.52,4920,0
NBTB.US,60,20240415,180000,33.52,33.56,33.41,33.56,7127,0
NBTB.US,60,20240415,190000,33.57,33.58,33.4201,33.44,5161,0
NBTB.US,60,20240415,200000,33.435,33.435,33.16,33.22,8979,0
NBTB.US,60,20240415,210000,33.35,33.39,33.2,33.2,4567,0
NBTB.US,60,20240415,220000,33.195,33.59,33.16,33.53,17294,0
NBTB.US,60,20240416,160000,33.21,33.22,33,33.01,4293,0
NBTB.US,60,20240416,170000,33,33.12,32.93,32.9425,8373,0
NBTB.US,60,20240416,180000,33.03,33.305,33.03,33.305,2922,0
NBTB.US,60,20240416,190000,33.21,33.35,33.18,33.21,3744,0
NBTB.US,60,20240416,200000,33.19,33.23,33.06,33.14,4086,0
NBTB.US,60,20240416,210000,33.11,33.31,33.06,33.24,6553,0
NBTB.US,60,20240416,220000,33.26,33.3,33.09,33.09,17891,0
NBTB.US,60,20240417,160000,33.4,33.575,33.4,33.47,1750,0
NBTB.US,60,20240417,170000,33.4,33.455,33.18,33.29,5717,0
NBTB.US,60,20240417,180000,33.3,33.39,33.22,33.38,4382,0
NBTB.US,60,20240417,190000,33.32,33.37,33.26,33.3,4577,0
NBTB.US,60,20240417,200000,33.35,33.58,33.35,33.5,8215,0
NBTB.US,60,20240417,210000,33.495,33.495,33.26,33.28,5179,0
NBTB.US,60,20240417,220000,33.28,33.28,33,33.045,15245,0
NBTB.US,60,20240418,160000,33.04,33.38,33.04,33.23,1480,0
NBTB.US,60,20240418,170000,33.25,33.47,33.16,33.47,4225,0
NBTB.US,60,20240418,180000,33.44,33.53,33.42,33.42,2100,0
NBTB.US,60,20240418,190000,33.445,33.47,33.2818,33.32,4484,0
NBTB.US,60,20240418,200000,33.32,33.52,33.31,33.45,2752,0
NBTB.US,60,20240418,210000,33.46,33.495,33.17,33.33,11969,0
NBTB.US,60,20240418,220000,33.31,33.52,33.25,33.33,23709,0
NBTB.US,60,20240419,160000,33.16,33.85,33.11,33.78,12184,0
NBTB.US,60,20240419,170000,33.865,34.15,33.835,34.11,3467,0
NBTB.US,60,20240419,180000,34.1,34.15,34.06,34.115,2842,0
NBTB.US,60,20240419,190000,34.125,34.2097,33.95,34.16,4635,0
NBTB.US,60,20240419,200000,34.22,34.32,34.18,34.295,3200,0
NBTB.US,60,20240419,210000,34.275,34.275,34.06,34.2289,2472,0
NBTB.US,60,20240419,220000,34.27,34.67,34.2168,34.6,23078,0
NBTB.US,60,20240422,160000,34.59,34.69,34.5,34.68,3288,0
NBTB.US,60,20240422,170000,34.675,34.77,34.59,34.59,3049,0
NBTB.US,60,20240422,180000,34.57,34.83,34.57,34.75,3747,0
NBTB.US,60,20240422,190000,34.73,34.98,34.73,34.92,8886,0
NBTB.US,60,20240422,200000,34.91,35.01,34.88,34.91,2702,0
NBTB.US,60,20240422,210000,34.93,35.01,34.82,34.8809,3762,0
NBTB.US,60,20240422,220000,34.87,34.92,34.65,34.82,19635,0
NBTB.US,60,20240423,160000,35.6,35.82,34.7,35.82,6737,0
NBTB.US,60,20240423,170000,35.735,36.215,35.62,36.145,12843,0
NBTB.US,60,20240423,180000,36.07,36.47,36.07,36.1223,10734,0
NBTB.US,60,20240423,190000,36.1,36.14,35.71,35.82,5967,0
NBTB.US,60,20240423,200000,35.725,36.48,35.725,36.435,8513,0
NBTB.US,60,20240423,210000,36.41,36.51,36.26,36.31,17111,0
NBTB.US,60,20240423,220000,36.28,36.42,35.905,36,37290,0
NBTB.US,60,20240424,160000,35.32,35.65,35.1,35.6,6402,0
NBTB.US,60,20240424,170000,35.675,35.78,35.25,35.4,5708,0
NBTB.US,60,20240424,180000,35.38,35.52,35.21,35.42,7039,0
NBTB.US,60,20240424,190000,35.47,35.6,35.41,35.57,12328,0
NBTB.US,60,20240424,200000,35.58,35.65,35.37,35.505,7803,0
NBTB.US,60,20240424,210000,35.5,35.62,35.33,35.51,9444,0
NBTB.US,60,20240424,220000,35.46,35.99,35.44,35.9,69371,0
NBTB.US,60,20240425,160000,35.49,35.6,35.14,35.29,2303,0
NBTB.US,60,20240425,170000,35.3,35.38,35.1,35.38,4123,0
NBTB.US,60,20240425,180000,35.29,35.39,35.09,35.39,5495,0
