<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIPG.US,60,20240726,170000,13.11,13.1199,9,9.2,227300,0
NIPG.US,60,20240726,180000,9.22,10.225,9,9.4548,323285,0
NIPG.US,60,20240726,190000,9.5,10.8,9.1,9.3,169412,0
NIPG.US,60,20240726,200000,9.3,9.4995,8.04,8.34,155738,0
NIPG.US,60,20240726,210000,8.38,8.85,8.1,8.85,35366,0
NIPG.US,60,20240726,220000,8.71,9.26,8.71,9.02,55506,0
NIPG.US,60,20240729,160000,10.09,10.67,10,10.3675,231574,0
NIPG.US,60,20240729,170000,10.35,13.5,10.35,12.61,1076602,0
NIPG.US,60,20240729,180000,12.686,16.75,12.59,13.834,2618947,0
NIPG.US,60,20240729,190000,13.845,15.42,13.53,14.9861,747265,0
NIPG.US,60,20240729,200000,14.98,14.98,13.5,13.9171,311086,0
NIPG.US,60,20240729,210000,13.9072,14.44,13.5,14.04,285876,0
NIPG.US,60,20240729,220000,14.065,16.5,13.8191,16.5,509487,0
NIPG.US,60,20240730,160000,15.55,17.76,12.47,12.47,452137,0
NIPG.US,60,20240730,170000,11.98,14.87,10.78,13.6181,604787,0
NIPG.US,60,20240730,180000,13.6,13.69,12.32,12.52,200343,0
NIPG.US,60,20240730,190000,12.42,12.6699,12,12.1,94951,0
NIPG.US,60,20240730,200000,12.1,12.59,11.33,12.2,76624,0
NIPG.US,60,20240730,210000,12.05,12.2565,11.8,12.11,31547,0
NIPG.US,60,20240730,220000,12.26,12.48,11.96,12.12,89196,0
NIPG.US,60,20240731,160000,11.19,11.74,10.66,10.78,137871,0
NIPG.US,60,20240731,170000,10.77,11.6,10.66,11.43,166142,0
NIPG.US,60,20240731,180000,11.43,11.5756,10.55,10.6161,121916,0
NIPG.US,60,20240731,190000,10.6256,10.95,10.5103,10.865,59582,0
NIPG.US,60,20240731,200000,10.807,10.95,10.79,10.8,48173,0
NIPG.US,60,20240731,210000,10.9,11.08,10.79,10.815,62225,0
NIPG.US,60,20240731,220000,10.81,10.85,10.6,10.75,105737,0
NIPG.US,60,20240801,160000,11.6,11.95,11.04,11.29,194656,0
NIPG.US,60,20240801,170000,11.1287,11.5,10.6,10.731,65164,0
