<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRSN.US,60,20240411,160000,1.56,1.59,1.51,1.5275,40609,0
NRSN.US,60,20240411,170000,1.5316,1.63,1.5164,1.63,50470,0
NRSN.US,60,20240411,180000,1.59,1.64,1.58,1.64,7449,0
NRSN.US,60,20240411,190000,1.65,1.6799,1.62,1.62,15529,0
NRSN.US,60,20240411,200000,1.66,1.7778,1.61,1.61,19451,0
NRSN.US,60,20240411,210000,1.67,1.71,1.58,1.66,43052,0
NRSN.US,60,20240411,220000,1.66,1.7,1.6,1.68,67900,0
NRSN.US,60,20240412,160000,1.81,1.81,1.68,1.68,28719,0
NRSN.US,60,20240412,170000,1.67,1.72,1.63,1.66,16694,0
NRSN.US,60,20240412,180000,1.64,1.7,1.53,1.53,36100,0
NRSN.US,60,20240412,190000,1.617,1.617,1.57,1.57,11951,0
NRSN.US,60,20240412,200000,1.595,1.61,1.58,1.6,2140,0
NRSN.US,60,20240412,210000,1.59,1.6,1.57,1.57,11256,0
NRSN.US,60,20240412,220000,1.57,1.6,1.55,1.6,34046,0
NRSN.US,60,20240415,160000,1.55,1.6,1.55,1.5943,8806,0
NRSN.US,60,20240415,170000,1.5993,1.66,1.59,1.595,13598,0
NRSN.US,60,20240415,180000,1.56,1.57,1.548,1.57,4468,0
NRSN.US,60,20240415,190000,1.56,1.59,1.5501,1.57,10013,0
NRSN.US,60,20240415,200000,1.57,1.57,1.56,1.56,3347,0
NRSN.US,60,20240415,210000,1.559,1.5781,1.55,1.55,6568,0
NRSN.US,60,20240415,220000,1.55,1.57,1.52,1.5312,19411,0
NRSN.US,60,20240416,160000,1.55,1.55,1.5151,1.55,17925,0
NRSN.US,60,20240416,170000,1.535,1.545,1.52,1.545,12438,0
NRSN.US,60,20240416,180000,1.56,1.66,1.554,1.65,26996,0
NRSN.US,60,20240416,190000,1.659,1.68,1.659,1.6701,12525,0
NRSN.US,60,20240416,200000,1.73,1.73,1.56,1.6272,14985,0
NRSN.US,60,20240416,210000,1.63,1.6394,1.605,1.6192,5715,0
NRSN.US,60,20240416,220000,1.62,1.66,1.6,1.656,14359,0
NRSN.US,60,20240417,160000,1.5601,1.6237,1.5601,1.5704,6756,0
NRSN.US,60,20240417,170000,1.64,1.64,1.6394,1.6394,5150,0
NRSN.US,60,20240417,180000,1.62,1.64,1.5801,1.6,23340,0
NRSN.US,60,20240417,190000,1.592,1.6299,1.592,1.6,1236,0
NRSN.US,60,20240417,200000,1.592,1.6,1.59,1.6,1190,0
NRSN.US,60,20240417,210000,1.6102,1.6102,1.6001,1.6001,8186,0
NRSN.US,60,20240417,220000,1.6,1.62,1.58,1.6,22945,0
NRSN.US,60,20240418,160000,1.59,1.62,1.46,1.474,15597,0
NRSN.US,60,20240418,170000,1.48,1.57,1.46,1.51,27564,0
NRSN.US,60,20240418,180000,1.49,1.5,1.48,1.48,7036,0
NRSN.US,60,20240418,190000,1.5,1.56,1.48,1.51,84223,0
NRSN.US,60,20240418,210000,1.51,1.56,1.51,1.55,4307,0
NRSN.US,60,20240418,220000,1.5101,1.54,1.45,1.52,20902,0
NRSN.US,60,20240419,160000,1.49,1.5198,1.45,1.46,7143,0
NRSN.US,60,20240419,170000,1.47,1.49,1.44,1.44,9661,0
NRSN.US,60,20240419,180000,1.4201,1.53,1.3,1.4092,59759,0
NRSN.US,60,20240419,190000,1.4,1.42,1.4,1.42,4575,0
NRSN.US,60,20240419,200000,1.4301,1.49,1.4301,1.4301,3900,0
NRSN.US,60,20240419,210000,1.43,1.43,1.42,1.42,2782,0
NRSN.US,60,20240419,220000,1.41,1.4454,1.4,1.41,18546,0
NRSN.US,60,20240422,160000,1.4,1.44,1.32,1.38,27617,0
NRSN.US,60,20240422,170000,1.38,1.38,1.3356,1.344,20174,0
NRSN.US,60,20240422,180000,1.36,1.388,1.25,1.2792,58502,0
NRSN.US,60,20240422,190000,1.27,1.27,1.11,1.165,73342,0
NRSN.US,60,20240422,200000,1.165,1.26,1.165,1.2293,10793,0
NRSN.US,60,20240422,210000,1.2282,1.31,1.2,1.295,35474,0
NRSN.US,60,20240422,220000,1.295,1.36,1.295,1.33,13579,0
NRSN.US,60,20240423,160000,1.36,1.36,1.32,1.32,8577,0
NRSN.US,60,20240423,170000,1.3671,1.3744,1.3,1.321,19743,0
NRSN.US,60,20240423,180000,1.31,1.32,1.3,1.32,30970,0
NRSN.US,60,20240423,190000,1.3179,1.3179,1.3,1.305,1253,0
NRSN.US,60,20240423,200000,1.3,1.32,1.3,1.32,13383,0
NRSN.US,60,20240423,210000,1.36,1.36,1.34,1.35,1802,0
NRSN.US,60,20240423,220000,1.36,1.36,1.33,1.36,1600,0
NRSN.US,60,20240424,160000,1.42,1.5,1.3,1.34,41078,0
NRSN.US,60,20240424,170000,1.4427,1.4427,1.32,1.3893,29814,0
NRSN.US,60,20240424,180000,1.3205,1.3623,1.32,1.3499,7911,0
NRSN.US,60,20240424,190000,1.325,1.345,1.31,1.34,6320,0
NRSN.US,60,20240424,200000,1.3599,1.36,1.325,1.325,9509,0
NRSN.US,60,20240424,210000,1.325,1.3299,1.31,1.3269,1049,0
NRSN.US,60,20240424,220000,1.3272,1.36,1.3,1.34,34028,0
NRSN.US,60,20240425,160000,1.31,1.3105,1.23,1.2691,33772,0
NRSN.US,60,20240425,170000,1.2317,1.29,1.23,1.23,7452,0
NRSN.US,60,20240425,180000,1.251,1.27,1.205,1.22,43347,0
NRSN.US,60,20240425,190000,1.25,1.2658,1.22,1.22,5640,0
NRSN.US,60,20240425,200000,1.25,1.25,1.23,1.23,1919,0
NRSN.US,60,20240425,210000,1.23,1.26,1.22,1.26,7184,0
NRSN.US,60,20240425,220000,1.23,1.2999,1.2,1.26,31858,0
NRSN.US,60,20240426,160000,1.24,1.252,1.24,1.24,923,0
NRSN.US,60,20240426,170000,1.272,1.285,1.17,1.27,20047,0
NRSN.US,60,20240426,180000,1.26,1.26,1.21,1.2381,10089,0
NRSN.US,60,20240426,190000,1.23,1.245,1.23,1.245,1206,0
NRSN.US,60,20240426,200000,1.2331,1.25,1.2331,1.25,1603,0
NRSN.US,60,20240426,210000,1.25,1.26,1.25,1.26,3686,0
NRSN.US,60,20240426,220000,1.25,1.27,1.23,1.23,2849,0
NRSN.US,60,20240429,160000,1.23,1.3,1.23,1.3,1072,0
NRSN.US,60,20240429,170000,1.28,1.3199,1.28,1.29,3558,0
NRSN.US,60,20240429,180000,1.29,1.29,1.28,1.2801,2686,0
NRSN.US,60,20240429,190000,1.28,1.2918,1.28,1.29,1890,0
NRSN.US,60,20240429,200000,1.2893,1.2893,1.285,1.285,600,0
NRSN.US,60,20240429,210000,1.298,1.3,1.29,1.29,2100,0
NRSN.US,60,20240429,220000,1.285,1.29,1.285,1.29,420,0
NRSN.US,60,20240430,160000,1.2626,1.2626,1.2626,1.2626,1010,0
NRSN.US,60,20240430,170000,1.37,1.37,1.3,1.3,5500,0
NRSN.US,60,20240430,190000,1.31,1.31,1.31,1.31,500,0
NRSN.US,60,20240430,200000,1.31,1.31,1.3,1.3,951,0
NRSN.US,60,20240430,210000,1.32,1.33,1.31,1.3208,3017,0
NRSN.US,60,20240430,220000,1.3424,1.3424,1.32,1.32,874,0
NRSN.US,60,20240501,160000,1.37,1.415,1.37,1.4,5929,0
NRSN.US,60,20240501,170000,1.4,1.42,1.345,1.345,8942,0
NRSN.US,60,20240501,180000,1.34,1.34,1.315,1.315,2000,0
