<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OMDA.US,60,20250606,180000,23,26.9,22.3,26.89,3747319,0
OMDA.US,60,20250606,190000,26.87,28.4,25.1,25.6369,3074972,0
OMDA.US,60,20250606,200000,25.67,26.29,24.3,25.0501,1060048,0
OMDA.US,60,20250606,210000,25.07,25.33,24.35,25.281,578940,0
OMDA.US,60,20250606,220000,25.3117,25.63,22.31,23,1065412,0
OMDA.US,60,20250609,160000,24.95,24.99,22.01,22.76,684052,0
OMDA.US,60,20250609,170000,22.76,23,22.53,22.8021,289465,0
OMDA.US,60,20250609,180000,22.76,22.81,22.255,22.2715,212339,0
OMDA.US,60,20250609,190000,22.25,22.27,21.07,22.03,448660,0
OMDA.US,60,20250609,200000,22.03,22.73,22.0001,22.5,122939,0
OMDA.US,60,20250609,210000,22.44,22.475,22.17,22.2,50123,0
OMDA.US,60,20250609,220000,22.1564,22.65,21.51,22.6,495503,0
OMDA.US,60,20250610,160000,21.7,21.939,20.5,20.63,323593,0
OMDA.US,60,20250610,170000,20.58,20.739,19.52,19.75,554935,0
OMDA.US,60,20250610,180000,19.76,19.785,19.06,19.38,376378,0
OMDA.US,60,20250610,190000,19.375,19.7,19.2073,19.42,136906,0
OMDA.US,60,20250610,200000,19.47,19.52,19.25,19.2801,100830,0
OMDA.US,60,20250610,210000,19.25,19.25,18.5,18.61,252564,0
OMDA.US,60,20250610,220000,18.66,18.675,18.1,18.2,448990,0
OMDA.US,60,20250611,160000,17.94,17.99,16.01,16.5613,481778,0
OMDA.US,60,20250611,170000,16.5147,17.2,16.28,16.31,306562,0
OMDA.US,60,20250611,180000,16.3123,16.5,15.5,15.8106,655090,0
OMDA.US,60,20250611,190000,15.84,15.99,15.5201,15.905,230461,0
OMDA.US,60,20250611,200000,15.91,15.98,15.705,15.85,115246,0
OMDA.US,60,20250611,210000,15.81,15.81,15.1512,15.5616,284846,0
OMDA.US,60,20250611,220000,15.56,15.965,15.25,15.4,312204,0
OMDA.US,60,20250612,160000,15.43,16.4,15.25,15.275,264155,0
OMDA.US,60,20250612,170000,15.27,15.55,14.8326,15.26,196270,0
OMDA.US,60,20250612,180000,15.26,15.6892,15.23,15.5941,116806,0
OMDA.US,60,20250612,190000,15.6,15.735,15.4201,15.6708,108517,0
OMDA.US,60,20250612,200000,15.7566,16.47,15.6209,16.28,195700,0
OMDA.US,60,20250612,210000,16.2302,16.34,16.15,16.305,55566,0
OMDA.US,60,20250612,220000,16.301,17.18,16.2501,17.18,260018,0
OMDA.US,60,20250613,160000,16.5,17.09,16.07,17.08,191844,0
OMDA.US,60,20250613,170000,17.1193,17.59,16.505,16.805,222792,0
OMDA.US,60,20250613,180000,16.88,17.12,16.7458,17.05,71707,0
OMDA.US,60,20250613,190000,17,17.38,17,17.05,88512,0
OMDA.US,60,20250613,200000,17.1,17.2293,17,17.095,20872,0
OMDA.US,60,20250613,210000,17.09,17.3,16.89,17.215,88261,0
OMDA.US,60,20250613,220000,17.29,17.36,16.915,17.1,271426,0
OMDA.US,60,20250616,160000,16.4,16.8,16.3013,16.8,63722,0
OMDA.US,60,20250616,170000,16.76,17.1478,16.35,16.43,72573,0
OMDA.US,60,20250616,180000,16.42,16.43,16.0257,16.05,94088,0
OMDA.US,60,20250616,190000,16.05,16.2792,16.05,16.11,72881,0
OMDA.US,60,20250616,200000,16.1595,16.2,15.6101,15.655,166688,0
OMDA.US,60,20250616,210000,15.68,15.88,15.65,15.85,50811,0
OMDA.US,60,20250616,220000,15.86,15.8895,15.695,15.74,130210,0
OMDA.US,60,20250617,160000,15.69,15.96,15.12,15.13,53647,0
OMDA.US,60,20250617,170000,15.1434,15.48,14.9,15.12,98889,0
OMDA.US,60,20250617,180000,15.14,15.335,15.03,15.16,40831,0
OMDA.US,60,20250617,190000,15.165,15.39,15.13,15.27,51938,0
OMDA.US,60,20250617,200000,15.31,15.31,14.95,15.13,82580,0
OMDA.US,60,20250617,210000,15.13,15.18,14.975,15,53082,0
OMDA.US,60,20250617,220000,15.02,15.25,15,15.16,76572,0
OMDA.US,60,20250618,160000,15.11,15.37,15.11,15.26,14084,0
OMDA.US,60,20250618,170000,15.2423,15.548,15.15,15.5,48721,0
OMDA.US,60,20250618,180000,15.5,15.72,15.5,15.6,14190,0
OMDA.US,60,20250618,190000,15.5618,15.65,15.34,15.36,15386,0
OMDA.US,60,20250618,200000,15.35,15.4,14.95,14.95,47147,0
OMDA.US,60,20250618,210000,15.0846,15.35,14.8301,14.9,96653,0
OMDA.US,60,20250618,220000,14.9,15.56,14.86,15.49,158667,0
OMDA.US,60,20250620,160000,15.49,15.495,14.5,14.85,106461,0
OMDA.US,60,20250620,170000,14.85,15.0879,14.83,15.0298,73429,0
OMDA.US,60,20250620,180000,14.9903,15.15,14.81,15,48240,0
OMDA.US,60,20250620,190000,15,15.14,14.99,15.0975,36791,0
OMDA.US,60,20250620,200000,15.13,15.325,15.0804,15.125,21909,0
OMDA.US,60,20250620,210000,15.125,15.2,14.955,14.96,34686,0
OMDA.US,60,20250620,220000,14.9606,15.245,14.92,15.2,172115,0
OMDA.US,60,20250623,160000,14.9,14.9,14.3,14.6,67297,0
OMDA.US,60,20250623,170000,14.6116,14.9182,14.6116,14.815,63967,0
OMDA.US,60,20250623,180000,14.815,14.87,14.7,14.77,41108,0
OMDA.US,60,20250623,190000,14.76,14.76,14.31,14.36,98029,0
OMDA.US,60,20250623,200000,14.375,14.48,14.14,14.25,43261,0
OMDA.US,60,20250623,210000,14.2811,14.76,14.27,14.58,79325,0
OMDA.US,60,20250623,220000,14.6,14.85,14.54,14.85,259005,0
OMDA.US,60,20250624,160000,14.58,14.7899,14.41,14.61,27811,0
OMDA.US,60,20250624,170000,14.74,16.18,14.71,16.18,207109,0
OMDA.US,60,20250624,180000,16.15,16.3489,15.82,16.08,111419,0
OMDA.US,60,20250624,190000,16.08,16.39,16,16.27,117067,0
OMDA.US,60,20250624,200000,16.27,16.27,15.8,15.84,55856,0
OMDA.US,60,20250624,210000,15.84,15.88,15.55,15.595,32458,0
OMDA.US,60,20250624,220000,15.5936,16,15.435,15.69,115261,0
OMDA.US,60,20250625,160000,15.72,15.85,15.45,15.495,42620,0
OMDA.US,60,20250625,170000,15.46,15.92,15.21,15.74,48246,0
OMDA.US,60,20250625,180000,15.77,16.79,15.69,16.73,157887,0
OMDA.US,60,20250625,190000,16.75,16.88,16.2186,16.47,63055,0
OMDA.US,60,20250625,200000,16.47,17.49,16.3602,17.35,129809,0
OMDA.US,60,20250625,210000,17.3,17.4599,17,17.4,65500,0
OMDA.US,60,20250625,220000,17.4,17.89,17.3199,17.54,252982,0
OMDA.US,60,20250626,160000,17.56,17.75,17.0204,17.56,56589,0
OMDA.US,60,20250626,170000,17.56,17.8,17.0201,17.69,105579,0
OMDA.US,60,20250626,180000,17.7,18.1,17.59,17.94,104725,0
OMDA.US,60,20250626,190000,18.04,18.05,17.7,17.76,19631,0
OMDA.US,60,20250626,200000,17.7064,18,17.6378,17.98,21093,0
OMDA.US,60,20250626,210000,17.99,18.08,17.85,18,36816,0
OMDA.US,60,20250626,220000,18,18.08,17.79,17.87,110712,0
OMDA.US,60,20250627,160000,17.78,17.85,17.05,17.37,60935,0
OMDA.US,60,20250627,170000,17.37,18.19,17.37,18.135,108126,0
OMDA.US,60,20250627,180000,18.13,18.92,18.04,18.815,144629,0
OMDA.US,60,20250627,190000,18.81,19.105,18.6101,18.82,84067,0
OMDA.US,60,20250627,200000,18.82,18.82,18.1,18.189,35706,0
OMDA.US,60,20250627,210000,18.15,18.27,17.98,17.99,34803,0
OMDA.US,60,20250627,220000,17.92,17.9692,17.58,17.63,59568,0
OMDA.US,60,20250630,160000,17.71,17.87,16.61,16.9,140021,0
OMDA.US,60,20250630,170000,17.07,17.7,16.75,17.045,39690,0
OMDA.US,60,20250630,180000,17.075,17.43,17.013,17.21,24833,0
OMDA.US,60,20250630,190000,17.21,17.49,17.1869,17.275,16613,0
OMDA.US,60,20250630,200000,17.275,17.495,17.1331,17.42,18351,0
OMDA.US,60,20250630,210000,17.49,17.975,17.49,17.78,47416,0
OMDA.US,60,20250630,220000,17.77,18.33,17.5,18.33,185390,0
OMDA.US,60,20250701,160000,19,19.39,18.0677,19.15,246123,0
OMDA.US,60,20250701,170000,19.216,19.47,18.04,18.08,276722,0
OMDA.US,60,20250701,180000,18.05,18.62,17.88,18.44,115853,0
OMDA.US,60,20250701,190000,18.33,18.55,18,18.5299,160504,0
OMDA.US,60,20250701,200000,18.52,18.83,18.42,18.71,24602,0
OMDA.US,60,20250701,210000,18.77,18.85,18.3,18.435,58577,0
OMDA.US,60,20250701,220000,18.38,18.65,18.03,18.25,193334,0
OMDA.US,60,20250702,160000,18.25,18.79,17.9,18.005,52209,0
OMDA.US,60,20250702,170000,18.1508,18.3934,17.86,18.175,31815,0
OMDA.US,60,20250702,180000,18.25,18.25,17.9,18.06,33000,0
OMDA.US,60,20250702,190000,18.05,18.63,18.05,18.3,92446,0
OMDA.US,60,20250702,200000,18.115,18.41,18.115,18.255,14264,0
OMDA.US,60,20250702,210000,18.25,18.31,17.94,18.22,40872,0
OMDA.US,60,20250702,220000,18.23,18.48,18.036,18.155,124343,0
OMDA.US,60,20250703,160000,17.96,18.2499,17.71,17.785,40086,0
OMDA.US,60,20250703,170000,17.71,18.31,17.61,18.06,45138,0
OMDA.US,60,20250703,180000,17.81,18.48,17.81,18.4,34192,0
OMDA.US,60,20250703,190000,18.405,18.92,18.34,18.655,77797,0
OMDA.US,60,20250703,200000,18.66,18.66,18.63,18.63,31996,0
OMDA.US,60,20250707,160000,18.65,19.06,18.42,18.875,48729,0
OMDA.US,60,20250707,170000,18.865,18.9799,18,18.25,39797,0
OMDA.US,60,20250707,180000,18.25,18.46,18,18.27,39406,0
OMDA.US,60,20250707,190000,18.158,18.45,18,18.07,11245,0
OMDA.US,60,20250707,200000,18.14,18.14,17.8,17.9,23745,0
OMDA.US,60,20250707,210000,17.94,18.425,17.94,18.2342,34442,0
OMDA.US,60,20250707,220000,18.44,18.76,18.44,18.67,80678,0
OMDA.US,60,20250708,160000,18.69,18.83,18.4025,18.75,14685,0
OMDA.US,60,20250708,170000,18.58,18.62,17.85,17.985,39301,0
OMDA.US,60,20250708,180000,17.98,18.19,17.6,17.78,48123,0
OMDA.US,60,20250708,190000,17.759,17.87,17.4,17.55,66365,0
OMDA.US,60,20250708,200000,17.61,17.8,17.32,17.65,71036,0
OMDA.US,60,20250708,210000,17.69,17.74,17.515,17.57,26822,0
OMDA.US,60,20250708,220000,17.56,17.61,17.25,17.48,115976,0
OMDA.US,60,20250709,160000,17.4,17.446,16.81,17.13,63176,0
OMDA.US,60,20250709,170000,17.05,17.22,16.68,17.05,167472,0
OMDA.US,60,20250709,180000,17,17.08,16.81,16.875,27879,0
OMDA.US,60,20250709,190000,16.88,17.06,16.8,16.99,20398,0
OMDA.US,60,20250709,200000,17,17.0191,16.9,16.95,9873,0
OMDA.US,60,20250709,210000,16.95,16.99,16.8,16.925,43072,0
OMDA.US,60,20250709,220000,16.925,17.06,16.5,16.85,199172,0
OMDA.US,60,20250710,160000,16.85,16.89,16.5,16.56,46774,0
OMDA.US,60,20250710,170000,16.59,16.96,16.56,16.84,21560,0
OMDA.US,60,20250710,180000,16.8728,16.94,16.7661,16.93,15359,0
OMDA.US,60,20250710,190000,16.89,17.77,16.88,17.7,93751,0
OMDA.US,60,20250710,200000,17.67,18.15,17.5381,17.74,102938,0
OMDA.US,60,20250710,210000,17.98,18.15,17.756856,17.93,50624,0
OMDA.US,60,20250710,220000,17.885,18.07,17.71,17.92,122539,0
OMDA.US,60,20250711,180000,18.28,18.35,18.16,18.23,9189,0
OMDA.US,60,20250711,190000,18.22,18.265,18.1135,18.24,17583,0
OMDA.US,60,20250711,200000,18.18,18.3,17.6501,17.8,45662,0
OMDA.US,60,20250711,210000,17.8,17.8064,17.445,17.445,60583,0
OMDA.US,60,20250711,220000,17.445,17.76,17.35,17.67,134119,0
OMDA.US,60,20250714,160000,17.46,17.86,17.31,17.455,21905,0
OMDA.US,60,20250714,170000,17.39,18.19,17.38,17.81,42688,0
OMDA.US,60,20250714,180000,17.955,18.044,17.25,17.47,56766,0
OMDA.US,60,20250714,190000,17.47,17.55,17.285,17.35,15730,0
OMDA.US,60,20250714,200000,17.33,17.37,17.17,17.31,23401,0
OMDA.US,60,20250714,210000,17.325,17.72,17.11,17.6,47450,0
OMDA.US,60,20250714,220000,17.62,17.89,17.15,17.55,104250,0
OMDA.US,60,20250715,160000,17.45,17.5834,17.25,17.35,14055,0
OMDA.US,60,20250715,170000,17.35,17.55,17.08,17.395,38561,0
OMDA.US,60,20250715,180000,17.4,17.77,17.305,17.515,44336,0
OMDA.US,60,20250715,190000,17.58,17.69,17.405,17.68,12041,0
OMDA.US,60,20250715,200000,17.66,18.135,17.42,17.8,59867,0
OMDA.US,60,20250715,210000,17.81,18.05,17.75,17.92,49207,0
OMDA.US,60,20250715,220000,18,18.03,17.55,17.99,70453,0
OMDA.US,60,20250716,160000,17.95,18.25,17.5,17.83,39469,0
OMDA.US,60,20250716,170000,17.885,18.46,17.86,18.4,82298,0
