<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONMDW.US,60,20240412,160000,0.0181,0.0181,0.018,0.018,17663,0
ONMDW.US,60,20240412,200000,0.0181,0.02,0.0181,0.0197,13097,0
ONMDW.US,60,20240412,220000,0.02,0.02,0.02,0.02,1400,0
ONMDW.US,60,20240415,190000,0.0181,0.0181,0.018,0.018,2060,0
ONMDW.US,60,20240415,210000,0.0181,0.0181,0.0181,0.0181,2000,0
ONMDW.US,60,20240415,220000,0.018,0.018,0.018,0.018,1300,0
ONMDW.US,60,20240416,160000,0.0247,0.0247,0.0247,0.0247,100,0
ONMDW.US,60,20240416,170000,0.0181,0.018651,0.018,0.018651,8859,0
ONMDW.US,60,20240416,220000,0.0176,0.019899,0.0176,0.019899,450,0
ONMDW.US,60,20240419,170000,0.0193,0.0244,0.018,0.018,10974,0
ONMDW.US,60,20240419,190000,0.0242,0.0242,0.0242,0.0242,100,0
ONMDW.US,60,20240419,220000,0.0238,0.0238,0.0222,0.0222,500,0
ONMDW.US,60,20240423,180000,0.0201,0.0201,0.0176,0.0176,7098,0
ONMDW.US,60,20240423,220000,0.0176,0.023,0.0176,0.022999,3320,0
ONMDW.US,60,20240426,170000,0.0246,0.0246,0.0176,0.0176,4700,0
ONMDW.US,60,20240506,220000,0.0192,0.0192,0.015,0.0189,41475,0
ONMDW.US,60,20240507,160000,0.015,0.015,0.015,0.015,400,0
ONMDW.US,60,20240507,170000,0.0187,0.0205,0.0187,0.02,14997,0
ONMDW.US,60,20240508,190000,0.024599,0.024599,0.019799,0.019799,1000,0
ONMDW.US,60,20240508,200000,0.024499,0.024499,0.024499,0.024499,100,0
ONMDW.US,60,20240508,210000,0.015101,0.015101,0.015101,0.015101,229,0
ONMDW.US,60,20240508,220000,0.021699,0.021699,0.021699,0.021699,100,0
ONMDW.US,60,20240514,210000,0.0236,0.0236,0.0236,0.0236,200,0
ONMDW.US,60,20240521,180000,0.015,0.015,0.015,0.015,56478,0
ONMDW.US,60,20240521,190000,0.0151,0.0151,0.015053,0.0151,400,0
ONMDW.US,60,20240521,210000,0.0209,0.0209,0.018146,0.018146,200,0
ONMDW.US,60,20240521,220000,0.0152,0.0185,0.0152,0.0185,300,0
ONMDW.US,60,20240522,200000,0.01675,0.01675,0.015,0.015,4900,0
ONMDW.US,60,20240522,210000,0.015,0.015,0.015,0.015,100,0
ONMDW.US,60,20240522,220000,0.0248,0.0248,0.0248,0.0248,100,0
ONMDW.US,60,20240523,160000,0.0418,0.0418,0.0331,0.0374,21218,0
ONMDW.US,60,20240523,170000,0.0329,0.0417,0.0274,0.0343,415681,0
ONMDW.US,60,20240523,180000,0.0376,0.0397,0.0253,0.0307,151566,0
ONMDW.US,60,20240523,190000,0.0306,0.032301,0.0306,0.0306,16556,0
ONMDW.US,60,20240523,200000,0.0306,0.0307,0.0306,0.0306,10600,0
