<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPOF.US,60,20240411,170000,14.91,14.925,14.91,14.91,1130,0
OPOF.US,60,20240411,180000,14.72,14.72,14.72,14.72,165,0
OPOF.US,60,20240411,200000,14.876,14.876,14.7201,14.7201,1378,0
OPOF.US,60,20240411,220000,14.73,14.74,14.71,14.71,1500,0
OPOF.US,60,20240412,160000,14.87,14.87,14.7,14.7,2390,0
OPOF.US,60,20240412,200000,14.69,14.69,14.69,14.69,349,0
OPOF.US,60,20240412,220000,14.69,14.69,14.69,14.69,190,0
OPOF.US,60,20240415,170000,14.77,14.77,14.77,14.77,360,0
OPOF.US,60,20240415,190000,14.77,14.77,14.77,14.77,130,0
OPOF.US,60,20240415,200000,14.86,14.94,14.86,14.94,219,0
OPOF.US,60,20240415,210000,15.014,15.014,15.014,15.014,160,0
OPOF.US,60,20240416,160000,14.6,14.6,14.6,14.6,250,0
OPOF.US,60,20240416,190000,14.6,14.61,14.6,14.61,260,0
OPOF.US,60,20240417,210000,14.66,14.66,14.66,14.66,300,0
OPOF.US,60,20240419,220000,14.78,14.78,14.78,14.78,110,0
OPOF.US,60,20240422,160000,15.155,15.155,15.155,15.155,300,0
OPOF.US,60,20240422,200000,15.16,15.16,15.16,15.16,100,0
OPOF.US,60,20240422,220000,15.395,15.395,14.7,14.7,1525,0
OPOF.US,60,20240423,200000,15.096,15.096,15.096,15.096,360,0
OPOF.US,60,20240423,210000,14.7,14.7,14.7,14.7,657,0
OPOF.US,60,20240423,220000,14.89,14.89,14.89,14.89,100,0
OPOF.US,60,20240424,170000,14.75,14.75,14.5,14.5,2748,0
OPOF.US,60,20240424,200000,15.045,15.045,15.045,15.045,300,0
OPOF.US,60,20240424,220000,14.75,14.75,14.75,14.75,100,0
OPOF.US,60,20240425,160000,14.3223,14.3223,14.3223,14.3223,297,0
OPOF.US,60,20240426,180000,14.55,14.55,14.55,14.55,100,0
OPOF.US,60,20240429,190000,14.8,14.8,14.8,14.8,400,0
OPOF.US,60,20240429,210000,14.25,14.25,14.25,14.25,510,0
OPOF.US,60,20240429,220000,14.25,14.25,14,14,1478,0
OPOF.US,60,20240430,180000,14,14,14,14,693,0
OPOF.US,60,20240430,210000,13.7978,13.895,13.7978,13.895,1010,0
OPOF.US,60,20240430,220000,14.0094,14.04,13.905,13.905,900,0
OPOF.US,60,20240501,210000,14.05,14.05,14.05,14.05,400,0
OPOF.US,60,20240502,160000,13.8501,13.8501,13.8501,13.8501,100,0
OPOF.US,60,20240502,170000,13.9,13.9,13.486,13.545,2179,0
OPOF.US,60,20240502,180000,13.6,13.83,13.6,13.83,692,0
OPOF.US,60,20240502,220000,13.885,13.885,13.66,13.66,1760,0
OPOF.US,60,20240503,160000,13.66,13.66,13.66,13.66,100,0
OPOF.US,60,20240503,170000,13.7,13.7,13.65,13.65,2460,0
OPOF.US,60,20240503,220000,14.04,14.04,13.8,13.8,360,0
OPOF.US,60,20240506,160000,14,14,14,14,100,0
OPOF.US,60,20240506,170000,14,14.77,14,14.77,2045,0
OPOF.US,60,20240506,180000,14.75,14.75,14.5,14.57,1903,0
OPOF.US,60,20240506,190000,14.76,14.76,14.75,14.75,200,0
OPOF.US,60,20240506,200000,14.82,14.82,14.74,14.75,3054,0
OPOF.US,60,20240506,210000,14.525,14.53,14.5,14.5,2400,0
OPOF.US,60,20240506,220000,14.025,14.025,14.025,14.025,642,0
OPOF.US,60,20240507,160000,13.71,13.71,13.71,13.71,642,0
OPOF.US,60,20240507,200000,14.57,14.57,14.57,14.57,180,0
OPOF.US,60,20240507,220000,14.25,14.25,14.16,14.17,419,0
OPOF.US,60,20240513,160000,14.0101,14.0101,13.9,13.9,301,0
OPOF.US,60,20240513,220000,14.5299,14.5299,14.5299,14.5299,388,0
OPOF.US,60,20240514,160000,14.22,14.53,14.215,14.53,400,0
OPOF.US,60,20240514,190000,14,14,13.95,14,705,0
OPOF.US,60,20240514,210000,14,14.033,13.9,13.983,2899,0
OPOF.US,60,20240514,220000,14,14.25,14,14.25,17535,0
OPOF.US,60,20240515,160000,14.04,14.04,14.04,14.04,100,0
OPOF.US,60,20240515,170000,14.0569,14.0569,14.0569,14.0569,133,0
OPOF.US,60,20240515,200000,14.14,14.14,14.06,14.06,250,0
OPOF.US,60,20240515,220000,14.16,14.24,14.15,14.19,1379,0
OPOF.US,60,20240516,200000,14.18,14.18,14.1501,14.1501,351,0
OPOF.US,60,20240517,160000,14.9999,14.9999,14.9999,14.9999,100,0
OPOF.US,60,20240517,180000,14.5,14.5,14.5,14.5,100,0
OPOF.US,60,20240517,190000,14.95,15,14.85,15,2024,0
OPOF.US,60,20240517,200000,15.15,15.24,15.15,15.15,327,0
OPOF.US,60,20240517,220000,15.09,15.09,14.82,14.82,322,0
OPOF.US,60,20240521,160000,15.02,15.19,15.02,15.19,300,0
OPOF.US,60,20240521,170000,14.77,15.2,14.77,15.2,249,0
OPOF.US,60,20240522,200000,14.935,15.15,14.81,15.15,410,0
OPOF.US,60,20240522,220000,15.49,15.49,14.94,14.94,200,0
OPOF.US,60,20240523,190000,15,15,14.98,14.98,231,0
OPOF.US,60,20240523,210000,14.96,14.96,14.8,14.8,796,0
OPOF.US,60,20240523,220000,15,15,15,15,100,0
OPOF.US,60,20240524,160000,14.75,14.75,14.75,14.75,100,0
OPOF.US,60,20240524,170000,14.76,14.76,14.75,14.75,217,0
OPOF.US,60,20240524,200000,14.83,14.83,14.83,14.83,167,0
OPOF.US,60,20240524,220000,14.83,14.83,14.83,14.83,196,0
OPOF.US,60,20240528,180000,14.75,15,14.75,15,1485,0
OPOF.US,60,20240528,200000,14.9,14.9,14.9,14.9,100,0
OPOF.US,60,20240528,210000,14.9,14.9,14.9,14.9,100,0
OPOF.US,60,20240530,200000,15,15,14.99,14.99,513,0
OPOF.US,60,20240530,210000,14.99,15,14.99,15,650,0
OPOF.US,60,20240530,220000,14.87,14.87,14.87,14.87,152,0
OPOF.US,60,20240531,200000,14.78,14.78,14.78,14.78,400,0
OPOF.US,60,20240531,220000,15.48,15.48,15.48,15.48,200,0
OPOF.US,60,20240603,190000,14.7643,14.7643,14.7643,14.7643,1292,0
OPOF.US,60,20240603,200000,15.2348,15.4419,15.14,15.14,1810,0
OPOF.US,60,20240603,220000,15,15,14.8032,14.95,2664,0
OPOF.US,60,20240604,170000,14.91,14.91,14.91,14.91,100,0
OPOF.US,60,20240604,180000,14.9332,14.9332,14.81,14.85,531,0
OPOF.US,60,20240604,190000,14.82,14.86,14.82,14.86,200,0
OPOF.US,60,20240604,200000,14.77,14.77,14.75,14.75,701,0
OPOF.US,60,20240604,210000,14.75,14.75,14.75,14.75,1228,0
OPOF.US,60,20240604,220000,14.75,15.035,14.75,14.75,2220,0
OPOF.US,60,20240605,160000,14.76,14.76,14.76,14.76,200,0
OPOF.US,60,20240605,180000,14.75,14.75,14.75,14.75,400,0
OPOF.US,60,20240605,190000,14.8225,14.8225,14.75,14.8225,1710,0
OPOF.US,60,20240606,160000,14.85,14.85,14.85,14.85,259,0
OPOF.US,60,20240606,210000,14.8,14.85,14.75,14.75,2585,0
OPOF.US,60,20240606,220000,15.092,15.092,15.092,15.092,450,0
