<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OUSTW.US,60,20241224,160000,0.03,0.03,0.03,0.03,330,0
OUSTW.US,60,20241224,170000,0.03,0.0325,0.0243,0.0244,14330,0
OUSTW.US,60,20241224,180000,0.0245,0.0245,0.021,0.021,2900,0
OUSTW.US,60,20241224,190000,0.02555,0.03,0.0221,0.03,6560,0
OUSTW.US,60,20241226,170000,0.025,0.027503,0.025,0.0251,2586,0
OUSTW.US,60,20241226,180000,0.0263,0.0263,0.0263,0.0263,500,0
OUSTW.US,60,20241226,190000,0.0273,0.0275,0.0251,0.0251,4000,0
OUSTW.US,60,20241226,200000,0.0275,0.0275,0.0275,0.0275,100,0
OUSTW.US,60,20241226,220000,0.025101,0.035,0.0251,0.035,7385,0
OUSTW.US,60,20241227,160000,0.036,0.0361,0.0211,0.0211,26400,0
OUSTW.US,60,20241227,170000,0.023,0.03,0.023,0.03,4200,0
OUSTW.US,60,20241227,180000,0.028,0.03,0.023,0.023,6528,0
OUSTW.US,60,20241227,200000,0.0236,0.03,0.0236,0.0237,9544,0
OUSTW.US,60,20241227,210000,0.024,0.0456,0.024,0.0456,58030,0
OUSTW.US,60,20241227,220000,0.048,0.0898,0.0457,0.0797,142281,0
OUSTW.US,60,20241230,160000,0.3383,0.3383,0.091,0.091,48468,0
OUSTW.US,60,20241230,170000,0.0942,0.2101,0.0942,0.12,73274,0
OUSTW.US,60,20241230,180000,0.13,0.13,0.091,0.12,5578,0
OUSTW.US,60,20241230,190000,0.126,0.1417,0.11,0.11,17608,0
OUSTW.US,60,20241230,200000,0.11,0.11,0.0797,0.0797,14320,0
OUSTW.US,60,20241230,210000,0.074999,0.1029,0.0731,0.078,6692,0
OUSTW.US,60,20241230,220000,0.0775,0.1,0.077001,0.1,2729,0
OUSTW.US,60,20241231,160000,0.07,0.0842,0.07,0.0839,3656,0
OUSTW.US,60,20241231,170000,0.0792,0.08,0.0525,0.0702,28100,0
OUSTW.US,60,20241231,180000,0.0696,0.0702,0.056,0.056,6744,0
OUSTW.US,60,20241231,190000,0.0515,0.0737,0.0515,0.0737,800,0
OUSTW.US,60,20241231,200000,0.063351,0.063351,0.063351,0.063351,150,0
OUSTW.US,60,20241231,210000,0.0635,0.0635,0.052,0.052,2294,0
OUSTW.US,60,20241231,220000,0.052101,0.06,0.0515,0.06,12707,0
OUSTW.US,60,20250102,160000,0.0505,0.0505,0.045,0.045,5805,0
OUSTW.US,60,20250102,180000,0.0519,0.0519,0.047,0.047,1100,0
OUSTW.US,60,20250102,200000,0.047,0.047,0.047,0.047,100,0
OUSTW.US,60,20250102,210000,0.048,0.048,0.048,0.048,250,0
OUSTW.US,60,20250102,220000,0.047,0.056,0.0401,0.0559,9800,0
OUSTW.US,60,20250103,170000,0.06,0.06,0.06,0.06,2600,0
OUSTW.US,60,20250103,180000,0.05,0.06,0.0339,0.06,55136,0
OUSTW.US,60,20250103,190000,0.059,0.0594,0.04,0.0403,5624,0
OUSTW.US,60,20250103,200000,0.059,0.06,0.0495,0.059,11134,0
OUSTW.US,60,20250103,220000,0.0594,0.06,0.0594,0.06,5000,0
OUSTW.US,60,20250106,160000,0.055,0.0551,0.055,0.055,8219,0
OUSTW.US,60,20250106,170000,0.06,0.06,0.06,0.06,136,0
OUSTW.US,60,20250106,200000,0.0773,0.1,0.072,0.072,10900,0
OUSTW.US,60,20250106,210000,0.0891,0.09,0.0727,0.09,5700,0
OUSTW.US,60,20250106,220000,0.0751,0.0891,0.0751,0.0891,2001,0
OUSTW.US,60,20250107,160000,0.1,0.1098,0.0899,0.0899,6422,0
OUSTW.US,60,20250107,170000,0.0772,0.0899,0.0761,0.0763,3767,0
OUSTW.US,60,20250107,180000,0.089,0.0899,0.0762,0.0898,31940,0
OUSTW.US,60,20250107,190000,0.0771,0.0898,0.0771,0.083,2630,0
OUSTW.US,60,20250107,200000,0.089,0.089,0.0776,0.088,2977,0
OUSTW.US,60,20250107,210000,0.088,0.088,0.0776,0.0776,4560,0
OUSTW.US,60,20250107,220000,0.0872,0.089,0.0771,0.089,5945,0
OUSTW.US,60,20250108,200000,0.0554,0.069,0.0551,0.0551,3504,0
OUSTW.US,60,20250108,210000,0.0595,0.07,0.059001,0.0689,6500,0
OUSTW.US,60,20250108,220000,0.0685,0.0685,0.0685,0.0685,950,0
OUSTW.US,60,20250110,170000,0.0684,0.0684,0.0615,0.06699,6750,0
OUSTW.US,60,20250110,190000,0.062,0.062,0.062,0.062,269,0
OUSTW.US,60,20250110,210000,0.056,0.0561,0.056,0.0561,8200,0
OUSTW.US,60,20250113,160000,0.056,0.056,0.056,0.056,201,0
OUSTW.US,60,20250113,170000,0.0565,0.0565,0.035,0.0353,11550,0
OUSTW.US,60,20250113,180000,0.09,0.09,0.0355,0.04,3127,0
OUSTW.US,60,20250113,190000,0.0401,0.0401,0.0401,0.0401,224,0
OUSTW.US,60,20250113,210000,0.0485,0.0485,0.0485,0.0485,100,0
OUSTW.US,60,20250113,220000,0.0594,0.0594,0.0594,0.0594,200,0
OUSTW.US,60,20250114,160000,0.051,0.051,0.051,0.051,240,0
OUSTW.US,60,20250114,190000,0.0486,0.0486,0.0486,0.0486,625,0
OUSTW.US,60,20250114,200000,0.0495,0.0495,0.0495,0.0495,650,0
OUSTW.US,60,20250114,220000,0.04955,0.04955,0.049,0.049,2332,0
OUSTW.US,60,20250115,170000,0.05678,0.05678,0.0404,0.0406,7933,0
OUSTW.US,60,20250115,190000,0.042456,0.042456,0.0375,0.04,12300,0
OUSTW.US,60,20250115,200000,0.04,0.05,0.021,0.0239,31387,0
OUSTW.US,60,20250115,210000,0.034,0.04,0.0287,0.0352,11365,0
OUSTW.US,60,20250115,220000,0.0396,0.0404,0.0377,0.0404,7599,0
OUSTW.US,60,20250116,160000,0.06,0.06,0.06,0.06,15628,0
OUSTW.US,60,20250116,170000,0.06,0.06,0.06,0.06,400,0
OUSTW.US,60,20250116,180000,0.07,0.07,0.0693,0.0693,2100,0
OUSTW.US,60,20250116,190000,0.06,0.06,0.055,0.055,11988,0
OUSTW.US,60,20250116,200000,0.0551,0.0551,0.0551,0.0551,1100,0
OUSTW.US,60,20250116,210000,0.0551,0.0551,0.0551,0.0551,668,0
OUSTW.US,60,20250116,220000,0.0675,0.0675,0.06,0.06,6375,0
OUSTW.US,60,20250117,180000,0.048,0.0484,0.048,0.048,1200,0
OUSTW.US,60,20250117,190000,0.0528,0.0528,0.0528,0.0528,2000,0
OUSTW.US,60,20250117,200000,0.048,0.0648,0.048,0.0648,500,0
