<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPC.US,60,20240411,160000,35.24,35.49,35.24,35.48,13230,0
PPC.US,60,20240411,170000,35.475,35.57,35.325,35.395,31983,0
PPC.US,60,20240411,180000,35.37,35.52,35.225,35.51,44372,0
PPC.US,60,20240411,190000,35.52,35.63,35.49,35.6,17901,0
PPC.US,60,20240411,200000,35.6,35.79,35.59,35.78,27592,0
PPC.US,60,20240411,210000,35.8,35.93,35.79,35.89,38198,0
PPC.US,60,20240411,220000,35.88,36.05,35.84,36,198705,0
PPC.US,60,20240412,160000,36,36.15,35.775,35.78,34444,0
PPC.US,60,20240412,170000,35.78,35.785,35.48,35.69,33272,0
PPC.US,60,20240412,180000,35.68,35.775,35.33,35.53,38286,0
PPC.US,60,20240412,190000,35.525,35.6,35.365,35.3911,27942,0
PPC.US,60,20240412,200000,35.4,35.465,35.26,35.455,28754,0
PPC.US,60,20240412,210000,35.425,35.45,35.15,35.195,33945,0
PPC.US,60,20240412,220000,35.19,35.22,35.02,35.17,87594,0
PPC.US,60,20240415,160000,35.45,35.91,35.41,35.9,20885,0
PPC.US,60,20240415,170000,35.87,35.87,35.62,35.81,38391,0
PPC.US,60,20240415,180000,35.83,35.9195,35.81,35.86,26381,0
PPC.US,60,20240415,190000,35.855,35.89,35.75,35.78,32858,0
PPC.US,60,20240415,200000,35.77,35.78,35.56,35.6078,45403,0
PPC.US,60,20240415,210000,35.625,35.625,35.36,35.44,44466,0
PPC.US,60,20240415,220000,35.44,35.53,35.36,35.44,78111,0
PPC.US,60,20240416,160000,35.04,35.29,35,35.24,25657,0
PPC.US,60,20240416,170000,35.215,35.36,35.11,35.15,27991,0
PPC.US,60,20240416,180000,35.1525,35.26,35.07,35.22,28767,0
PPC.US,60,20240416,190000,35.2,35.41,35.2,35.35,29702,0
PPC.US,60,20240416,200000,35.35,35.45,35.18,35.37,50425,0
PPC.US,60,20240416,210000,35.37,35.5,35.31,35.45,17268,0
PPC.US,60,20240416,220000,35.455,35.61,35.44,35.57,184497,0
PPC.US,60,20240417,160000,35.71,35.81,35.665,35.81,20279,0
PPC.US,60,20240417,170000,35.805,35.82,35.46,35.48,24635,0
PPC.US,60,20240417,180000,35.52,35.605,35.295,35.32,13668,0
PPC.US,60,20240417,190000,35.32,35.32,35.02,35.11,32361,0
PPC.US,60,20240417,200000,35.1,35.2099,35.03,35.17,43687,0
PPC.US,60,20240417,210000,35.16,35.28,35.16,35.18,35148,0
PPC.US,60,20240417,220000,35.17,35.32,35.02,35.28,126532,0
PPC.US,60,20240418,160000,35.25,35.54,35.25,35.54,14303,0
PPC.US,60,20240418,170000,35.56,35.79,35.56,35.76,22067,0
PPC.US,60,20240418,180000,35.76,35.84,35.7,35.78,21562,0
PPC.US,60,20240418,190000,35.79,35.82,35.71,35.72,22069,0
PPC.US,60,20240418,200000,35.74,35.74,35.45,35.525,28008,0
PPC.US,60,20240418,210000,35.52,35.6,35.4,35.48,64695,0
PPC.US,60,20240418,220000,35.49,35.57,35.43,35.55,82157,0
PPC.US,60,20240419,160000,35.56,35.83,35.56,35.83,8041,0
PPC.US,60,20240419,170000,35.81,35.905,35.68,35.79,32390,0
PPC.US,60,20240419,180000,35.795,35.87,35.72,35.76,46380,0
PPC.US,60,20240419,190000,35.765,35.85,35.63,35.78,40506,0
PPC.US,60,20240419,200000,35.79,35.81,35.72,35.73,23235,0
PPC.US,60,20240419,210000,35.73,35.82,35.71,35.77,40701,0
PPC.US,60,20240419,220000,35.78,35.87,35.745,35.76,100594,0
PPC.US,60,20240422,160000,36.02,36.06,35.8,35.97,27624,0
PPC.US,60,20240422,170000,35.97,36.47,35.97,36.08,102305,0
PPC.US,60,20240422,180000,36.08,36.19,35.89,36,21725,0
PPC.US,60,20240422,190000,36.03,36.08,35.87,36.005,45686,0
PPC.US,60,20240422,200000,36.01,36.13,35.98,36.11,21533,0
PPC.US,60,20240422,210000,36.11,36.14,36.04,36.09,24351,0
PPC.US,60,20240422,220000,36.1,36.1,35.94,35.97,81753,0
PPC.US,60,20240423,160000,35.94,36.1773,35.879,35.98,14450,0
PPC.US,60,20240423,170000,35.955,35.9792,35.76,35.89,22451,0
PPC.US,60,20240423,180000,35.88,35.93,35.75,35.82,23802,0
PPC.US,60,20240423,190000,35.83,35.9431,35.76,35.92,19967,0
PPC.US,60,20240423,200000,35.91,35.96,35.88,35.92,15311,0
PPC.US,60,20240423,210000,35.91,35.95,35.81,35.855,32580,0
PPC.US,60,20240423,220000,35.85,35.89,35.68,35.69,196514,0
PPC.US,60,20240424,160000,35.72,35.91,35.63,35.8475,8390,0
PPC.US,60,20240424,170000,35.86,36.03,35.86,35.94,11477,0
PPC.US,60,20240424,180000,35.95,36.03,35.93,35.94,16172,0
PPC.US,60,20240424,190000,35.945,36.025,35.88,35.99,20064,0
PPC.US,60,20240424,200000,35.975,36.12,35.975,36.07,23078,0
PPC.US,60,20240424,210000,36.08,36.1,36.025,36.04,23407,0
PPC.US,60,20240424,220000,36.04,36.09,35.94,36,149847,0
PPC.US,60,20240425,160000,35.84,35.895,35.2886,35.77,12384,0
PPC.US,60,20240425,170000,35.76,35.87,35.59,35.67,21384,0
PPC.US,60,20240425,180000,35.67,35.75,35.63,35.74,23319,0
PPC.US,60,20240425,190000,35.74,35.91,35.72,35.86,21085,0
PPC.US,60,20240425,200000,35.85,35.91,35.81,35.86,16442,0
PPC.US,60,20240425,210000,35.87,35.87,35.51,35.62,67637,0
PPC.US,60,20240425,220000,35.62,35.91,35.62,35.88,175628,0
PPC.US,60,20240426,160000,35.86,36.03,35.846,35.86,9549,0
PPC.US,60,20240426,170000,35.945,36.06,35.74,35.75,12955,0
PPC.US,60,20240426,180000,35.73,35.76,35.65,35.725,15633,0
