<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PQJL.US,60,20250114,190000,24.91,24.91,24.91,24.91,400,0
PQJL.US,60,20250227,220000,25.07,25.07,25.07,25.07,100,0
PQJL.US,60,20250305,190000,24.85,24.85,24.85,24.85,200,0
PQJL.US,60,20250306,180000,24.89,24.89,24.89,24.89,100,0
PQJL.US,60,20250307,170000,24.71,24.71,24.71,24.71,100,0
PQJL.US,60,20250331,190000,24.14,24.14,24.14,24.14,198,0
PQJL.US,60,20250424,210000,24.34,24.36,24.34,24.36,400,0
PQJL.US,60,20250429,220000,24.32,24.56,24.32,24.56,2200,0
PQJL.US,60,20250501,190000,24.7109,24.76,24.7109,24.72,1145,0
PQJL.US,60,20250502,220000,24.85,24.85,24.85,24.85,100,0
PQJL.US,60,20250505,170000,24.76,24.76,24.76,24.76,100,0
PQJL.US,60,20250505,190000,24.84,24.85,24.84,24.84,1000,0
PQJL.US,60,20250505,220000,24.81,24.81,24.81,24.81,100,0
PQJL.US,60,20250506,200000,24.71,24.71,24.71,24.71,100,0
PQJL.US,60,20250506,210000,24.76,24.76,24.76,24.76,100,0
PQJL.US,60,20250508,220000,24.96,24.96,24.96,24.96,100,0
PQJL.US,60,20250527,180000,25.67,25.71,25.67,25.71,2700,0
PQJL.US,60,20250528,160000,25.31,25.42,25.31,25.31,4000,0
PQJL.US,60,20250528,200000,25.65,25.65,25.64,25.64,1800,0
PQJL.US,60,20250528,210000,25.65,25.65,25.65,25.65,148,0
PQJL.US,60,20250528,220000,25.63,25.63,25.58,25.58,1900,0
PQJL.US,60,20250529,170000,25.61,25.61,25.61,25.61,200,0
PQJL.US,60,20250529,180000,25.58,25.58,25.58,25.58,300,0
PQJL.US,60,20250529,190000,25.59,25.59,25.59,25.59,200,0
PQJL.US,60,20250529,220000,25.58,25.58,25.58,25.58,100,0
PQJL.US,60,20250602,200000,25.73,25.73,25.73,25.73,1000,0
PQJL.US,60,20250603,190000,25.84,25.84,25.84,25.84,400,0
PQJL.US,60,20250603,200000,25.84,25.84,25.83,25.83,500,0
PQJL.US,60,20250604,170000,25.91,25.95,25.91,25.95,900,0
PQJL.US,60,20250605,190000,25.964,25.964,25.964,25.964,165,0
PQJL.US,60,20250605,220000,25.75,25.75,25.75,25.75,100,0
PQJL.US,60,20250606,200000,25.98,25.98,25.97,25.97,300,0
PQJL.US,60,20250606,210000,26,26,26,26,300,0
PQJL.US,60,20250611,220000,26.02,26.02,26.02,26.02,100,0
PQJL.US,60,20250626,200000,26.344,26.55,26.344,26.55,200,0
PQJL.US,60,20250701,170000,26.89,26.9,26.85,26.85,700,0
PQJL.US,60,20250701,210000,26.8401,26.85,26.83,26.83,972,0
PQJL.US,60,20250701,220000,26.82,26.82,26.8067,26.8127,1322,0
PQJL.US,60,20250702,180000,26.92,26.92,26.81,26.91,1698,0
PQJL.US,60,20250702,190000,26.9168,26.92,26.9168,26.92,900,0
PQJL.US,60,20250702,200000,26.93,26.935,26.9263,26.93,3200,0
PQJL.US,60,20250702,220000,26.93,26.96,26.9267,26.955,5620,0
PQJL.US,60,20250707,190000,26.94,27,26.94,27,5000,0
PQJL.US,60,20250707,200000,26.99,27,26.99,27,740,0
PQJL.US,60,20250708,210000,26.97,26.97,26.95,26.96,839,0
PQJL.US,60,20250708,220000,26.96,26.96,26.96,26.96,1098,0
PQJL.US,60,20250711,190000,26.99,27.04,26.99,27.0399,2018,0
PQJL.US,60,20250711,200000,27.02,27.05,27.02,27.05,658,0
PQJL.US,60,20250715,210000,27.15,27.15,27.14,27.14,300,0
PQJL.US,60,20250716,220000,27.0115,27.0115,27.0115,27.0115,500,0
PQJL.US,60,20250721,160000,28.52,28.52,27.23,27.23,7300,0
