<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAYS.US,60,20240411,160000,11.6,11.6,11.5,11.5,496,0
RAYS.US,60,20240411,220000,11.51,11.51,11.51,11.51,100,0
RAYS.US,60,20240412,160000,11.2501,11.2501,11.2501,11.2501,100,0
RAYS.US,60,20240412,170000,11.27,11.3,11.1601,11.1601,9365,0
RAYS.US,60,20240412,200000,11.07,11.07,11.07,11.07,206,0
RAYS.US,60,20240412,220000,11.02,11.04,11.02,11.03,508,0
RAYS.US,60,20240415,160000,11.12,11.12,11.12,11.12,262,0
RAYS.US,60,20240415,170000,11.04,11.04,11,11,435,0
RAYS.US,60,20240415,180000,11.04,11.04,11.04,11.04,100,0
RAYS.US,60,20240415,220000,10.86,10.86,10.86,10.86,370,0
RAYS.US,60,20240416,160000,10.71,10.71,10.71,10.71,105,0
RAYS.US,60,20240416,190000,10.61,10.61,10.61,10.61,600,0
RAYS.US,60,20240416,200000,10.6,10.6,10.6,10.6,100,0
RAYS.US,60,20240416,220000,10.58,10.58,10.58,10.58,250,0
RAYS.US,60,20240417,180000,10.7401,10.7401,10.7401,10.7401,300,0
RAYS.US,60,20240417,200000,10.84,10.8401,10.84,10.8401,400,0
RAYS.US,60,20240418,210000,10.83,10.83,10.64,10.6401,1100,0
RAYS.US,60,20240418,220000,10.64,10.67,10.63,10.63,500,0
RAYS.US,60,20240419,160000,10.56,10.58,10.56,10.58,1032,0
RAYS.US,60,20240419,170000,10.4744,10.48,10.46,10.46,1860,0
RAYS.US,60,20240419,180000,10.5495,10.5495,10.5495,10.5495,300,0
RAYS.US,60,20240419,190000,10.51,10.51,10.51,10.51,355,0
RAYS.US,60,20240422,160000,10.485,10.485,10.485,10.485,235,0
RAYS.US,60,20240422,170000,10.56,10.56,10.56,10.56,100,0
RAYS.US,60,20240422,190000,10.5289,10.5289,10.5289,10.5289,100,0
RAYS.US,60,20240422,200000,10.61,10.61,10.61,10.61,100,0
RAYS.US,60,20240423,190000,10.73,10.73,10.73,10.73,500,0
RAYS.US,60,20240423,220000,10.68,10.6801,10.68,10.6801,500,0
RAYS.US,60,20240426,170000,10.85,10.85,10.77,10.77,5704,0
RAYS.US,60,20240426,220000,10.84,10.84,10.83,10.83,200,0
RAYS.US,60,20240429,160000,11.11,11.205,11.11,11.15,882,0
RAYS.US,60,20240429,170000,11.13,11.16,11.1,11.16,5909,0
RAYS.US,60,20240429,200000,11.19,11.19,11.19,11.19,471,0
RAYS.US,60,20240429,220000,11.2,11.2,11.185,11.2,300,0
RAYS.US,60,20240430,160000,10.92,10.92,10.92,10.92,100,0
RAYS.US,60,20240430,180000,10.8502,10.8502,10.8502,10.8502,100,0
RAYS.US,60,20240430,210000,10.88,10.9,10.88,10.9,3570,0
RAYS.US,60,20240501,180000,10.8777,10.8777,10.875,10.875,200,0
RAYS.US,60,20240501,210000,10.9201,11.07,10.9201,11.07,2533,0
RAYS.US,60,20240501,220000,10.85,10.85,10.85,10.85,6900,0
RAYS.US,60,20240503,160000,11.46,11.46,11.46,11.46,100,0
RAYS.US,60,20240503,170000,11.42,11.42,11.4199,11.4199,200,0
RAYS.US,60,20240503,180000,11.4,11.4,11.4,11.4,108,0
RAYS.US,60,20240503,190000,11.3268,11.3268,11.3268,11.3268,160,0
RAYS.US,60,20240503,210000,11.335,11.335,11.29,11.29,1138,0
RAYS.US,60,20240503,220000,11.335,11.3992,11.335,11.3992,1260,0
RAYS.US,60,20240506,160000,11.41,11.41,11.41,11.41,100,0
RAYS.US,60,20240506,170000,11.43,11.44,11.3864,11.41,600,0
RAYS.US,60,20240506,200000,11.395,11.395,11.395,11.395,150,0
RAYS.US,60,20240506,220000,11.35,11.35,11.35,11.35,500,0
RAYS.US,60,20240507,200000,11.47,11.47,11.4487,11.4487,500,0
RAYS.US,60,20240507,220000,11.4,11.4,11.4,11.4,200,0
RAYS.US,60,20240508,160000,11.08,11.08,11.08,11.08,600,0
