<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RILYZ.US,60,20240411,160000,15.16,15.34,15.1,15.11,3418,0
RILYZ.US,60,20240411,170000,15.0201,15.0201,14.87,14.93,3240,0
RILYZ.US,60,20240411,180000,15,15.1,14.93,15.1,5897,0
RILYZ.US,60,20240411,190000,15.1,15.16,15.04,15.04,7800,0
RILYZ.US,60,20240411,200000,15.06,15.31,15.06,15.1,4461,0
RILYZ.US,60,20240411,210000,15.17,15.17,15.1155,15.15,3025,0
RILYZ.US,60,20240411,220000,15.11,15.4,15.0726,15.0726,14069,0
RILYZ.US,60,20240412,160000,14.85,15.13,14.73,15.13,675,0
RILYZ.US,60,20240412,170000,14.99,15.0499,14.815,14.9,5435,0
RILYZ.US,60,20240412,180000,15.0499,15.0499,14.91,14.92,1620,0
RILYZ.US,60,20240412,190000,14.78,14.9699,14.7417,14.88,4550,0
RILYZ.US,60,20240412,200000,14.91,14.95,14.51,14.625,7377,0
RILYZ.US,60,20240412,210000,14.7,14.72,14.605,14.72,2367,0
RILYZ.US,60,20240412,220000,14.65,14.7,14.49,14.57,10332,0
RILYZ.US,60,20240415,160000,14.84,14.84,14.5,14.55,400,0
RILYZ.US,60,20240415,170000,14.52,14.6151,14.2,14.27,34724,0
RILYZ.US,60,20240415,180000,14.31,14.3599,14.26,14.3,2264,0
RILYZ.US,60,20240415,190000,14.28,14.54,14.27,14.49,5287,0
RILYZ.US,60,20240415,200000,14.475,14.475,14.41,14.41,1094,0
RILYZ.US,60,20240415,210000,14.4899,14.49,14.42,14.42,2877,0
RILYZ.US,60,20240415,220000,14.41,14.47,14.25,14.45,21955,0
RILYZ.US,60,20240416,160000,14.31,14.35,14.31,14.33,437,0
RILYZ.US,60,20240416,170000,14.38,14.76,14.345,14.62,5264,0
RILYZ.US,60,20240416,180000,14.55,14.785,14.5452,14.675,6533,0
RILYZ.US,60,20240416,190000,14.66,14.66,14.57,14.57,475,0
RILYZ.US,60,20240416,200000,14.6,14.64,14.6,14.6,2000,0
RILYZ.US,60,20240416,210000,14.5235,14.61,14.5,14.52,4159,0
RILYZ.US,60,20240416,220000,14.62,14.65,14.37,14.435,14528,0
RILYZ.US,60,20240417,160000,14.43,14.65,14.43,14.6,4357,0
RILYZ.US,60,20240417,170000,14.5489,14.5489,14.46,14.46,5390,0
RILYZ.US,60,20240417,180000,14.43,14.5,14.37,14.4501,3410,0
RILYZ.US,60,20240417,190000,14.5637,14.5637,14.41,14.4114,3996,0
RILYZ.US,60,20240417,200000,14.44,14.65,14.44,14.49,2234,0
RILYZ.US,60,20240417,210000,14.4201,14.55,14.41,14.55,3556,0
RILYZ.US,60,20240417,220000,14.455,14.47,14.39,14.47,3537,0
RILYZ.US,60,20240418,160000,14.66,14.67,14.4,14.51,2140,0
RILYZ.US,60,20240418,170000,14.49,14.52,14.4,14.47,2315,0
RILYZ.US,60,20240418,180000,14.35,14.4,14.25,14.25,3354,0
RILYZ.US,60,20240418,190000,14.28,14.36,14.14,14.26,8040,0
RILYZ.US,60,20240418,200000,14.3699,14.3699,14.251,14.251,204,0
RILYZ.US,60,20240418,210000,14.2613,14.2613,14.1701,14.225,1337,0
RILYZ.US,60,20240418,220000,14.18,14.1822,14.13,14.1822,2568,0
RILYZ.US,60,20240419,160000,14.11,14.43,14.11,14.3,2006,0
RILYZ.US,60,20240419,180000,14.22,14.22,13.5,13.9,15518,0
RILYZ.US,60,20240419,190000,14.01,14.06,14.01,14.04,600,0
RILYZ.US,60,20240419,200000,14.05,14.13,14.05,14.12,1904,0
RILYZ.US,60,20240419,210000,14.0776,14.13,13.95,13.95,3891,0
RILYZ.US,60,20240419,220000,14.1,14.11,14,14.065,4006,0
RILYZ.US,60,20240422,160000,14.14,14.15,13.96,14.13,2547,0
RILYZ.US,60,20240422,170000,14.21,14.6,14.12,14.4,7834,0
RILYZ.US,60,20240422,180000,14.36,14.51,14.16,14.16,8635,0
RILYZ.US,60,20240422,190000,14.165,14.1797,14.03,14.1,18462,0
RILYZ.US,60,20240422,200000,14.1011,14.29,14.1011,14.18,5515,0
RILYZ.US,60,20240422,210000,14.1801,14.31,14.1801,14.2,2090,0
RILYZ.US,60,20240422,220000,14.315,14.4,14.21,14.3,3671,0
RILYZ.US,60,20240423,160000,14.17,14.61,14.17,14.43,4437,0
RILYZ.US,60,20240423,170000,14.43,14.712,14.38,14.5,17458,0
RILYZ.US,60,20240423,180000,14.37,14.5,14.285,14.5,7729,0
RILYZ.US,60,20240423,190000,14.51,14.51,14.35,14.41,2564,0
RILYZ.US,60,20240423,200000,14.36,14.43,14.34,14.38,2213,0
