<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIOT.US,60,20240411,160000,9.8,9.915,9.695,9.8317,1853673,0
RIOT.US,60,20240411,170000,9.84,9.905,9.69,9.705,2207222,0
RIOT.US,60,20240411,180000,9.71,9.83,9.67,9.815,1766473,0
RIOT.US,60,20240411,190000,9.815,9.85,9.69,9.75,1639433,0
RIOT.US,60,20240411,200000,9.75,9.845,9.69,9.721,1976859,0
RIOT.US,60,20240411,210000,9.72,9.82,9.69,9.6947,1920570,0
RIOT.US,60,20240411,220000,9.695,9.79,9.645,9.75,3347254,0
RIOT.US,60,20240412,160000,9.68,9.69,9.334,9.3887,2650209,0
RIOT.US,60,20240412,170000,9.39,9.39,9.2512,9.335,2393704,0
RIOT.US,60,20240412,180000,9.33,9.42,9.28,9.31,1023832,0
RIOT.US,60,20240412,190000,9.3076,9.37,9.21,9.225,1226202,0
RIOT.US,60,20240412,200000,9.2276,9.25,8.995,9.105,2816547,0
RIOT.US,60,20240412,210000,9.105,9.146,8.97,9.065,1898766,0
RIOT.US,60,20240412,220000,9.06,9.15,9.02,9.0935,2837748,0
RIOT.US,60,20240415,160000,9.01,9.215,8.9243,9.03,1968297,0
RIOT.US,60,20240415,170000,9.0292,9.0292,8.75,8.82,2968098,0
RIOT.US,60,20240415,180000,8.83,8.89,8.7411,8.875,1764920,0
RIOT.US,60,20240415,190000,8.88,8.8999,8.6714,8.75,1697305,0
RIOT.US,60,20240415,200000,8.75,8.81,8.55,8.6598,2093194,0
RIOT.US,60,20240415,210000,8.66,8.6658,8.53,8.56,1712793,0
RIOT.US,60,20240415,220000,8.5611,8.64,8.5,8.575,2964676,0
RIOT.US,60,20240416,160000,8.39,8.41,8.1,8.25,2235163,0
RIOT.US,60,20240416,170000,8.25,8.31,8.02,8.0399,3044653,0
RIOT.US,60,20240416,180000,8.035,8.08,7.96,7.98,3325661,0
RIOT.US,60,20240416,190000,7.985,8.05,7.89,8.025,2194805,0
RIOT.US,60,20240416,200000,8.02,8.16,7.96,8.095,2246250,0
RIOT.US,60,20240416,210000,8.09,8.26,8.05,8.135,1676397,0
RIOT.US,60,20240416,220000,8.135,8.18,8.04,8.0698,2967022,0
RIOT.US,60,20240417,160000,8.12,8.375,8.09,8.125,1686717,0
RIOT.US,60,20240417,170000,8.13,8.13,7.98,8.03,2311678,0
RIOT.US,60,20240417,180000,8.03,8.16,7.97,8.105,1899279,0
RIOT.US,60,20240417,190000,8.1,8.105,7.94,8.03,1905070,0
RIOT.US,60,20240417,200000,8.035,8.24,8.03,8.2197,1873651,0
RIOT.US,60,20240417,210000,8.215,8.23,8.015,8.02,2475585,0
RIOT.US,60,20240417,220000,8.02,8.035,7.96,7.96,2806284,0
RIOT.US,60,20240418,160000,7.91,8.1,7.8,8.1,1691424,0
RIOT.US,60,20240418,170000,8.09,8.4,7.99,8.3925,3495376,0
RIOT.US,60,20240418,180000,8.395,8.42,8.27,8.35,2117947,0
RIOT.US,60,20240418,190000,8.345,8.405,8.275,8.31,1597559,0
RIOT.US,60,20240418,200000,8.3182,8.365,8.2229,8.255,1865204,0
RIOT.US,60,20240418,210000,8.25,8.29,8.18,8.225,1369015,0
RIOT.US,60,20240418,220000,8.225,8.34,8.215,8.29,3398064,0
RIOT.US,60,20240419,160000,8.55,8.79,8.515,8.67,2486682,0
RIOT.US,60,20240419,170000,8.6699,8.84,8.48,8.7998,3568694,0
RIOT.US,60,20240419,180000,8.7986,9.045,8.77,8.9685,3586686,0
RIOT.US,60,20240419,190000,8.97,9.02,8.79,8.9977,2667996,0
RIOT.US,60,20240419,200000,8.99,9.15,8.99,9.09,2611399,0
RIOT.US,60,20240419,210000,9.09,9.11,8.955,9.065,2266361,0
RIOT.US,60,20240419,220000,9.06,9.15,9,9.12,4883777,0
RIOT.US,60,20240422,160000,9.75,10.1198,9.5811,10.045,7141006,0
RIOT.US,60,20240422,170000,10.05,10.33,9.96,10.105,8511437,0
RIOT.US,60,20240422,180000,10.11,10.24,9.91,10.23,5494638,0
RIOT.US,60,20240422,190000,10.2314,10.6368,10.21,10.63,6044181,0
RIOT.US,60,20240422,200000,10.6276,10.97,10.56,10.855,5674452,0
RIOT.US,60,20240422,210000,10.855,11.14,10.83,11.0822,6454259,0
RIOT.US,60,20240422,220000,11.085,11.27,11,11.27,9165441,0
RIOT.US,60,20240423,160000,11.11,11.92,11.04,11.915,8939945,0
RIOT.US,60,20240423,170000,11.9194,12.14,11.42,11.69,12169964,0
RIOT.US,60,20240423,180000,11.68,11.83,11.53,11.5401,5025253,0
RIOT.US,60,20240423,190000,11.55,11.82,11.54,11.7573,3974347,0
RIOT.US,60,20240423,200000,11.75,11.94,11.72,11.915,3373936,0
RIOT.US,60,20240423,210000,11.915,12.17,11.91,12.105,4587564,0
RIOT.US,60,20240423,220000,12.105,12.1192,11.835,11.845,5749053,0
RIOT.US,60,20240424,160000,11.8,12.575,11.72,12.32,7463955,0
RIOT.US,60,20240424,170000,12.33,12.65,11.78,12.075,13011679,0
RIOT.US,60,20240424,180000,12.075,12.1599,11.78,12.015,7116814,0
RIOT.US,60,20240424,190000,12.02,12.29,11.9,12.2899,5267271,0
RIOT.US,60,20240424,200000,12.285,12.36,12.2,12.28,3332631,0
RIOT.US,60,20240424,210000,12.275,12.29,11.83,11.835,3878345,0
RIOT.US,60,20240424,220000,11.83,11.955,11.76,11.88,5641887,0
RIOT.US,60,20240425,160000,11.15,11.37,10.88,11.28,5865543,0
RIOT.US,60,20240425,170000,11.28,11.7542,11.21,11.4503,5888931,0
RIOT.US,60,20240425,180000,11.45,11.64,11.38,11.6293,3424828,0
RIOT.US,60,20240425,190000,11.62,11.95,11.58,11.9423,4356621,0
RIOT.US,60,20240425,200000,11.9484,12.1299,11.94,11.995,4110978,0
RIOT.US,60,20240425,210000,11.998,12.12,11.84,11.9647,3220064,0
