<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROIC.US,60,20240411,160000,12.49,12.49,12.32,12.33,254232,0
ROIC.US,60,20240411,170000,12.32,12.34,12.26,12.31,85821,0
ROIC.US,60,20240411,180000,12.31,12.405,12.28,12.38,99021,0
ROIC.US,60,20240411,190000,12.385,12.385,12.32,12.365,59296,0
ROIC.US,60,20240411,200000,12.365,12.41,12.35,12.395,94279,0
ROIC.US,60,20240411,210000,12.395,12.44,12.38,12.395,59763,0
ROIC.US,60,20240411,220000,12.39,12.41,12.3,12.31,592126,0
ROIC.US,60,20240412,160000,12.28,12.335,12.24,12.3,39034,0
ROIC.US,60,20240412,170000,12.3,12.355,12.29,12.35,59236,0
ROIC.US,60,20240412,180000,12.36,12.39,12.345,12.385,33812,0
ROIC.US,60,20240412,190000,12.38,12.395,12.315,12.33,75953,0
ROIC.US,60,20240412,200000,12.325,12.38,12.315,12.375,85091,0
ROIC.US,60,20240412,210000,12.37,12.405,12.345,12.38,103510,0
ROIC.US,60,20240412,220000,12.37,12.44,12.34,12.43,626213,0
ROIC.US,60,20240415,160000,12.44,12.615,12.41,12.51,56525,0
ROIC.US,60,20240415,170000,12.5,12.51,12.375,12.38,100384,0
ROIC.US,60,20240415,180000,12.37,12.4399,12.36,12.435,48020,0
ROIC.US,60,20240415,190000,12.435,12.455,12.4,12.405,47517,0
ROIC.US,60,20240415,200000,12.4,12.41,12.31,12.33,88628,0
ROIC.US,60,20240415,210000,12.335,12.335,12.235,12.26,87556,0
ROIC.US,60,20240415,220000,12.265,12.39,12.26,12.32,276898,0
ROIC.US,60,20240416,160000,12.26,12.29,12.045,12.095,40491,0
ROIC.US,60,20240416,170000,12.095,12.1,12.015,12.055,73620,0
ROIC.US,60,20240416,180000,12.06,12.13,12.06,12.09,62195,0
ROIC.US,60,20240416,190000,12.095,12.125,12.09,12.105,35590,0
ROIC.US,60,20240416,200000,12.11,12.135,12.05,12.09,76288,0
ROIC.US,60,20240416,210000,12.085,12.155,12.065,12.095,70253,0
ROIC.US,60,20240416,220000,12.095,12.115,12.065,12.085,152775,0
ROIC.US,60,20240417,160000,12.09,12.39,12.03,12.19,18930,0
ROIC.US,60,20240417,170000,12.175,12.175,12.04,12.05,95634,0
ROIC.US,60,20240417,180000,12.045,12.06,11.985,12.035,82162,0
ROIC.US,60,20240417,190000,12.03,12.03,11.965,11.995,108217,0
ROIC.US,60,20240417,200000,11.99,12.055,11.99,12.05,48299,0
ROIC.US,60,20240417,210000,12.055,12.095,12.025,12.04,89331,0
ROIC.US,60,20240417,220000,12.04,12.06,11.98,11.98,313696,0
ROIC.US,60,20240418,160000,11.99,12.44,11.93,12.075,62967,0
ROIC.US,60,20240418,170000,12.07,12.14,12.03,12.1,96121,0
ROIC.US,60,20240418,180000,12.11,12.135,12.08,12.085,30100,0
ROIC.US,60,20240418,190000,12.09,12.1,12.03,12.035,38099,0
ROIC.US,60,20240418,200000,12.045,12.055,12.015,12.05,29521,0
ROIC.US,60,20240418,210000,12.045,12.1,12.015,12.095,64075,0
ROIC.US,60,20240418,220000,12.095,12.11,12.06,12.09,199623,0
ROIC.US,60,20240419,160000,12.07,12.285,12.01,12.265,52724,0
ROIC.US,60,20240419,170000,12.27,12.34,12.235,12.235,66689,0
ROIC.US,60,20240419,180000,12.23,12.28,12.225,12.265,22736,0
ROIC.US,60,20240419,190000,12.27,12.305,12.23,12.285,57279,0
ROIC.US,60,20240419,200000,12.29,12.3375,12.285,12.305,40787,0
