<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEZL.US,60,20240411,160000,11.1833,11.265,11.1817,11.265,1908,0
SEZL.US,60,20240411,170000,11.3333,11.3333,11.1467,11.1567,12636,0
SEZL.US,60,20240411,180000,11.18,11.18,11.18,11.18,720,0
SEZL.US,60,20240411,190000,11.304,11.3092,11.2467,11.2467,2652,0
SEZL.US,60,20240411,200000,11.185,11.5833,11.1168,11.5833,17760,0
SEZL.US,60,20240411,210000,11.6954,11.8433,11.2233,11.2233,31836,0
SEZL.US,60,20240411,220000,11.3933,11.4583,11.2517,11.2683,17124,0
SEZL.US,60,20240412,160000,10.9617,11.7117,10.9617,11.665,16392,0
SEZL.US,60,20240412,170000,11.6483,11.7658,11.46,11.46,30792,0
SEZL.US,60,20240412,180000,11.2658,11.66,11.2658,11.605,3000,0
SEZL.US,60,20240412,190000,11.5983,11.775,11.5583,11.5583,14100,0
SEZL.US,60,20240412,200000,11.445,11.445,11.4208,11.4208,1800,0
SEZL.US,60,20240412,210000,11.445,11.7483,11.02,11.02,5862,0
SEZL.US,60,20240412,220000,11.0292,11.0617,10.8333,10.87,17076,0
SEZL.US,60,20240415,170000,11.1833,11.315,11.09,11.09,6996,0
SEZL.US,60,20240415,180000,11.0867,11.2333,11.0867,11.1217,4482,0
SEZL.US,60,20240415,190000,11.2658,11.365,11.1367,11.1533,9558,0
SEZL.US,60,20240415,200000,11.1375,11.1375,10.7042,10.7042,15084,0
SEZL.US,60,20240415,210000,10.6917,10.77,10.5,10.5333,14760,0
SEZL.US,60,20240415,220000,10.7567,10.8683,10.5533,10.8683,20724,0
SEZL.US,60,20240416,160000,10.5583,10.83,10.1122,10.3333,16938,0
SEZL.US,60,20240416,170000,10.875,10.8833,10.3986,10.6467,28164,0
SEZL.US,60,20240416,180000,10.4229,10.61,10.1567,10.3183,31020,0
SEZL.US,60,20240416,190000,10.3167,10.3167,9.5325,9.83333,59664,0
SEZL.US,60,20240416,200000,9.865,9.865,9.74167,9.74167,2304,0
SEZL.US,60,20240416,210000,9.71833,10.2783,9.58333,10.2783,10200,0
SEZL.US,60,20240416,220000,9.95167,10.19,9.89167,9.90667,10920,0
SEZL.US,60,20240417,160000,9.60167,10.5,9.60167,10.2725,21612,0
SEZL.US,60,20240417,170000,10.1267,10.2333,9.53335,10.0225,55500,0
SEZL.US,60,20240417,180000,10.0717,10.9992,10.0217,10.4999,80358,0
SEZL.US,60,20240417,190000,10.6175,10.7283,10.4667,10.4667,4200,0
SEZL.US,60,20240417,200000,10.6017,10.8167,10.5167,10.7167,18678,0
SEZL.US,60,20240417,210000,10.6543,10.905,10.6543,10.81,3000,0
SEZL.US,60,20240417,220000,11.015,11.015,10.7283,10.81,11010,0
SEZL.US,60,20240418,160000,10.13,10.8683,10.13,10.6783,19830,0
SEZL.US,60,20240418,170000,10.3583,11,10.3567,10.9167,37266,0
SEZL.US,60,20240418,180000,10.6892,11.1917,10.6892,11.185,37710,0
SEZL.US,60,20240418,190000,11.1867,11.2083,10.6783,10.9983,35670,0
SEZL.US,60,20240418,200000,11.16,11.1833,10.7583,10.8,101550,0
SEZL.US,60,20240418,210000,10.8317,10.9083,10.4,10.4767,54396,0
SEZL.US,60,20240418,220000,10.355,10.4283,9.56083,9.6,105786,0
SEZL.US,60,20240419,160000,9.33167,9.8,8.60167,9.345,22956,0
SEZL.US,60,20240419,170000,9.52233,9.91333,9.16833,9.42,45954,0
SEZL.US,60,20240419,180000,9.27833,9.45333,9.17667,9.3,15684,0
SEZL.US,60,20240419,190000,9.3,9.39732,8.51667,8.83333,98604,0
SEZL.US,60,20240419,200000,8.74833,9.595,8.74833,9.41667,34266,0
SEZL.US,60,20240419,210000,9.48667,9.67498,9.23,9.37667,40548,0
SEZL.US,60,20240419,220000,9.3,9.46667,9.17833,9.245,33036,0
SEZL.US,60,20240422,160000,9.22,9.22,8.83333,9.00168,32892,0
SEZL.US,60,20240422,170000,8.88033,9.08333,8.335,8.645,91032,0
SEZL.US,60,20240422,180000,8.71833,8.83195,8.565,8.83195,17802,0
SEZL.US,60,20240422,190000,8.83,8.98505,8.73667,8.82167,75900,0
SEZL.US,60,20240422,200000,8.97417,9.00833,8.85333,8.95667,15600,0
SEZL.US,60,20240422,210000,8.95833,9.01498,8.87833,8.87833,8790,0
SEZL.US,60,20240422,220000,8.875,8.92962,7.955,8.09,70602,0
SEZL.US,60,20240423,160000,8.215,9.01,7.8875,8.39167,128244,0
SEZL.US,60,20240423,170000,8.46,9.60083,8.42333,9.1475,85794,0
SEZL.US,60,20240423,180000,9.16467,9.575,8.90917,8.95083,120378,0
SEZL.US,60,20240423,190000,8.90333,9.18665,8.50833,8.95165,46632,0
SEZL.US,60,20240423,200000,9.16833,9.36667,9.16833,9.33667,5406,0
SEZL.US,60,20240423,210000,9.42333,9.42333,8.98985,9.04833,10866,0
SEZL.US,60,20240423,220000,9.16083,9.44982,8.99833,9.30833,28242,0
SEZL.US,60,20240424,160000,9.05,9.57,9.05,9.46833,13344,0
SEZL.US,60,20240424,170000,9.51167,9.8,9.24667,9.30833,110184,0
SEZL.US,60,20240424,180000,9.19133,9.535,8.99417,9.425,45810,0
SEZL.US,60,20240424,190000,9.52332,9.54245,8.97317,9.05833,33294,0
SEZL.US,60,20240424,200000,9.13333,9.33667,9.0625,9.31917,28074,0
SEZL.US,60,20240424,210000,9.37667,9.39167,9.19583,9.33,33288,0
SEZL.US,60,20240424,220000,9.31833,9.31833,8.95167,9.1,25566,0
SEZL.US,60,20240425,160000,8.99,8.99833,8.71333,8.95167,15810,0
SEZL.US,60,20240425,170000,8.975,9.01167,8.5,8.96667,49596,0
SEZL.US,60,20240425,180000,9.02,9.33333,8.83333,9.2,59526,0
SEZL.US,60,20240425,190000,9.05,9.17333,9.03193,9.04,17940,0
SEZL.US,60,20240425,200000,9,9.11667,8.9,8.9,28800,0
SEZL.US,60,20240425,210000,8.88,8.88,8.59677,8.59677,27642,0
SEZL.US,60,20240425,220000,8.695,8.90097,8.595,8.76,11610,0
SEZL.US,60,20240426,160000,8.83833,9.16667,8.80833,9.13333,25482,0
SEZL.US,60,20240426,170000,9.28167,9.33333,8.98668,9.06,29520,0
SEZL.US,60,20240426,180000,9.2,9.8175,8.985,9.8175,44640,0
SEZL.US,60,20240426,190000,9.9825,10.3333,9.61333,9.70333,59604,0
SEZL.US,60,20240426,200000,9.725,9.92333,9.64167,9.83583,50478,0
SEZL.US,60,20240426,210000,9.78333,9.89092,9.525,9.66667,34182,0
SEZL.US,60,20240426,220000,9.725,9.93,9.71667,9.83167,44628,0
SEZL.US,60,20240429,160000,9.99833,10.2417,9.83333,9.91667,34752,0
SEZL.US,60,20240429,170000,9.85833,10.01,9.55,9.65417,58470,0
SEZL.US,60,20240429,180000,9.60167,9.83333,9.27833,9.51333,56130,0
SEZL.US,60,20240429,190000,9.48333,9.48333,8.98,9.04333,30972,0
SEZL.US,60,20240429,200000,9.05417,9.1881,8.66833,8.85667,27480,0
