<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOLZ.US,60,20250320,150000,15.09,15.14,15.02,15.0516,10842,0
SOLZ.US,60,20250320,160000,15.172,15.21,15.065,15.138,9315,0
SOLZ.US,60,20250320,170000,15.12,15.12,14.84,14.869,10855,0
SOLZ.US,60,20250320,180000,14.84,14.88,14.61,14.61,10841,0
SOLZ.US,60,20250320,190000,14.68,14.74,14.67,14.72,12082,0
SOLZ.US,60,20250320,200000,14.72,14.77,14.67,14.67,6603,0
SOLZ.US,60,20250320,210000,14.73,14.75,14.68,14.74,9500,0
SOLZ.US,60,20250321,150000,14.54,14.65,14.43,14.65,1974,0
SOLZ.US,60,20250321,160000,14.595,14.65,14.58,14.59,1600,0
SOLZ.US,60,20250321,170000,14.6,14.6,14.503,14.51,1012,0
SOLZ.US,60,20250321,180000,14.42,14.57,14.42,14.5699,2350,0
SOLZ.US,60,20250321,190000,14.57,14.61,14.515,14.61,4407,0
SOLZ.US,60,20250321,200000,14.58,14.8647,14.52,14.69,9572,0
SOLZ.US,60,20250321,210000,14.7,14.78,14.7,14.71,2207,0
SOLZ.US,60,20250324,150000,16.59,16.69,16.48,16.5672,27150,0
SOLZ.US,60,20250324,160000,16.71,16.71,16.38,16.38,16213,0
SOLZ.US,60,20250324,170000,16.47,16.51,16.44,16.44,1650,0
SOLZ.US,60,20250324,180000,16.5038,16.5038,16.375,16.3799,9052,0
SOLZ.US,60,20250324,190000,16.35,16.4499,16.35,16.38,4744,0
SOLZ.US,60,20250324,200000,16.37,16.379,16.33,16.36,2250,0
SOLZ.US,60,20250324,210000,16.4,16.48,16.33,16.44,11923,0
SOLZ.US,60,20250325,150000,16.8,16.82,16.5,16.63,20156,0
SOLZ.US,60,20250325,160000,16.64,16.89,16.64,16.7896,35690,0
SOLZ.US,60,20250325,170000,16.87,16.87,16.6293,16.74,13580,0
SOLZ.US,60,20250325,180000,16.75,16.81,16.549,16.625,7871,0
SOLZ.US,60,20250325,190000,16.71,16.74,16.67,16.706,16387,0
SOLZ.US,60,20250325,200000,16.69,16.75,16.6455,16.74,3790,0
SOLZ.US,60,20250325,210000,16.757,16.769,16.6626,16.7,6376,0
SOLZ.US,60,20250326,150000,16.61,16.61,16.269,16.28,11765,0
SOLZ.US,60,20250326,160000,16.25,16.25,15.99,16.08,18090,0
SOLZ.US,60,20250326,170000,16.09,16.09,15.93,15.93,29046,0
SOLZ.US,60,20250326,180000,15.97,16.07,15.9405,15.97,7130,0
SOLZ.US,60,20250326,190000,15.9845,16,15.8,15.83,30853,0
SOLZ.US,60,20250326,200000,15.82,15.89,15.75,15.75,13635,0
SOLZ.US,60,20250326,210000,15.759,15.87,15.62,15.79,18663,0
SOLZ.US,60,20250327,150000,15.7301,15.7301,15.61,15.62,2542,0
SOLZ.US,60,20250327,160000,15.765,16,15.74,15.99,4108,0
SOLZ.US,60,20250327,170000,16,16,15.8334,15.8334,33664,0
SOLZ.US,60,20250327,180000,15.7701,15.9,15.7701,15.9,6449,0
SOLZ.US,60,20250327,200000,15.82,15.9502,15.82,15.9344,2640,0
SOLZ.US,60,20250327,210000,15.9294,16.03,15.92,15.93,3499,0
SOLZ.US,60,20250328,150000,15.11,15.11,14.858,14.9,9750,0
SOLZ.US,60,20250328,160000,14.88,14.9,14.845,14.9,1430,0
SOLZ.US,60,20250328,170000,14.84,14.92,14.82,14.88,3745,0
SOLZ.US,60,20250328,180000,14.8678,14.8678,14.8,14.8,686,0
SOLZ.US,60,20250328,190000,14.7805,14.8461,14.77,14.82,1987,0
SOLZ.US,60,20250328,200000,14.86,14.8999,14.7732,14.84,4414,0
SOLZ.US,60,20250328,210000,14.81,14.849,14.78,14.82,3300,0
SOLZ.US,60,20250331,160000,14.4,14.4,14.22,14.3845,2080,0
SOLZ.US,60,20250331,170000,14.399,14.56,14.399,14.56,23746,0
SOLZ.US,60,20250331,180000,14.6,14.6369,14.5248,14.56,7871,0
SOLZ.US,60,20250331,190000,14.5894,14.61,14.45,14.45,5161,0
SOLZ.US,60,20250331,200000,14.4701,14.5,14.37,14.37,2600,0
SOLZ.US,60,20250331,210000,14.29,14.4374,14.29,14.4,2046,0
SOLZ.US,60,20250331,220000,14.4105,14.42,14.3237,14.36,1808,0
SOLZ.US,60,20250401,160000,14.59,14.69,14.59,14.69,2617,0
SOLZ.US,60,20250401,170000,14.56,14.6,14.3,14.57,4374,0
