<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPRY.US,60,20240411,160000,9.32,9.44,9.24,9.3,11007,0
SPRY.US,60,20240411,170000,9.3,9.33,9.2,9.28,18626,0
SPRY.US,60,20240411,180000,9.32,9.4,9.18,9.25,31779,0
SPRY.US,60,20240411,190000,9.25,9.28,9.17,9.23,49263,0
SPRY.US,60,20240411,200000,9.23,9.33,9.22,9.29,28787,0
SPRY.US,60,20240411,210000,9.29,9.37,9.26,9.28,40954,0
SPRY.US,60,20240411,220000,9.265,9.34,9.2,9.25,91759,0
SPRY.US,60,20240412,160000,9.24,9.24,9.07,9.14,45378,0
SPRY.US,60,20240412,170000,9.15,9.2,9.02,9.15,76938,0
SPRY.US,60,20240412,180000,9.13,9.145,9.04,9.09,18926,0
SPRY.US,60,20240412,190000,9.095,9.13,9.065,9.11,30680,0
SPRY.US,60,20240412,200000,9.1,9.125,8.995,9.01,60875,0
SPRY.US,60,20240412,210000,9.01,9.04,8.95,8.96,82066,0
SPRY.US,60,20240412,220000,8.96,9.06,8.93,9.01,152342,0
SPRY.US,60,20240415,160000,9,9.27,8.9468,9.1491,83956,0
SPRY.US,60,20240415,170000,9.13,9.19,9.08,9.105,20594,0
SPRY.US,60,20240415,180000,9.09,9.22,9.09,9.2001,31298,0
SPRY.US,60,20240415,190000,9.2015,9.21,9.14,9.1525,14605,0
SPRY.US,60,20240415,200000,9.15,9.22,9.15,9.22,17704,0
SPRY.US,60,20240415,210000,9.21,9.23,9.11,9.11,18306,0
SPRY.US,60,20240415,220000,9.12,9.26,9.12,9.24,65032,0
SPRY.US,60,20240416,160000,9.14,9.3,9.05,9.23,24457,0
SPRY.US,60,20240416,170000,9.2309,9.29,9.14,9.24,88465,0
SPRY.US,60,20240416,180000,9.24,9.47,9.24,9.355,32994,0
SPRY.US,60,20240416,190000,9.33,9.4,9.33,9.36,31366,0
SPRY.US,60,20240416,200000,9.35,9.42,9.28,9.345,44768,0
SPRY.US,60,20240416,210000,9.33,9.38,9.25,9.29,24252,0
SPRY.US,60,20240416,220000,9.31,9.31,9.17,9.18,71047,0
SPRY.US,60,20240417,160000,9.28,9.28,9.12,9.12,14089,0
SPRY.US,60,20240417,170000,9.125,9.16,9,9.07,45939,0
SPRY.US,60,20240417,180000,9.08,9.1,9.01,9.06,22587,0
SPRY.US,60,20240417,190000,9.06,9.06,8.88,9.02,60483,0
SPRY.US,60,20240417,200000,9.03,9.13,9.02,9.1,15341,0
SPRY.US,60,20240417,210000,9.1,9.14,9.05,9.08,17975,0
SPRY.US,60,20240417,220000,9.08,9.08,8.98,9.07,84101,0
SPRY.US,60,20240418,160000,9.02,9.19,8.94,8.95,13813,0
SPRY.US,60,20240418,170000,8.95,8.96,8.74,8.75,88973,0
SPRY.US,60,20240418,180000,8.7529,8.8,8.67,8.73,90469,0
SPRY.US,60,20240418,190000,8.74,8.74,8.59,8.68,55465,0
SPRY.US,60,20240418,200000,8.68,8.68,8.552,8.63,36884,0
SPRY.US,60,20240418,210000,8.63,8.63,8.48,8.535,70168,0
SPRY.US,60,20240418,220000,8.535,8.57,8.38,8.44,237567,0
SPRY.US,60,20240419,160000,8.41,8.65,8.25,8.65,85595,0
SPRY.US,60,20240419,170000,8.63,8.65,8.42,8.47,22281,0
SPRY.US,60,20240419,180000,8.46,8.53,8.41,8.44,32239,0
SPRY.US,60,20240419,190000,8.42,8.43,8.29,8.3501,39885,0
SPRY.US,60,20240419,200000,8.3401,8.5,8.34,8.47,34402,0
SPRY.US,60,20240419,210000,8.47,8.47,8.2969,8.33,27106,0
SPRY.US,60,20240419,220000,8.32,8.47,8.32,8.47,55294,0
SPRY.US,60,20240422,160000,8.57,8.6,8.44,8.57,17258,0
SPRY.US,60,20240422,170000,8.55,8.55,8.44,8.47,11406,0
SPRY.US,60,20240422,180000,8.46,8.47,8.34,8.34,45591,0
SPRY.US,60,20240422,190000,8.3612,8.3702,8.2,8.24,52702,0
SPRY.US,60,20240422,200000,8.23,8.37,8.22,8.37,19769,0
SPRY.US,60,20240422,210000,8.38,8.47,8.26,8.3,34392,0
SPRY.US,60,20240422,220000,8.2954,8.3,8.145,8.21,68172,0
SPRY.US,60,20240423,160000,8.44,8.525,8.3087,8.47,39145,0
SPRY.US,60,20240423,170000,8.48,8.74,8.4753,8.73,44073,0
SPRY.US,60,20240423,180000,8.72,8.83,8.68,8.705,40884,0
SPRY.US,60,20240423,190000,8.7,8.77,8.7,8.715,34466,0
SPRY.US,60,20240423,200000,8.73,8.73,8.6,8.655,51238,0
SPRY.US,60,20240423,210000,8.655,8.659,8.575,8.59,43236,0
SPRY.US,60,20240423,220000,8.59,8.59,8.48,8.5,159399,0
SPRY.US,60,20240424,160000,8.46,8.545,8.43,8.4499,10566,0
SPRY.US,60,20240424,170000,8.41,8.43,8.24,8.3,27016,0
SPRY.US,60,20240424,180000,8.3,8.31,8.23,8.24,15430,0
SPRY.US,60,20240424,190000,8.23,8.24,8.17,8.2,26594,0
SPRY.US,60,20240424,200000,8.201,8.28,8.18,8.28,17138,0
SPRY.US,60,20240424,210000,8.27,8.27,8.21,8.22,16376,0
SPRY.US,60,20240424,220000,8.2297,8.28,8.155,8.26,134021,0
SPRY.US,60,20240425,160000,8.09,8.12,7.66,8.02,135614,0
SPRY.US,60,20240425,170000,8.0166,8.13,7.99,8.0725,40085,0
SPRY.US,60,20240425,180000,8.06,8.19,8.04,8.13,57577,0
SPRY.US,60,20240425,190000,8.14,8.18,8.05,8.11,32918,0
SPRY.US,60,20240425,200000,8.11,8.12,8.05,8.09,15471,0
SPRY.US,60,20240425,210000,8.08,8.14,8.08,8.13,10964,0
SPRY.US,60,20240425,220000,8.13,8.17,8.09,8.09,141167,0
SPRY.US,60,20240426,160000,8.17,8.39,8.1,8.39,41538,0
SPRY.US,60,20240426,170000,8.39,8.66,8.37,8.48,60508,0
SPRY.US,60,20240426,180000,8.49,8.49,8.21,8.25,71247,0
SPRY.US,60,20240426,190000,8.27,8.31,8.25,8.28,24358,0
SPRY.US,60,20240426,200000,8.28,8.365,8.25,8.31,46696,0
SPRY.US,60,20240426,210000,8.31,8.4,8.28,8.4,30284,0
SPRY.US,60,20240426,220000,8.41,8.465,8.35,8.35,149486,0
SPRY.US,60,20240429,160000,8.47,8.52,8.41,8.43,15977,0
SPRY.US,60,20240429,170000,8.4333,8.63,8.4333,8.5735,31831,0
SPRY.US,60,20240429,180000,8.585,8.62,8.545,8.575,65517,0
SPRY.US,60,20240429,190000,8.58,8.67,8.58,8.635,18046,0
SPRY.US,60,20240429,200000,8.63,8.72,8.63,8.72,13044,0
SPRY.US,60,20240429,210000,8.7,8.72,8.635,8.69,21376,0
SPRY.US,60,20240429,220000,8.67,8.67,8.575,8.6,126408,0
SPRY.US,60,20240430,160000,8.58,8.79,8.51,8.53,22399,0
SPRY.US,60,20240430,170000,8.54,8.725,8.53,8.65,12598,0
SPRY.US,60,20240430,180000,8.65,8.72,8.59,8.7,27410,0
SPRY.US,60,20240430,190000,8.7,8.76,8.7,8.71,13981,0
SPRY.US,60,20240430,200000,8.72,8.77,8.71,8.75,6736,0
SPRY.US,60,20240430,210000,8.74,8.76,8.7,8.715,17040,0
SPRY.US,60,20240430,220000,8.715,8.765,8.68,8.7,122275,0
SPRY.US,60,20240501,160000,8.73,9,8.67,8.925,57929,0
SPRY.US,60,20240501,170000,8.9125,9.09,8.78,9,152981,0
SPRY.US,60,20240501,180000,8.99,9.16,8.985,9.01,102911,0
SPRY.US,60,20240501,190000,9.01,9.2,9.01,9.2,55148,0
SPRY.US,60,20240501,200000,9.17,9.505,9.17,9.38,136188,0
SPRY.US,60,20240501,210000,9.36,9.58,9.27,9.56,104546,0
SPRY.US,60,20240501,220000,9.6,9.62,9.29,9.33,292144,0
SPRY.US,60,20240502,160000,9.35,9.4909,9.14,9.15,13401,0
SPRY.US,60,20240502,170000,9.13,9.26,9.04,9.26,68494,0
SPRY.US,60,20240502,180000,9.23,9.23,8.94,9.16,140820,0
SPRY.US,60,20240502,190000,9.16,9.225,9.13,9.21,17506,0
SPRY.US,60,20240502,200000,9.1953,9.42,9.1953,9.4,46640,0
SPRY.US,60,20240502,210000,9.4,9.44,9.38,9.43,17191,0
SPRY.US,60,20240502,220000,9.42,9.51,9.39,9.47,72331,0
SPRY.US,60,20240503,160000,9.66,9.75,9.56,9.61,23953,0
SPRY.US,60,20240503,170000,9.61,9.62,9.4295,9.43,22973,0
SPRY.US,60,20240503,180000,9.46,9.5,9.39,9.46,18460,0
SPRY.US,60,20240503,190000,9.4792,9.62,9.46,9.57,37285,0
SPRY.US,60,20240503,200000,9.5802,9.6,9.52,9.58,15539,0
SPRY.US,60,20240503,210000,9.58,9.71,9.58,9.615,32397,0
SPRY.US,60,20240503,220000,9.61,9.76,9.595,9.75,115361,0
SPRY.US,60,20240506,160000,9.75,9.8,9.44,9.555,36635,0
SPRY.US,60,20240506,170000,9.565,9.58,9.31,9.31,61284,0
SPRY.US,60,20240506,180000,9.3,9.54,9.1,9.54,42854,0
SPRY.US,60,20240506,190000,9.52,9.525,9.41,9.43,11672,0
SPRY.US,60,20240506,200000,9.43,9.57,9.43,9.54,11509,0
SPRY.US,60,20240506,210000,9.53,9.54,9.45,9.45,20038,0
SPRY.US,60,20240506,220000,9.45,9.55,9.4,9.45,116859,0
SPRY.US,60,20240507,160000,9.44,9.49,9.25,9.295,31370,0
SPRY.US,60,20240507,170000,9.28,9.28,9.14,9.21,41809,0
SPRY.US,60,20240507,180000,9.23,9.45,9.23,9.39,55201,0
SPRY.US,60,20240507,190000,9.36,9.37,9.29,9.31,20218,0
SPRY.US,60,20240507,200000,9.31,9.41,9.3,9.35,25497,0
SPRY.US,60,20240507,210000,9.35,9.41,9.35,9.365,23262,0
SPRY.US,60,20240507,220000,9.36,9.51,9.36,9.47,81437,0
SPRY.US,60,20240508,160000,9.35,9.4,9.28,9.38,12946,0
SPRY.US,60,20240508,170000,9.39,9.553,9.29,9.31,29215,0
SPRY.US,60,20240508,180000,9.37,9.39,9.24,9.24,11441,0
SPRY.US,60,20240508,190000,9.24,9.26,9.13,9.13,21408,0
SPRY.US,60,20240508,200000,9.12,9.12,9.02,9.06,17614,0
SPRY.US,60,20240508,210000,9.04,9.15,9.04,9.08,30834,0
SPRY.US,60,20240508,220000,9.07,9.105,8.98,9.06,109385,0
SPRY.US,60,20240509,160000,9.06,9.19,9.03,9.065,9257,0
SPRY.US,60,20240509,170000,9.08,9.095,8.98,9,49440,0
SPRY.US,60,20240509,180000,9,9.01,8.8901,8.93,50281,0
SPRY.US,60,20240509,190000,8.92,8.92,8.82,8.82,8686,0
SPRY.US,60,20240509,200000,8.831,8.845,8.78,8.8,15882,0
SPRY.US,60,20240509,210000,8.77,8.81,8.74,8.76,19522,0
SPRY.US,60,20240509,220000,8.7699,8.82,8.72,8.8,86794,0
SPRY.US,60,20240510,160000,8.93,9,8.65,8.815,41543,0
SPRY.US,60,20240510,170000,8.81,8.81,8.642,8.75,17975,0
SPRY.US,60,20240510,180000,8.73,8.75,8.6,8.63,16523,0
SPRY.US,60,20240510,190000,8.61,8.78,8.59,8.76,15912,0
SPRY.US,60,20240510,200000,8.77,8.77,8.67,8.69,15111,0
SPRY.US,60,20240510,210000,8.68,8.75,8.6518,8.75,19691,0
SPRY.US,60,20240510,220000,8.73,8.77,8.7001,8.74,86212,0
SPRY.US,60,20240513,160000,8.72,8.965,8.72,8.93,18902,0
SPRY.US,60,20240513,170000,8.93,9.02,8.93,8.9654,30013,0
SPRY.US,60,20240513,180000,8.98,9,8.95,8.9993,18651,0
SPRY.US,60,20240513,190000,8.99,9.015,8.92,8.9575,13208,0
SPRY.US,60,20240513,200000,8.955,8.955,8.86,8.905,19499,0
SPRY.US,60,20240513,210000,8.9,8.95,8.89,8.94,16849,0
SPRY.US,60,20240513,220000,8.94,8.94,8.85,8.89,113482,0
SPRY.US,60,20240514,160000,8.94,9.06,8.94,9,17020,0
SPRY.US,60,20240514,170000,8.97,9.02,8.97,8.99,89437,0
SPRY.US,60,20240514,180000,9,9,8.88,8.96,32621,0
SPRY.US,60,20240514,190000,8.935,9,8.9,9,50884,0
SPRY.US,60,20240514,200000,9,9,8.89,8.89,7034,0
SPRY.US,60,20240514,210000,8.9,8.935,8.88,8.93,10135,0
SPRY.US,60,20240514,220000,8.94,9.01,8.92,8.98,66008,0
SPRY.US,60,20240515,160000,9.15,9.16,8.83,8.98,62693,0
SPRY.US,60,20240515,170000,8.955,8.99,8.915,8.985,12195,0
SPRY.US,60,20240515,180000,8.985,9,8.88,8.93,24812,0
SPRY.US,60,20240515,190000,8.93,8.96,8.91,8.9569,6716,0
SPRY.US,60,20240515,200000,8.97,9.01,8.93,8.99,12479,0
SPRY.US,60,20240515,210000,8.98,8.99,8.96,8.9899,7091,0
SPRY.US,60,20240515,220000,8.98,9,8.88,8.88,105417,0
SPRY.US,60,20240516,160000,8.89,8.89,8.79,8.82,28367,0
SPRY.US,60,20240516,170000,8.82,8.9,8.8,8.86,12671,0
SPRY.US,60,20240516,180000,8.85,9.03,8.85,8.99,28084,0
SPRY.US,60,20240516,190000,8.99,9.14,8.98,9.06,57103,0
SPRY.US,60,20240516,200000,9.05,9.09,9,9.09,26089,0
SPRY.US,60,20240516,210000,9.075,9.1,9.01,9.01,37854,0
SPRY.US,60,20240516,220000,9.0175,9.13,8.995,9.1,111343,0
SPRY.US,60,20240517,160000,9.13,9.19,9.02,9.108,4786,0
SPRY.US,60,20240517,170000,9.08,9.1425,9.05,9.08,21449,0
SPRY.US,60,20240517,180000,9.06,9.135,9.03,9.12,6450,0
SPRY.US,60,20240517,190000,9.13,9.25,9.11,9.16,24828,0
SPRY.US,60,20240517,200000,9.16,9.18,9.13,9.17,7539,0
SPRY.US,60,20240517,210000,9.16,9.16,9.02,9.02,9424,0
SPRY.US,60,20240517,220000,9.02,9.06,8.99,9.03,124744,0
SPRY.US,60,20240520,160000,9.09,9.13,9.075,9.1299,9713,0
SPRY.US,60,20240520,170000,9.12,9.22,9.1,9.19,19812,0
SPRY.US,60,20240520,180000,9.1808,9.21,9.17,9.2,19203,0
SPRY.US,60,20240520,190000,9.2,9.25,9.16,9.25,11707,0
SPRY.US,60,20240520,200000,9.245,9.31,9.19,9.21,11114,0
SPRY.US,60,20240520,210000,9.21,9.27,9.21,9.26,16515,0
SPRY.US,60,20240520,220000,9.25,9.27,9.15,9.19,109265,0
SPRY.US,60,20240521,160000,9.13,9.15,9.05,9.05,8739,0
SPRY.US,60,20240521,170000,9.05,9.11,9.04,9.04,13877,0
SPRY.US,60,20240521,180000,9.03,9.09,9.03,9.06,13537,0
SPRY.US,60,20240521,190000,9.07,9.0793,8.92,8.92,24382,0
SPRY.US,60,20240521,200000,8.91,8.93,8.86,8.92,11036,0
SPRY.US,60,20240521,210000,8.92,8.96,8.9,8.93,16002,0
SPRY.US,60,20240521,220000,8.94,8.96,8.81,8.83,100661,0
SPRY.US,60,20240522,160000,8.82,8.95,8.82,8.95,7865,0
SPRY.US,60,20240522,170000,8.93,9.02,8.88,8.91,17458,0
SPRY.US,60,20240522,180000,8.89,8.92,8.84,8.87,9122,0
SPRY.US,60,20240522,190000,8.86,8.97,8.86,8.93,11692,0
SPRY.US,60,20240522,200000,8.94,9.05,8.94,9.045,16549,0
SPRY.US,60,20240522,210000,9.04,9.05,8.98,9.01,20705,0
SPRY.US,60,20240522,220000,9.01,9.05,8.9,8.96,76899,0
SPRY.US,60,20240523,160000,9.09,9.09,8.87,8.89,19165,0
SPRY.US,60,20240523,170000,8.878,8.95,8.85,8.85,14164,0
SPRY.US,60,20240523,180000,8.86,8.9051,8.85,8.9,8360,0
SPRY.US,60,20240523,190000,8.9,8.92,8.77,8.785,9206,0
SPRY.US,60,20240523,200000,8.785,8.83,8.73,8.78,21810,0
SPRY.US,60,20240523,210000,8.7777,8.825,8.77,8.8,22207,0
SPRY.US,60,20240523,220000,8.8,8.85,8.79,8.8,99551,0
SPRY.US,60,20240524,160000,8.8,8.92,8.76,8.885,18560,0
SPRY.US,60,20240524,170000,8.91,9.08,8.91,9.07,60551,0
SPRY.US,60,20240524,180000,9.045,9.14,9.045,9.115,21017,0
SPRY.US,60,20240524,190000,9.12,9.14,9,9.01,20186,0
SPRY.US,60,20240524,200000,8.99,8.99,8.91,8.93,7636,0
SPRY.US,60,20240524,210000,8.93,8.95,8.9,8.9,9058,0
SPRY.US,60,20240524,220000,8.91,9,8.9,8.98,76454,0
SPRY.US,60,20240528,160000,9.1,9.23,8.99,8.99,51633,0
SPRY.US,60,20240528,170000,8.999,9.12,8.835,9.08,36007,0
SPRY.US,60,20240528,180000,9.0808,9.0808,9,9.015,27709,0
SPRY.US,60,20240528,190000,9.02,9.03,8.84,8.91,24405,0
SPRY.US,60,20240528,200000,8.91,8.965,8.835,8.835,20089,0
SPRY.US,60,20240528,210000,8.85,8.9,8.77,8.9,149174,0
SPRY.US,60,20240528,220000,8.9,9,8.9,8.98,64351,0
SPRY.US,60,20240529,160000,8.85,8.92,8.8,8.855,11512,0
SPRY.US,60,20240529,170000,8.86,8.99,8.835,8.85,14803,0
SPRY.US,60,20240529,180000,8.84,8.91,8.8,8.86,31884,0
SPRY.US,60,20240529,190000,8.86,8.93,8.86,8.885,11534,0
SPRY.US,60,20240529,200000,8.88,8.88,8.8,8.805,29783,0
SPRY.US,60,20240529,210000,8.8,8.85,8.8,8.83,16099,0
SPRY.US,60,20240529,220000,8.835,8.87,8.8,8.81,47310,0
SPRY.US,60,20240530,160000,8.86,8.98,8.855,8.9,8334,0
SPRY.US,60,20240530,170000,8.89,8.98,8.8219,8.98,28170,0
SPRY.US,60,20240530,180000,8.966,9.02,8.91,8.925,27371,0
SPRY.US,60,20240530,190000,8.9,8.98,8.9,8.97,12353,0
SPRY.US,60,20240530,200000,8.98,9.02,8.95,8.99,25196,0
SPRY.US,60,20240530,210000,8.97,8.97,8.88,8.91,13717,0
SPRY.US,60,20240530,220000,8.91,8.94,8.84,8.91,105160,0
SPRY.US,60,20240531,160000,8.93,9.3,8.93,9.22,94778,0
SPRY.US,60,20240531,170000,9.215,9.26,8.98,9.01,27486,0
SPRY.US,60,20240531,180000,9,9.0491,8.94,8.98,12276,0
SPRY.US,60,20240531,190000,8.99,9.04,8.94,9.02,9644,0
SPRY.US,60,20240531,200000,9.0143,9.015,8.94,8.94,11638,0
SPRY.US,60,20240531,210000,8.93,9,8.92,8.93,17510,0
SPRY.US,60,20240531,220000,8.93,8.96,8.84,8.87,81392,0
SPRY.US,60,20240603,160000,9,9.2,8.9,9.11,18814,0
