<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRAD.US,60,20240411,160000,11.19,11.275,11.09,11.17,32827,0
SRAD.US,60,20240411,170000,11.15,11.16,11.04,11.055,12694,0
SRAD.US,60,20240411,180000,11.06,11.18,11.06,11.18,17736,0
SRAD.US,60,20240411,190000,11.175,11.2,11.17,11.19,12232,0
SRAD.US,60,20240411,200000,11.19,11.28,11.19,11.26,9285,0
SRAD.US,60,20240411,210000,11.27,11.27,11.21,11.23,25869,0
SRAD.US,60,20240411,220000,11.23,11.23,11.14,11.2,43560,0
SRAD.US,60,20240412,160000,11.04,11.05,10.99,11.01,15794,0
SRAD.US,60,20240412,170000,11,11,10.86,10.865,23196,0
SRAD.US,60,20240412,180000,10.8782,10.9,10.79,10.795,19108,0
SRAD.US,60,20240412,190000,10.79,10.7997,10.74,10.765,11416,0
SRAD.US,60,20240412,200000,10.75,10.75,10.64,10.64,25504,0
SRAD.US,60,20240412,210000,10.64,10.645,10.5,10.57,30704,0
SRAD.US,60,20240412,220000,10.555,10.61,10.52,10.58,80146,0
SRAD.US,60,20240415,160000,10.79,10.79,10.55,10.57,23467,0
SRAD.US,60,20240415,170000,10.59,10.59,10.47,10.48,22051,0
SRAD.US,60,20240415,180000,10.48,10.5,10.397,10.4801,41732,0
SRAD.US,60,20240415,190000,10.49,10.52,10.4,10.415,27174,0
SRAD.US,60,20240415,200000,10.415,10.415,10.19,10.2,55354,0
SRAD.US,60,20240415,210000,10.2,10.22,10.08,10.09,30665,0
SRAD.US,60,20240415,220000,10.09,10.21,10.05,10.18,63322,0
SRAD.US,60,20240416,160000,10.09,10.12,9.67,9.7699,88273,0
SRAD.US,60,20240416,170000,9.76,9.96,9.74,9.945,116937,0
SRAD.US,60,20240416,180000,9.945,10.07,9.93,10.01,35215,0
SRAD.US,60,20240416,190000,10,10.07,9.96,10.065,42438,0
SRAD.US,60,20240416,200000,10.06,10.13,10.04,10.125,43801,0
SRAD.US,60,20240416,210000,10.11,10.19,10.09,10.1,32123,0
SRAD.US,60,20240416,220000,10.1,10.14,10.09,10.11,86576,0
SRAD.US,60,20240417,160000,10.07,10.14,10,10.11,13422,0
SRAD.US,60,20240417,170000,10.11,10.135,10.05,10.135,40324,0
SRAD.US,60,20240417,180000,10.15,10.17,10.05,10.11,26071,0
SRAD.US,60,20240417,190000,10.115,10.115,10.01,10.015,48718,0
SRAD.US,60,20240417,200000,10.01,10.07,10.01,10.065,11916,0
SRAD.US,60,20240417,210000,10.06,10.09,10,10.005,78617,0
SRAD.US,60,20240417,220000,10.005,10.049,9.95,9.95,84073,0
SRAD.US,60,20240418,160000,9.95,10,9.89,9.9099,6340,0
SRAD.US,60,20240418,170000,9.91,10.058,9.885,10.057,16459,0
SRAD.US,60,20240418,180000,10.06,10.108,10.03,10.03,8312,0
SRAD.US,60,20240418,190000,10,10.02,9.96,9.975,22388,0
SRAD.US,60,20240418,200000,9.99,10,9.94,9.99,28640,0
SRAD.US,60,20240418,210000,9.97,9.98,9.89,9.89,31704,0
SRAD.US,60,20240418,220000,9.91,9.95,9.69,9.69,176572,0
SRAD.US,60,20240419,160000,9.7,9.79,9.65,9.79,10546,0
SRAD.US,60,20240419,170000,9.77,9.77,9.6199,9.68,19816,0
SRAD.US,60,20240419,180000,9.67,9.71,9.64,9.6901,12185,0
SRAD.US,60,20240419,190000,9.7,9.7,9.61,9.66,18215,0
SRAD.US,60,20240419,200000,9.66,9.73,9.66,9.7,9144,0
SRAD.US,60,20240419,210000,9.7,9.7,9.6,9.62,9655,0
SRAD.US,60,20240419,220000,9.61,9.715,9.57,9.665,94495,0
SRAD.US,60,20240422,160000,9.68,9.825,9.62,9.68,21644,0
SRAD.US,60,20240422,170000,9.685,9.73,9.67,9.67,17297,0
SRAD.US,60,20240422,180000,9.67,9.68,9.63,9.67,7697,0
SRAD.US,60,20240422,190000,9.67,9.72,9.66,9.72,11183,0
SRAD.US,60,20240422,200000,9.715,9.8,9.71,9.785,14241,0
SRAD.US,60,20240422,210000,9.78,9.7984,9.76,9.78,7771,0
SRAD.US,60,20240422,220000,9.77,9.77,9.67,9.67,37706,0
SRAD.US,60,20240423,160000,9.69,9.815,9.69,9.8,11915,0
SRAD.US,60,20240423,170000,9.82,9.909,9.82,9.909,12767,0
SRAD.US,60,20240423,180000,9.9078,9.9078,9.79,9.79,6267,0
SRAD.US,60,20240423,190000,9.78,9.7999,9.76,9.77,10123,0
SRAD.US,60,20240423,200000,9.786,9.83,9.775,9.83,9472,0
SRAD.US,60,20240423,210000,9.85,9.87,9.83,9.845,3590,0
SRAD.US,60,20240423,220000,9.84,9.84,9.74,9.74,34122,0
SRAD.US,60,20240424,160000,9.79,9.79,9.74,9.74,3884,0
SRAD.US,60,20240424,170000,9.71,9.7599,9.69,9.69,6013,0
SRAD.US,60,20240424,180000,9.69,9.69,9.58,9.59,15189,0
SRAD.US,60,20240424,190000,9.6,9.6293,9.59,9.6293,10752,0
SRAD.US,60,20240424,200000,9.6205,9.68,9.62,9.68,13901,0
SRAD.US,60,20240424,210000,9.67,9.68,9.6,9.6,6509,0
SRAD.US,60,20240424,220000,9.6,9.64,9.5731,9.59,37120,0
SRAD.US,60,20240425,160000,9.5,9.58,9.315,9.48,29588,0
SRAD.US,60,20240425,170000,9.48,9.54,9.47,9.5,25639,0
SRAD.US,60,20240425,180000,9.5,9.58,9.47,9.56,38020,0
SRAD.US,60,20240425,190000,9.565,9.63,9.54,9.62,27349,0
SRAD.US,60,20240425,200000,9.63,9.67,9.575,9.64,20624,0
SRAD.US,60,20240425,210000,9.63,9.63,9.6,9.63,14009,0
SRAD.US,60,20240425,220000,9.6229,9.66,9.585,9.63,72400,0
SRAD.US,60,20240426,160000,9.7,9.725,9.625,9.66,7535,0
SRAD.US,60,20240426,170000,9.66,9.695,9.65,9.69,21890,0
SRAD.US,60,20240426,180000,9.68,9.7,9.582,9.61,40402,0
SRAD.US,60,20240426,190000,9.58,9.595,9.56,9.56,19810,0
SRAD.US,60,20240426,200000,9.565,9.569,9.53,9.53,7625,0
SRAD.US,60,20240426,210000,9.53,9.5599,9.53,9.54,22739,0
SRAD.US,60,20240426,220000,9.54,9.59,9.53,9.57,68403,0
SRAD.US,60,20240429,160000,9.7,9.7,9.565,9.65,14466,0
SRAD.US,60,20240429,170000,9.64,9.6601,9.63,9.65,5308,0
SRAD.US,60,20240429,180000,9.64,9.65,9.57,9.605,17940,0
SRAD.US,60,20240429,190000,9.61,9.63,9.6,9.6,3619,0
SRAD.US,60,20240429,200000,9.6091,9.61,9.55,9.58,30484,0
SRAD.US,60,20240429,210000,9.57,9.57,9.5,9.555,29144,0
SRAD.US,60,20240429,220000,9.55,9.62,9.51,9.62,47470,0
SRAD.US,60,20240430,160000,9.56,9.57,9.49,9.54,56404,0
SRAD.US,60,20240430,170000,9.52,9.55,9.49,9.51,17708,0
SRAD.US,60,20240430,180000,9.5,9.52,9.4599,9.4599,53300,0
SRAD.US,60,20240430,190000,9.455,9.4557,9.36,9.36,61073,0
SRAD.US,60,20240430,200000,9.365,9.425,9.34,9.41,57362,0
SRAD.US,60,20240430,210000,9.4,9.42,9.35,9.375,55574,0
SRAD.US,60,20240430,220000,9.375,9.42,9.3,9.3,101045,0
SRAD.US,60,20240501,160000,9.32,9.385,9.26,9.29,27240,0
SRAD.US,60,20240501,170000,9.29,9.29,9.23,9.26,48858,0
SRAD.US,60,20240501,180000,9.25,9.32,9.24,9.24,104301,0
SRAD.US,60,20240501,190000,9.24,9.275,9.24,9.26,33087,0
SRAD.US,60,20240501,200000,9.25,9.26,9.24,9.25,14461,0
SRAD.US,60,20240501,210000,9.26,9.43,9.26,9.4,31928,0
SRAD.US,60,20240501,220000,9.42,9.44,9.24,9.25,103890,0
SRAD.US,60,20240502,160000,9.35,9.35,9.235,9.26,8750,0
SRAD.US,60,20240502,170000,9.25,9.35,9.235,9.35,43085,0
SRAD.US,60,20240502,180000,9.35,9.35,9.25,9.29,32768,0
SRAD.US,60,20240502,190000,9.29,9.32,9.27,9.31,6584,0
SRAD.US,60,20240502,200000,9.32,9.34,9.32,9.3339,8172,0
SRAD.US,60,20240502,210000,9.335,9.35,9.29,9.3301,40185,0
SRAD.US,60,20240502,220000,9.335,9.345,9.25,9.25,108611,0
SRAD.US,60,20240503,160000,9.45,9.45,9.28,9.42,96132,0
SRAD.US,60,20240503,170000,9.43,9.44,9.32,9.36,88112,0
SRAD.US,60,20240503,180000,9.37,9.39,9.25,9.26,20224,0
SRAD.US,60,20240503,190000,9.25,9.29,9.22,9.225,19654,0
SRAD.US,60,20240503,200000,9.22,9.23,9.19,9.205,29401,0
SRAD.US,60,20240503,210000,9.205,9.235,9.2,9.2001,19734,0
SRAD.US,60,20240503,220000,9.205,9.25,9.2,9.21,97970,0
SRAD.US,60,20240506,160000,9.25,9.3,9.21,9.26,122900,0
SRAD.US,60,20240506,170000,9.26,9.3099,9.25,9.25,41040,0
SRAD.US,60,20240506,180000,9.25,9.25,9.23,9.24,15185,0
SRAD.US,60,20240506,190000,9.24,9.32,9.23,9.29,101350,0
SRAD.US,60,20240506,200000,9.3,9.32,9.29,9.305,34556,0
SRAD.US,60,20240506,210000,9.305,9.31,9.275,9.28,24382,0
SRAD.US,60,20240506,220000,9.27,9.32,9.24,9.285,70181,0
SRAD.US,60,20240507,160000,9.34,9.35,9.28,9.305,26364,0
SRAD.US,60,20240507,170000,9.31,9.4,9.305,9.37,42595,0
SRAD.US,60,20240507,180000,9.37,9.42,9.35,9.35,26357,0
SRAD.US,60,20240507,190000,9.35,9.3575,9.33,9.33,16746,0
SRAD.US,60,20240507,200000,9.335,9.3575,9.335,9.34,16392,0
SRAD.US,60,20240507,210000,9.34,9.36,9.33,9.35,67156,0
SRAD.US,60,20240507,220000,9.35,9.39,9.33,9.33,45706,0
SRAD.US,60,20240508,160000,9.33,9.43,9.25,9.25,83048,0
SRAD.US,60,20240508,170000,9.25,9.28,9.24,9.27,54513,0
SRAD.US,60,20240508,180000,9.27,9.27,9.24,9.25,16598,0
SRAD.US,60,20240508,190000,9.25,9.305,9.24,9.24,83193,0
SRAD.US,60,20240508,200000,9.24,9.31,9.24,9.3006,40832,0
SRAD.US,60,20240508,210000,9.305,9.31,9.26,9.26,16150,0
SRAD.US,60,20240508,220000,9.265,9.275,9.24,9.26,54689,0
SRAD.US,60,20240509,160000,9.26,9.33,9.17,9.2,26047,0
SRAD.US,60,20240509,170000,9.21,9.3,9.21,9.28,53908,0
SRAD.US,60,20240509,180000,9.28,9.3,9.26,9.285,18875,0
SRAD.US,60,20240509,190000,9.2802,9.2917,9.26,9.29,34333,0
SRAD.US,60,20240509,200000,9.29,9.31,9.27,9.3,16461,0
SRAD.US,60,20240509,210000,9.3,9.33,9.29,9.325,31229,0
SRAD.US,60,20240509,220000,9.325,9.41,9.32,9.4,75285,0
SRAD.US,60,20240510,160000,9.47,9.515,9.28,9.31,39186,0
SRAD.US,60,20240510,170000,9.3,9.31,9.25,9.29,83426,0
SRAD.US,60,20240510,180000,9.3,9.31,9.27,9.31,22526,0
SRAD.US,60,20240510,190000,9.3009,9.31,9.25,9.27,55453,0
SRAD.US,60,20240510,200000,9.265,9.29,9.255,9.27,27539,0
SRAD.US,60,20240510,210000,9.275,9.275,9.25,9.26,23324,0
SRAD.US,60,20240510,220000,9.265,9.28,9.25,9.26,59796,0
SRAD.US,60,20240513,160000,9.26,9.33,9.26,9.31,26176,0
SRAD.US,60,20240513,170000,9.3,9.36,9.27,9.3,58125,0
SRAD.US,60,20240513,180000,9.3,9.34,9.3,9.31,27470,0
SRAD.US,60,20240513,190000,9.315,9.37,9.3,9.34,64286,0
SRAD.US,60,20240513,200000,9.33,9.345,9.31,9.315,17487,0
SRAD.US,60,20240513,210000,9.31,9.32,9.3,9.305,25214,0
SRAD.US,60,20240513,220000,9.305,9.45,9.3,9.42,135236,0
SRAD.US,60,20240514,160000,9.43,9.45,9.3,9.4156,89236,0
SRAD.US,60,20240514,170000,9.425,9.4499,9.35,9.42,52031,0
SRAD.US,60,20240514,180000,9.42,9.45,9.395,9.43,48571,0
SRAD.US,60,20240514,190000,9.4175,9.43,9.395,9.4,56878,0
SRAD.US,60,20240514,200000,9.4,9.46,9.395,9.46,28962,0
SRAD.US,60,20240514,210000,9.45,9.56,9.44,9.505,93183,0
SRAD.US,60,20240514,220000,9.515,9.52,9.41,9.5,234431,0
SRAD.US,60,20240515,160000,10.75,10.75,9.59,9.7001,357830,0
SRAD.US,60,20240515,170000,9.7,9.88,9.53,9.86,179938,0
SRAD.US,60,20240515,180000,9.86,10.23,9.84,10.17,145301,0
SRAD.US,60,20240515,190000,10.18,10.3372,10.17,10.305,145019,0
SRAD.US,60,20240515,200000,10.29,10.38,10.2406,10.34,107531,0
SRAD.US,60,20240515,210000,10.35,10.42,10.3298,10.41,51937,0
SRAD.US,60,20240515,220000,10.41,10.596,10.34,10.48,231499,0
SRAD.US,60,20240516,160000,10.38,10.58,10.23,10.58,86666,0
SRAD.US,60,20240516,170000,10.575,10.73,10.52,10.55,76842,0
