<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSNC.US,60,20240411,160000,61.87,62.172,61.52,61.52,28512,0
SSNC.US,60,20240411,170000,61.5,61.515,61.09,61.22,58904,0
SSNC.US,60,20240411,180000,61.2,61.5,61.18,61.48,25063,0
SSNC.US,60,20240411,190000,61.49,61.49,61.21,61.26,42938,0
SSNC.US,60,20240411,200000,61.27,61.55,61.24,61.48,78980,0
SSNC.US,60,20240411,210000,61.49,61.93,61.39,61.84,98884,0
SSNC.US,60,20240411,220000,61.8,61.84,61.47,61.54,410073,0
SSNC.US,60,20240412,160000,61.18,61.57,60.745,61.23,36107,0
SSNC.US,60,20240412,170000,61.215,61.26,60.94,61,57093,0
SSNC.US,60,20240412,180000,61.02,61.46,61.02,61.33,41309,0
SSNC.US,60,20240412,190000,61.3,61.36,61.19,61.33,103831,0
SSNC.US,60,20240412,200000,61.295,61.6,61.28,61.56,162917,0
SSNC.US,60,20240412,210000,61.56,61.66,61.39,61.56,230883,0
SSNC.US,60,20240412,220000,61.55,62.04,61.5,62.04,526002,0
SSNC.US,60,20240415,160000,62.56,62.56,62.245,62.28,16444,0
SSNC.US,60,20240415,170000,62.27,62.285,60.35,60.35,65299,0
SSNC.US,60,20240415,180000,60.33,60.965,60.305,60.8,58935,0
SSNC.US,60,20240415,190000,60.81,60.88,60.365,60.48,51992,0
SSNC.US,60,20240415,200000,60.47,60.5,59.64,59.9,63100,0
SSNC.US,60,20240415,210000,59.89,60.12,59.71,59.765,76727,0
SSNC.US,60,20240415,220000,59.76,60.035,59.72,59.915,232488,0
SSNC.US,60,20240416,160000,59.95,60.03,59.63,59.94,18650,0
SSNC.US,60,20240416,170000,59.86,60.115,59.805,60.09,56323,0
SSNC.US,60,20240416,180000,60.085,60.36,60.06,60.285,35875,0
SSNC.US,60,20240416,190000,60.26,60.44,60.245,60.44,38717,0
SSNC.US,60,20240416,200000,60.445,60.459,60.13,60.29,37469,0
SSNC.US,60,20240416,210000,60.305,60.47,60.115,60.45,55157,0
SSNC.US,60,20240416,220000,60.445,60.46,60.24,60.28,279313,0
SSNC.US,60,20240417,160000,60.7,60.835,60.28,60.78,18856,0
SSNC.US,60,20240417,170000,60.785,60.785,60.555,60.635,53959,0
SSNC.US,60,20240417,180000,60.64,60.69,60.395,60.45,52276,0
SSNC.US,60,20240417,190000,60.435,60.53,60.31,60.35,56147,0
SSNC.US,60,20240417,200000,60.33,60.59,60.33,60.57,44483,0
SSNC.US,60,20240417,210000,60.54,60.65,60.35,60.42,65506,0
SSNC.US,60,20240417,220000,60.435,60.5,60.23,60.24,135098,0
SSNC.US,60,20240418,160000,60.64,60.6678,60.215,60.54,12162,0
SSNC.US,60,20240418,170000,60.51,60.62,60.2664,60.62,47383,0
