<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCBS.US,60,20240411,210000,14.2501,14.2501,14.2501,14.2501,100,0
TCBS.US,60,20240415,160000,14.45,14.49,14.2501,14.2501,303,0
TCBS.US,60,20240415,210000,14.3,14.3,14.3,14.3,100,0
TCBS.US,60,20240416,160000,14.44,14.44,14.44,14.44,100,0
TCBS.US,60,20240416,170000,14.25,14.25,14.25,14.25,500,0
TCBS.US,60,20240416,180000,14.27,14.27,14.25,14.25,2267,0
TCBS.US,60,20240416,200000,14.25,14.29,14.25,14.27,715,0
TCBS.US,60,20240416,210000,14.3,14.3,14.3,14.3,500,0
TCBS.US,60,20240417,190000,14.3,14.3,14.3,14.3,500,0
TCBS.US,60,20240417,220000,14.25,14.25,14.25,14.25,500,0
TCBS.US,60,20240418,200000,14.25,14.25,14.25,14.25,256,0
TCBS.US,60,20240419,220000,14.1001,14.1001,14.1001,14.1001,363,0
TCBS.US,60,20240423,180000,14.06,14.06,14.02,14.02,300,0
TCBS.US,60,20240423,190000,14.175,14.175,14.175,14.175,700,0
TCBS.US,60,20240423,200000,14.23,14.23,14.23,14.23,100,0
TCBS.US,60,20240501,180000,14.0598,14.0598,14,14,898,0
TCBS.US,60,20240501,220000,14.11,14.11,14.11,14.11,1200,0
TCBS.US,60,20240506,190000,14.02,14.02,14.02,14.02,100,0
TCBS.US,60,20240506,210000,14.23,14.23,14.23,14.23,100,0
TCBS.US,60,20240506,220000,14.0001,14.24,14.0001,14.24,300,0
TCBS.US,60,20240507,210000,14.13,14.13,14.13,14.13,100,0
TCBS.US,60,20240509,220000,14.23,14.24,14.23,14.24,200,0
TCBS.US,60,20240510,210000,14.24,14.24,14.24,14.24,200,0
TCBS.US,60,20240513,190000,14.2234,14.2234,14.2234,14.2234,160,0
TCBS.US,60,20240514,170000,14,14,14,14,500,0
TCBS.US,60,20240514,180000,14.009,14.009,14.009,14.009,268,0
TCBS.US,60,20240515,160000,14,14,14,14,1075,0
TCBS.US,60,20240515,220000,13.77,13.9,13.55,13.7223,5254,0
TCBS.US,60,20240516,190000,13.79,13.79,13.79,13.79,100,0
TCBS.US,60,20240521,220000,14,14.05,14,14.05,1050,0
TCBS.US,60,20240522,170000,14.21,14.25,14.11,14.25,4509,0
TCBS.US,60,20240522,180000,14.13,14.25,14.13,14.25,400,0
TCBS.US,60,20240523,160000,14,14,14,14,525,0
TCBS.US,60,20240523,190000,14.06,14.125,14,14.0837,3474,0
TCBS.US,60,20240523,200000,14,14.0001,14,14.0001,1890,0
TCBS.US,60,20240523,210000,14.1,14.1,14.1,14.1,100,0
TCBS.US,60,20240524,200000,14.17,14.17,14.17,14.17,500,0
TCBS.US,60,20240524,210000,14.1,14.1,14.1,14.1,6800,0
TCBS.US,60,20240528,200000,14.0001,14.0328,14,14.0328,400,0
TCBS.US,60,20240530,210000,14.0833,14.1,14.0833,14.1,606,0
TCBS.US,60,20240530,220000,14.1,14.1,14.1,14.1,200,0
TCBS.US,60,20240531,160000,14.1,14.1,14.1,14.1,220,0
TCBS.US,60,20240531,180000,14.16,14.36,14.15,14.35,8810,0
TCBS.US,60,20240531,200000,14.25,14.25,14.25,14.25,910,0
TCBS.US,60,20240531,210000,14.25,14.35,14.25,14.35,1980,0
TCBS.US,60,20240531,220000,14.64,14.65,14.25,14.65,9841,0
TCBS.US,60,20240603,200000,14.45,14.45,14.45,14.45,150,0
TCBS.US,60,20240604,160000,14.25,14.25,14,14,1550,0
TCBS.US,60,20240604,200000,14.35,14.597,14.35,14.597,434,0
TCBS.US,60,20240604,210000,14.49,14.5,14.49,14.5,1065,0
TCBS.US,60,20240604,220000,14.5,14.5,14.36,14.36,200,0
TCBS.US,60,20240605,200000,14.64,14.64,14.375,14.375,556,0
