<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UYSCU.US,60,20250331,180000,10.05,10.07,10.05,10.06,2926076,0
UYSCU.US,60,20250331,190000,10.06,10.07,10.05,10.055,577389,0
UYSCU.US,60,20250331,200000,10.055,10.055,10.05,10.055,101100,0
UYSCU.US,60,20250331,210000,10.055,10.055,10.05,10.055,31692,0
UYSCU.US,60,20250331,220000,10.055,10.06,10.05,10.055,317902,0
UYSCU.US,60,20250401,160000,10.06,10.07,10.06,10.07,31488,0
UYSCU.US,60,20250401,170000,10.068,10.068,10.0638,10.065,8595,0
UYSCU.US,60,20250401,180000,10.07,10.07,10.06,10.065,137058,0
UYSCU.US,60,20250401,200000,10.065,10.07,10.06,10.06,90324,0
UYSCU.US,60,20250401,220000,10.06,10.07,10.06,10.065,16928,0
UYSCU.US,60,20250402,160000,10.0613,10.08,10.0613,10.07,19426,0
UYSCU.US,60,20250402,170000,10.08,10.08,10.075,10.08,3600,0
UYSCU.US,60,20250402,180000,10.09,10.1,10.08,10.1,15283,0
UYSCU.US,60,20250402,210000,10.0801,10.0801,10.0801,10.0801,200,0
UYSCU.US,60,20250402,220000,10.08,10.085,10.08,10.08,1078,0
UYSCU.US,60,20250403,160000,10.1,10.1,10.1,10.1,20000,0
UYSCU.US,60,20250403,180000,10.08,10.09,10.08,10.08,2500,0
UYSCU.US,60,20250403,200000,10.08,10.08,10.08,10.08,1000,0
UYSCU.US,60,20250403,210000,10.08,10.08,10.08,10.08,390,0
UYSCU.US,60,20250403,220000,10.08,10.08,10.08,10.08,216,0
UYSCU.US,60,20250404,160000,10.08,10.08,10.08,10.08,124911,0
UYSCU.US,60,20250404,170000,10.08,10.0812,10.075,10.0812,91130,0
UYSCU.US,60,20250404,190000,10.09,10.09,10.09,10.09,1000,0
UYSCU.US,60,20250404,210000,10.08,10.08,10.08,10.08,5800,0
UYSCU.US,60,20250404,220000,10.08,10.08,10.08,10.08,11209,0
UYSCU.US,60,20250407,180000,10.0715,10.08,10.0715,10.08,700,0
UYSCU.US,60,20250407,190000,10.08,10.08,10.08,10.08,800,0
UYSCU.US,60,20250407,210000,10.08,10.08,10.08,10.08,429,0
UYSCU.US,60,20250407,220000,10.09,10.09,10.09,10.09,100,0
UYSCU.US,60,20250408,180000,10.0726,10.0726,10.0726,10.0726,3000,0
