<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGQ.US,60,20240411,160000,36.5,36.67,36.33,36.512,225522,0
AGQ.US,60,20240411,170000,36.5,36.63,35.6,35.73,279760,0
AGQ.US,60,20240411,180000,35.74,36.15,35.6801,36.15,172149,0
AGQ.US,60,20240411,190000,36.15,36.35,36.05,36.3,88450,0
AGQ.US,60,20240411,200000,36.27,36.67,36.2315,36.585,134117,0
AGQ.US,60,20240411,210000,36.62,37.06,36.62,37.02,137104,0
AGQ.US,60,20240411,220000,37.02,37.429,37,37.32,312755,0
AGQ.US,60,20240412,160000,39.61,40.2827,39.22,40.07,559352,0
AGQ.US,60,20240412,170000,40.07,40.46,39.66,40.3701,532501,0
AGQ.US,60,20240412,180000,40.35,40.83,37.835,38.7,1046236,0
AGQ.US,60,20240412,190000,38.69,38.69,36.43,37.0607,951588,0
AGQ.US,60,20240412,200000,37.05,37.2399,36.27,36.89,404043,0
AGQ.US,60,20240412,210000,36.86,36.9499,36.03,36.132,315540,0
AGQ.US,60,20240412,220000,36.16,36.46,35.95,36.24,297706,0
AGQ.US,60,20240415,160000,37.92,37.99,37.29,37.63,401536,0
AGQ.US,60,20240415,170000,37.63,37.645,36.4044,37.37,369916,0
AGQ.US,60,20240415,180000,37.36,37.8298,37.16,37.75,229456,0
AGQ.US,60,20240415,190000,37.79,37.98,37.38,37.92,167045,0
AGQ.US,60,20240415,200000,37.91,38.169,37.64,38.07,188677,0
AGQ.US,60,20240415,210000,38.05,38.2999,37.9314,38.219,158203,0
AGQ.US,60,20240415,220000,38.17,38.47,38.085,38.39,225179,0
AGQ.US,60,20240416,160000,37.47,37.47,36.09,36.2437,349215,0
AGQ.US,60,20240416,170000,36.2193,36.8,36,36.7899,397881,0
AGQ.US,60,20240416,180000,36.765,37.17,36.39,36.7349,308211,0
AGQ.US,60,20240416,190000,36.75,37.22,36.73,37.175,180097,0
AGQ.US,60,20240416,200000,37.17,37.17,36.4701,36.7,224628,0
AGQ.US,60,20240416,210000,36.7,37.12,36.65,37.0199,106694,0
AGQ.US,60,20240416,220000,36.96,36.99,36.66,36.68,293970,0
AGQ.US,60,20240417,160000,37.68,38.1797,37.68,38.1797,237401,0
AGQ.US,60,20240417,170000,38.105,38.24,37.745,37.89,284724,0
AGQ.US,60,20240417,180000,37.8886,38.07,37.34,37.36,215754,0
AGQ.US,60,20240417,190000,37.4,37.4342,36.47,37.0259,375156,0
AGQ.US,60,20240417,200000,37.015,37.25,36.82,37.1201,179411,0
AGQ.US,60,20240417,210000,37.17,37.37,37.04,37.06,71833,0
AGQ.US,60,20240417,220000,37.04,37.0942,36.72,36.87,130556,0
AGQ.US,60,20240418,160000,37.57,37.69,36.8941,37.3226,138334,0
AGQ.US,60,20240418,170000,37.31,37.3799,36.53,37.025,255256,0
AGQ.US,60,20240418,180000,36.98,37.3,36.86,37.045,74523,0
AGQ.US,60,20240418,190000,37.04,37.299,36.97,37.17,63175,0
AGQ.US,60,20240418,200000,37.1401,37.19,36.7801,36.94,68548,0
AGQ.US,60,20240418,210000,36.867,36.935,36.735,36.8,48893,0
AGQ.US,60,20240418,220000,36.82,36.99,36.75,36.85,139224,0
AGQ.US,60,20240419,160000,37.05,37.3695,36.96,36.99,156638,0
AGQ.US,60,20240419,170000,37.13,37.57,37.0104,37.44,237215,0
AGQ.US,60,20240419,180000,37.44,37.8,37.39,37.7493,148685,0
AGQ.US,60,20240419,190000,37.79,37.94,37.48,37.94,111815,0
AGQ.US,60,20240419,200000,37.94,38.14,37.83,37.92,463580,0
AGQ.US,60,20240419,210000,37.89,38.1596,37.8825,38.1596,90061,0
AGQ.US,60,20240419,220000,38.13,38.15,37.8,37.88,130859,0
