<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGQI.US,60,20240411,160000,13.84,13.84,13.81,13.81,2770,0
AGQI.US,60,20240411,170000,13.76,13.76,13.73,13.73,952,0
AGQI.US,60,20240411,180000,13.72,13.74,13.72,13.74,1000,0
AGQI.US,60,20240411,190000,13.77,13.77,13.77,13.77,1600,0
AGQI.US,60,20240411,200000,13.78,13.8218,13.78,13.8218,2400,0
AGQI.US,60,20240411,210000,13.83,13.8501,13.83,13.8401,3013,0
AGQI.US,60,20240411,220000,13.85,13.85,13.83,13.83,4300,0
AGQI.US,60,20240412,160000,13.72,13.75,13.72,13.7388,1278,0
AGQI.US,60,20240412,170000,13.72,13.72,13.69,13.69,1800,0
AGQI.US,60,20240412,180000,13.71,13.71,13.7,13.7,1200,0
AGQI.US,60,20240412,190000,13.705,13.705,13.6403,13.65,3426,0
AGQI.US,60,20240412,200000,13.63,13.6416,13.62,13.6416,6600,0
AGQI.US,60,20240412,210000,13.64,13.64,13.62,13.6201,2898,0
AGQI.US,60,20240412,220000,13.62,13.64,13.61,13.64,2300,0
AGQI.US,60,20240415,160000,13.76,13.76,13.76,13.76,700,0
AGQI.US,60,20240415,170000,13.75,13.75,13.69,13.69,2150,0
AGQI.US,60,20240415,180000,13.67,13.7,13.67,13.7,1400,0
AGQI.US,60,20240415,190000,13.7,13.7,13.66,13.66,500,0
AGQI.US,60,20240415,200000,13.655,13.66,13.58,13.59,2860,0
AGQI.US,60,20240415,210000,13.58,13.59,13.56,13.57,1200,0
AGQI.US,60,20240415,220000,13.57,13.58,13.54,13.58,2000,0
AGQI.US,60,20240416,160000,13.49,13.5,13.44,13.46,3400,0
AGQI.US,60,20240416,170000,13.4501,13.48,13.45,13.46,1141,0
AGQI.US,60,20240416,180000,13.46,13.5,13.46,13.5,1500,0
AGQI.US,60,20240416,190000,13.48,13.49,13.48,13.49,1700,0
AGQI.US,60,20240416,200000,13.48,13.5,13.45,13.47,2300,0
AGQI.US,60,20240416,210000,13.47,13.5201,13.46,13.51,5381,0
AGQI.US,60,20240416,220000,13.505,13.51,13.47,13.47,1300,0
AGQI.US,60,20240417,160000,13.54,13.54,13.54,13.54,1398,0
AGQI.US,60,20240417,170000,13.53,13.53,13.5,13.5,4400,0
AGQI.US,60,20240417,180000,13.51,13.52,13.48,13.49,1300,0
AGQI.US,60,20240417,190000,13.47,13.47,13.4401,13.46,3650,0
AGQI.US,60,20240417,200000,13.455,13.51,13.455,13.51,5076,0
AGQI.US,60,20240417,210000,13.51,13.54,13.49,13.49,15250,0
