<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARGT.US,60,20240411,160000,57.1,57.2,56.84,57.1,2672,0
ARGT.US,60,20240411,170000,56.93,57.07,56.23,56.23,10524,0
ARGT.US,60,20240411,180000,56.36,56.8199,56.32,56.76,5499,0
ARGT.US,60,20240411,190000,56.8398,56.93,56.61,56.61,1746,0
ARGT.US,60,20240411,200000,56.9783,56.99,56.78,56.895,3522,0
ARGT.US,60,20240411,210000,57,57.08,56.88,56.98,2186,0
ARGT.US,60,20240411,220000,56.89,57.46,56.89,57.28,8941,0
ARGT.US,60,20240412,160000,57,57.5569,57,57.365,3572,0
ARGT.US,60,20240412,170000,57.2,57.35,56.661,56.88,15390,0
ARGT.US,60,20240412,180000,56.91,57.06,56.5376,56.62,5094,0
ARGT.US,60,20240412,190000,56.55,56.755,56.21,56.34,5207,0
ARGT.US,60,20240412,200000,56.34,56.44,56.041,56.2,3981,0
ARGT.US,60,20240412,210000,56.21,56.21,55.82,55.89,6104,0
ARGT.US,60,20240412,220000,55.88,55.905,55.61,55.63,8785,0
ARGT.US,60,20240415,160000,56.18,56.4774,55.6301,55.6301,6872,0
ARGT.US,60,20240415,170000,55.855,55.855,55.12,55.33,6660,0
ARGT.US,60,20240415,180000,55.09,55.2121,54.78,54.795,6183,0
ARGT.US,60,20240415,190000,54.88,54.92,54.32,54.44,9788,0
ARGT.US,60,20240415,200000,54.525,54.525,54.102,54.3,18604,0
ARGT.US,60,20240415,210000,54.3,54.3,53.88,53.8815,3702,0
ARGT.US,60,20240415,220000,53.79,53.837,53.5,53.55,16708,0
ARGT.US,60,20240416,160000,52.9,53.06,52.245,52.91,20516,0
ARGT.US,60,20240416,170000,53.01,53.39,52.43,52.43,40011,0
ARGT.US,60,20240416,180000,52.19,52.79,52.19,52.51,8796,0
ARGT.US,60,20240416,190000,52.6489,53.08,52.481,52.85,3838,0
ARGT.US,60,20240416,200000,53.04,53.26,52.76,53.26,3620,0
ARGT.US,60,20240416,210000,53.17,53.2,52.98,53.13,3545,0
ARGT.US,60,20240416,220000,53.49,53.49,53.1,53.1,3090,0
ARGT.US,60,20240417,160000,53.52,53.73,53.29,53.6,4125,0
ARGT.US,60,20240417,170000,53.56,53.7499,53.3,53.5,29422,0
ARGT.US,60,20240417,180000,53.49,53.62,53.17,53.1719,5364,0
ARGT.US,60,20240417,190000,53.09,53.09,52.51,52.51,2679,0
ARGT.US,60,20240417,200000,52.77,53.2366,52.75,53.2366,1800,0
ARGT.US,60,20240417,210000,53.09,53.15,53.0101,53.06,6625,0
ARGT.US,60,20240417,220000,52.915,53.03,52.81,53.03,9127,0
ARGT.US,60,20240418,160000,53.21,53.25,52.785,53.25,17337,0
ARGT.US,60,20240418,170000,53.325,53.55,53.325,53.49,9260,0
ARGT.US,60,20240418,180000,53.4,53.64,53.32,53.35,600,0
ARGT.US,60,20240418,190000,53.24,53.4624,53.11,53.245,2020,0
ARGT.US,60,20240418,200000,53.2753,53.2753,52.94,53.1,10996,0
